0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140
0.25,0.25,0.25,0.25,0.25,-0.1,0.21,0.97,5.55,10.68,0.85,10.0,-4.0,37.0,0.9678899082568808,0.9953703703703703,0.991549295774648,1.0,0.9905660377358492,-0.08,-0.16,0.98,-8.85,4.58,11.6,-30.0,-45.0,117.0,0.25,0.25,0.25,0.25,0.25,-0.08,0.16,0.99,2.14,4.15,2.08,8.0,-2.0,39.0,0.9678899082568808,0.9953703703703703,0.9859154929577464,0.9947643979057592,0.9968553459119496,-0.04,-0.1,1.02,-8.73,3.91,6.41,-34.0,-46.0,118.0,0.25,0.25,0.25,0.25,0.25,-0.1,0.2,0.97,-8.12,-6.9,-1.71,6.0,-3.0,38.0,0.9678899082568808,0.9953703703703703,0.991549295774648,1.0,0.9905660377358492,-0.03,-0.09,1.0,3.6,0.24,-3.23,-28.0,-49.0,110.0,0.25,0.25,0.25,0.25,0.25,-0.14,0.23,0.98,2.2,-0.49,-9.34,9.0,-5.0,34.0,0.963302752293578,0.9976851851851852,0.9887323943661972,0.9947643979057592,0.9937106918238994,-0.06,-0.11,1.0,-0.06,3.72,-2.93,-28.0,-47.0,113.0,0.25,0.25,0.25,0.25,0.25,-0.11,0.2,1.0,-4.82,-2.87,-15.93,4.0,-6.0,38.0,0.9678899082568808,0.9930555555555556,0.9943661971830986,0.9947643979057592,0.9968553459119496,-0.06,-0.11,1.0,5.68,-5.25,-3.42,-31.0,-47.0,112.0,2.0
0.25,0.25,0.25,0.25,0.25,-0.08,0.16,0.99,2.14,4.15,2.08,8.0,-2.0,39.0,0.9678899082568808,0.9953703703703703,0.9859154929577464,0.9947643979057592,0.9968553459119496,-0.04,-0.1,1.02,-8.73,3.91,6.41,-34.0,-46.0,118.0,0.25,0.25,0.25,0.25,0.25,-0.1,0.2,0.97,-8.12,-6.9,-1.71,6.0,-3.0,38.0,0.9678899082568808,0.9953703703703703,0.991549295774648,1.0,0.9905660377358492,-0.03,-0.09,1.0,3.6,0.24,-3.23,-28.0,-49.0,110.0,0.25,0.25,0.25,0.25,0.25,-0.14,0.23,0.98,2.2,-0.49,-9.34,9.0,-5.0,34.0,0.963302752293578,0.9976851851851852,0.9887323943661972,0.9947643979057592,0.9937106918238994,-0.06,-0.11,1.0,-0.06,3.72,-2.93,-28.0,-47.0,113.0,0.25,0.25,0.25,0.25,0.25,-0.11,0.2,1.0,-4.82,-2.87,-15.93,4.0,-6.0,38.0,0.9678899082568808,0.9930555555555556,0.9943661971830986,0.9947643979057592,0.9968553459119496,-0.06,-0.11,1.0,5.68,-5.25,-3.42,-31.0,-47.0,112.0,0.25,0.25,0.25,0.25,0.25,-0.11,0.19,0.95,-8.91,-7.45,-7.87,10.0,-5.0,38.0,0.9678899082568808,0.9930555555555556,0.9971830985915492,0.9973821989528796,1.0,-0.06,-0.12,1.0,2.69,0.98,-1.95,-29.0,-50.0,111.0,2.0
0.25,0.25,0.25,0.25,0.25,-0.1,0.2,0.97,-8.12,-6.9,-1.71,6.0,-3.0,38.0,0.9678899082568808,0.9953703703703703,0.991549295774648,1.0,0.9905660377358492,-0.03,-0.09,1.0,3.6,0.24,-3.23,-28.0,-49.0,110.0,0.25,0.25,0.25,0.25,0.25,-0.14,0.23,0.98,2.2,-0.49,-9.34,9.0,-5.0,34.0,0.963302752293578,0.9976851851851852,0.9887323943661972,0.9947643979057592,0.9937106918238994,-0.06,-0.11,1.0,-0.06,3.72,-2.93,-28.0,-47.0,113.0,0.25,0.25,0.25,0.25,0.25,-0.11,0.2,1.0,-4.82,-2.87,-15.93,4.0,-6.0,38.0,0.9678899082568808,0.9930555555555556,0.9943661971830986,0.9947643979057592,0.9968553459119496,-0.06,-0.11,1.0,5.68,-5.25,-3.42,-31.0,-47.0,112.0,0.25,0.25,0.25,0.25,0.25,-0.11,0.19,0.95,-8.91,-7.45,-7.87,10.0,-5.0,38.0,0.9678899082568808,0.9930555555555556,0.9971830985915492,0.9973821989528796,1.0,-0.06,-0.12,1.0,2.69,0.98,-1.95,-29.0,-50.0,111.0,0.25,0.25,0.25,0.25,0.25,-0.13,0.23,0.96,-2.81,-2.75,3.17,9.0,-5.0,30.0,0.9770642201834864,0.9930555555555556,0.9971830985915492,0.9973821989528796,0.9905660377358492,-0.08,-0.14,0.98,5.55,-6.04,-2.93,-30.0,-46.0,117.0,2.0
0.25,0.25,0.25,0.25,0.25,-0.14,0.23,0.98,2.2,-0.49,-9.34,9.0,-5.0,34.0,0.963302752293578,0.9976851851851852,0.9887323943661972,0.9947643979057592,0.9937106918238994,-0.06,-0.11,1.0,-0.06,3.72,-2.93,-28.0,-47.0,113.0,0.25,0.25,0.25,0.25,0.25,-0.11,0.2,1.0,-4.82,-2.87,-15.93,4.0,-6.0,38.0,0.9678899082568808,0.9930555555555556,0.9943661971830986,0.9947643979057592,0.9968553459119496,-0.06,-0.11,1.0,5.68,-5.25,-3.42,-31.0,-47.0,112.0,0.25,0.25,0.25,0.25,0.25,-0.11,0.19,0.95,-8.91,-7.45,-7.87,10.0,-5.0,38.0,0.9678899082568808,0.9930555555555556,0.9971830985915492,0.9973821989528796,1.0,-0.06,-0.12,1.0,2.69,0.98,-1.95,-29.0,-50.0,111.0,0.25,0.25,0.25,0.25,0.25,-0.13,0.23,0.96,-2.81,-2.75,3.17,9.0,-5.0,30.0,0.9770642201834864,0.9930555555555556,0.9971830985915492,0.9973821989528796,0.9905660377358492,-0.08,-0.14,0.98,5.55,-6.04,-2.93,-30.0,-46.0,117.0,0.25,0.25,0.25,0.25,0.25,-0.12,0.25,0.95,-7.2,-0.85,5.55,11.0,-4.0,33.0,0.9678899082568808,0.9930555555555556,0.9943661971830986,0.9947643979057592,1.0,-0.07,-0.15,0.98,2.87,-4.09,1.28,-29.0,-48.0,119.0,2.0
0.25,0.25,0.25,0.25,0.25,-0.11,0.2,1.0,-4.82,-2.87,-15.93,4.0,-6.0,38.0,0.9678899082568808,0.9930555555555556,0.9943661971830986,0.9947643979057592,0.9968553459119496,-0.06,-0.11,1.0,5.68,-5.25,-3.42,-31.0,-47.0,112.0,0.25,0.25,0.25,0.25,0.25,-0.11,0.19,0.95,-8.91,-7.45,-7.87,10.0,-5.0,38.0,0.9678899082568808,0.9930555555555556,0.9971830985915492,0.9973821989528796,1.0,-0.06,-0.12,1.0,2.69,0.98,-1.95,-29.0,-50.0,111.0,0.25,0.25,0.25,0.25,0.25,-0.13,0.23,0.96,-2.81,-2.75,3.17,9.0,-5.0,30.0,0.9770642201834864,0.9930555555555556,0.9971830985915492,0.9973821989528796,0.9905660377358492,-0.08,-0.14,0.98,5.55,-6.04,-2.93,-30.0,-46.0,117.0,0.25,0.25,0.25,0.25,0.25,-0.12,0.25,0.95,-7.2,-0.85,5.55,11.0,-4.0,33.0,0.9678899082568808,0.9930555555555556,0.9943661971830986,0.9947643979057592,1.0,-0.07,-0.15,0.98,2.87,-4.09,1.28,-29.0,-48.0,119.0,0.25,0.25,0.25,0.25,0.25,-0.12,0.24,0.95,2.14,0.79,7.93,9.0,-4.0,36.0,0.9724770642201837,0.9953703703703703,0.9971830985915492,0.9973821989528796,1.0,-0.08,-0.15,0.99,1.95,-0.18,1.4,-30.0,-48.0,115.0,2.0
0.25,0.25,0.25,0.25,0.25,-0.11,0.19,0.95,-8.91,-7.45,-7.87,10.0,-5.0,38.0,0.9678899082568808,0.9930555555555556,0.9971830985915492,0.9973821989528796,1.0,-0.06,-0.12,1.0,2.69,0.98,-1.95,-29.0,-50.0,111.0,0.25,0.25,0.25,0.25,0.25,-0.13,0.23,0.96,-2.81,-2.75,3.17,9.0,-5.0,30.0,0.9770642201834864,0.9930555555555556,0.9971830985915492,0.9973821989528796,0.9905660377358492,-0.08,-0.14,0.98,5.55,-6.04,-2.93,-30.0,-46.0,117.0,0.25,0.25,0.25,0.25,0.25,-0.12,0.25,0.95,-7.2,-0.85,5.55,11.0,-4.0,33.0,0.9678899082568808,0.9930555555555556,0.9943661971830986,0.9947643979057592,1.0,-0.07,-0.15,0.98,2.87,-4.09,1.28,-29.0,-48.0,119.0,0.25,0.25,0.25,0.25,0.25,-0.12,0.24,0.95,2.14,0.79,7.93,9.0,-4.0,36.0,0.9724770642201837,0.9953703703703703,0.9971830985915492,0.9973821989528796,1.0,-0.08,-0.15,0.99,1.95,-0.18,1.4,-30.0,-48.0,115.0,0.25,0.25,0.25,0.25,0.25,-0.13,0.25,0.96,3.54,-0.55,4.03,11.0,-5.0,42.0,0.9724770642201837,0.9930555555555556,0.991549295774648,0.9947643979057592,0.9937106918238994,-0.08,-0.15,0.99,2.87,-2.38,0.0,-30.0,-45.0,119.0,2.0
0.25,0.25,0.25,0.25,0.25,-0.13,0.23,0.96,-2.81,-2.75,3.17,9.0,-5.0,30.0,0.9770642201834864,0.9930555555555556,0.9971830985915492,0.9973821989528796,0.9905660377358492,-0.08,-0.14,0.98,5.55,-6.04,-2.93,-30.0,-46.0,117.0,0.25,0.25,0.25,0.25,0.25,-0.12,0.25,0.95,-7.2,-0.85,5.55,11.0,-4.0,33.0,0.9678899082568808,0.9930555555555556,0.9943661971830986,0.9947643979057592,1.0,-0.07,-0.15,0.98,2.87,-4.09,1.28,-29.0,-48.0,119.0,0.25,0.25,0.25,0.25,0.25,-0.12,0.24,0.95,2.14,0.79,7.93,9.0,-4.0,36.0,0.9724770642201837,0.9953703703703703,0.9971830985915492,0.9973821989528796,1.0,-0.08,-0.15,0.99,1.95,-0.18,1.4,-30.0,-48.0,115.0,0.25,0.25,0.25,0.25,0.25,-0.13,0.25,0.96,3.54,-0.55,4.03,11.0,-5.0,42.0,0.9724770642201837,0.9930555555555556,0.991549295774648,0.9947643979057592,0.9937106918238994,-0.08,-0.15,0.99,2.87,-2.38,0.0,-30.0,-45.0,119.0,0.25,0.25,0.25,0.25,0.25,-0.13,0.22,0.98,2.87,0.85,-0.06,9.0,-2.0,36.0,0.9678899082568808,0.9930555555555556,0.9971830985915492,0.9921465968586388,0.9968553459119496,-0.09,-0.15,0.98,2.81,-0.85,-1.16,-30.0,-47.0,114.0,2.0
0.25,0.25,0.25,0.25,0.25,-0.12,0.25,0.95,-7.2,-0.85,5.55,11.0,-4.0,33.0,0.9678899082568808,0.9930555555555556,0.9943661971830986,0.9947643979057592,1.0,-0.07,-0.15,0.98,2.87,-4.09,1.28,-29.0,-48.0,119.0,0.25,0.25,0.25,0.25,0.25,-0.12,0.24,0.95,2.14,0.79,7.93,9.0,-4.0,36.0,0.9724770642201837,0.9953703703703703,0.9971830985915492,0.9973821989528796,1.0,-0.08,-0.15,0.99,1.95,-0.18,1.4,-30.0,-48.0,115.0,0.25,0.25,0.25,0.25,0.25,-0.13,0.25,0.96,3.54,-0.55,4.03,11.0,-5.0,42.0,0.9724770642201837,0.9930555555555556,0.991549295774648,0.9947643979057592,0.9937106918238994,-0.08,-0.15,0.99,2.87,-2.38,0.0,-30.0,-45.0,119.0,0.25,0.25,0.25,0.25,0.25,-0.13,0.22,0.98,2.87,0.85,-0.06,9.0,-2.0,36.0,0.9678899082568808,0.9930555555555556,0.9971830985915492,0.9921465968586388,0.9968553459119496,-0.09,-0.15,0.98,2.81,-0.85,-1.16,-30.0,-47.0,114.0,0.25,0.25,0.25,0.25,0.25,-0.13,0.21,0.98,3.78,3.23,0.24,7.0,-5.0,41.0,0.963302752293578,0.9953703703703703,0.9943661971830986,1.0,1.0,-0.08,-0.14,0.99,-0.06,0.31,-0.85,-30.0,-44.0,114.0,2.0
0.25,0.25,0.25,0.25,0.25,-0.12,0.24,0.95,2.14,0.79,7.93,9.0,-4.0,36.0,0.9724770642201837,0.9953703703703703,0.9971830985915492,0.9973821989528796,1.0,-0.08,-0.15,0.99,1.95,-0.18,1.4,-30.0,-48.0,115.0,0.25,0.25,0.25,0.25,0.25,-0.13,0.25,0.96,3.54,-0.55,4.03,11.0,-5.0,42.0,0.9724770642201837,0.9930555555555556,0.991549295774648,0.9947643979057592,0.9937106918238994,-0.08,-0.15,0.99,2.87,-2.38,0.0,-30.0,-45.0,119.0,0.25,0.25,0.25,0.25,0.25,-0.13,0.22,0.98,2.87,0.85,-0.06,9.0,-2.0,36.0,0.9678899082568808,0.9930555555555556,0.9971830985915492,0.9921465968586388,0.9968553459119496,-0.09,-0.15,0.98,2.81,-0.85,-1.16,-30.0,-47.0,114.0,0.25,0.25,0.25,0.25,0.25,-0.13,0.21,0.98,3.78,3.23,0.24,7.0,-5.0,41.0,0.963302752293578,0.9953703703703703,0.9943661971830986,1.0,1.0,-0.08,-0.14,0.99,-0.06,0.31,-0.85,-30.0,-44.0,114.0,0.25,0.25,0.25,0.25,0.25,-0.14,0.22,0.97,-2.2,-4.52,2.5,9.0,-4.0,37.0,0.9678899082568808,0.9976851851851852,0.9971830985915492,1.0,0.9968553459119496,-0.08,-0.15,0.98,-0.31,-0.37,0.0,-31.0,-45.0,116.0,2.0
0.25,0.25,0.25,0.25,0.25,-0.13,0.25,0.96,3.54,-0.55,4.03,11.0,-5.0,42.0,0.9724770642201837,0.9930555555555556,0.991549295774648,0.9947643979057592,0.9937106918238994,-0.08,-0.15,0.99,2.87,-2.38,0.0,-30.0,-45.0,119.0,0.25,0.25,0.25,0.25,0.25,-0.13,0.22,0.98,2.87,0.85,-0.06,9.0,-2.0,36.0,0.9678899082568808,0.9930555555555556,0.9971830985915492,0.9921465968586388,0.9968553459119496,-0.09,-0.15,0.98,2.81,-0.85,-1.16,-30.0,-47.0,114.0,0.25,0.25,0.25,0.25,0.25,-0.13,0.21,0.98,3.78,3.23,0.24,7.0,-5.0,41.0,0.963302752293578,0.9953703703703703,0.9943661971830986,1.0,1.0,-0.08,-0.14,0.99,-0.06,0.31,-0.85,-30.0,-44.0,114.0,0.25,0.25,0.25,0.25,0.25,-0.14,0.22,0.97,-2.2,-4.52,2.5,9.0,-4.0,37.0,0.9678899082568808,0.9976851851851852,0.9971830985915492,1.0,0.9968553459119496,-0.08,-0.15,0.98,-0.31,-0.37,0.0,-31.0,-45.0,116.0,0.25,0.25,0.25,0.25,0.25,-0.16,0.23,0.94,1.22,-7.02,2.26,5.0,-3.0,36.0,0.963302752293578,0.9953703703703703,0.9943661971830986,0.9973821989528796,0.9968553459119496,-0.08,-0.15,0.99,1.04,-0.24,-0.43,-29.0,-45.0,117.0,2.0
