Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Thumb2,Index2,Middle2,Ring2,Pinky2,AccelX2,AccelY2,AccelZ2,GyroX2,GyroY2,GyroZ2,MagX2,MagY2,MagZ2,Letter
0.06036745406824147,0.03463203463203463,0.05241090146750524,0.053488372093023255,0.0,0.09,0.63,0.73,13.85,0.0,4.33,36.0,8.0,-11.0,0.005076142131979695,0.00847457627118644,0.05357142857142857,0.01598173515981735,0.0,-0.11,0.64,0.74,-16.36,-0.67,1.22,42.0,10.0,37.0,5
0.08398950131233596,0.04329004329004329,0.05450733752620545,0.04883720930232558,0.0020242914979757085,-0.04,0.64,0.74,-7.69,-11.54,2.32,35.0,6.0,-7.0,0.017766497461928935,0.01694915254237288,0.0625,0.0228310502283105,0.004739336492890996,-0.11,0.62,0.76,-1.95,2.14,-1.28,41.0,8.0,36.0,5
0.09186351706036745,0.045454545454545456,0.06289308176100629,0.06046511627906977,0.006072874493927126,-0.07,0.64,0.76,3.11,-14.95,3.72,37.0,8.0,-10.0,0.017766497461928935,0.0211864406779661,0.07366071428571429,0.02511415525114155,0.011848341232227487,-0.09,0.64,0.76,-0.43,-2.75,-2.56,43.0,10.0,37.0,5
0.09973753280839895,0.05411255411255411,0.0649895178197065,0.06744186046511629,0.016194331983805668,-0.02,0.64,0.75,-1.53,0.67,0.37,38.0,14.0,-13.0,0.025380710659898477,0.02754237288135593,0.07589285714285714,0.03424657534246575,0.018957345971563982,-0.1,0.64,0.75,-0.18,-1.1,0.85,43.0,12.0,36.0,5
0.09186351706036745,0.05627705627705628,0.06708595387840671,0.07441860465116279,0.018218623481781375,-0.06,0.63,0.75,3.05,-8.06,-0.24,37.0,11.0,-12.0,0.030456852791878174,0.02754237288135593,0.08035714285714286,0.03881278538812785,0.023696682464454975,-0.09,0.63,0.77,0.24,0.85,-1.16,44.0,10.0,37.0,5
0.14173228346456693,0.08441558441558442,0.09643605870020965,0.14418604651162792,0.15384615384615385,-0.04,0.61,0.85,14.16,-35.71,-2.56,38.0,8.0,-10.0,0.048223350253807105,0.057203389830508475,0.08482142857142858,0.0684931506849315,0.05687203791469194,-0.07,0.56,0.81,-2.99,6.35,-7.32,46.0,9.0,33.0,5
0.6115485564304461,0.7402597402597403,0.6310272536687631,0.9023255813953488,0.8663967611336032,-0.18,0.5,0.78,143.37,-44.56,-40.89,37.0,10.0,-9.0,0.2868020304568528,0.4406779661016949,0.32589285714285715,0.4132420091324201,0.981042654028436,-0.02,0.46,0.84,128.91,26.25,-0.73,40.0,11.0,41.0,5
1.0,0.9978354978354979,0.9916142557651991,0.9976744186046511,1.0,0.03,0.42,0.91,98.82,51.88,-14.1,32.0,8.0,-6.0,0.7360406091370558,0.9978813559322034,0.9955357142857143,0.9954337899543378,0.995260663507109,-0.1,0.18,0.79,99.06,5.37,8.85,38.0,10.0,43.0,5
0.994750656167979,0.9956709956709957,0.9958071278825996,0.9976744186046511,0.9979757085020243,0.09,0.31,0.99,65.98,39.55,4.27,26.0,8.0,-1.0,0.8274111675126904,0.9936440677966102,1.0,0.9954337899543378,1.0,-0.3,0.31,0.91,58.23,-32.47,-5.8,31.0,10.0,43.0,5
0.994750656167979,0.9978354978354979,0.9958071278825996,0.9976744186046511,1.0,-0.02,0.03,0.9,78.0,0.18,-3.17,25.0,5.0,0.0,0.8730964467005076,0.9915254237288136,1.0,0.9931506849315068,0.9976303317535545,-0.17,0.14,0.91,63.72,-23.38,-69.52,31.0,11.0,43.0,5
0.994750656167979,0.9935064935064936,0.9979035639412998,0.9930232558139535,0.9979757085020243,0.01,0.03,0.54,199.28,-14.77,10.8,19.0,7.0,1.0,0.8527918781725888,0.9978813559322034,0.9933035714285714,1.0,0.9976303317535545,-0.09,0.03,0.86,140.01,-48.52,-59.94,30.0,7.0,39.0,5
0.9973753280839895,0.9956709956709957,0.9979035639412998,0.9953488372093023,0.9979757085020243,-0.02,-0.27,0.76,2.08,-16.42,1.16,24.0,8.0,-3.0,0.6802030456852792,0.9957627118644068,0.9977678571428571,0.9954337899543378,0.9976303317535545,0.49,0.58,0.99,-4.03,233.7,104.37,27.0,7.0,37.0,5
1.0,0.9956709956709957,0.9958071278825996,0.9976744186046511,0.9979757085020243,-0.0,-0.07,0.98,-0.92,-5.07,5.68,23.0,7.0,-4.0,0.6598984771573604,1.0,1.0,0.997716894977169,0.995260663507109,-0.02,-0.24,1.12,-19.17,-9.09,-0.06,26.0,9.0,36.0,5
0.9973753280839895,0.9935064935064936,0.9979035639412998,0.9976744186046511,0.9979757085020243,-0.04,-0.07,1.0,-3.85,-7.51,5.49,25.0,5.0,1.0,0.6269035532994924,0.9978813559322034,0.9933035714285714,0.997716894977169,1.0023696682464456,-0.05,-0.2,0.97,-12.76,4.33,-3.11,27.0,10.0,40.0,5
0.994750656167979,0.9956709956709957,1.0,0.9976744186046511,0.9696356275303644,-0.04,-0.15,1.22,-28.26,-75.74,5.86,22.0,9.0,-2.0,0.5939086294416244,1.0,0.9955357142857143,0.9954337899543378,1.0023696682464456,-0.06,-0.14,1.05,-8.79,0.67,-1.71,29.0,9.0,40.0,5
0.9921259842519685,0.9956709956709957,0.9958071278825996,1.0,0.9757085020242915,-0.18,0.3,1.15,-131.04,-80.75,-7.57,25.0,11.0,-4.0,0.6598984771573604,0.9957627118644068,0.9955357142857143,0.9954337899543378,0.995260663507109,0.25,-0.45,0.96,-32.23,104.06,5.43,28.0,5.0,42.0,5
0.9973753280839895,0.9935064935064936,0.9979035639412998,0.9953488372093023,0.9676113360323887,-0.42,0.4,0.73,-81.24,-67.93,-30.46,30.0,16.0,-13.0,0.5634517766497462,0.9978813559322034,0.9933035714285714,0.9954337899543378,0.9928909952606635,0.05,0.2,1.03,-119.32,-47.85,79.16,31.0,6.0,39.0,5
0.994750656167979,0.9956709956709957,0.9958071278825996,1.0,0.9635627530364372,-0.34,0.22,0.61,-55.48,-79.96,3.91,32.0,15.0,-11.0,0.616751269035533,0.8983050847457628,0.7633928571428571,0.7465753424657534,0.9976303317535545,-0.01,0.26,0.87,-73.36,26.98,101.14,31.0,6.0,43.0,5
0.9921259842519685,0.9935064935064936,0.9979035639412998,0.9976744186046511,0.9453441295546559,-0.58,0.19,0.67,-46.26,-76.97,25.88,30.0,19.0,-19.0,0.5304568527918782,0.9216101694915254,0.6205357142857143,0.6461187214611872,0.9383886255924171,-0.16,0.27,0.88,-48.58,-10.31,22.4,31.0,6.0,46.0,5
0.994750656167979,0.9935064935064936,0.9958071278825996,0.9976744186046511,0.9392712550607287,-0.52,0.49,0.75,-29.79,-46.63,3.6,31.0,17.0,-22.0,0.3350253807106599,0.7055084745762712,0.6294642857142857,0.6141552511415526,0.8175355450236966,-0.38,0.32,0.83,-28.93,-40.47,-63.96,30.0,7.0,43.0,5
0.994750656167979,0.9956709956709957,0.9979035639412998,1.0,0.9190283400809717,-0.66,0.48,0.58,-14.28,-30.76,4.27,30.0,19.0,-16.0,0.2766497461928934,0.6461864406779662,0.6785714285714286,0.6210045662100456,0.7322274881516587,0.26,0.38,0.79,-38.76,-4.82,-14.04,38.0,4.0,42.0,5
0.994750656167979,0.9935064935064936,0.9916142557651991,0.9953488372093023,0.9129554655870445,-0.56,0.53,0.61,-17.09,33.94,-13.61,33.0,18.0,-21.0,0.2969543147208122,0.6461864406779662,0.6540178571428571,0.593607305936073,0.6635071090047393,0.16,0.55,0.85,-25.02,4.09,-15.32,38.0,5.0,42.0,5
0.994750656167979,0.9956709956709957,0.9958071278825996,0.9976744186046511,0.9089068825910931,-0.57,0.48,0.56,-7.2,-26.31,-1.71,33.0,18.0,-19.0,0.24111675126903553,0.4788135593220339,0.48214285714285715,0.4840182648401826,0.518957345971564,0.2,0.46,0.83,-19.84,31.25,3.91,41.0,1.0,47.0,5
