Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Thumb2,Index2,Middle2,Ring2,Pinky2,AccelX2,AccelY2,AccelZ2,GyroX2,GyroY2,GyroZ2,MagX2,MagY2,MagZ2,Letter
0.7227979274611399,0.45918367346938777,0.22020725388601037,0.38309859154929576,0.21935483870967742,-0.49,0.44,0.71,-14.34,-72.75,-2.81,32.0,19.0,-15.0,0.0688622754491018,0.10091743119266056,0.09844559585492228,0.11139896373056994,0.22822822822822822,0.48,0.39,0.75,6.16,-5.98,-5.74,39.0,-11.0,49.0,7
0.844559585492228,0.4923469387755102,0.22020725388601037,0.38028169014084506,0.21935483870967742,-0.6,0.46,0.58,-22.03,-93.99,-8.85,31.0,21.0,-18.0,0.0718562874251497,0.11238532110091744,0.10621761658031088,0.11917098445595854,0.24024024024024024,0.5,0.39,0.76,-4.7,7.63,1.04,39.0,-13.0,47.0,7
0.9922279792746114,0.5051020408163265,0.19948186528497408,0.3408450704225352,0.1913978494623656,-0.69,0.47,0.45,-13.49,-117.61,-0.61,33.0,21.0,-23.0,0.08982035928143713,0.12385321100917432,0.11917098445595854,0.13471502590673576,0.24924924924924924,0.47,0.35,0.75,-3.6,26.37,-1.28,37.0,-12.0,45.0,7
0.9922279792746114,0.5178571428571429,0.13212435233160622,0.19436619718309858,0.09032258064516129,-0.71,0.48,0.31,-19.1,-91.74,4.46,34.0,19.0,-26.0,0.1347305389221557,0.15825688073394495,0.13212435233160622,0.14507772020725387,0.2672672672672673,0.62,0.39,0.63,2.5,80.69,11.54,36.0,-16.0,47.0,7
0.9922279792746114,0.5510204081632653,0.09844559585492228,0.1352112676056338,0.06236559139784946,-0.85,0.49,0.2,-44.56,-67.08,13.12,34.0,17.0,-31.0,0.2964071856287425,0.22018348623853212,0.12435233160621761,0.15544041450777202,0.26426426426426425,0.82,0.41,0.49,8.42,149.11,2.08,40.0,-23.0,45.0,7
0.9922279792746114,0.5816326530612245,0.10362694300518134,0.15211267605633802,0.07311827956989247,-0.81,0.48,0.15,-24.17,8.79,-6.84,33.0,17.0,-30.0,0.4341317365269461,0.2545871559633027,0.05958549222797927,0.10621761658031088,0.1891891891891892,0.87,0.37,0.4,12.88,82.21,-23.99,37.0,-28.0,43.0,7
0.9870466321243523,0.5637755102040817,0.09844559585492228,0.15211267605633802,0.07526881720430108,-0.78,0.48,0.1,-7.39,-10.31,15.93,32.0,16.0,-32.0,0.6197604790419161,0.26376146788990823,0.018134715025906734,0.06994818652849741,0.12912912912912913,0.93,0.36,0.34,-6.35,72.88,-8.61,36.0,-30.0,36.0,7
0.9870466321243523,0.44387755102040816,0.09844559585492228,0.16056338028169015,0.07741935483870968,-0.8,0.47,0.06,-12.45,-9.58,28.93,28.0,18.0,-35.0,0.7874251497005988,0.26376146788990823,0.007772020725388601,0.05181347150259067,0.1021021021021021,0.96,0.33,0.26,-11.54,12.94,5.13,35.0,-33.0,32.0,7
0.9922279792746114,0.3673469387755102,0.09844559585492228,0.15774647887323945,0.07956989247311828,-0.91,0.47,0.02,-5.13,-2.69,6.84,30.0,14.0,-33.0,0.9041916167664671,0.22477064220183487,0.015544041450777202,0.054404145077720206,0.10510510510510511,0.93,0.33,0.2,-13.49,5.25,9.64,37.0,-33.0,34.0,7
0.9870466321243523,0.37244897959183676,0.10103626943005181,0.16901408450704225,0.07956989247311828,-0.81,0.42,0.05,1.1,0.55,5.13,30.0,19.0,-36.0,0.9281437125748503,0.1743119266055046,0.012953367875647668,0.054404145077720206,0.11411411411411411,0.77,0.39,0.22,-27.95,-9.58,-1.16,37.0,-31.0,34.0,7
0.9896373056994818,0.3979591836734694,0.10362694300518134,0.17464788732394365,0.08172043010752689,-0.9,0.4,0.01,0.43,-0.12,7.26,29.0,18.0,-29.0,0.9401197604790419,0.1743119266055046,0.02072538860103627,0.05958549222797927,0.12612612612612611,0.97,0.38,0.15,-9.22,-41.26,2.75,36.0,-31.0,35.0,7
0.9870466321243523,0.413265306122449,0.10103626943005181,0.17464788732394365,0.08602150537634409,-0.86,0.41,0.0,-2.32,-3.17,6.53,30.0,16.0,-31.0,0.937125748502994,0.18577981651376146,0.02849740932642487,0.06735751295336788,0.12912912912912913,0.88,0.42,0.22,7.69,5.62,3.78,38.0,-31.0,39.0,7
0.9870466321243523,0.44642857142857145,0.10103626943005181,0.17746478873239438,0.08817204301075268,-0.94,0.39,0.05,0.31,17.76,-2.75,27.0,16.0,-34.0,0.9341317365269461,0.19495412844036697,0.04145077720207254,0.07512953367875648,0.12912912912912913,0.55,0.55,0.24,7.93,-38.64,-12.7,37.0,-30.0,34.0,7
0.9948186528497409,0.5102040816326531,0.10103626943005181,0.18309859154929578,0.09247311827956989,-0.89,0.39,0.11,-2.38,22.83,-2.87,28.0,19.0,-36.0,0.9341317365269461,0.27293577981651373,0.09067357512953368,0.11398963730569948,0.09309309309309309,0.51,0.62,0.37,49.99,-242.43,-73.79,34.0,-23.0,43.0,7
0.9896373056994818,0.5459183673469388,0.10621761658031088,0.18591549295774648,0.09032258064516129,-0.87,0.41,0.08,-14.22,16.97,-0.61,28.0,18.0,-35.0,0.937125748502994,0.3922018348623853,0.6062176165803109,0.16321243523316062,0.13813813813813813,0.84,0.21,0.69,63.17,-189.7,-37.29,30.0,-14.0,44.0,7
0.9922279792746114,0.5433673469387755,0.10362694300518134,0.18309859154929578,0.09247311827956989,-0.87,0.41,0.1,-10.56,0.79,8.67,26.0,18.0,-33.0,0.9610778443113772,0.6284403669724771,1.0,0.3601036269430052,0.18018018018018017,0.5,-0.1,0.87,98.75,-132.32,-6.71,24.0,-4.0,44.0,7
0.9922279792746114,0.5459183673469388,0.10621761658031088,0.18873239436619718,0.09247311827956989,-0.87,0.43,0.08,-0.12,0.55,10.01,27.0,19.0,-34.0,0.9790419161676647,0.8922018348623854,0.9974093264248705,0.4637305699481865,0.18018018018018017,0.36,-0.26,0.98,67.32,-45.72,2.87,19.0,0.0,39.0,7
0.9922279792746114,0.5535714285714286,0.10621761658031088,0.18873239436619718,0.09032258064516129,-0.91,0.41,0.07,4.64,-1.59,2.81,26.0,20.0,-32.0,0.9880239520958084,0.9564220183486238,0.9922279792746114,0.5051813471502591,0.13513513513513514,0.26,-0.31,1.01,11.35,-29.66,2.26,19.0,3.0,42.0,7
0.9870466321243523,0.5510204081632653,0.10621761658031088,0.19154929577464788,0.09032258064516129,-0.96,0.39,0.11,4.39,-2.32,-8.36,25.0,20.0,-33.0,0.9790419161676647,0.9495412844036697,0.9922279792746114,0.5155440414507773,0.14714714714714713,0.18,-0.18,0.96,-12.57,-16.66,-18.37,16.0,4.0,34.0,7
0.9948186528497409,0.5510204081632653,0.10621761658031088,0.19436619718309858,0.09462365591397849,-0.86,0.38,0.11,-6.23,5.37,-18.55,26.0,20.0,-34.0,0.9760479041916168,0.9518348623853211,0.9922279792746114,0.5077720207253886,0.11411411411411411,0.17,-0.2,0.95,27.89,-6.29,-23.01,17.0,4.0,36.0,7
0.9922279792746114,0.5535714285714286,0.10362694300518134,0.19154929577464788,0.09247311827956989,-0.83,0.47,0.05,-4.88,-1.16,-13.55,25.0,19.0,-34.0,0.9820359281437125,0.9655963302752294,0.9974093264248705,0.5181347150259067,0.1981981981981982,0.22,-0.54,0.99,-30.64,58.41,9.52,17.0,2.0,34.0,7
0.9896373056994818,0.5510204081632653,0.09067357512953368,0.18873239436619718,0.09032258064516129,-0.85,0.51,0.07,-1.77,7.39,-18.49,27.0,18.0,-37.0,0.9610778443113772,0.9243119266055045,0.6010362694300518,0.48186528497409326,0.22522522522522523,0.34,-0.35,0.95,-146.18,145.75,20.57,25.0,0.0,40.0,7
0.9922279792746114,0.5408163265306123,0.08031088082901554,0.18028169014084508,0.08602150537634409,-0.73,0.54,0.1,-16.3,6.9,-14.1,28.0,20.0,-31.0,0.9461077844311377,0.8348623853211009,0.12953367875647667,0.25906735751295334,0.22522522522522523,0.51,0.14,0.73,-110.11,197.94,5.74,30.0,-13.0,40.0,7
