Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Thumb2,Index2,Middle2,Ring2,Pinky2,AccelX2,AccelY2,AccelZ2,GyroX2,GyroY2,GyroZ2,MagX2,MagY2,MagZ2,Letter
0.022988505747126436,0.0870712401055409,0.07360406091370558,0.24761904761904763,0.23440860215053763,0.27,0.61,0.74,-8.91,4.64,-8.3,-9.0,-30.0,36.0,0.18110236220472442,0.07493540051679587,0.11834319526627218,0.08378378378378379,0.10365853658536585,0.15,-0.7,0.73,12.88,2.44,4.21,5.0,-55.0,69.0,2
0.02681992337164751,-0.15303430079155672,0.06091370558375635,0.1619047619047619,0.15053763440860216,0.31,0.63,0.75,-8.73,-2.99,-2.99,-4.0,-30.0,33.0,0.17060367454068243,0.056847545219638244,0.09467455621301775,0.05945945945945946,0.11280487804878049,0.16,-0.7,0.7,9.89,1.65,4.64,6.0,-57.0,67.0,2
0.09578544061302682,0.03430079155672823,0.04060913705583756,0.09206349206349207,0.09462365591397849,0.29,0.6,0.75,-5.8,-8.18,-2.26,-10.0,-29.0,34.0,0.14435695538057744,0.04392764857881137,0.0650887573964497,0.043243243243243246,0.051829268292682924,0.04,-0.72,0.7,6.53,-23.13,-3.17,4.0,-54.0,66.0,2
0.11877394636015326,0.04221635883905013,0.048223350253807105,0.031746031746031744,0.05161290322580645,0.28,0.66,0.73,-12.94,-5.25,-7.39,-5.0,-28.0,32.0,0.13910761154855644,0.031007751937984496,0.04142011834319527,0.03513513513513514,0.09451219512195122,0.07,-0.74,0.72,13.85,-17.7,1.04,2.0,-56.0,65.0,2
0.16091954022988506,0.05013192612137203,0.0532994923857868,0.02857142857142857,0.03870967741935484,0.29,0.62,0.73,-1.16,0.49,-7.93,-6.0,-30.0,34.0,0.13648293963254593,0.01808785529715762,0.026627218934911243,0.04054054054054054,0.10365853658536585,0.11,-0.75,0.7,16.78,-3.17,-2.81,4.0,-54.0,64.0,2
0.16091954022988506,0.055408970976253295,0.06345177664974619,0.03492063492063492,0.04086021505376344,0.28,0.62,0.73,2.44,-5.19,-5.25,-8.0,-28.0,32.0,0.12860892388451445,0.020671834625323,0.03254437869822485,0.043243243243243246,0.11280487804878049,0.09,-0.74,0.66,9.34,-8.42,-0.43,3.0,-54.0,62.0,2
0.1685823754789272,0.052770448548812667,0.06091370558375635,0.0380952380952381,0.03655913978494624,0.31,0.62,0.74,1.22,-4.33,-6.1,-5.0,-29.0,34.0,0.13385826771653545,0.025839793281653745,0.03550295857988166,0.05405405405405406,0.12195121951219512,0.09,-0.76,0.66,0.85,-3.97,0.73,2.0,-54.0,64.0,2
0.18773946360153257,0.052770448548812667,0.0583756345177665,0.04126984126984127,0.03870967741935484,0.27,0.59,0.73,1.59,-9.46,-1.16,-6.0,-28.0,36.0,0.13648293963254593,0.023255813953488372,0.04142011834319527,0.05405405405405406,0.13109756097560976,0.12,-0.75,0.69,1.22,-0.49,0.79,2.0,-56.0,63.0,2
0.19923371647509577,0.055408970976253295,0.05583756345177665,0.04126984126984127,0.03870967741935484,0.27,0.61,0.74,-0.49,-3.05,0.67,-12.0,-28.0,34.0,0.14435695538057744,0.028423772609819122,0.047337278106508875,0.062162162162162166,0.14329268292682926,0.07,-0.76,0.66,2.93,-2.26,-2.32,2.0,-52.0,61.0,2
0.21455938697318008,0.05804749340369393,0.05583756345177665,0.044444444444444446,0.04086021505376344,0.29,0.63,0.73,-0.12,-1.4,-0.92,-8.0,-27.0,34.0,0.15485564304461943,0.04392764857881137,0.05621301775147929,0.06756756756756757,0.14634146341463414,0.07,-0.78,0.67,13.49,11.96,0.31,4.0,-52.0,63.0,2
0.2413793103448276,0.06860158311345646,0.06091370558375635,0.050793650793650794,0.047311827956989246,0.28,0.59,0.73,-4.64,5.43,0.85,-7.0,-27.0,36.0,0.16535433070866143,0.09819121447028424,0.10059171597633136,0.0945945945945946,0.19817073170731708,0.07,-0.78,0.61,5.55,24.35,-2.75,4.0,-55.0,65.0,2
0.2222222222222222,0.079155672823219,0.09137055837563451,0.13968253968253969,0.08602150537634409,0.35,0.68,0.71,-24.72,35.16,2.38,-9.0,-30.0,34.0,0.19160104986876642,0.2351421188630491,0.23372781065088757,0.20540540540540542,0.4054878048780488,0.13,-0.73,0.66,-28.75,9.16,3.3,1.0,-53.0,60.0,2
0.2988505747126437,0.2559366754617414,0.21573604060913706,0.4253968253968254,0.2064516129032258,0.32,0.64,0.71,20.08,7.2,6.41,-5.0,-30.0,31.0,0.30708661417322836,0.42118863049095606,0.40532544378698226,0.35945945945945945,0.5792682926829268,0.11,-0.74,0.7,-46.45,3.42,8.0,7.0,-54.0,70.0,2
