Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Thumb2,Index2,Middle2,Ring2,Pinky2,AccelX2,AccelY2,AccelZ2,GyroX2,GyroY2,GyroZ2,MagX2,MagY2,MagZ2,Letter
0.22142857142857142,0.8238095238095238,0.7047146401985112,0.9938271604938271,0.8173913043478261,0.68,0.58,0.42,-22.46,-3.05,-5.68,-13.0,-30.0,33.0,-0.02147239263803681,0.24938875305623473,0.4192634560906516,0.5131578947368421,0.9344827586206896,0.03,-0.89,0.49,-9.52,-1.95,2.14,2.0,-54.0,55.0,13
0.22142857142857142,0.7761904761904762,0.6153846153846154,0.9979423868312757,0.6239130434782608,0.49,0.68,0.34,-33.75,-71.29,-36.8,-10.0,-31.0,30.0,0.09815950920245399,0.20293398533007334,0.3059490084985836,0.3631578947368421,0.6413793103448275,0.09,-0.89,0.49,14.65,20.69,-1.71,3.0,-52.0,56.0,13
0.14285714285714285,0.4452380952380952,0.3548387096774194,0.7592592592592593,0.3065217391304348,0.65,0.64,0.44,-23.74,18.13,-9.52,-8.0,-31.0,34.0,0.09202453987730061,0.1393643031784841,0.20396600566572237,0.2131578947368421,0.35517241379310344,0.05,-0.91,0.43,18.37,-0.12,3.05,1.0,-52.0,56.0,13
0.09285714285714286,0.18571428571428572,0.141439205955335,0.5082304526748971,0.14130434782608695,0.67,0.66,0.39,-26.0,24.66,10.01,-12.0,-31.0,24.0,0.09202453987730061,0.08557457212713937,0.1274787535410765,0.12105263157894737,0.1724137931034483,0.06,-0.95,0.41,24.23,3.17,-4.09,5.0,-51.0,57.0,13
0.02142857142857143,0.09761904761904762,0.05955334987593052,0.3786008230452675,0.03695652173913044,0.66,0.7,0.33,-45.84,-3.97,14.1,-7.0,-30.0,30.0,0.03374233128834356,0.03667481662591687,0.08781869688385269,0.060526315789473685,0.1,0.05,-0.95,0.38,29.42,-15.32,-9.95,2.0,-53.0,52.0,13
-0.014285714285714285,0.09285714285714286,0.05459057071960298,0.36419753086419754,0.02391304347826087,0.63,0.68,0.27,-1.1,5.8,1.1,-3.0,-29.0,29.0,0.03067484662576687,0.029339853300733496,0.056657223796033995,0.039473684210526314,0.06896551724137931,0.08,-0.94,0.34,13.0,-12.15,0.55,1.0,-53.0,53.0,13
-0.017857142857142856,0.09047619047619047,0.05459057071960298,0.360082304526749,0.02608695652173913,0.59,0.71,0.27,-1.77,-0.85,0.67,-10.0,-30.0,34.0,0.015337423312883436,0.02689486552567237,0.036827195467422094,0.03684210526315789,0.06206896551724138,0.04,-0.97,0.32,10.99,-13.79,-0.49,1.0,-53.0,50.0,13
-0.02142857142857143,0.09047619047619047,0.05707196029776675,0.36419753086419754,0.02826086956521739,0.59,0.68,0.28,5.49,-2.81,0.37,-6.0,-30.0,32.0,0.02147239263803681,0.02444987775061125,0.031161473087818695,0.039473684210526314,0.0896551724137931,0.05,-0.95,0.3,4.33,-4.39,8.85,1.0,-53.0,50.0,13
-0.007142857142857143,0.0880952380952381,0.05707196029776675,0.2674897119341564,0.02826086956521739,0.6,0.67,0.28,0.31,-0.37,-3.85,-7.0,-31.0,28.0,0.03374233128834356,0.02444987775061125,0.031161473087818695,0.05,0.1103448275862069,0.1,-0.98,0.29,0.31,-4.7,6.84,1.0,-52.0,53.0,13
0.014285714285714285,0.08571428571428572,0.062034739454094295,0.3230452674897119,0.030434782608695653,0.63,0.71,0.28,-3.54,-5.8,-0.06,-6.0,-29.0,33.0,0.05214723926380368,0.029339853300733496,0.0339943342776204,0.05263157894736842,0.12413793103448276,0.09,-0.97,0.32,2.69,-7.63,3.72,0.0,-52.0,50.0,13
0.025,0.0880952380952381,0.06451612903225806,0.3765432098765432,0.03695652173913044,0.64,0.74,0.29,-6.84,-3.3,2.32,-8.0,-28.0,29.0,0.06748466257668712,0.029339853300733496,0.0453257790368272,0.060526315789473685,0.1413793103448276,0.07,-0.95,0.29,3.3,-1.53,2.38,0.0,-53.0,52.0,13
0.03571428571428571,0.09523809523809523,0.07444168734491315,0.38271604938271603,0.03695652173913044,0.63,0.75,0.28,-9.89,0.43,3.85,-9.0,-29.0,30.0,0.05828220858895705,0.04645476772616137,0.06232294617563739,0.06842105263157895,0.14482758620689656,0.04,-0.96,0.28,15.26,11.23,-5.0,3.0,-56.0,48.0,13
0.039285714285714285,0.10714285714285714,0.08188585607940446,0.3868312757201646,0.03695652173913044,0.62,0.7,0.26,-9.22,5.37,2.14,-5.0,-32.0,33.0,0.0736196319018405,0.07823960880195599,0.11331444759206799,0.09473684210526316,0.22758620689655173,0.09,-1.01,0.28,5.07,33.81,-5.92,0.0,-52.0,52.0,13
-0.0035714285714285713,0.12857142857142856,0.0967741935483871,0.4074074074074074,0.043478260869565216,0.6,0.7,0.24,-5.25,-6.1,-6.96,-8.0,-30.0,29.0,0.10736196319018405,0.1491442542787286,0.21813031161473087,0.21052631578947367,0.46206896551724136,0.13,-1.07,0.28,-44.13,-0.18,7.57,3.0,-53.0,52.0,13
0.08214285714285714,0.17142857142857143,0.15384615384615385,0.48148148148148145,0.0891304347826087,0.63,0.73,0.25,-8.79,1.53,1.89,-5.0,-32.0,33.0,0.27607361963190186,0.3691931540342298,0.41076487252124644,0.46842105263157896,0.5482758620689655,0.12,-0.87,0.43,-100.46,-53.04,31.56,0.0,-56.0,51.0,13
