Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Thumb2,Index2,Middle2,Ring2,Pinky2,AccelX2,AccelY2,AccelZ2,GyroX2,GyroY2,GyroZ2,MagX2,MagY2,MagZ2,Letter
0.9963898916967509,0.995049504950495,0.9975247524752475,0.9970149253731343,0.9978540772532188,0.33,0.64,0.69,-2.99,-1.89,0.43,-7.0,-28.0,27.0,1.0052631578947369,0.9972451790633609,0.9969879518072289,0.9911764705882353,0.9880952380952381,0.2,-0.68,0.74,2.99,-0.98,-2.99,5.0,-59.0,61.0,19
0.9963898916967509,0.995049504950495,0.9925742574257426,0.9940298507462687,0.9957081545064378,0.37,0.64,0.69,-1.89,0.92,-1.83,-10.0,-29.0,23.0,1.013157894736842,0.9944903581267218,0.9939759036144579,0.9941176470588236,0.996031746031746,0.17,-0.7,0.7,8.97,-0.49,-7.81,5.0,-58.0,64.0,19
1.0,0.9925742574257426,0.995049504950495,0.9880597014925373,1.002145922746781,0.35,0.64,0.68,0.12,0.79,0.55,-13.0,-30.0,30.0,1.018421052631579,0.9972451790633609,0.9969879518072289,0.9941176470588236,0.9880952380952381,0.15,-0.7,0.7,1.53,6.47,1.04,5.0,-59.0,61.0,19
0.9927797833935018,0.9975247524752475,0.995049504950495,0.9970149253731343,0.9978540772532188,0.34,0.63,0.7,-3.3,-0.31,0.73,-10.0,-28.0,26.0,0.9921052631578947,1.0,0.9939759036144579,1.0,0.996031746031746,0.17,-0.71,0.75,29.48,-11.72,-4.39,4.0,-56.0,61.0,19
0.9963898916967509,0.995049504950495,0.9925742574257426,0.9970149253731343,0.9957081545064378,0.35,0.63,0.66,-10.86,2.5,-1.59,-6.0,-28.0,30.0,0.8473684210526315,0.9944903581267218,0.9909638554216867,0.9970588235294118,1.0,0.08,-0.66,0.59,18.55,-11.23,6.16,4.0,-59.0,55.0,19
0.9963898916967509,0.9975247524752475,0.995049504950495,0.9970149253731343,0.9935622317596566,0.35,0.68,0.64,-29.72,-10.62,-4.88,-9.0,-31.0,28.0,0.8842105263157894,1.0,0.9939759036144579,0.9911764705882353,0.9920634920634921,0.21,-0.76,0.67,7.69,15.93,27.28,4.0,-60.0,59.0,19
0.9927797833935018,0.9975247524752475,0.9975247524752475,0.9940298507462687,0.9978540772532188,0.41,0.65,0.71,-22.16,-28.87,-8.36,-8.0,-32.0,26.0,0.8947368421052632,1.0,0.9969879518072289,0.9941176470588236,0.996031746031746,0.15,-0.69,0.66,-22.64,-25.57,72.63,2.0,-60.0,57.0,19
0.9927797833935018,0.9925742574257426,0.9876237623762376,0.9970149253731343,0.9978540772532188,0.28,0.66,0.64,-44.92,-34.42,-22.89,-6.0,-27.0,27.0,0.6973684210526315,1.0,0.9939759036144579,1.0,0.9920634920634921,0.3,-0.69,0.72,-5.25,-5.43,11.96,4.0,-60.0,56.0,19
0.9963898916967509,0.9900990099009901,0.9504950495049505,0.991044776119403,0.8905579399141631,0.33,0.76,0.53,-28.81,-17.76,-12.63,-6.0,-26.0,33.0,0.8394736842105263,0.9944903581267218,0.9397590361445783,0.9970588235294118,0.9880952380952381,0.31,-0.69,0.71,1.59,3.72,-4.21,0.0,-63.0,62.0,19
0.9927797833935018,0.9925742574257426,0.9381188118811881,0.9940298507462687,0.8476394849785408,0.3,0.74,0.59,-3.42,-3.48,-1.46,-4.0,-27.0,30.0,0.868421052631579,0.9944903581267218,0.6566265060240963,0.8647058823529412,0.9920634920634921,0.19,-0.67,0.68,-7.81,-5.68,3.17,-1.0,-59.0,59.0,19
0.9927797833935018,0.9925742574257426,0.900990099009901,0.9970149253731343,0.7875536480686696,0.31,0.77,0.58,-30.64,-18.62,3.6,-5.0,-26.0,34.0,0.8263157894736842,0.9972451790633609,0.4759036144578313,0.6411764705882353,0.9920634920634921,0.2,-0.67,0.72,-7.39,-16.85,19.84,-1.0,-60.0,61.0,19
