Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Thumb2,Index2,Middle2,Ring2,Pinky2,AccelX2,AccelY2,AccelZ2,GyroX2,GyroY2,GyroZ2,MagX2,MagY2,MagZ2,Letter
0.0,0.03234501347708895,0.021108179419525065,0.04472843450479233,0.02522935779816514,0.26,0.84,0.49,6.77,-12.76,-3.3,-4.0,-24.0,37.0,0.08759124087591241,0.013262599469496022,0.009900990099009901,0.021671826625386997,0.12156862745098039,0.18,-0.77,0.62,-3.78,-1.1,7.81,-4.0,-62.0,52.0,20
0.0037735849056603774,0.03773584905660377,0.026385224274406333,0.051118210862619806,0.02981651376146789,0.24,0.83,0.51,5.13,-12.94,-4.52,-3.0,-24.0,39.0,0.09124087591240876,0.021220159151193633,0.0231023102310231,0.02476780185758514,0.1411764705882353,0.17,-0.79,0.63,-3.6,-3.36,6.9,-5.0,-64.0,53.0,20
0.022641509433962263,0.04043126684636118,0.03430079155672823,0.054313099041533544,0.03211009174311927,0.24,0.79,0.53,10.13,-8.73,3.36,-4.0,-24.0,37.0,0.09854014598540146,0.026525198938992044,0.033003300330033,0.034055727554179564,0.1450980392156863,0.2,-0.78,0.65,0.37,2.08,7.45,-4.0,-64.0,50.0,20
0.03018867924528302,0.0431266846361186,0.029023746701846966,0.05750798722044728,0.03211009174311927,0.22,0.8,0.55,8.91,-9.34,2.5,1.0,-25.0,37.0,0.10218978102189781,0.029177718832891247,0.033003300330033,0.043343653250773995,0.15294117647058825,0.18,-0.79,0.6,0.98,-2.2,2.08,-2.0,-63.0,49.0,20
0.04150943396226415,0.04043126684636118,0.03430079155672823,0.06389776357827476,0.03669724770642202,0.21,0.78,0.58,5.31,-6.29,-0.67,1.0,-23.0,37.0,0.10583941605839416,0.03183023872679045,0.039603960396039604,0.04024767801857585,0.1607843137254902,0.17,-0.76,0.64,0.79,-3.85,0.55,-1.0,-62.0,50.0,20
0.04150943396226415,0.04043126684636118,0.036939313984168866,0.0670926517571885,0.034403669724770644,0.22,0.79,0.58,0.18,-0.24,-0.79,-4.0,-23.0,33.0,0.10583941605839416,0.029177718832891247,0.0462046204620462,0.04643962848297214,0.1607843137254902,0.2,-0.77,0.62,2.69,1.34,2.01,-4.0,-65.0,49.0,20
0.045283018867924525,0.03773584905660377,0.036939313984168866,0.07028753993610223,0.034403669724770644,0.22,0.79,0.57,-4.46,3.48,0.92,-2.0,-25.0,35.0,0.10218978102189781,0.034482758620689655,0.0462046204620462,0.04643962848297214,0.16470588235294117,0.2,-0.77,0.62,-0.37,1.04,1.89,-2.0,-66.0,51.0,20
0.04905660377358491,0.0431266846361186,0.0395778364116095,0.0670926517571885,0.034403669724770644,0.22,0.8,0.55,-4.82,5.92,0.43,-1.0,-26.0,35.0,0.10948905109489052,0.03183023872679045,0.0462046204620462,0.05263157894736842,0.16862745098039217,0.18,-0.76,0.61,-5.13,-1.16,1.1,-4.0,-65.0,50.0,20
0.045283018867924525,0.04043126684636118,0.0395778364116095,0.07348242811501597,0.034403669724770644,0.22,0.81,0.53,-5.8,2.56,1.95,0.0,-26.0,37.0,0.10948905109489052,0.03713527851458886,0.04950495049504951,0.04643962848297214,0.1607843137254902,0.24,-0.77,0.67,-3.17,2.44,4.27,-5.0,-62.0,54.0,20
0.04150943396226415,0.04043126684636118,0.0395778364116095,0.07348242811501597,0.034403669724770644,0.23,0.8,0.51,-2.2,-1.53,6.71,-3.0,-25.0,36.0,0.12043795620437957,0.03978779840848806,0.052805280528052806,0.05263157894736842,0.17254901960784313,0.25,-0.81,0.62,2.14,-1.1,-12.88,-5.0,-65.0,54.0,20
