Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Thumb2,Index2,Middle2,Ring2,Pinky2,AccelX2,AccelY2,AccelZ2,GyroX2,GyroY2,GyroZ2,MagX2,MagY2,MagZ2,Letter
0.934931506849315,0.9948717948717949,0.28169014084507044,0.2792452830188679,0.39568345323741005,0.13,0.82,0.56,25.51,-12.39,15.32,-4.0,-11.0,44.0,0.9430051813471503,0.9976133651551312,0.13861386138613863,0.29931972789115646,0.19653179190751446,0.12,-0.69,0.76,-2.87,-3.72,1.95,-1.0,-58.0,54.0,23
0.9486301369863014,1.0,0.20422535211267606,0.21132075471698114,0.3597122302158273,0.16,0.76,0.56,4.82,7.63,4.88,-6.0,-10.0,42.0,0.9326424870466321,0.9976133651551312,0.12871287128712872,0.2925170068027211,0.1907514450867052,0.12,-0.68,0.72,-8.24,-3.36,6.04,0.0,-59.0,58.0,23
0.8938356164383562,0.9923076923076923,0.176056338028169,0.2,0.34532374100719426,0.18,0.77,0.59,6.71,-11.17,-5.19,-6.0,-11.0,40.0,0.9430051813471503,0.9976133651551312,0.13861386138613863,0.30612244897959184,0.2023121387283237,0.16,-0.69,0.75,0.31,-1.4,5.74,-2.0,-61.0,57.0,23
0.8801369863013698,0.9974358974358974,0.1267605633802817,0.18490566037735848,0.30935251798561153,0.23,0.75,0.64,-5.55,-19.35,-1.1,-8.0,-11.0,36.0,0.9585492227979274,0.9928400954653938,0.13861386138613863,0.29931972789115646,0.1907514450867052,0.16,-0.62,0.78,-7.26,0.61,3.48,-1.0,-60.0,54.0,23
0.7705479452054794,0.9948717948717949,0.056338028169014086,0.17735849056603772,0.2805755395683453,0.2,0.78,0.59,2.2,-10.62,-11.78,-3.0,-11.0,37.0,0.9844559585492227,0.9976133651551312,0.12871287128712872,0.2789115646258503,0.16184971098265896,0.17,-0.66,0.76,-3.78,0.79,-2.44,-2.0,-60.0,60.0,23
0.5821917808219178,1.0,0.02112676056338028,0.17735849056603772,0.2589928057553957,0.19,0.75,0.59,-11.11,-18.13,-8.12,-7.0,-10.0,43.0,1.0103626943005182,0.9952267303102625,0.13861386138613863,0.272108843537415,0.15606936416184972,0.1,-0.67,0.74,-0.31,0.43,-3.23,0.0,-60.0,56.0,23
0.5513698630136986,1.0,-0.007042253521126761,0.17735849056603772,0.2517985611510791,0.16,0.72,0.61,3.72,3.05,-13.55,-4.0,-6.0,43.0,1.0362694300518134,1.0,0.1485148514851485,0.2925170068027211,0.16184971098265896,0.13,-0.65,0.77,0.79,-1.34,1.59,0.0,-61.0,55.0,23
0.541095890410959,1.0,-0.014084507042253521,0.17735849056603772,0.2446043165467626,0.22,0.75,0.61,4.58,23.8,-8.18,-6.0,-12.0,42.0,1.0259067357512954,0.9952267303102625,0.1485148514851485,0.2789115646258503,0.17341040462427745,0.15,-0.65,0.74,3.97,0.73,0.12,-3.0,-60.0,52.0,23
0.523972602739726,0.9948717948717949,0.02112676056338028,0.18490566037735848,0.2589928057553957,0.2,0.75,0.59,-5.8,2.93,-4.21,-5.0,-8.0,38.0,0.9585492227979274,0.9952267303102625,0.16831683168316833,0.2925170068027211,0.17341040462427745,0.14,-0.67,0.75,0.06,1.77,-3.78,-3.0,-59.0,55.0,23
0.4931506849315068,1.0,0.04225352112676056,0.19245283018867926,0.28776978417266186,0.21,0.77,0.59,-0.85,-15.32,-3.72,-5.0,-11.0,38.0,0.9481865284974094,0.9928400954653938,0.16831683168316833,0.2925170068027211,0.17341040462427745,0.14,-0.63,0.76,-7.08,4.21,-0.92,-1.0,-60.0,55.0,23
0.4726027397260274,0.9948717948717949,0.04225352112676056,0.20754716981132076,0.28776978417266186,0.2,0.74,0.63,14.65,-25.82,-0.61,-4.0,-9.0,40.0,0.9689119170984456,0.9976133651551312,0.13861386138613863,0.29931972789115646,0.17341040462427745,0.13,-0.64,0.79,0.24,-1.34,1.83,0.0,-59.0,59.0,23
0.5513698630136986,1.0025641025641026,0.06338028169014084,0.21509433962264152,0.302158273381295,0.16,0.73,0.64,15.32,8.48,0.06,-7.0,-8.0,42.0,0.9689119170984456,0.9952267303102625,0.1485148514851485,0.2857142857142857,0.1791907514450867,0.17,-0.65,0.74,0.92,1.22,-1.16,0.0,-61.0,57.0,23
0.6267123287671232,0.9948717948717949,0.04929577464788732,0.21132075471698114,0.2949640287769784,0.21,0.73,0.63,3.17,16.17,3.17,-6.0,-6.0,42.0,0.9533678756476683,0.9976133651551312,0.1485148514851485,0.29931972789115646,0.17341040462427745,0.16,-0.64,0.76,-1.53,3.11,-0.55,-1.0,-60.0,57.0,23
0.6061643835616438,0.9948717948717949,0.028169014084507043,0.21509433962264152,0.2949640287769784,0.21,0.72,0.63,-4.52,-1.16,-0.43,-10.0,-10.0,40.0,0.9015544041450777,0.9976133651551312,0.1485148514851485,0.29931972789115646,0.1791907514450867,0.14,-0.65,0.76,3.85,2.69,-7.93,-2.0,-59.0,59.0,23
0.5582191780821918,1.0,0.014084507042253521,0.2037735849056604,0.28776978417266186,0.22,0.74,0.63,-0.67,5.25,-1.22,-4.0,-9.0,41.0,0.8808290155440415,0.9928400954653938,0.15841584158415842,0.29931972789115646,0.18497109826589594,0.12,-0.65,0.76,10.07,2.26,-7.2,-1.0,-57.0,59.0,23
0.589041095890411,1.0,0.014084507042253521,0.21132075471698114,0.28776978417266186,0.21,0.71,0.62,3.91,2.38,4.64,-2.0,-9.0,42.0,0.8704663212435233,1.0,0.15841584158415842,0.2925170068027211,0.17341040462427745,0.1,-0.68,0.72,10.19,-2.01,-0.24,0.0,-59.0,56.0,23
0.6232876712328768,0.9974358974358974,0.014084507042253521,0.21509433962264152,0.28776978417266186,0.21,0.73,0.65,1.04,1.71,-2.08,-5.0,-9.0,42.0,0.772020725388601,0.9952267303102625,0.12871287128712872,0.24489795918367346,0.10982658959537572,0.17,-0.71,0.75,13.18,-2.26,-12.51,0.0,-57.0,55.0,23
0.6061643835616438,0.9974358974358974,0.014084507042253521,0.21132075471698114,0.2949640287769784,0.23,0.74,0.64,-7.14,4.03,-5.49,-5.0,-10.0,39.0,0.9326424870466321,0.9952267303102625,0.0,0.1836734693877551,0.08092485549132948,0.1,-0.72,0.75,5.49,-4.76,-3.05,0.0,-57.0,53.0,23
0.5034246575342466,0.9948717948717949,0.0,0.19245283018867926,0.28776978417266186,0.32,0.73,0.64,-5.86,-0.85,-8.06,-8.0,-10.0,41.0,0.9015544041450777,0.9952267303102625,-0.0297029702970297,0.14285714285714285,0.09826589595375723,0.12,-0.71,0.72,6.77,4.39,2.14,0.0,-59.0,57.0,23
0.4657534246575342,1.0,0.0,0.1811320754716981,0.28776978417266186,0.19,0.75,0.6,-11.05,-21.0,-12.08,-8.0,-5.0,38.0,0.8186528497409327,0.9952267303102625,0.009900990099009901,0.16326530612244897,0.12138728323699421,0.17,-0.72,0.68,2.69,-5.49,4.21,0.0,-60.0,54.0,23
0.410958904109589,0.9974358974358974,0.02112676056338028,0.18867924528301888,0.2949640287769784,0.21,0.77,0.63,-2.69,-8.54,-5.98,-5.0,-7.0,44.0,0.8341968911917098,0.9976133651551312,0.0297029702970297,0.1836734693877551,0.11560693641618497,0.11,-0.7,0.72,0.85,-1.77,3.23,-1.0,-60.0,49.0,23
0.386986301369863,0.9948717948717949,0.02112676056338028,0.2,0.30935251798561153,0.21,0.77,0.6,0.12,-16.24,-5.19,-3.0,-5.0,41.0,0.9015544041450777,0.9904534606205251,0.0594059405940594,0.20408163265306123,0.15028901734104047,0.02,-0.69,0.75,-6.41,19.04,4.46,0.0,-61.0,52.0,23
0.3835616438356164,0.9923076923076923,0.04225352112676056,0.21509433962264152,0.31654676258992803,0.16,0.77,0.59,4.33,6.16,-1.89,-6.0,-5.0,39.0,0.844559585492228,0.9976133651551312,0.039603960396039604,0.22448979591836735,0.1676300578034682,0.08,-0.7,0.69,-17.27,-9.64,5.86,-1.0,-60.0,54.0,23
0.3664383561643836,0.9974358974358974,0.07746478873239436,0.22641509433962265,0.3237410071942446,0.22,0.76,0.67,6.96,34.18,1.1,-5.0,-6.0,44.0,0.8756476683937824,0.9976133651551312,0.009900990099009901,0.23809523809523808,0.18497109826589594,0.07,-0.64,0.69,-22.28,-11.05,12.57,-2.0,-60.0,59.0,23
