Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Thumb2,Index2,Middle2,Ring2,Pinky2,AccelX2,AccelY2,AccelZ2,GyroX2,GyroY2,GyroZ2,MagX2,MagY2,MagZ2,Letter
0.95,0.0382022471910112,0.0645879732739421,0.088235294117647,0.0405797101449275,-0.37,0.52,0.77,16.66,-13.12,4.33,-16.0,13.0,79.0,0.1351351351351351,0.0117647058823529,0.2336182336182336,0.0683060109289617,0.1214574898785425,-0.11,-0.4,0.94,-7.02,-1.34,1.77,24.0,-49.0,102.0,12
0.875,0.0337078651685393,0.0623608017817371,0.0748663101604278,0.0405797101449275,-0.38,0.51,0.75,10.01,-8.3,3.11,-16.0,13.0,76.0,0.1216216216216216,0.0141176470588235,0.2393162393162393,0.0765027322404371,0.1376518218623481,-0.1,-0.42,0.93,-0.43,-2.2,4.33,26.0,-48.0,109.0,12
0.825,0.0359550561797752,0.0645879732739421,0.0935828877005347,0.0521739130434782,-0.4,0.5,0.76,7.57,-6.59,0.24,-19.0,14.0,81.0,0.1261261261261261,0.0117647058823529,0.2279202279202279,0.0737704918032786,0.145748987854251,-0.1,-0.4,0.92,-2.08,-1.22,3.48,25.0,-47.0,104.0,12
0.85,0.0449438202247191,0.0645879732739421,0.0962566844919786,0.0608695652173913,-0.39,0.48,0.76,3.11,-4.39,2.32,-19.0,16.0,75.0,0.1621621621621621,0.0235294117647058,0.2165242165242165,0.0737704918032786,0.1538461538461538,-0.1,-0.4,0.95,-2.56,0.43,-2.69,25.0,-44.0,109.0,12
0.825,0.0516853932584269,0.0645879732739421,0.1016042780748663,0.0637681159420289,-0.41,0.47,0.75,0.98,-4.03,4.21,-20.0,19.0,73.0,0.1801801801801801,0.0329411764705882,0.2108262108262108,0.0765027322404371,0.1619433198380566,-0.1,-0.38,0.92,-1.83,0.37,-2.75,28.0,-46.0,109.0,12
0.9,0.0516853932584269,0.066815144766147,0.1096256684491978,0.0695652173913043,-0.42,0.48,0.77,-0.85,-0.31,1.95,-20.0,15.0,72.0,0.1891891891891892,0.0329411764705882,0.2165242165242165,0.0792349726775956,0.1700404858299595,-0.09,-0.39,0.94,6.23,3.85,-4.88,27.0,-48.0,109.0,12
0.95,0.0561797752808988,0.0690423162583518,0.1122994652406417,0.072463768115942,-0.42,0.48,0.75,-1.22,-0.92,1.16,-20.0,18.0,75.0,0.1891891891891892,0.04,0.2108262108262108,0.0792349726775956,0.1659919028340081,-0.1,-0.4,0.92,3.6,0.0,-0.79,25.0,-44.0,107.0,12
0.95,0.0561797752808988,0.0734966592427616,0.088235294117647,0.0782608695652174,-0.42,0.49,0.76,-1.65,0.18,-0.12,-19.0,18.0,77.0,0.1936936936936936,0.0423529411764705,0.2051282051282051,0.081967213114754,0.1821862348178137,-0.12,-0.38,0.94,2.5,1.77,-2.87,28.0,-47.0,109.0,12
0.925,0.0629213483146067,0.0757238307349666,0.1149732620320855,0.0898550724637681,-0.43,0.49,0.77,-5.0,0.06,1.28,-22.0,15.0,75.0,0.1936936936936936,0.04,0.2051282051282051,0.0901639344262295,0.1902834008097166,-0.11,-0.39,0.92,5.37,1.4,0.24,27.0,-48.0,103.0,12
0.925,0.0651685393258427,0.0779510022271715,0.0962566844919786,0.0927536231884058,-0.43,0.48,0.74,-3.97,0.61,2.93,-21.0,16.0,73.0,0.1981981981981982,0.0447058823529411,0.2108262108262108,0.0928961748633879,0.2105263157894736,-0.1,-0.41,0.92,11.84,1.04,-0.73,24.0,-46.0,107.0,12
0.975,0.0674157303370786,0.0824053452115812,0.0989304812834224,0.0869565217391304,-0.43,0.49,0.74,-4.46,2.56,-2.01,-21.0,16.0,72.0,0.2207207207207207,0.0517647058823529,0.225071225071225,0.0956284153005464,0.2186234817813765,-0.09,-0.35,0.9,7.2,5.8,-6.04,26.0,-46.0,105.0,12
0.975,0.0696629213483146,0.086859688195991,0.1310160427807486,0.0869565217391304,-0.4,0.43,0.72,-12.88,6.1,-5.92,-17.0,14.0,74.0,0.3738738738738739,0.068235294117647,0.2051282051282051,0.1174863387978142,0.1902834008097166,-0.12,-0.4,0.91,41.2,9.03,-5.13,26.0,-47.0,107.0,12
0.975,0.1235955056179775,0.0957683741648107,0.1470588235294117,0.136231884057971,-0.38,0.57,0.78,-28.38,34.12,-21.36,-14.0,11.0,77.0,0.5225225225225225,0.2447058823529412,0.452991452991453,0.2622950819672131,0.6153846153846154,-0.15,-0.48,0.83,11.6,15.08,-19.17,23.0,-49.0,111.0,12
0.95,0.3865168539325843,0.2071269487750557,0.2085561497326203,0.2927536231884058,-0.32,0.65,0.65,-15.69,3.3,-20.02,-14.0,12.0,75.0,0.5945945945945946,0.5811764705882353,0.9572649572649572,0.4726775956284153,0.9959514170040484,-0.12,-0.45,0.87,-29.42,2.32,-16.66,25.0,-46.0,112.0,12
1.0,0.8,0.5077951002227171,0.679144385026738,0.6,-0.32,0.61,0.76,32.1,-5.68,-5.0,-17.0,12.0,79.0,0.6441441441441441,0.908235294117647,0.9914529914529916,0.9754098360655736,0.9838056680161944,-0.12,-0.41,0.93,-31.43,3.11,-15.99,28.0,-49.0,110.0,12
0.925,0.997752808988764,0.930957683741648,0.997326203208556,0.7971014492753623,-0.33,0.51,0.78,60.61,-31.56,25.27,-22.0,13.0,79.0,0.6846846846846847,0.9976470588235294,0.9971509971509972,1.0,0.9919028340080972,-0.13,-0.36,0.9,-28.81,2.01,-8.0,31.0,-47.0,111.0,12
1.0,0.995505617977528,0.9977728285077953,0.997326203208556,0.927536231884058,-0.47,0.4,0.76,82.58,-29.79,33.94,-30.0,17.0,72.0,0.7387387387387387,1.0,0.9971509971509972,1.0,0.9959514170040484,-0.15,-0.26,0.93,-61.22,-5.25,3.85,41.0,-47.0,110.0,12
0.95,0.991011235955056,0.9933184855233852,0.997326203208556,0.9652173913043478,-0.52,0.31,0.82,55.79,-8.54,28.75,-36.0,17.0,69.0,0.7927927927927928,0.9952941176470588,0.9971509971509972,0.9972677595628416,0.9959514170040484,-0.13,-0.13,0.98,-82.76,10.74,-5.07,43.0,-46.0,102.0,12
0.95,0.991011235955056,0.9933184855233852,1.0,0.9681159420289857,-0.52,0.23,0.83,28.32,-14.1,27.65,-39.0,17.0,66.0,0.8378378378378378,0.9952941176470588,0.9943019943019944,0.9972677595628416,0.9919028340080972,-0.11,0.06,1.03,-41.87,1.4,-12.45,52.0,-43.0,98.0,12
0.95,1.0,0.9955456570155902,1.0,0.9623188405797102,-0.54,0.18,0.79,19.78,-3.48,26.67,-43.0,17.0,69.0,0.8513513513513513,1.002352941176471,0.9943019943019944,1.0,0.9919028340080972,-0.14,0.03,1.0,1.53,0.24,-2.32,54.0,-42.0,98.0,12
0.95,0.995505617977528,0.9955456570155902,1.0,0.9623188405797102,-0.55,0.12,0.8,5.37,0.85,16.54,-45.0,14.0,69.0,0.8603603603603603,0.9976470588235294,0.9971509971509972,0.994535519125683,0.9959514170040484,-0.14,0.01,1.01,5.98,-0.37,1.1,51.0,-44.0,102.0,12
0.975,0.995505617977528,0.9977728285077953,0.997326203208556,0.9623188405797102,-0.52,0.14,0.84,-5.07,6.59,-3.42,-48.0,13.0,69.0,0.8558558558558559,0.9976470588235294,0.9971509971509972,0.9972677595628416,0.9959514170040484,-0.15,-0.0,0.99,0.43,1.65,-0.85,50.0,-42.0,101.0,12
0.925,0.997752808988764,0.9955456570155902,0.9946524064171124,0.9681159420289857,-0.5,0.16,0.83,-2.01,6.1,-0.06,-44.0,12.0,68.0,0.8738738738738738,0.9976470588235294,0.9971509971509972,1.0,1.0,-0.12,0.02,0.98,-0.67,-0.37,-0.73,52.0,-41.0,104.0,12
0.95,0.995505617977528,0.9977728285077953,0.997326203208556,0.9652173913043478,-0.53,0.15,0.83,0.18,-0.24,1.34,-43.0,12.0,69.0,0.8693693693693694,1.0,0.9943019943019944,0.9972677595628416,0.9959514170040484,-0.14,0.02,0.99,-0.85,0.55,-1.04,53.0,-45.0,99.0,12
0.95,0.997752808988764,0.9955456570155902,1.0,0.9652173913043478,-0.52,0.15,0.84,-1.34,-0.61,-2.26,-48.0,13.0,73.0,0.8693693693693694,1.0,0.9943019943019944,0.9972677595628416,0.9959514170040484,-0.14,0.01,0.99,0.98,-0.92,0.73,51.0,-43.0,99.0,12
0.95,0.9932584269662922,0.9977728285077953,0.997326203208556,0.9043478260869564,-0.52,0.14,0.84,0.61,-0.43,-1.71,-46.0,14.0,70.0,0.8783783783783784,0.9976470588235294,0.9971509971509972,0.9972677595628416,0.9919028340080972,-0.14,0.03,0.99,-6.47,-1.65,0.06,54.0,-42.0,97.0,12
0.975,0.991011235955056,0.9933184855233852,1.002673796791444,0.9072463768115944,-0.5,0.17,0.83,-2.81,0.92,-1.95,-44.0,14.0,68.0,0.8783783783783784,1.002352941176471,0.9943019943019944,1.0,0.9959514170040484,-0.14,0.03,0.99,1.95,1.1,-1.28,52.0,-44.0,97.0,12
0.85,0.995505617977528,0.9977728285077953,1.0,0.9072463768115944,-0.52,0.16,0.84,0.31,1.89,0.24,-45.0,11.0,70.0,0.8738738738738738,0.9976470588235294,0.9943019943019944,1.0,0.9959514170040484,-0.14,0.03,1.0,-0.79,0.06,0.85,53.0,-42.0,100.0,12
0.975,0.997752808988764,0.9955456570155902,1.002673796791444,0.9072463768115944,-0.51,0.16,0.83,0.61,-0.12,0.18,-47.0,16.0,71.0,0.8783783783783784,1.002352941176471,0.9914529914529916,0.9972677595628416,1.0,-0.14,0.04,0.99,0.55,-0.12,0.55,54.0,-43.0,102.0,12
0.95,0.9932584269662922,0.9977728285077953,0.9946524064171124,0.9130434782608696,-0.52,0.17,0.83,-2.2,0.43,-3.17,-42.0,12.0,70.0,0.8828828828828829,1.0,0.9943019943019944,1.0,0.9959514170040484,-0.14,0.02,1.0,1.65,-0.49,0.79,54.0,-43.0,98.0,12
0.95,0.995505617977528,0.9955456570155902,0.9919786096256684,0.9130434782608696,-0.51,0.17,0.83,1.34,2.2,-0.61,-42.0,13.0,68.0,0.8783783783783784,1.0,0.9971509971509972,1.0,0.9919028340080972,-0.15,0.02,0.99,-0.12,-0.73,0.67,52.0,-42.0,97.0,12
0.975,0.997752808988764,0.9933184855233852,1.0,0.9130434782608696,-0.52,0.16,0.83,-2.62,1.53,-2.69,-44.0,11.0,67.0,0.8828828828828829,0.9952941176470588,0.9914529914529916,0.994535519125683,0.9959514170040484,-0.14,0.02,0.99,4.94,-0.24,1.71,52.0,-41.0,102.0,12
0.975,0.995505617977528,0.9977728285077953,0.997326203208556,0.9159420289855073,-0.51,0.17,0.83,-2.81,0.85,-4.64,-44.0,12.0,71.0,0.8873873873873874,1.0,0.9943019943019944,0.9972677595628416,1.0,-0.14,0.0,1.0,0.55,0.92,1.1,52.0,-41.0,102.0,12
0.95,0.995505617977528,0.9955456570155902,1.0,0.9130434782608696,-0.52,0.16,0.83,-2.32,0.98,-2.99,-40.0,11.0,70.0,0.8873873873873874,0.9976470588235294,0.9914529914529916,1.0,1.0,-0.17,0.01,1.0,2.87,2.93,5.37,51.0,-43.0,107.0,12
0.95,0.995505617977528,0.9955456570155902,1.0,0.9188405797101448,-0.5,0.19,0.83,-5.62,-1.59,-6.53,-43.0,14.0,66.0,0.8738738738738738,1.0,0.9943019943019944,1.0,0.9959514170040484,-0.14,0.03,0.99,8.67,4.88,11.9,48.0,-44.0,101.0,12
0.95,0.9932584269662922,0.9955456570155902,0.997326203208556,0.9188405797101448,-0.53,0.19,0.84,-18.74,0.67,-22.4,-42.0,12.0,66.0,0.8468468468468469,0.9976470588235294,0.9886039886039886,1.0,0.9959514170040484,-0.12,-0.04,0.97,36.56,-3.42,33.75,47.0,-47.0,97.0,12
0.95,0.991011235955056,0.9955456570155902,1.0,0.9507246376811594,-0.51,0.31,0.87,-42.48,-76.72,-53.71,-33.0,22.0,66.0,0.7522522522522522,0.9952941176470588,0.9857549857549858,1.0,0.9959514170040484,-0.14,-0.08,0.97,40.95,-8.85,33.26,40.0,-46.0,102.0,12
0.95,0.995505617977528,0.9955456570155902,0.997326203208556,1.0115942028985507,-0.65,0.46,0.63,-53.71,-93.26,-77.51,-24.0,35.0,59.0,0.6036036036036037,0.9976470588235294,0.9971509971509972,0.9972677595628416,1.0040485829959511,-0.19,-0.15,0.99,58.04,-4.21,42.18,37.0,-49.0,106.0,12
0.95,0.997752808988764,0.9955456570155902,1.0,1.1188405797101448,-0.55,0.63,0.6,-28.63,-103.64,-91.98,-15.0,44.0,52.0,0.3828828828828828,0.9952941176470588,0.9943019943019944,0.9972677595628416,0.9959514170040484,-0.13,-0.33,0.9,8.06,4.03,9.83,30.0,-50.0,103.0,12
