Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Thumb2,Index2,Middle2,Ring2,Pinky2,AccelX2,AccelY2,AccelZ2,GyroX2,GyroY2,GyroZ2,MagX2,MagY2,MagZ2,Letter
0.12457912457912458,0.08314606741573034,0.08843537414965986,0.13675213675213677,0.4841628959276018,0.38,0.94,-0.03,-15.56,17.64,-8.67,34.0,1.0,21.0,0.16109422492401215,0.10044642857142858,0.16049382716049382,0.0663265306122449,0.0,-0.0,-1.01,0.28,10.74,-2.75,2.87,-10.0,-86.0,78.0,16
0.12121212121212122,0.07191011235955057,0.07482993197278912,0.042735042735042736,0.19004524886877827,0.41,0.91,-0.12,12.88,18.49,-6.96,36.0,-3.0,16.0,0.1580547112462006,0.09375,0.145679012345679,0.05612244897959184,0.010169491525423728,0.01,-0.95,0.2,-5.07,-2.26,4.33,-9.0,-84.0,80.0,16
0.15488215488215487,0.07191011235955057,0.07256235827664399,0.02849002849002849,0.02262443438914027,0.34,0.97,-0.14,1.16,-10.31,-5.25,38.0,-1.0,19.0,0.1641337386018237,0.09598214285714286,0.17530864197530865,0.05357142857142857,0.03389830508474576,0.02,-0.96,0.24,-4.39,3.3,6.71,-8.0,-89.0,76.0,16
0.18181818181818182,0.07640449438202247,0.07029478458049887,0.039886039886039885,0.004524886877828055,0.39,0.87,-0.11,12.63,-19.04,-9.89,38.0,-3.0,22.0,0.16717325227963525,0.09598214285714286,0.17777777777777778,0.058673469387755105,0.05084745762711865,0.03,-1.0,0.27,6.96,-5.13,7.32,-8.0,-87.0,85.0,16
0.19865319865319866,0.08314606741573034,0.07482993197278912,0.05413105413105413,0.01583710407239819,0.35,0.87,-0.08,7.57,-13.12,-5.98,36.0,1.0,21.0,0.17325227963525835,0.09821428571428571,0.18271604938271604,0.06377551020408163,0.06440677966101695,0.04,-0.99,0.24,8.79,-8.48,2.62,-8.0,-84.0,79.0,16
0.21212121212121213,0.08089887640449438,0.07709750566893424,0.05982905982905983,0.02262443438914027,0.41,0.94,-0.06,-3.54,-5.74,-2.56,38.0,-2.0,23.0,0.14893617021276595,0.10267857142857142,0.19506172839506172,0.06377551020408163,0.07796610169491526,0.05,-0.99,0.22,8.79,-5.92,-0.31,-11.0,-84.0,74.0,16
0.2222222222222222,0.0853932584269663,0.07709750566893424,0.07122507122507123,0.029411764705882353,0.41,0.91,-0.07,-4.64,-3.05,-1.04,39.0,-3.0,23.0,0.17325227963525835,0.10714285714285714,0.19753086419753085,0.0663265306122449,0.0847457627118644,0.02,-0.96,0.22,6.96,-1.59,1.1,-10.0,-84.0,77.0,16
0.23905723905723905,0.08764044943820225,0.08163265306122448,0.07977207977207977,0.03619909502262444,0.4,0.89,-0.08,-3.23,-4.15,0.0,37.0,-2.0,21.0,0.16109422492401215,0.10714285714285714,0.20246913580246914,0.06887755102040816,0.09152542372881356,0.03,-0.99,0.2,12.21,-5.74,1.77,-10.0,-86.0,80.0,16
0.23905723905723905,0.0898876404494382,0.08390022675736962,0.08262108262108261,0.04524886877828054,0.41,0.9,-0.07,-4.64,-1.04,0.98,39.0,-3.0,20.0,0.1702127659574468,0.11160714285714286,0.20493827160493827,0.06887755102040816,0.10508474576271186,0.02,-0.97,0.19,4.15,-6.96,-3.91,-13.0,-83.0,79.0,16
0.24579124579124578,0.09438202247191012,0.08390022675736962,0.08262108262108261,0.04751131221719457,0.42,0.9,-0.06,-5.86,5.86,1.16,36.0,-2.0,18.0,0.17325227963525835,0.11383928571428571,0.2123456790123457,0.06887755102040816,0.1152542372881356,0.04,-0.98,0.16,6.35,-3.23,-0.31,-11.0,-84.0,74.0,16
0.25252525252525254,0.09887640449438202,0.08843537414965986,0.10826210826210826,0.04751131221719457,0.38,0.83,-0.13,-10.38,4.7,-2.38,39.0,-2.0,19.0,0.2127659574468085,0.12276785714285714,0.2123456790123457,0.07908163265306123,0.09830508474576272,0.04,-1.0,0.11,5.55,0.18,-5.49,-12.0,-82.0,73.0,16
0.1717171717171717,0.11685393258426967,0.09977324263038549,0.1339031339031339,0.11312217194570136,0.42,0.94,-0.18,3.48,22.71,-20.26,36.0,-5.0,16.0,0.3161094224924012,0.18303571428571427,0.2691358024691358,0.13010204081632654,0.39661016949152544,-0.05,-1.01,0.28,-21.18,12.39,-17.46,-10.0,-86.0,76.0,16
0.19865319865319866,0.41123595505617977,0.23356009070294784,0.3732193732193732,0.5158371040723982,0.37,0.89,-0.15,12.39,19.9,14.47,38.0,-4.0,22.0,0.3556231003039514,0.515625,0.6074074074074074,0.34183673469387754,0.9966101694915255,-0.04,-0.95,0.22,-5.62,5.49,-2.62,-10.0,-82.0,78.0,16
0.6498316498316499,0.952808988764045,0.6439909297052154,0.9829059829059829,0.7669683257918553,0.41,0.93,-0.1,45.1,-5.13,18.07,38.0,0.0,20.0,0.3252279635258359,0.8482142857142857,0.9333333333333333,0.8290816326530612,0.9898305084745763,-0.02,-0.96,0.23,-22.71,6.9,-9.52,-7.0,-83.0,76.0,16
0.8956228956228957,0.9977528089887641,0.9977324263038548,0.9914529914529915,0.995475113122172,0.34,0.91,0.02,50.96,7.39,9.4,33.0,0.0,27.0,0.6200607902735562,0.9977678571428571,0.9950617283950617,0.9974489795918368,0.9932203389830508,-0.04,-0.97,0.28,-38.21,4.21,-0.37,-8.0,-81.0,82.0,16
0.9629629629629629,0.9955056179775281,0.9954648526077098,0.9914529914529915,0.9932126696832579,0.33,0.93,0.05,14.59,1.89,1.28,35.0,0.0,30.0,0.729483282674772,0.9955357142857143,0.9975308641975309,0.9948979591836735,0.9966101694915255,-0.05,-0.94,0.37,-50.96,0.79,2.62,-6.0,-83.0,81.0,16
