Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Thumb2,Index2,Middle2,Ring2,Pinky2,AccelX2,AccelY2,AccelZ2,GyroX2,GyroY2,GyroZ2,MagX2,MagY2,MagZ2,Letter
0.12639405204460966,0.0,0.0023752969121140144,0.022222222222222223,0.023094688221709007,0.37,0.91,-0.07,-13.12,6.9,3.66,35.0,-4.0,18.0,0.04482758620689655,0.04878048780487805,0.20253164556962025,0.025,0.11186440677966102,0.12,-0.98,0.17,4.15,-0.43,0.0,-11.0,-84.0,77.0,20
0.1412639405204461,0.0,0.0,0.027777777777777776,0.020785219399538105,0.37,0.92,-0.11,-7.02,4.82,2.08,35.0,0.0,21.0,0.04827586206896552,0.06097560975609756,0.20569620253164558,0.03333333333333333,0.11186440677966102,0.13,-1.0,0.17,9.22,-3.3,3.23,-11.0,-87.0,77.0,20
0.1449814126394052,0.0024154589371980675,0.0023752969121140144,0.030555555555555555,0.02771362586605081,0.39,0.93,-0.12,-4.46,5.31,1.46,34.0,-2.0,20.0,0.05517241379310345,0.06341463414634146,0.2310126582278481,0.03611111111111111,0.13220338983050847,0.15,-1.0,0.14,11.6,-0.67,0.12,-12.0,-87.0,71.0,20
0.17100371747211895,0.00966183574879227,0.007125890736342043,0.03611111111111111,0.03002309468822171,0.35,0.89,-0.13,-3.78,4.27,2.75,38.0,0.0,17.0,0.06551724137931035,0.07073170731707316,0.22784810126582278,0.041666666666666664,0.14915254237288136,0.13,-0.96,0.11,9.95,3.36,-0.37,-12.0,-86.0,74.0,20
0.16356877323420074,0.033816425120772944,0.026128266033254157,0.05277777777777778,0.06466512702078522,0.36,0.96,-0.1,-27.65,27.1,12.15,34.0,-1.0,18.0,0.06206896551724138,0.0951219512195122,0.18670886075949367,0.06111111111111111,0.2,0.14,-1.01,0.1,20.81,28.44,-11.72,-12.0,-87.0,68.0,20
-0.01858736059479554,0.1859903381642512,0.09501187648456057,0.18888888888888888,0.20092378752886836,0.36,0.95,-0.16,-5.8,2.93,3.85,37.0,0.0,19.0,0.041379310344827586,0.22439024390243903,0.4240506329113924,0.225,0.5830508474576271,0.08,-1.01,0.11,13.73,-14.89,-16.97,-15.0,-87.0,73.0,20
0.22304832713754646,0.6111111111111112,0.33729216152019004,0.5583333333333333,0.45265588914549654,0.33,0.91,-0.2,17.09,-0.85,2.38,38.0,-1.0,19.0,0.14482758620689656,0.44878048780487806,0.8512658227848101,0.4305555555555556,0.9932203389830508,0.08,-1.0,0.03,-21.24,1.95,-2.87,-14.0,-87.0,69.0,20
0.6171003717472119,0.9879227053140096,0.7315914489311164,0.9861111111111112,0.6859122401847575,0.34,0.91,-0.1,33.94,-5.25,13.79,36.0,1.0,23.0,0.15172413793103448,0.7341463414634146,1.0,1.0,0.9966101694915255,0.08,-0.97,0.03,-41.44,3.6,-0.49,-10.0,-86.0,75.0,20
0.8141263940520446,0.9975845410628019,0.995249406175772,0.9944444444444445,0.8683602771362586,0.33,0.95,-0.01,30.46,12.33,7.57,31.0,0.0,25.0,0.5137931034482759,0.9951219512195122,0.9968354430379747,0.9972222222222222,0.9966101694915255,0.07,-0.96,0.17,-70.62,18.07,-1.46,-7.0,-86.0,80.0,20
0.8996282527881041,0.9927536231884058,0.995249406175772,0.9916666666666667,0.9930715935334873,0.27,0.95,-0.01,21.0,12.45,6.65,34.0,1.0,30.0,0.6931034482758621,0.9975609756097561,1.0,0.9916666666666667,0.9966101694915255,0.09,-0.93,0.34,-61.83,16.6,-5.19,-5.0,-89.0,83.0,20
