Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Thumb2,Index2,Middle2,Ring2,Pinky2,AccelX2,AccelY2,AccelZ2,GyroX2,GyroY2,GyroZ2,MagX2,MagY2,MagZ2,Letter
0.11333333333333333,0.4316546762589928,0.17162471395881007,0.3581267217630854,0.27293577981651373,0.48,0.9,-0.04,-8.79,-5.55,11.66,38.0,-7.0,23.0,0.125,0.3341288782816229,0.5,0.25133689839572193,0.42857142857142855,0.18,-0.94,0.03,7.69,-1.28,-8.24,-13.0,-88.0,72.0,21
0.4866666666666667,0.9928057553956835,0.5240274599542334,0.8787878787878788,0.5252293577981652,0.52,0.9,-0.06,3.66,-2.75,17.88,34.0,-5.0,18.0,0.225,0.5035799522673031,0.8846153846153846,0.4786096256684492,0.9128919860627178,0.2,-1.06,0.07,-16.78,-0.31,-6.96,-15.0,-89.0,75.0,21
0.8366666666666667,0.9928057553956835,0.9954233409610984,0.9944903581267218,0.8394495412844036,0.47,0.85,-0.07,21.97,7.63,2.08,36.0,-3.0,14.0,0.396875,0.7350835322195705,1.0,0.7032085561497327,0.9930313588850174,0.18,-0.99,0.05,-25.27,-2.08,-5.8,-11.0,-89.0,72.0,21
0.9733333333333334,0.9928057553956835,0.9954233409610984,0.9917355371900827,0.9770642201834863,0.45,0.87,-0.02,24.54,14.83,7.08,36.0,-3.0,20.0,0.571875,0.9880668257756563,0.9970414201183432,0.9946524064171123,0.9965156794425087,0.1,-1.01,0.05,-17.4,5.31,-2.44,-11.0,-84.0,77.0,21
0.9966666666666667,0.9952038369304557,0.9954233409610984,1.0,0.9954128440366973,0.42,0.9,-0.01,9.7,3.91,3.66,33.0,-5.0,24.0,0.5,0.9928400954653938,0.9970414201183432,0.9946524064171123,0.9930313588850174,0.11,-1.01,0.17,-33.45,0.73,-10.99,-13.0,-91.0,77.0,21
0.9966666666666667,0.9928057553956835,0.9954233409610984,0.9889807162534435,0.9954128440366973,0.4,0.9,-0.0,1.1,5.98,4.76,38.0,-5.0,23.0,0.64375,0.9976133651551312,0.9940828402366864,0.9919786096256684,0.9930313588850174,0.14,-1.01,0.23,-36.68,12.39,-5.74,-10.0,-91.0,80.0,21
0.97,0.9976019184652278,0.9954233409610984,0.9917355371900827,0.9954128440366973,0.39,0.91,-0.02,7.08,2.99,4.7,35.0,-1.0,31.0,0.79375,0.9976133651551312,0.9940828402366864,0.9973262032085561,0.9895470383275261,0.11,-0.96,0.25,-44.56,20.69,-11.54,-5.0,-88.0,82.0,21
0.9633333333333334,0.9928057553956835,0.9954233409610984,0.9862258953168044,0.9954128440366973,0.42,0.9,-0.01,27.77,-7.14,8.67,32.0,0.0,29.0,0.8125,0.9952267303102625,0.9940828402366864,0.9946524064171123,0.9895470383275261,0.16,-0.93,0.3,-33.45,11.78,-13.85,-1.0,-88.0,85.0,21
0.9766666666666667,0.9976019184652278,0.9977116704805492,0.9917355371900827,0.9931192660550459,0.36,0.92,0.16,23.8,-6.29,5.31,30.0,0.0,33.0,0.8625,0.9976133651551312,0.9940828402366864,0.9946524064171123,0.9965156794425087,0.09,-0.91,0.47,-19.9,2.01,-6.59,-5.0,-85.0,87.0,21
0.9966666666666667,0.9928057553956835,0.9977116704805492,0.9917355371900827,0.9954128440366973,0.35,0.92,0.12,-13.92,-3.54,-1.89,35.0,0.0,29.0,0.846875,0.9928400954653938,0.9940828402366864,0.9946524064171123,0.9965156794425087,0.1,-0.91,0.46,9.34,2.38,-0.31,-2.0,-86.0,83.0,21
0.9966666666666667,0.9952038369304557,0.9954233409610984,0.9944903581267218,0.9954128440366973,0.39,0.9,0.02,-9.16,-1.4,1.46,33.0,-2.0,28.0,0.853125,0.9976133651551312,0.9970414201183432,0.9866310160427807,0.9860627177700348,0.1,-0.92,0.35,6.84,4.03,-1.16,-1.0,-88.0,86.0,21
0.9933333333333333,0.9976019184652278,0.9931350114416476,0.9944903581267218,0.9977064220183486,0.35,0.93,0.09,2.01,-0.31,1.28,33.0,0.0,34.0,0.85,0.9952267303102625,0.9940828402366864,0.9919786096256684,0.9895470383275261,0.09,-0.93,0.37,-2.01,0.43,-1.04,-3.0,-89.0,84.0,21
0.9933333333333333,0.9952038369304557,0.9977116704805492,0.9944903581267218,0.9977064220183486,0.36,0.91,0.08,-1.53,0.92,-1.28,36.0,0.0,29.0,0.84375,0.9880668257756563,0.9940828402366864,0.9946524064171123,0.9930313588850174,0.09,-0.92,0.4,-2.32,-1.22,-0.85,-3.0,-90.0,81.0,21
0.9966666666666667,0.9928057553956835,0.9931350114416476,0.9972451790633609,0.9931192660550459,0.38,0.91,0.07,-1.59,1.95,-0.43,31.0,-2.0,30.0,0.846875,0.9928400954653938,0.9940828402366864,0.9973262032085561,0.9930313588850174,0.07,-0.92,0.41,1.22,-0.55,-2.14,-4.0,-88.0,84.0,21
0.9933333333333333,0.9952038369304557,0.9977116704805492,0.9889807162534435,0.9954128440366973,0.36,0.92,0.08,0.24,1.53,0.73,33.0,-3.0,31.0,0.7875,0.9928400954653938,0.9970414201183432,0.9973262032085561,0.9930313588850174,0.09,-0.93,0.4,2.62,2.32,1.28,-1.0,-88.0,83.0,21
0.99,0.9976019184652278,0.9954233409610984,0.9944903581267218,0.9931192660550459,0.38,0.91,0.06,-2.26,2.5,-0.24,32.0,-1.0,29.0,0.796875,0.9952267303102625,0.9970414201183432,0.9946524064171123,0.9895470383275261,0.1,-0.92,0.39,-0.18,-0.18,0.98,-4.0,-90.0,83.0,21
0.9933333333333333,0.9952038369304557,0.9954233409610984,0.9944903581267218,0.9908256880733946,0.37,0.91,0.06,-3.3,1.53,-1.34,35.0,0.0,27.0,0.803125,0.9904534606205251,0.9911242603550295,0.9973262032085561,0.9965156794425087,0.09,-0.92,0.41,0.0,0.18,0.18,0.0,-89.0,87.0,21
0.9966666666666667,0.9952038369304557,0.9977116704805492,0.9972451790633609,0.9977064220183486,0.36,0.91,0.04,1.46,-0.79,0.85,33.0,1.0,36.0,0.88125,0.9904534606205251,0.9940828402366864,1.0,0.9895470383275261,0.1,-0.93,0.39,1.28,-1.4,-0.92,-3.0,-86.0,83.0,21
0.9966666666666667,0.9904076738609112,0.9977116704805492,0.9889807162534435,0.9977064220183486,0.35,0.92,0.08,3.72,-6.59,1.16,34.0,0.0,28.0,0.89375,0.9952267303102625,0.9911242603550295,0.9946524064171123,0.9930313588850174,0.09,-0.92,0.4,-0.73,-2.26,-1.53,-1.0,-89.0,83.0,21
0.9966666666666667,0.9976019184652278,0.9954233409610984,0.9972451790633609,0.9954128440366973,0.36,0.91,0.05,-5.43,0.06,2.08,33.0,-1.0,32.0,0.884375,0.9880668257756563,0.9970414201183432,0.9946524064171123,0.9965156794425087,0.09,-0.92,0.4,-1.16,-2.5,-0.92,-1.0,-86.0,87.0,21
0.99,0.9976019184652278,0.9954233409610984,0.9972451790633609,0.9908256880733946,0.35,0.93,0.06,-4.21,-2.93,-1.16,34.0,-1.0,31.0,0.9,0.9952267303102625,0.9970414201183432,0.9946524064171123,0.9930313588850174,0.07,-0.92,0.39,1.4,-5.13,-1.28,-4.0,-85.0,85.0,21
0.9933333333333333,0.9976019184652278,1.0,0.9862258953168044,0.9954128440366973,0.39,0.9,0.08,-19.96,-0.06,-1.53,37.0,0.0,30.0,0.890625,0.9880668257756563,0.9940828402366864,0.9919786096256684,0.9930313588850174,0.05,-0.92,0.39,2.62,-5.8,0.31,-1.0,-88.0,85.0,21
0.99,0.9976019184652278,0.9977116704805492,0.9972451790633609,0.9931192660550459,0.39,0.92,0.03,-13.31,5.92,-0.12,31.0,-1.0,31.0,0.9,0.9928400954653938,0.9911242603550295,0.9973262032085561,0.9965156794425087,0.07,-0.92,0.39,7.02,-2.62,2.08,-7.0,-86.0,81.0,21
1.0,0.9928057553956835,0.9954233409610984,0.9889807162534435,0.9931192660550459,0.37,0.94,0.0,-4.46,5.68,1.59,31.0,0.0,29.0,0.896875,0.9952267303102625,0.9970414201183432,0.9946524064171123,0.9860627177700348,0.07,-0.93,0.37,0.67,0.18,5.37,-3.0,-86.0,86.0,21
0.9933333333333333,0.9928057553956835,0.9977116704805492,0.9944903581267218,0.9954128440366973,0.37,0.92,0.02,1.16,-0.37,-1.53,38.0,-1.0,25.0,0.890625,0.9928400954653938,0.9970414201183432,0.9946524064171123,0.9965156794425087,0.09,-0.93,0.39,3.05,-0.73,2.62,-1.0,-87.0,89.0,21
0.99,0.9976019184652278,0.9954233409610984,0.9972451790633609,0.9977064220183486,0.37,0.92,0.0,-1.77,-0.61,-1.22,36.0,0.0,23.0,0.896875,0.9928400954653938,0.9881656804733728,0.9973262032085561,0.9895470383275261,0.09,-0.93,0.38,0.67,-2.93,0.24,0.0,-87.0,82.0,21
0.9933333333333333,0.9928057553956835,1.0,0.9917355371900827,0.9977064220183486,0.38,0.91,-0.0,0.24,-1.4,-2.01,32.0,-2.0,28.0,0.896875,0.9928400954653938,0.9940828402366864,0.9973262032085561,0.9930313588850174,0.07,-0.93,0.37,0.24,-3.11,3.11,-2.0,-88.0,84.0,21
0.9966666666666667,0.9904076738609112,0.9954233409610984,0.9917355371900827,0.9954128440366973,0.38,0.91,0.01,8.97,-3.91,-1.16,34.0,-1.0,24.0,0.890625,0.9928400954653938,0.9940828402366864,0.9919786096256684,0.9930313588850174,0.1,-0.92,0.39,-0.98,-4.88,4.39,-3.0,-86.0,82.0,21
1.0,0.9952038369304557,1.0,0.9944903581267218,0.9977064220183486,0.37,0.91,0.01,11.23,-9.22,-4.03,36.0,-2.0,25.0,0.890625,0.9952267303102625,0.9911242603550295,0.9946524064171123,0.9895470383275261,0.12,-0.92,0.4,-0.06,-1.46,1.83,-5.0,-89.0,82.0,21
0.99,0.9976019184652278,0.988558352402746,0.9944903581267218,0.9977064220183486,0.32,0.93,0.04,4.52,-16.54,-1.22,33.0,0.0,28.0,0.88125,0.9952267303102625,0.9970414201183432,0.9973262032085561,0.9965156794425087,0.12,-0.93,0.4,-0.79,-0.31,2.81,-2.0,-87.0,83.0,21
0.9966666666666667,0.9928057553956835,0.9977116704805492,0.9917355371900827,0.9908256880733946,0.36,0.92,0.07,0.43,-5.37,-0.79,37.0,-1.0,29.0,0.884375,0.9928400954653938,0.9940828402366864,0.9946524064171123,0.9930313588850174,0.11,-0.92,0.4,0.85,-0.18,-0.85,-2.0,-87.0,83.0,21
0.9966666666666667,0.9976019184652278,0.9954233409610984,0.9944903581267218,0.9954128440366973,0.37,0.9,0.05,-2.62,0.37,-0.43,35.0,-1.0,25.0,0.8875,0.9976133651551312,0.9911242603550295,0.9919786096256684,0.9965156794425087,0.09,-0.92,0.38,0.31,-2.99,0.06,-1.0,-90.0,88.0,21
0.9966666666666667,0.9952038369304557,0.9931350114416476,0.9944903581267218,0.9931192660550459,0.38,0.91,0.06,-4.88,0.85,-0.12,30.0,-2.0,33.0,0.896875,0.9928400954653938,0.9940828402366864,0.9946524064171123,0.9930313588850174,0.1,-0.92,0.4,-0.43,-2.5,0.49,-3.0,-87.0,83.0,21
0.99,0.9976019184652278,0.9977116704805492,0.9972451790633609,0.9931192660550459,0.39,0.9,0.05,-16.54,-5.07,4.27,34.0,0.0,30.0,0.88125,0.9928400954653938,0.9940828402366864,0.9973262032085561,0.9825783972125436,0.1,-0.92,0.39,-0.55,-9.34,1.77,-3.0,-86.0,84.0,21
0.99,0.9976019184652278,0.988558352402746,0.9917355371900827,0.9954128440366973,0.43,0.9,-0.0,-45.23,-87.4,16.17,36.0,2.0,23.0,0.796875,0.9904534606205251,1.0,1.0,0.9895470383275261,0.07,-0.93,0.4,1.89,-11.17,13.43,-2.0,-86.0,85.0,21
0.9966666666666667,1.0,0.9931350114416476,0.9917355371900827,0.9977064220183486,0.42,0.9,0.04,-58.35,-223.02,27.59,36.0,6.0,19.0,0.6375,0.9928400954653938,0.9940828402366864,0.9491978609625669,0.9965156794425087,0.06,-0.93,0.37,2.56,-10.74,41.02,-2.0,-86.0,85.0,21
0.9933333333333333,0.9904076738609112,0.9977116704805492,0.9917355371900827,0.9977064220183486,0.36,0.91,0.11,-11.54,-126.83,-9.83,40.0,6.0,9.0,0.53125,0.9928400954653938,0.9970414201183432,0.6711229946524064,0.8710801393728222,0.2,-0.89,0.37,-11.78,-12.33,45.53,-3.0,-89.0,89.0,21
0.9966666666666667,0.9952038369304557,0.9954233409610984,0.9917355371900827,0.9954128440366973,0.37,0.9,0.07,-44.43,-120.24,1.89,36.0,8.0,4.0,0.571875,0.9928400954653938,0.9970414201183432,0.4786096256684492,0.6655052264808362,0.25,-0.86,0.4,-17.03,-14.16,65.43,2.0,-89.0,85.0,21
0.9933333333333333,0.9952038369304557,1.0,0.9917355371900827,0.9954128440366973,0.19,1.0,-0.06,-75.32,-151.06,12.27,35.0,2.0,-9.0,0.553125,0.9904534606205251,0.9970414201183432,0.32620320855614976,0.42160278745644597,0.37,-0.79,0.4,-13.49,4.09,79.9,4.0,-93.0,87.0,21
0.9933333333333333,0.9952038369304557,0.9931350114416476,0.9972451790633609,0.9931192660550459,0.25,0.99,-0.07,-33.94,-70.68,7.87,32.0,1.0,-9.0,0.50625,0.9952267303102625,1.0,0.2727272727272727,0.36585365853658536,0.51,-0.71,0.49,-38.33,2.93,66.16,4.0,-95.0,96.0,21
0.9933333333333333,0.9952038369304557,0.9977116704805492,0.9917355371900827,0.9931192660550459,0.22,0.98,-0.08,-12.57,-53.34,1.83,34.0,0.0,-17.0,0.296875,0.9952267303102625,0.9970414201183432,0.31016042780748665,0.4076655052264808,0.59,-0.63,0.55,-45.47,-13.92,39.73,11.0,-96.0,92.0,21
