Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Thumb2,Index2,Middle2,Ring2,Pinky2,AccelX2,AccelY2,AccelZ2,GyroX2,GyroY2,GyroZ2,MagX2,MagY2,MagZ2,Letter
0.915625,0.9956331877729258,0.9977678571428571,0.9974025974025974,0.9977528089887641,0.32,0.92,0.09,22.77,7.51,-3.85,31.0,0.0,27.0,0.6504854368932039,0.9954441913439636,0.9974811083123426,0.9947643979057592,0.9964664310954063,-0.02,-0.91,0.38,-17.15,0.37,-1.53,-1.0,-86.0,90.0,22
0.934375,0.9956331877729258,0.9977678571428571,0.9948051948051948,0.9955056179775281,0.31,0.91,0.0,11.66,10.99,-7.93,32.0,0.0,28.0,0.8478964401294499,1.0,0.9949622166246851,0.9947643979057592,0.9858657243816255,0.04,-0.89,0.42,-17.21,17.46,-10.99,0.0,-85.0,88.0,22
0.953125,1.0,0.9933035714285714,0.9974025974025974,0.9910112359550561,0.37,0.9,0.03,26.55,-4.52,-2.14,33.0,0.0,34.0,0.8543689320388349,1.0,0.9848866498740554,0.9973821989528796,0.9929328621908127,0.02,-0.88,0.43,-4.46,-7.14,-1.22,1.0,-87.0,84.0,22
0.978125,0.9956331877729258,0.9955357142857143,0.9974025974025974,0.9955056179775281,0.35,0.91,0.16,19.17,-3.42,0.31,31.0,0.0,33.0,0.8932038834951457,0.9908883826879271,0.9899244332493703,0.9921465968586387,0.9964664310954063,0.03,-0.88,0.48,-9.34,-5.8,2.62,-1.0,-87.0,85.0,22
0.99375,0.9934497816593887,0.9977678571428571,0.9974025974025974,0.9932584269662922,0.34,0.9,0.15,-1.22,-3.85,-1.89,34.0,-1.0,38.0,0.8414239482200647,0.9954441913439636,0.9924433249370277,1.0,0.9893992932862191,-0.01,-0.84,0.49,17.64,-9.77,9.16,0.0,-86.0,85.0,22
0.934375,0.9934497816593887,0.9955357142857143,0.9948051948051948,0.9955056179775281,0.38,0.97,0.2,-32.84,-6.53,7.26,30.0,2.0,34.0,0.4886731391585761,0.9954441913439636,0.9949622166246851,0.9973821989528796,0.9929328621908127,-0.02,-0.88,0.53,38.45,-20.63,7.63,-2.0,-87.0,86.0,22
0.7,0.9956331877729258,0.9977678571428571,1.0,0.9955056179775281,0.36,0.97,0.09,-34.0,-8.61,1.95,35.0,0.0,25.0,0.2686084142394822,0.9157175398633257,0.9420654911838791,0.9947643979057592,0.9893992932862191,0.02,-0.96,0.36,53.83,-3.23,9.77,-5.0,-86.0,77.0,22
0.478125,0.9956331877729258,0.9352678571428571,1.0,0.9730337078651685,0.37,0.94,0.03,-34.79,-0.85,-7.14,32.0,-1.0,26.0,0.1423948220064725,0.47380410022779046,0.6649874055415617,0.756544502617801,0.9893992932862191,-0.0,-0.99,0.31,16.24,-10.62,-2.69,-7.0,-87.0,80.0,22
0.378125,0.8537117903930131,0.5803571428571429,0.8363636363636363,0.8,0.35,0.95,-0.06,-27.59,-4.03,-2.38,35.0,0.0,26.0,0.08090614886731391,0.3439635535307517,0.6196473551637279,0.5942408376963351,0.5547703180212014,0.04,-0.95,0.23,1.77,0.24,9.83,-7.0,-84.0,80.0,22
0.34375,0.5960698689956332,0.36830357142857145,0.5454545454545454,0.5842696629213483,0.37,0.93,-0.07,7.57,-1.34,4.46,36.0,1.0,22.0,0.08090614886731391,0.26651480637813213,0.5869017632241813,0.5078534031413613,0.47703180212014135,0.15,-1.0,0.29,8.73,-7.08,26.61,-9.0,-90.0,78.0,22
0.23125,0.36026200873362446,0.21205357142857142,0.32727272727272727,0.30786516853932583,0.36,0.94,0.0,-19.96,5.49,-5.43,34.0,0.0,27.0,0.02912621359223301,0.16400911161731208,0.42317380352644834,0.3298429319371728,0.15547703180212014,0.03,-0.91,0.3,-20.02,-6.29,10.44,-6.0,-88.0,83.0,22
0.040625,0.21179039301310043,0.12053571428571429,0.21298701298701297,0.17752808988764046,0.32,0.92,-0.09,-13.24,4.82,-7.26,37.0,2.0,25.0,0.0,0.12072892938496584,0.28463476070528965,0.20680628272251309,0.0812720848056537,0.08,-0.94,0.32,-13.67,-8.48,10.99,-7.0,-87.0,81.0,22
0.025,0.13537117903930132,0.078125,0.14805194805194805,0.09438202247191012,0.36,0.89,-0.07,0.18,-5.13,-21.61,32.0,0.0,19.0,-0.006472491909385114,0.09111617312072894,0.181360201511335,0.14397905759162305,-0.014134275618374558,0.12,-0.89,0.34,-8.3,-0.12,4.39,-3.0,-89.0,81.0,22
0.021875,0.11135371179039301,0.05580357142857143,0.0987012987012987,0.04943820224719101,0.37,0.91,-0.06,8.97,-13.55,-12.88,33.0,-1.0,16.0,-0.019417475728155338,0.08200455580865604,0.14357682619647355,0.112565445026178,0.10247349823321555,0.12,-0.94,0.36,-11.47,3.48,11.47,-6.0,-87.0,82.0,22
0.0375,0.10043668122270742,0.049107142857142856,0.08051948051948052,0.038202247191011236,0.41,0.91,-0.02,7.63,-15.26,-11.29,35.0,-4.0,23.0,-0.02912621359223301,0.07061503416856492,0.13350125944584382,0.1099476439790576,0.13780918727915195,0.13,-0.91,0.39,1.1,-0.61,0.79,-4.0,-88.0,85.0,22
0.046875,0.10043668122270742,0.044642857142857144,0.07792207792207792,0.035955056179775284,0.41,0.89,0.01,6.84,-14.83,-11.72,36.0,-2.0,26.0,-0.019417475728155338,0.07517084282460136,0.1385390428211587,0.1099476439790576,0.1519434628975265,0.12,-0.93,0.34,2.87,-1.34,-0.73,-2.0,-89.0,83.0,22
0.059375,0.10262008733624454,0.049107142857142856,0.08831168831168831,0.04044943820224719,0.44,0.88,0.01,-1.22,-10.86,-8.61,35.0,-4.0,22.0,-0.019417475728155338,0.0774487471526196,0.15365239294710328,0.12041884816753927,0.14840989399293286,0.11,-0.9,0.34,3.91,-3.36,-0.73,-5.0,-90.0,84.0,22
0.065625,0.10262008733624454,0.049107142857142856,0.1012987012987013,0.04719101123595506,0.45,0.88,0.02,-0.06,-2.99,-5.49,36.0,-3.0,25.0,-0.009708737864077669,0.0888382687927107,0.16624685138539042,0.11780104712041885,0.15901060070671377,0.12,-0.95,0.34,10.56,-3.66,1.1,-6.0,-90.0,83.0,22
0.065625,0.10698689956331878,0.05357142857142857,0.1038961038961039,0.04943820224719101,0.45,0.88,0.0,0.85,-3.66,-5.92,39.0,-6.0,20.0,-0.006472491909385114,0.09111617312072894,0.17380352644836272,0.12303664921465969,0.1625441696113074,0.11,-0.95,0.31,8.18,-4.15,0.55,-6.0,-89.0,84.0,22
0.075,0.11135371179039301,0.049107142857142856,0.10649350649350649,0.051685393258426963,0.47,0.88,0.02,0.12,-8.79,-3.05,31.0,-5.0,22.0,-0.003236245954692557,0.09567198177676538,0.17884130982367757,0.1256544502617801,0.1696113074204947,0.12,-0.94,0.32,5.8,-1.59,0.24,-5.0,-87.0,80.0,22
0.071875,0.11353711790393013,0.046875,0.10649350649350649,0.051685393258426963,0.49,0.9,0.06,-4.09,-7.93,-5.49,35.0,-3.0,20.0,-0.006472491909385114,0.10022779043280182,0.18387909319899245,0.13350785340314136,0.17667844522968199,0.12,-0.96,0.31,2.99,-1.04,0.67,-7.0,-87.0,80.0,22
0.071875,0.12008733624454149,0.046875,0.10909090909090909,0.05393258426966292,0.51,0.86,0.03,3.97,-12.33,-8.3,31.0,-4.0,22.0,0.0,0.10250569476082004,0.19143576826196473,0.13089005235602094,0.18021201413427562,0.11,-0.96,0.32,5.07,-0.49,1.34,-4.0,-87.0,80.0,22
0.078125,0.1222707423580786,0.049107142857142856,0.11168831168831168,0.051685393258426963,0.5,0.86,0.08,5.37,-15.14,-8.73,31.0,-6.0,26.0,0.0,0.10478359908883828,0.1964735516372796,0.13612565445026178,0.18374558303886926,0.12,-0.96,0.3,0.43,-0.43,1.4,-5.0,-86.0,78.0,22
0.0875,0.12663755458515283,0.05357142857142857,0.12207792207792208,0.051685393258426963,0.51,0.83,0.1,3.05,-9.03,-6.23,35.0,-4.0,25.0,0.003236245954692557,0.10250569476082004,0.2040302267002519,0.13612565445026178,0.1978798586572438,0.12,-0.96,0.31,-4.33,0.85,1.46,-6.0,-87.0,82.0,22
0.090625,0.12663755458515283,0.05803571428571429,0.12207792207792208,0.058426966292134834,0.52,0.85,0.11,2.32,5.19,-0.18,40.0,-5.0,28.0,0.003236245954692557,0.1070615034168565,0.20654911838790932,0.14136125654450263,0.1978798586572438,0.13,-0.98,0.34,-13.61,-2.32,3.66,-5.0,-87.0,80.0,22
0.096875,0.12445414847161572,0.05803571428571429,0.12467532467532468,0.058426966292134834,0.54,0.85,0.1,11.47,-8.18,-4.7,35.0,-6.0,26.0,-0.003236245954692557,0.10933940774487472,0.21662468513853905,0.14136125654450263,0.18374558303886926,0.14,-0.94,0.38,-40.59,0.0,14.77,-4.0,-87.0,88.0,22
0.096875,0.12663755458515283,0.060267857142857144,0.13506493506493505,0.06292134831460675,0.54,0.84,0.13,12.63,-9.34,-3.54,36.0,-5.0,25.0,0.0,0.10933940774487472,0.22418136020151133,0.14136125654450263,0.1978798586572438,0.15,-0.88,0.45,-35.89,-6.59,20.75,2.0,-89.0,90.0,22
0.096875,0.12882096069868995,0.0625,0.13506493506493505,0.06292134831460675,0.5,0.79,0.19,13.73,1.04,0.18,33.0,-8.0,29.0,0.003236245954692557,0.10478359908883828,0.23425692695214106,0.14659685863874344,0.1978798586572438,0.2,-0.88,0.49,13.61,-0.67,-0.31,1.0,-88.0,86.0,22
0.09375,0.13100436681222707,0.0625,0.13506493506493505,0.0651685393258427,0.52,0.82,0.18,-5.13,7.39,3.48,32.0,-5.0,22.0,0.003236245954692557,0.11389521640091116,0.23929471032745592,0.14659685863874344,0.20141342756183744,0.18,-0.89,0.44,11.9,-2.44,-3.54,0.0,-90.0,85.0,22
0.0875,0.12882096069868995,0.0625,0.14285714285714285,0.0651685393258427,0.51,0.84,0.14,-7.02,6.77,2.69,31.0,-6.0,25.0,-0.006472491909385114,0.11161731207289294,0.2367758186397985,0.14659685863874344,0.20141342756183744,0.14,-0.87,0.44,7.2,-4.64,2.75,0.0,-89.0,87.0,22
0.084375,0.13100436681222707,0.06473214285714286,0.14545454545454545,0.0696629213483146,0.5,0.83,0.13,-7.02,10.74,-2.32,36.0,-3.0,29.0,-0.016181229773462782,0.10933940774487472,0.2518891687657431,0.1518324607329843,0.1978798586572438,0.21,-0.91,0.4,16.11,-5.19,1.71,1.0,-90.0,86.0,22
