Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Thumb2,Index2,Middle2,Ring2,Pinky2,AccelX2,AccelY2,AccelZ2,GyroX2,GyroY2,GyroZ2,MagX2,MagY2,MagZ2,Letter
0.02912621359223301,0.13447432762836187,0.0851063829787234,0.2116991643454039,0.10138248847926268,0.32,0.93,-0.2,-3.48,24.6,6.23,36.0,0.0,11.0,0.09815950920245399,0.12085308056872038,0.2422360248447205,0.18559556786703602,0.5933503836317136,0.18,-1.03,0.12,16.42,6.59,-23.01,-11.0,-90.0,70.0,25
0.11974110032362459,0.38875305623471884,0.2647754137115839,0.4568245125348189,0.2488479262672811,0.34,0.96,-0.22,7.69,-6.04,12.94,38.0,0.0,17.0,0.1901840490797546,0.43601895734597157,0.8105590062111802,0.556786703601108,0.9181585677749361,0.11,-1.01,0.08,-28.69,1.46,-6.77,-12.0,-86.0,75.0,25
0.44660194174757284,0.7946210268948656,0.6335697399527187,0.8523676880222841,0.4470046082949309,0.31,0.95,-0.18,22.71,1.04,10.8,38.0,2.0,12.0,0.34049079754601225,0.9170616113744076,0.9968944099378882,1.0,0.9872122762148338,0.1,-1.0,0.13,-46.08,11.54,-6.16,-10.0,-88.0,77.0,25
0.8058252427184466,0.9951100244498777,0.9952718676122931,0.9944289693593314,0.7419354838709677,0.28,0.99,-0.1,33.63,-0.37,7.14,38.0,3.0,21.0,0.5,1.0023696682464456,1.0,1.0,0.9948849104859335,0.12,-0.95,0.26,-40.65,26.61,-3.05,-8.0,-87.0,81.0,25
0.9320388349514563,1.0,0.9952718676122931,0.9944289693593314,0.9953917050691244,0.28,0.99,-0.04,36.32,3.3,4.52,33.0,2.0,26.0,0.7147239263803681,0.9976303317535545,0.9968944099378882,0.9944598337950139,0.9948849104859335,0.09,-0.97,0.36,-50.05,16.72,-5.68,-7.0,-89.0,81.0,25
0.8932038834951457,0.9975550122249389,0.9976359338061466,0.9972144846796658,0.9953917050691244,0.26,0.96,0.02,36.38,4.7,2.44,34.0,2.0,26.0,0.803680981595092,1.0,1.0,0.997229916897507,0.9923273657289002,0.13,-0.93,0.39,-18.31,6.1,-7.51,-3.0,-89.0,83.0,25
0.9288025889967637,0.9975550122249389,0.9929078014184397,0.9972144846796658,0.9930875576036866,0.28,0.94,0.02,15.87,-9.03,-2.87,35.0,2.0,23.0,0.8098159509202454,0.9928909952606635,1.0,0.997229916897507,0.9974424552429667,0.07,-0.91,0.37,-13.55,4.09,-2.01,-3.0,-88.0,81.0,25
0.9611650485436893,0.9975550122249389,0.9952718676122931,0.9944289693593314,1.0,0.29,0.96,0.06,13.24,-7.63,-3.23,35.0,2.0,27.0,0.8251533742331288,0.9976303317535545,0.9968944099378882,0.997229916897507,0.9974424552429667,0.05,-0.87,0.45,-0.85,-3.48,-4.46,-1.0,-89.0,86.0,25
0.9741100323624595,0.9975550122249389,0.9952718676122931,1.0,0.9953917050691244,0.26,0.95,0.09,-1.4,-2.38,1.1,31.0,5.0,30.0,0.8466257668711656,1.0,1.0,0.997229916897507,0.9923273657289002,0.09,-0.92,0.42,9.7,5.92,-0.98,-2.0,-89.0,83.0,25
0.970873786407767,1.0,1.0,0.9972144846796658,0.9976958525345622,0.27,0.93,0.04,-8.24,3.36,0.73,33.0,5.0,29.0,0.8006134969325154,0.995260663507109,0.9968944099378882,0.9944598337950139,0.9948849104859335,0.07,-0.93,0.35,5.37,10.86,-14.16,-3.0,-88.0,83.0,25
0.9805825242718447,0.9975550122249389,0.9952718676122931,0.9916434540389972,0.9976958525345622,0.29,0.94,0.05,-5.31,4.64,0.79,32.0,4.0,29.0,0.8343558282208589,0.9976303317535545,0.9968944099378882,0.9944598337950139,0.9974424552429667,0.05,-0.91,0.41,-5.74,9.58,-9.7,-4.0,-87.0,88.0,25
0.9805825242718447,0.9975550122249389,0.9976359338061466,0.9972144846796658,0.9953917050691244,0.28,0.96,0.04,-2.44,-0.61,1.16,33.0,2.0,24.0,0.8466257668711656,0.9976303317535545,1.0,0.9889196675900277,0.9872122762148338,0.02,-0.9,0.4,-1.53,-0.98,-1.89,-4.0,-90.0,84.0,25
0.9902912621359223,0.9951100244498777,0.9952718676122931,0.9972144846796658,0.9953917050691244,0.26,0.96,0.06,6.1,-3.72,1.4,31.0,1.0,26.0,0.5153374233128835,0.9928909952606635,0.9968944099378882,0.9944598337950139,0.9948849104859335,0.07,-0.91,0.4,0.06,4.64,3.78,-4.0,-90.0,83.0,25
0.9902912621359223,0.9975550122249389,0.9976359338061466,0.9944289693593314,0.9953917050691244,0.25,0.96,0.09,4.33,2.08,2.2,36.0,2.0,30.0,0.8619631901840491,0.9976303317535545,1.0,1.0,0.9923273657289002,0.05,-0.92,0.38,0.92,0.92,-0.55,-5.0,-88.0,82.0,25
0.9967637540453075,0.9951100244498777,1.0,0.9972144846796658,1.0,0.26,0.93,0.03,-1.83,10.44,0.12,37.0,4.0,29.0,0.8159509202453987,1.0,0.9968944099378882,0.9944598337950139,0.989769820971867,0.05,-0.92,0.39,-0.61,-0.73,0.67,-3.0,-90.0,83.0,25
0.9935275080906149,0.9951100244498777,0.9952718676122931,1.0,0.9953917050691244,0.26,0.94,0.02,0.18,3.54,-2.14,34.0,0.0,27.0,0.8680981595092024,1.0,1.0062111801242235,0.9916897506925207,0.9923273657289002,0.04,-0.91,0.38,0.31,-1.04,0.73,-4.0,-88.0,81.0,25
0.9967637540453075,1.0,0.9929078014184397,0.9944289693593314,0.9953917050691244,0.25,0.95,0.02,1.89,-0.06,-1.53,36.0,3.0,29.0,0.8220858895705522,0.995260663507109,0.9968944099378882,0.997229916897507,0.9948849104859335,0.07,-0.91,0.4,0.37,2.81,0.37,-2.0,-87.0,86.0,25
0.9967637540453075,1.0,0.9952718676122931,0.9916434540389972,0.9953917050691244,0.3,0.95,0.08,3.54,0.31,-0.98,36.0,4.0,31.0,0.8343558282208589,0.995260663507109,1.0,0.997229916897507,0.989769820971867,0.06,-0.93,0.41,1.28,3.36,-1.89,-6.0,-87.0,89.0,25
0.9967637540453075,0.9975550122249389,0.9952718676122931,0.9944289693593314,0.9953917050691244,0.26,0.96,0.07,-1.28,1.53,1.95,36.0,5.0,30.0,0.8220858895705522,0.9976303317535545,0.9937888198757764,0.9944598337950139,0.9948849104859335,0.04,-0.92,0.39,0.0,-1.59,1.04,-4.0,-89.0,87.0,25
0.9935275080906149,0.9975550122249389,0.9952718676122931,0.9972144846796658,0.9976958525345622,0.26,0.96,0.07,-2.62,2.08,-3.54,36.0,3.0,32.0,0.36503067484662577,0.9976303317535545,1.0,0.997229916897507,0.9974424552429667,0.05,-0.91,0.4,-0.24,-2.01,0.73,-3.0,-90.0,83.0,25
0.9902912621359223,0.9975550122249389,0.9976359338061466,0.9944289693593314,0.9976958525345622,0.27,0.94,0.04,-0.24,-0.79,-1.65,32.0,1.0,28.0,0.8711656441717791,1.0,0.9968944099378882,1.0,0.9974424552429667,0.06,-0.92,0.41,0.24,2.08,-1.53,-3.0,-86.0,82.0,25
0.9935275080906149,0.9951100244498777,1.0,0.9944289693593314,1.0,0.26,0.94,0.05,0.92,-1.46,-0.18,31.0,0.0,29.0,0.8588957055214724,1.0,0.9968944099378882,0.9944598337950139,0.9923273657289002,0.05,-0.92,0.41,-0.24,0.55,-0.06,-4.0,-87.0,87.0,25
0.9902912621359223,0.9951100244498777,0.9952718676122931,0.9944289693593314,0.9976958525345622,0.26,0.94,0.05,1.22,0.06,-0.73,32.0,4.0,30.0,0.8680981595092024,0.9976303317535545,1.0,0.9916897506925207,0.9974424552429667,0.05,-0.92,0.41,1.28,0.37,-0.92,-3.0,-88.0,85.0,25
1.0032362459546926,0.9951100244498777,1.0,0.9972144846796658,0.9953917050691244,0.27,0.94,0.05,0.37,-0.61,-1.53,35.0,5.0,27.0,0.8588957055214724,0.995260663507109,0.9937888198757764,0.9944598337950139,0.989769820971867,0.06,-0.92,0.4,-1.04,3.66,0.37,-2.0,-87.0,79.0,25
