Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Thumb2,Index2,Middle2,Ring2,Pinky2,AccelX2,AccelY2,AccelZ2,GyroX2,GyroY2,GyroZ2,MagX2,MagY2,MagZ2,Letter
0.0267857142857142,0.1037735849056603,0.1090047393364928,0.2078651685393258,0.0198675496688741,-0.72,0.56,0.14,5.74,8.61,-9.58,12.0,11.0,35.0,0.0142348754448398,0.0654911838790932,0.1144578313253012,0.0084985835694051,-0.0619195046439628,-0.8,-0.46,0.28,2.5,-11.9,-1.16,-2.0,-57.0,56.0,1
0.0386904761904761,0.1014150943396226,0.1042654028436018,0.2331460674157303,0.0198675496688741,-0.71,0.56,0.17,11.47,7.32,-1.95,13.0,12.0,34.0,0.0142348754448398,0.0654911838790932,0.0963855421686747,0.0141643059490084,0.0309597523219814,-0.78,-0.49,0.33,-1.1,-23.68,-5.0,0.0,-58.0,60.0,1
0.050595238095238,0.1014150943396226,0.1042654028436018,0.2275280898876404,0.0220750551876379,-0.75,0.57,0.13,2.14,0.31,-1.1,11.0,11.0,33.0,0.0106761565836298,0.0579345088161209,0.0933734939759036,0.0141643059490084,0.0247678018575851,-0.79,-0.53,0.32,-1.89,0.92,1.22,0.0,-57.0,57.0,1
0.0714285714285714,0.1014150943396226,0.1066350710900474,0.2415730337078651,0.0242825607064017,-0.76,0.58,0.11,-2.38,-17.15,0.73,9.0,13.0,35.0,0.0249110320284697,0.0654911838790932,0.0993975903614457,0.0311614730878186,0.0557275541795665,-0.79,-0.51,0.31,1.83,-1.89,1.34,0.0,-56.0,55.0,1
0.1011904761904761,0.1132075471698113,0.1137440758293838,0.2556179775280899,0.0286975717439293,-0.72,0.56,0.15,-5.49,0.85,-2.75,6.0,14.0,34.0,0.0427046263345195,0.08816120906801,0.0933734939759036,0.0254957507082152,0.0773993808049535,-0.78,-0.51,0.32,5.86,-1.4,-5.31,-1.0,-57.0,54.0,1
0.0744047619047619,0.1273584905660377,0.1303317535545023,0.2387640449438202,0.0441501103752759,-0.71,0.57,0.1,-14.28,1.77,-9.22,11.0,12.0,30.0,-0.0071174377224199,0.1083123425692695,0.1506024096385542,0.0878186968838526,0.2321981424148606,-0.79,-0.52,0.3,0.12,-4.21,-6.29,-1.0,-57.0,53.0,1
0.1934523809523809,0.2735849056603773,0.2701421800947867,0.6460674157303371,0.1721854304635761,-0.88,0.69,-0.01,21.97,-42.11,-3.11,12.0,15.0,32.0,0.0569395017793594,0.1763224181360201,0.3042168674698795,0.178470254957507,0.4489164086687306,-0.75,-0.51,0.41,-20.87,-11.05,-18.68,0.0,-57.0,57.0,1
0.4434523809523809,0.4669811320754717,0.4431279620853081,0.9410112359550562,0.2980132450331126,-0.78,0.63,0.09,51.88,-2.69,-11.29,6.0,13.0,35.0,0.2170818505338078,0.3148614609571788,0.4066265060240964,0.2464589235127478,0.6160990712074303,-0.81,-0.5,0.28,-39.92,-8.97,7.2,-1.0,-54.0,54.0,1
0.6458333333333334,0.6297169811320755,0.6018957345971564,0.99438202247191,0.4437086092715231,-0.76,0.65,0.16,47.24,-16.05,0.31,6.0,12.0,40.0,0.4519572953736654,0.4710327455919395,0.4909638554216867,0.4390934844192634,0.7770897832817337,-0.81,-0.49,0.31,-58.47,-13.85,21.73,0.0,-56.0,63.0,1
0.9077380952380952,0.8066037735849056,0.7606635071090048,0.9971910112359552,0.5916114790286976,-0.79,0.57,0.16,44.68,-19.71,18.98,6.0,15.0,40.0,0.6298932384341637,0.7178841309823678,0.7560240963855421,0.6798866855524079,0.8978328173374613,-0.95,-0.44,0.23,-47.61,-42.18,6.84,3.0,-55.0,65.0,1
0.9970238095238096,0.8985849056603774,0.8791469194312796,0.99438202247191,0.739514348785872,-0.84,0.52,0.17,25.15,-1.71,10.31,2.0,15.0,43.0,0.8256227758007118,0.9924433249370276,0.9969879518072288,0.9943342776203966,1.0,-0.86,-0.42,0.44,-25.57,5.74,-12.63,2.0,-56.0,63.0,1
0.9970238095238096,0.9433962264150944,0.962085308056872,0.9971910112359552,0.869757174392936,-0.76,0.49,0.27,38.21,24.96,21.85,2.0,15.0,40.0,0.9217081850533808,0.9949622166246852,1.0,0.9915014164305948,1.0,-0.85,-0.35,0.41,-24.23,-8.0,-10.07,7.0,-56.0,65.0,1
0.9970238095238096,0.9952830188679244,0.9976303317535544,0.99438202247191,0.9977924944812362,-0.86,0.43,0.29,36.62,-18.19,27.59,1.0,16.0,43.0,0.9501779359430604,0.9949622166246852,0.9969879518072288,0.9915014164305948,1.0,-0.8,-0.34,0.46,-25.27,11.6,-3.97,7.0,-56.0,72.0,1
