Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Thumb2,Index2,Middle2,Ring2,Pinky2,AccelX2,AccelY2,AccelZ2,GyroX2,GyroY2,GyroZ2,MagX2,MagY2,MagZ2,Letter
0.9936305732484076,1.0,0.995085995085995,0.9934640522875817,0.9955849889624724,-0.23,0.6,0.75,-5.49,-0.43,1.1,21.0,-12.0,24.0,0.9929577464788732,1.0,1.0,0.997289972899729,0.9921259842519685,-0.07,-0.71,0.74,-0.98,3.91,3.48,3.0,-90.0,59.0,10
0.9968152866242038,1.0,1.0,0.9901960784313726,0.9977924944812362,-0.24,0.61,0.74,-2.14,3.66,-0.12,18.0,-10.0,23.0,0.9823943661971831,0.98989898989899,0.9940652818991098,0.997289972899729,0.9973753280839895,-0.07,-0.72,0.7,-0.49,4.52,-1.4,5.0,-88.0,61.0,10
0.9968152866242038,0.9976019184652278,1.0,0.9967320261437909,0.9977924944812362,-0.24,0.6,0.75,-9.16,0.67,-3.54,22.0,-11.0,24.0,0.9859154929577465,0.9974747474747475,0.9970326409495549,1.0,0.994750656167979,-0.1,-0.72,0.7,-5.62,1.22,-0.79,3.0,-86.0,62.0,10
0.9936305732484076,0.9976019184652278,0.995085995085995,0.9967320261437909,0.9933774834437086,-0.21,0.61,0.74,-3.85,-0.61,0.61,20.0,-10.0,28.0,0.9859154929577465,1.0,0.9940652818991098,0.994579945799458,0.994750656167979,-0.09,-0.7,0.72,-5.37,3.72,4.09,4.0,-86.0,62.0,10
0.9968152866242038,0.9976019184652278,0.9975429975429976,0.9934640522875817,1.0022075055187638,-0.23,0.62,0.73,-1.53,0.43,-0.37,21.0,-13.0,22.0,0.9788732394366197,1.0,0.9940652818991098,0.994579945799458,0.994750656167979,-0.06,-0.7,0.72,-1.28,3.42,0.24,5.0,-86.0,64.0,10
1.0,1.0,0.995085995085995,0.9967320261437909,0.9933774834437086,-0.21,0.61,0.74,-0.43,2.81,-0.43,18.0,-10.0,22.0,0.9647887323943662,0.9974747474747475,0.9970326409495549,1.002710027100271,0.9973753280839895,0.06,-0.82,0.64,-57.19,52.49,-59.08,3.0,-85.0,58.0,10
0.9968152866242038,1.0,0.9926289926289926,0.9934640522875817,0.9977924944812362,-0.2,0.63,0.73,2.14,-1.16,1.59,20.0,-12.0,27.0,0.9577464788732394,1.0,1.002967359050445,0.994579945799458,0.9973753280839895,0.13,-0.75,0.68,-107.67,21.85,-43.33,10.0,-87.0,67.0,10
0.9968152866242038,0.9976019184652278,0.995085995085995,1.0,0.9955849889624724,-0.04,0.6,0.65,33.63,-4.82,12.51,17.0,-10.0,26.0,0.9225352112676056,0.9974747474747475,0.9970326409495549,1.0,0.9921259842519685,0.12,-0.28,0.56,-61.77,-31.19,-103.7,9.0,-84.0,67.0,10
0.9936305732484076,0.9952038369304557,0.995085995085995,1.0,0.9977924944812362,-0.14,0.49,0.71,41.56,-38.15,50.78,16.0,-11.0,34.0,0.8943661971830986,0.9974747474747475,0.9970326409495549,0.997289972899729,0.994750656167979,-0.08,0.05,0.89,-42.48,110.78,-148.68,7.0,-79.0,70.0,10
0.9968152866242038,1.0023980815347722,0.9926289926289926,0.9934640522875817,0.9580573951434879,-0.48,0.22,0.68,-1.46,-84.17,64.88,19.0,-7.0,32.0,0.9295774647887324,0.9974747474747475,0.9970326409495549,0.997289972899729,0.9973753280839895,-0.31,0.23,1.42,-51.27,-145.02,-59.45,10.0,-76.0,73.0,10
1.0,1.0,0.9901719901719902,0.9934640522875817,0.8454746136865342,-0.39,0.34,0.86,-4.82,2.44,62.5,17.0,-3.0,37.0,0.9295774647887324,0.9974747474747475,0.9970326409495549,0.997289972899729,0.994750656167979,-0.15,-0.24,0.86,34.36,20.63,-17.88,8.0,-77.0,68.0,10
0.9872611464968153,0.9928057553956835,0.9705159705159705,0.9934640522875817,0.8013245033112583,-0.76,0.34,0.77,11.66,39.61,53.47,19.0,0.0,34.0,0.9330985915492958,0.9924242424242424,0.9910979228486647,0.994579945799458,0.9973753280839895,-0.32,-0.21,0.88,-62.99,-11.54,-8.79,10.0,-73.0,69.0,10
