Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Thumb2,Index2,Middle2,Ring2,Pinky2,AccelX2,AccelY2,AccelZ2,GyroX2,GyroY2,GyroZ2,MagX2,MagY2,MagZ2,Letter
0.9941002949852508,0.9976470588235294,0.9955257270693512,0.9970326409495548,0.9788732394366196,0.25,0.48,0.84,-3.91,-0.92,-0.85,10.0,-21.0,28.0,0.8142857142857143,1.0,0.25,0.25,0.25,-0.04,-0.6,0.79,0.12,-5.31,2.56,0.0,-80.0,62.0,1
0.9941002949852508,1.0,0.9955257270693512,0.9970326409495548,0.971830985915493,0.23,0.46,0.86,3.05,-2.14,0.37,11.0,-23.0,30.0,0.8095238095238095,0.9929742388758782,0.25,0.25,0.25,-0.05,-0.59,0.81,-3.97,-3.54,1.77,0.0,-82.0,58.0,1
0.9941002949852508,0.9905882352941175,0.9932885906040269,1.0,0.976525821596244,0.23,0.46,0.86,-2.26,-0.67,1.83,8.0,-22.0,28.0,0.819047619047619,0.9953161592505856,0.25,0.25,0.25,-0.03,-0.6,0.82,1.16,-0.37,2.01,-1.0,-80.0,58.0,1
0.9970501474926252,0.9952941176470588,0.9977628635346756,1.0,0.971830985915493,0.24,0.46,0.85,-1.53,-0.31,-0.18,11.0,-22.0,28.0,0.8095238095238095,0.9929742388758782,0.25,0.25,0.25,-0.03,-0.6,0.81,2.2,0.24,0.43,-1.0,-81.0,57.0,1
0.9970501474926252,0.9976470588235294,0.9932885906040269,0.9940652818991098,0.976525821596244,0.24,0.46,0.87,0.61,-0.37,-1.22,10.0,-24.0,28.0,0.8142857142857143,0.9953161592505856,0.25,0.25,0.25,-0.03,-0.6,0.81,-0.06,-0.37,1.22,0.0,-81.0,55.0,1
0.9970501474926252,1.0,1.0,0.9940652818991098,0.9694835680751174,0.22,0.45,0.83,0.18,-3.11,-1.95,11.0,-20.0,25.0,0.8142857142857143,0.9953161592505856,0.25,0.25,0.25,-0.03,-0.59,0.81,-0.49,1.53,0.67,-2.0,-82.0,55.0,1
0.9970501474926252,0.9976470588235294,0.9955257270693512,1.0,0.9671361502347418,0.25,0.47,0.84,-3.42,-3.6,-1.53,13.0,-24.0,29.0,0.8142857142857143,0.9976580796252928,0.25,0.25,0.25,-0.02,-0.6,0.82,1.28,-0.18,0.61,-2.0,-84.0,53.0,1
0.9970501474926252,0.9952941176470588,0.9977628635346756,0.9970326409495548,0.9530516431924884,0.24,0.45,0.85,1.71,6.1,-1.77,12.0,-24.0,27.0,0.819047619047619,0.9953161592505856,0.25,0.25,0.25,-0.03,-0.59,0.81,1.1,-0.49,-0.92,0.0,-85.0,59.0,1
0.991150442477876,0.9976470588235294,0.9977628635346756,0.9970326409495548,0.9507042253521126,0.25,0.45,0.85,2.75,0.06,-2.26,9.0,-23.0,30.0,0.8142857142857143,0.9929742388758782,0.25,0.25,0.25,-0.03,-0.59,0.81,-2.01,0.18,0.61,0.0,-81.0,58.0,1
0.9941002949852508,0.9952941176470588,0.9932885906040269,1.0,0.9483568075117372,0.25,0.45,0.86,6.41,-2.38,-3.97,11.0,-23.0,28.0,0.8142857142857143,0.990632318501171,0.25,0.25,0.25,-0.02,-0.6,0.81,-0.18,2.08,-0.55,0.0,-83.0,60.0,1
