Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
535.0,640.0,642.0,416.0,616.0,-0.83,-0.48,0.22,36.13,19.78,-7.81,23.0,17.0,34.0,7
601.0,641.0,643.0,389.0,525.0,0.06,-1.0,0.0,6.04,17.7,-0.31,-8.0,-44.0,20.0,9
468.0,641.0,498.0,416.0,566.0,-0.76,-0.52,0.51,14.83,-0.79,-13.24,-7.0,-13.0,26.0,6
563.0,641.0,357.0,376.0,521.0,-0.03,-0.99,0.25,3.05,-37.54,8.97,-4.0,-14.0,39.0,3
359.0,312.0,381.0,295.0,386.0,0.13,-1.01,0.07,14.47,-62.62,0.55,-12.0,-10.0,19.0,4
614.0,316.0,368.0,309.0,387.0,0.3,-0.96,-0.04,-1.77,26.12,-4.39,-6.0,-54.0,-14.0,0
622.0,566.0,551.0,501.0,618.0,0.01,-0.98,0.23,-3.72,30.21,-5.19,-9.0,-5.0,37.0,2
469.0,641.0,510.0,420.0,596.0,-0.7,-0.45,0.52,-15.5,-10.5,13.79,11.0,-9.0,39.0,6
478.0,397.0,642.0,615.0,617.0,0.05,-0.98,-0.24,1.77,-5.43,-3.54,-12.0,-38.0,-37.0,5
486.0,642.0,434.0,340.0,454.0,-0.1,-0.99,-0.05,-8.24,-17.21,-3.6,-12.0,10.0,-18.0,3
570.0,641.0,513.0,363.0,493.0,-0.78,-0.61,0.07,32.35,25.02,-18.68,19.0,39.0,-3.0,6
635.0,642.0,642.0,402.0,557.0,0.18,-1.02,0.12,12.27,-22.77,2.69,-11.0,-26.0,27.0,9
576.0,640.0,341.0,364.0,504.0,0.16,-0.95,0.22,7.2,9.34,3.91,-4.0,-47.0,18.0,3
383.0,331.0,395.0,313.0,420.0,0.03,-0.95,-0.18,1.4,3.6,0.24,-15.0,-51.0,-1.0,4
590.0,643.0,642.0,381.0,515.0,0.06,-0.98,-0.15,0.06,-7.75,3.3,-11.0,0.0,-18.0,9
566.0,642.0,643.0,347.0,486.0,-1.1,-0.08,0.19,24.9,2.56,-10.38,50.0,16.0,27.0,7
461.0,641.0,641.0,615.0,614.0,0.27,-0.97,-0.05,8.79,-35.71,-2.14,-20.0,0.0,-7.0,1
475.0,642.0,642.0,614.0,615.0,0.2,-0.98,-0.04,-12.7,57.56,3.36,-21.0,-13.0,18.0,1
518.0,427.0,643.0,613.0,617.0,0.1,-1.01,-0.08,7.63,-12.08,0.98,-4.0,-33.0,-38.0,5
417.0,371.0,430.0,384.0,618.0,0.04,-1.03,0.11,-1.28,-7.39,-3.97,-15.0,-21.0,32.0,8
