Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
638.0,286.0,354.0,292.0,392.0,0.07,-1.01,0.0,1.04,-1.1,-0.92,-14.0,-41.0,21.0,0
635.0,287.0,354.0,292.0,392.0,0.05,-1.02,0.01,0.92,-3.17,-1.34,-17.0,-40.0,21.0,0
638.0,288.0,355.0,290.0,392.0,0.08,-1.0,-0.0,0.98,-4.15,1.1,-16.0,-41.0,21.0,0
638.0,288.0,354.0,291.0,392.0,0.07,-1.01,0.01,-1.65,-12.82,-9.22,-18.0,-40.0,24.0,0
638.0,289.0,354.0,291.0,390.0,0.04,-1.02,0.04,0.49,-28.32,4.64,-12.0,-38.0,27.0,0
637.0,289.0,353.0,290.0,387.0,0.06,-1.01,0.02,-1.77,-30.82,-0.43,-17.0,-38.0,25.0,0
638.0,290.0,356.0,290.0,387.0,0.0,-1.01,0.03,-2.2,-50.72,-13.06,-14.0,-34.0,27.0,0
637.0,290.0,353.0,290.0,386.0,0.0,-1.0,0.03,-1.65,-45.47,-7.57,-14.0,-30.0,27.0,0
638.0,290.0,354.0,289.0,387.0,-0.01,-1.01,0.03,2.5,-32.41,-6.47,-16.0,-28.0,28.0,0
639.0,290.0,354.0,290.0,387.0,0.01,-1.01,0.03,3.3,-15.99,1.89,-17.0,-28.0,28.0,0
636.0,290.0,354.0,288.0,384.0,0.02,-1.01,0.03,0.79,-36.62,-5.86,-14.0,-28.0,30.0,0
637.0,290.0,354.0,288.0,384.0,0.01,-1.03,0.0,5.13,-20.02,-1.65,-15.0,-24.0,31.0,0
637.0,291.0,353.0,289.0,380.0,-0.05,-1.03,-0.02,7.39,-31.07,-8.91,-15.0,-22.0,27.0,0
639.0,291.0,354.0,291.0,381.0,-0.03,-0.99,0.02,7.26,-13.73,5.13,-16.0,-22.0,27.0,0
639.0,292.0,356.0,288.0,384.0,0.02,-1.01,0.02,-3.05,-30.94,2.44,-15.0,-22.0,26.0,0
637.0,292.0,354.0,290.0,382.0,-0.01,-1.0,-0.01,0.43,-42.3,-7.45,-15.0,-19.0,25.0,0
639.0,292.0,355.0,288.0,383.0,-0.03,-1.0,0.0,4.76,-40.16,-3.42,-16.0,-17.0,30.0,0
638.0,291.0,354.0,287.0,384.0,-0.01,-1.01,-0.0,1.53,-63.6,-9.64,-15.0,-15.0,19.0,0
639.0,292.0,353.0,288.0,385.0,-0.01,-0.99,-0.01,6.47,-44.43,1.71,-16.0,-14.0,26.0,0
638.0,292.0,354.0,286.0,383.0,-0.01,-0.98,-0.05,8.0,-38.7,-3.3,-16.0,-11.0,25.0,0
636.0,292.0,353.0,287.0,383.0,0.01,-1.0,-0.07,5.25,-42.97,-10.56,-15.0,-11.0,23.0,0
638.0,293.0,353.0,288.0,382.0,-0.05,-1.0,-0.08,0.92,-31.31,-7.45,-17.0,-7.0,23.0,0
638.0,293.0,352.0,288.0,380.0,-0.03,-1.01,-0.03,-1.65,-18.74,-0.37,-15.0,-7.0,18.0,0
638.0,293.0,352.0,288.0,383.0,-0.03,-0.98,-0.07,6.47,-35.22,-4.76,-15.0,-4.0,18.0,0
638.0,291.0,352.0,288.0,385.0,-0.03,-1.0,-0.09,9.03,-35.58,-8.36,-18.0,-3.0,14.0,0
638.0,292.0,351.0,286.0,381.0,-0.05,-1.0,-0.13,7.39,-32.23,-10.19,-17.0,-2.0,18.0,0
641.0,292.0,352.0,288.0,382.0,-0.07,-1.02,-0.12,6.47,-27.1,-5.62,-17.0,0.0,14.0,0
637.0,291.0,352.0,286.0,384.0,-0.05,-1.0,-0.15,5.07,-14.34,2.38,-19.0,0.0,9.0,0
637.0,291.0,352.0,288.0,383.0,-0.03,-0.99,-0.16,4.33,-37.48,-3.54,-15.0,1.0,10.0,0
636.0,292.0,352.0,286.0,382.0,-0.05,-0.99,-0.17,2.87,-10.13,-2.87,-17.0,2.0,6.0,0
637.0,291.0,351.0,285.0,382.0,-0.08,-1.01,-0.17,0.55,-24.35,-6.1,-15.0,5.0,6.0,0
638.0,293.0,352.0,288.0,382.0,-0.06,-1.0,-0.19,2.2,-18.68,-0.67,-14.0,4.0,5.0,0
637.0,292.0,352.0,287.0,381.0,-0.03,-1.0,-0.16,1.04,-24.05,2.2,-16.0,5.0,7.0,0
639.0,292.0,353.0,286.0,383.0,-0.07,-0.97,-0.17,7.75,-40.83,-2.87,-21.0,5.0,3.0,0
639.0,291.0,351.0,286.0,381.0,-0.04,-0.99,-0.2,7.87,-37.72,-8.36,-18.0,3.0,1.0,0
639.0,292.0,352.0,287.0,381.0,-0.01,-1.0,-0.18,4.76,-39.43,-6.9,-16.0,4.0,-3.0,0
638.0,292.0,352.0,285.0,382.0,-0.0,-0.98,-0.19,2.81,-27.04,-0.98,-16.0,1.0,-4.0,0
638.0,293.0,351.0,288.0,380.0,-0.01,-0.99,-0.19,1.65,-14.59,0.31,-18.0,6.0,-4.0,0
638.0,293.0,350.0,287.0,382.0,-0.03,-1.0,-0.21,2.26,-24.05,-5.19,-16.0,4.0,-5.0,0
639.0,291.0,351.0,286.0,382.0,-0.0,-0.99,-0.21,1.22,-30.15,-6.23,-19.0,4.0,-6.0,0
638.0,292.0,352.0,287.0,381.0,-0.04,-0.98,-0.23,4.88,-34.36,-3.23,-16.0,5.0,-12.0,0
638.0,291.0,354.0,285.0,381.0,0.02,-0.97,-0.22,8.3,-34.24,-2.69,-17.0,5.0,-10.0,0
639.0,292.0,352.0,285.0,382.0,0.03,-0.98,-0.26,5.55,-24.17,-5.07,-18.0,4.0,-6.0,0
638.0,292.0,353.0,286.0,381.0,-0.01,-0.99,-0.21,1.04,-28.38,-4.39,-16.0,3.0,-11.0,0
638.0,293.0,353.0,285.0,380.0,0.03,-0.95,-0.26,2.56,-33.26,-2.44,-16.0,2.0,-17.0,0
638.0,292.0,353.0,288.0,381.0,0.04,-0.98,-0.27,9.28,-34.67,-5.19,-16.0,2.0,-19.0,0
638.0,294.0,352.0,286.0,382.0,0.01,-0.99,-0.28,4.52,-33.69,-10.07,-17.0,0.0,-16.0,0
638.0,294.0,352.0,287.0,383.0,-0.05,-0.94,-0.32,2.38,-28.08,-12.39,-14.0,0.0,-16.0,0
638.0,294.0,353.0,285.0,383.0,-0.07,-0.94,-0.31,-0.73,-22.28,-7.45,-15.0,-2.0,-21.0,0
638.0,293.0,354.0,287.0,383.0,-0.01,-0.93,-0.26,-4.76,-13.06,3.17,-16.0,2.0,-19.0,0
637.0,291.0,354.0,286.0,382.0,0.03,-0.99,-0.26,1.16,-24.41,-8.67,-14.0,0.0,-24.0,0
637.0,293.0,352.0,287.0,380.0,0.1,-1.02,-0.23,-9.22,-12.08,-4.58,-16.0,0.0,-19.0,0
638.0,294.0,354.0,286.0,382.0,0.0,-1.01,-0.2,2.99,-30.15,-10.86,-14.0,0.0,-23.0,0
640.0,295.0,355.0,288.0,382.0,0.02,-0.99,-0.27,10.31,-39.31,1.4,-11.0,0.0,-24.0,0
637.0,292.0,352.0,287.0,382.0,0.12,-0.96,-0.23,1.46,-33.33,9.46,-10.0,-2.0,-26.0,0
640.0,293.0,354.0,286.0,384.0,0.11,-0.96,-0.21,6.23,-43.7,-2.38,-12.0,-4.0,-24.0,0
636.0,293.0,352.0,286.0,381.0,0.06,-0.94,-0.27,7.39,-37.9,-13.92,-15.0,-4.0,-29.0,0
638.0,293.0,354.0,285.0,381.0,0.03,-0.97,-0.28,3.23,-19.35,-14.59,-13.0,-4.0,-33.0,0
640.0,294.0,352.0,287.0,380.0,0.07,-0.99,-0.29,1.77,-25.88,-8.79,-11.0,-4.0,-29.0,0
639.0,293.0,352.0,287.0,381.0,0.05,-0.98,-0.27,1.46,-22.28,-4.58,-11.0,-5.0,-29.0,0
638.0,293.0,353.0,287.0,381.0,0.03,-0.97,-0.26,1.28,-30.4,-9.09,-13.0,-7.0,-29.0,0
638.0,293.0,353.0,286.0,381.0,0.01,-0.98,-0.23,2.69,-43.88,-10.8,-10.0,-12.0,-31.0,0
637.0,293.0,352.0,287.0,381.0,0.04,-0.98,-0.25,6.96,-33.26,-11.35,-11.0,-11.0,-35.0,0
638.0,294.0,354.0,285.0,382.0,0.03,-0.99,-0.3,5.07,-31.13,-18.31,-11.0,-10.0,-34.0,0
637.0,293.0,354.0,285.0,384.0,0.05,-0.98,-0.3,-6.47,-35.95,-6.53,-10.0,-11.0,-38.0,0
639.0,295.0,353.0,287.0,382.0,0.08,-0.95,-0.2,-8.18,-31.74,-12.02,-10.0,-14.0,-34.0,0
640.0,295.0,354.0,287.0,382.0,0.03,-0.97,-0.18,2.93,-28.32,-12.57,-12.0,-13.0,-38.0,0
637.0,294.0,353.0,287.0,383.0,0.13,-1.1,-0.37,4.88,-34.79,-10.19,-10.0,-15.0,-36.0,0
640.0,293.0,353.0,288.0,381.0,-0.0,-0.94,-0.26,-1.77,-62.5,-9.77,-9.0,-17.0,-38.0,0
639.0,293.0,355.0,286.0,384.0,-0.0,-0.95,-0.22,2.14,-19.17,-3.97,-10.0,-17.0,-39.0,0
639.0,296.0,352.0,287.0,381.0,0.0,-0.93,-0.21,-8.91,-13.79,7.32,-8.0,-19.0,-39.0,0
639.0,294.0,353.0,287.0,381.0,0.1,-0.96,-0.22,-3.05,-0.37,15.99,-10.0,-22.0,-33.0,0
637.0,294.0,354.0,285.0,382.0,0.08,-1.02,-0.19,6.1,-17.46,-0.55,-11.0,-24.0,-37.0,0
639.0,293.0,353.0,287.0,382.0,0.14,-1.04,-0.18,8.54,-20.63,-6.35,-11.0,-23.0,-36.0,0
638.0,295.0,355.0,286.0,381.0,0.08,-1.0,-0.18,-7.08,-32.96,-20.63,-10.0,-25.0,-37.0,0
636.0,295.0,353.0,288.0,381.0,0.09,-0.97,-0.12,-10.86,-22.83,-14.65,-11.0,-25.0,-37.0,0
639.0,295.0,355.0,287.0,382.0,0.05,-0.99,-0.17,3.6,-24.72,-6.84,-10.0,-26.0,-34.0,0
638.0,294.0,353.0,286.0,381.0,0.06,-1.01,-0.23,14.95,-26.43,0.0,-9.0,-28.0,-40.0,0
637.0,295.0,354.0,284.0,380.0,0.07,-0.97,-0.19,4.46,-27.83,-0.06,-11.0,-30.0,-38.0,0
