Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
356.0,640.0,640.0,615.0,616.0,-0.41,-0.83,-0.18,17.52,-48.65,30.94,-4.0,21.0,3.0,1
356.0,640.0,640.0,614.0,617.0,-0.37,-0.93,-0.15,-15.99,106.51,11.96,-5.0,19.0,7.0,1
356.0,639.0,640.0,613.0,615.0,-0.38,-0.99,-0.06,-43.95,138.12,8.54,-6.0,17.0,19.0,1
353.0,640.0,639.0,614.0,616.0,-0.38,-0.89,-0.16,-60.91,437.93,28.38,0.0,-1.0,34.0,1
363.0,640.0,640.0,612.0,616.0,0.47,-0.85,0.14,1.71,491.58,79.47,2.0,-44.0,39.0,1
368.0,641.0,640.0,613.0,617.0,0.48,-0.88,0.46,15.01,22.28,29.79,2.0,-61.0,29.0,1
367.0,641.0,640.0,614.0,617.0,0.43,-0.88,0.29,0.43,40.34,-18.92,1.0,-60.0,25.0,1
367.0,641.0,641.0,613.0,614.0,0.34,-0.91,0.24,1.77,-12.08,-51.27,0.0,-59.0,25.0,1
366.0,640.0,640.0,612.0,616.0,0.29,-0.94,0.24,6.65,0.0,-36.07,-1.0,-58.0,25.0,1
367.0,639.0,640.0,613.0,617.0,0.31,-0.96,0.25,-0.98,22.77,-4.94,-1.0,-56.0,23.0,1
368.0,638.0,642.0,613.0,615.0,0.26,-0.92,0.24,-20.51,16.78,-2.93,-4.0,-55.0,23.0,1
370.0,638.0,640.0,613.0,615.0,0.25,-0.97,0.34,16.36,-5.92,1.16,-3.0,-55.0,26.0,1
369.0,640.0,640.0,615.0,615.0,0.28,-1.05,0.22,29.17,18.31,11.66,-4.0,-58.0,23.0,1
371.0,641.0,638.0,613.0,616.0,0.32,-0.92,0.16,16.17,2.62,2.14,-5.0,-59.0,18.0,1
372.0,640.0,640.0,613.0,615.0,0.26,-0.9,0.17,4.88,-3.66,-9.28,-4.0,-57.0,18.0,1
371.0,640.0,641.0,613.0,616.0,0.27,-0.92,0.18,1.46,-0.55,0.43,-5.0,-56.0,17.0,1
372.0,641.0,638.0,613.0,616.0,0.34,-0.92,0.23,2.75,-3.42,5.92,-5.0,-57.0,17.0,1
372.0,640.0,640.0,614.0,616.0,0.31,-0.95,0.14,9.22,-10.62,0.18,-7.0,-58.0,16.0,1
372.0,640.0,640.0,613.0,616.0,0.3,-0.95,0.16,-0.06,-11.47,-0.67,-5.0,-58.0,21.0,1
374.0,640.0,641.0,612.0,615.0,0.31,-0.95,0.16,-2.62,-6.65,2.44,-5.0,-58.0,21.0,1
375.0,641.0,639.0,612.0,615.0,0.32,-0.96,0.19,-1.1,-1.4,-0.37,-5.0,-54.0,19.0,1
374.0,639.0,640.0,612.0,616.0,0.31,-0.96,0.19,0.31,-4.15,-3.48,-5.0,-57.0,22.0,1
375.0,641.0,639.0,613.0,617.0,0.26,-0.96,0.23,-3.23,-45.17,-2.08,-5.0,-56.0,23.0,1
375.0,639.0,640.0,613.0,616.0,0.31,-0.96,0.23,-2.93,-50.54,-0.43,-5.0,-55.0,23.0,1
380.0,641.0,639.0,614.0,616.0,0.28,-0.95,0.24,-2.69,-44.62,6.77,-6.0,-52.0,31.0,1
381.0,640.0,642.0,613.0,616.0,0.22,-0.94,0.25,-2.75,-28.38,7.08,-4.0,-51.0,30.0,1
381.0,641.0,640.0,612.0,615.0,0.26,-0.95,0.28,0.98,-7.93,5.74,-2.0,-50.0,35.0,1
376.0,640.0,640.0,615.0,615.0,0.24,-0.95,0.26,5.19,-9.46,0.06,-5.0,-50.0,34.0,1
373.0,640.0,640.0,614.0,616.0,0.26,-0.94,0.26,7.2,-7.93,0.61,-5.0,-48.0,32.0,1
371.0,639.0,642.0,612.0,616.0,0.29,-0.96,0.3,7.75,-26.37,2.56,-5.0,-49.0,31.0,1
372.0,640.0,640.0,613.0,617.0,0.18,-0.96,0.27,-4.82,-122.25,10.8,-4.0,-44.0,37.0,1
373.0,641.0,640.0,614.0,615.0,0.21,-0.94,0.28,8.54,18.01,4.09,-3.0,-42.0,37.0,1
375.0,640.0,641.0,612.0,617.0,0.29,-0.94,0.37,-2.14,-17.21,5.25,-2.0,-40.0,35.0,1
376.0,639.0,638.0,612.0,615.0,0.16,-0.93,0.3,-5.0,-44.92,13.24,-3.0,-40.0,38.0,1
376.0,640.0,640.0,612.0,616.0,0.2,-0.96,0.34,0.67,-27.04,13.18,-2.0,-35.0,40.0,1
380.0,640.0,639.0,614.0,617.0,0.18,-0.95,0.32,7.32,-6.84,4.15,-2.0,-35.0,39.0,1
382.0,640.0,641.0,611.0,617.0,0.19,-0.92,0.33,8.48,-8.36,3.6,-1.0,-35.0,39.0,1
396.0,639.0,639.0,614.0,618.0,0.18,-0.94,0.31,7.14,-2.56,0.85,-3.0,-34.0,37.0,1
401.0,639.0,641.0,613.0,617.0,0.21,-0.94,0.3,2.5,6.41,0.24,-3.0,-35.0,38.0,1
398.0,641.0,640.0,613.0,616.0,0.21,-0.94,0.3,2.69,-0.49,0.49,-3.0,-34.0,37.0,1
402.0,640.0,641.0,612.0,617.0,0.19,-0.95,0.28,3.05,-9.7,-1.46,-4.0,-35.0,38.0,1
404.0,639.0,640.0,614.0,615.0,0.18,-0.98,0.28,0.43,-15.14,1.22,-3.0,-31.0,38.0,1
406.0,640.0,640.0,613.0,616.0,0.2,-0.93,0.32,1.46,1.4,4.33,-3.0,-34.0,37.0,1
409.0,640.0,640.0,614.0,615.0,0.19,-0.94,0.29,-0.49,-2.56,2.5,-5.0,-29.0,40.0,1
416.0,640.0,640.0,613.0,617.0,0.21,-0.95,0.32,-2.08,3.78,-0.73,-4.0,-32.0,41.0,1
445.0,642.0,638.0,614.0,615.0,0.2,-0.95,0.31,-7.2,5.49,-0.98,-4.0,-33.0,39.0,1
454.0,641.0,640.0,612.0,618.0,0.22,-0.94,0.34,-3.78,17.7,1.22,-2.0,-36.0,40.0,1
