Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
628.0,549.0,564.0,519.0,617.0,0.2,-0.94,0.36,5.92,-0.55,2.81,-7.0,-13.0,38.0,2
629.0,548.0,565.0,518.0,615.0,0.2,-0.93,0.33,5.37,-0.37,2.32,-10.0,-15.0,42.0,2
629.0,549.0,566.0,519.0,618.0,0.22,-0.93,0.33,2.2,0.67,0.73,-10.0,-12.0,41.0,2
629.0,547.0,564.0,517.0,615.0,0.21,-0.94,0.33,4.52,-8.24,-1.59,-9.0,-14.0,42.0,2
628.0,552.0,566.0,518.0,614.0,0.21,-0.95,0.33,1.71,-3.66,2.14,-7.0,-15.0,39.0,2
628.0,551.0,563.0,519.0,618.0,0.21,-0.94,0.32,2.69,-8.3,4.33,-9.0,-13.0,42.0,2
626.0,549.0,565.0,517.0,617.0,0.17,-0.94,0.33,6.71,-19.35,-0.67,-7.0,-13.0,36.0,2
615.0,538.0,563.0,517.0,613.0,0.19,-0.95,0.31,9.58,-27.22,-1.34,-11.0,-13.0,35.0,2
615.0,538.0,563.0,516.0,616.0,0.18,-0.95,0.31,8.61,-28.38,0.43,-9.0,-11.0,37.0,2
614.0,539.0,563.0,516.0,616.0,0.15,-0.95,0.31,7.08,-25.45,0.37,-10.0,-10.0,33.0,2
610.0,540.0,560.0,513.0,616.0,0.16,-0.94,0.29,8.91,-34.24,-2.2,-10.0,-5.0,34.0,2
608.0,540.0,557.0,512.0,616.0,0.08,-0.96,0.29,5.55,-43.15,-0.49,-11.0,-3.0,32.0,2
607.0,539.0,555.0,508.0,617.0,0.1,-1.0,0.3,7.2,-26.31,-0.55,-11.0,-4.0,33.0,2
605.0,539.0,554.0,508.0,616.0,0.09,-0.97,0.3,16.24,-21.24,3.72,-12.0,-1.0,30.0,2
603.0,536.0,556.0,506.0,616.0,0.11,-0.96,0.27,15.26,-16.3,6.65,-12.0,0.0,29.0,2
604.0,538.0,555.0,508.0,615.0,0.09,-0.97,0.26,12.7,-13.85,2.69,-14.0,0.0,26.0,2
602.0,539.0,555.0,508.0,616.0,0.1,-0.99,0.25,6.16,-2.69,6.35,-13.0,0.0,22.0,2
603.0,539.0,555.0,507.0,616.0,0.11,-0.99,0.24,1.28,-11.54,8.24,-14.0,0.0,23.0,2
602.0,539.0,554.0,506.0,616.0,0.13,-0.96,0.24,3.66,-6.16,8.48,-14.0,-1.0,27.0,2
602.0,539.0,555.0,505.0,617.0,0.14,-0.96,0.2,18.37,-39.86,0.92,-16.0,-1.0,22.0,2
603.0,539.0,555.0,504.0,616.0,0.09,-1.0,0.16,7.75,-10.56,0.92,-17.0,0.0,23.0,2
603.0,537.0,555.0,503.0,615.0,0.17,-0.98,0.21,2.62,-13.55,2.93,-17.0,0.0,20.0,2
605.0,539.0,556.0,503.0,617.0,0.04,-0.98,0.16,16.17,-32.47,-2.93,-18.0,1.0,17.0,2
605.0,538.0,555.0,506.0,615.0,0.11,-0.98,0.18,8.3,-24.05,-0.79,-16.0,0.0,17.0,2
605.0,537.0,556.0,506.0,616.0,0.1,-1.0,0.16,0.49,4.21,-0.18,-16.0,0.0,16.0,2
607.0,538.0,556.0,505.0,616.0,0.09,-0.99,0.18,6.16,-7.87,0.37,-18.0,1.0,19.0,2
606.0,538.0,557.0,504.0,616.0,0.08,-0.99,0.16,10.19,-17.94,0.79,-19.0,1.0,14.0,2
604.0,539.0,556.0,506.0,618.0,0.12,-0.98,0.17,9.52,-13.49,1.59,-18.0,3.0,15.0,2
605.0,535.0,556.0,503.0,616.0,0.12,-1.0,0.12,14.47,-32.1,1.28,-20.0,0.0,11.0,2
606.0,537.0,555.0,502.0,616.0,0.08,-1.01,0.1,7.87,-15.87,2.26,-17.0,0.0,11.0,2
606.0,537.0,556.0,503.0,615.0,0.11,-0.99,0.09,6.16,-6.84,4.15,-18.0,1.0,9.0,2
605.0,538.0,556.0,504.0,617.0,0.07,-1.0,0.08,6.47,-22.03,-1.28,-19.0,4.0,6.0,2
605.0,539.0,556.0,504.0,616.0,0.08,-1.0,0.08,8.06,-17.21,-1.59,-18.0,4.0,7.0,2
605.0,540.0,556.0,504.0,615.0,0.07,-1.0,0.06,4.21,-21.3,-3.11,-20.0,5.0,4.0,2
604.0,540.0,556.0,505.0,616.0,0.06,-1.01,0.08,4.76,-26.49,-1.46,-19.0,4.0,1.0,2
603.0,539.0,555.0,504.0,616.0,0.06,-1.02,0.06,8.79,-22.34,2.69,-19.0,4.0,1.0,2
601.0,541.0,555.0,504.0,617.0,0.04,-1.01,0.05,9.83,-11.17,5.31,-21.0,4.0,0.0,2
603.0,539.0,555.0,504.0,616.0,0.1,-1.0,0.04,9.03,-16.6,4.64,-19.0,2.0,-1.0,2
601.0,539.0,555.0,506.0,615.0,0.09,-1.0,0.04,7.2,-17.76,0.67,-21.0,2.0,-2.0,2
602.0,538.0,556.0,505.0,615.0,0.08,-1.01,0.02,10.8,-28.75,-1.83,-18.0,1.0,-3.0,2
599.0,539.0,555.0,507.0,616.0,0.09,-1.01,0.01,12.76,-31.92,-1.04,-21.0,1.0,-3.0,2
601.0,540.0,555.0,505.0,618.0,0.09,-1.01,-0.01,12.82,-34.36,0.43,-20.0,5.0,-6.0,2
601.0,539.0,555.0,505.0,615.0,0.09,-1.01,-0.03,10.56,-27.83,0.55,-18.0,1.0,-12.0,2
602.0,540.0,557.0,505.0,615.0,0.08,-1.0,-0.05,9.46,-16.91,-0.67,-20.0,1.0,-15.0,2
603.0,541.0,557.0,506.0,617.0,0.11,-1.0,-0.08,12.94,-19.35,2.62,-22.0,-1.0,-17.0,2
604.0,539.0,557.0,508.0,616.0,0.11,-1.0,-0.1,12.7,-21.06,-1.1,-20.0,0.0,-18.0,2
604.0,540.0,556.0,508.0,618.0,0.13,-0.99,-0.12,7.45,-21.85,-0.31,-20.0,-1.0,-18.0,2
604.0,543.0,555.0,506.0,619.0,0.15,-0.99,-0.12,5.0,-21.42,-5.25,-19.0,-2.0,-19.0,2
604.0,539.0,557.0,508.0,616.0,0.13,-1.0,-0.1,3.17,-13.98,-1.83,-19.0,-2.0,-19.0,2
603.0,543.0,558.0,510.0,615.0,0.1,-1.03,-0.1,8.97,-32.47,-7.2,-18.0,-3.0,-23.0,2
606.0,543.0,557.0,508.0,616.0,0.11,-1.0,-0.13,5.49,-17.64,-0.37,-18.0,-2.0,-30.0,2
607.0,544.0,559.0,509.0,615.0,0.09,-0.99,-0.13,4.58,-17.88,-1.77,-18.0,-5.0,-27.0,2
605.0,543.0,558.0,508.0,617.0,0.1,-1.0,-0.12,3.11,-13.06,-0.06,-18.0,-4.0,-30.0,2
605.0,542.0,555.0,508.0,617.0,0.11,-1.0,-0.12,2.87,-19.04,-4.33,-18.0,-7.0,-27.0,2
606.0,543.0,556.0,510.0,616.0,0.12,-0.99,-0.14,4.88,-16.11,-2.14,-17.0,-6.0,-30.0,2
606.0,543.0,559.0,509.0,616.0,0.12,-1.0,-0.14,2.62,-11.78,3.3,-17.0,-5.0,-32.0,2
604.0,543.0,560.0,508.0,617.0,0.14,-0.99,-0.12,0.92,-10.19,6.77,-18.0,-5.0,-31.0,2
605.0,543.0,555.0,508.0,617.0,0.15,-0.99,-0.13,3.48,-23.25,4.64,-18.0,-8.0,-28.0,2
602.0,544.0,555.0,508.0,617.0,0.15,-0.98,-0.13,-0.49,-17.33,4.09,-18.0,-10.0,-28.0,2
599.0,542.0,548.0,507.0,616.0,0.16,-0.99,-0.13,3.72,-25.63,0.18,-17.0,-11.0,-28.0,2
597.0,542.0,539.0,500.0,617.0,0.15,-0.99,-0.11,-1.83,-9.16,5.55,-18.0,-11.0,-33.0,2
598.0,531.0,540.0,499.0,616.0,0.21,-0.98,-0.1,-1.04,9.77,-1.65,-18.0,-13.0,-29.0,2
598.0,530.0,542.0,499.0,615.0,0.16,-0.99,-0.13,4.64,-8.3,-0.49,-18.0,-13.0,-28.0,2
600.0,534.0,541.0,501.0,616.0,0.18,-0.98,-0.12,-0.12,-2.62,-0.61,-18.0,-16.0,-32.0,2
600.0,534.0,544.0,501.0,616.0,0.21,-0.98,-0.1,0.55,-8.67,-1.71,-18.0,-13.0,-34.0,2
600.0,532.0,543.0,500.0,616.0,0.2,-0.98,-0.1,-0.92,-8.85,-6.59,-18.0,-14.0,-32.0,2
599.0,535.0,542.0,501.0,618.0,0.15,-0.98,-0.13,10.74,-27.47,-1.71,-18.0,-15.0,-30.0,2
599.0,535.0,544.0,502.0,616.0,0.16,-0.99,-0.14,4.03,-4.76,-1.22,-17.0,-17.0,-35.0,2
602.0,535.0,543.0,504.0,618.0,0.18,-1.01,-0.14,1.34,-5.8,-6.53,-19.0,-15.0,-36.0,2
600.0,535.0,546.0,503.0,617.0,0.15,-1.01,-0.14,1.16,-10.99,-7.51,-16.0,-15.0,-31.0,2
599.0,535.0,546.0,503.0,615.0,0.14,-1.0,-0.13,-3.11,-6.84,-4.58,-18.0,-15.0,-35.0,2
600.0,537.0,546.0,504.0,617.0,0.18,-1.0,-0.1,-4.64,-4.88,-10.56,-16.0,-14.0,-35.0,2
600.0,538.0,547.0,504.0,618.0,0.1,-1.0,-0.09,-7.02,-5.86,-18.31,-19.0,-13.0,-33.0,2
602.0,537.0,548.0,501.0,615.0,0.1,-0.99,-0.08,-1.22,-0.92,-2.32,-18.0,-15.0,-31.0,2
601.0,539.0,547.0,504.0,616.0,0.11,-1.0,-0.09,1.65,-5.13,-5.13,-19.0,-12.0,-34.0,2
600.0,540.0,547.0,505.0,616.0,0.1,-1.0,-0.09,4.27,0.31,-10.31,-16.0,-14.0,-33.0,2
602.0,540.0,548.0,503.0,615.0,0.06,-1.02,-0.13,10.19,-4.33,0.73,-16.0,-14.0,-34.0,2
600.0,537.0,548.0,505.0,616.0,0.07,-1.02,-0.1,3.6,2.56,-0.79,-17.0,-12.0,-31.0,2
602.0,539.0,547.0,504.0,616.0,0.05,-1.01,-0.12,-2.99,5.55,-4.88,-16.0,-11.0,-35.0,2
603.0,539.0,549.0,505.0,614.0,0.07,-0.99,-0.11,-3.23,1.95,6.71,-15.0,-11.0,-29.0,2
601.0,538.0,546.0,502.0,616.0,0.07,-0.99,-0.1,-0.61,0.55,11.78,-12.0,-12.0,-30.0,2
601.0,540.0,548.0,505.0,617.0,0.03,-1.02,-0.1,-3.6,-14.77,0.85,-16.0,-11.0,-32.0,2
601.0,540.0,548.0,506.0,615.0,0.11,-1.0,-0.06,-10.07,-4.94,-11.96,-17.0,-13.0,-33.0,2
597.0,538.0,551.0,505.0,614.0,0.05,-0.97,-0.06,-4.94,-0.31,-24.35,-18.0,-10.0,-32.0,2
597.0,539.0,553.0,503.0,617.0,0.03,-1.02,-0.08,3.66,-1.83,4.33,-17.0,-10.0,-34.0,2
590.0,539.0,551.0,503.0,616.0,0.0,-0.99,-0.08,-8.42,-8.36,-9.95,-17.0,-10.0,-34.0,2
592.0,539.0,554.0,498.0,616.0,0.04,-0.99,-0.07,-10.5,-16.72,-5.55,-18.0,-13.0,-33.0,2
587.0,539.0,555.0,500.0,617.0,0.01,-1.01,-0.07,3.11,-11.66,1.65,-17.0,-11.0,-31.0,2
576.0,539.0,555.0,501.0,617.0,0.01,-0.99,-0.08,-12.51,-8.73,5.19,-19.0,-10.0,-26.0,2
576.0,537.0,555.0,498.0,615.0,0.07,-0.99,-0.02,-11.84,-6.65,10.13,-16.0,-14.0,-30.0,2
579.0,540.0,555.0,496.0,617.0,0.09,-1.03,-0.01,-5.31,-26.49,4.7,-14.0,-15.0,-31.0,2
585.0,539.0,554.0,491.0,617.0,0.07,-1.02,-0.0,-2.75,-35.52,0.61,-20.0,-18.0,-30.0,2
579.0,537.0,553.0,487.0,617.0,0.05,-1.0,-0.01,-7.81,-28.69,4.88,-18.0,-17.0,-27.0,2
580.0,535.0,555.0,483.0,617.0,0.07,-1.01,0.02,-8.12,-25.94,8.36,-16.0,-20.0,-27.0,2
577.0,535.0,556.0,484.0,616.0,0.09,-1.0,0.05,-13.61,-17.52,7.63,-16.0,-21.0,-28.0,2
579.0,537.0,556.0,482.0,615.0,0.1,-1.0,0.08,-7.14,-21.97,8.67,-18.0,-21.0,-28.0,2
581.0,536.0,557.0,482.0,617.0,0.12,-1.0,0.09,5.43,-16.6,10.13,-19.0,-24.0,-27.0,2
582.0,536.0,555.0,479.0,616.0,0.11,-0.99,0.06,-3.91,-15.26,10.56,-17.0,-27.0,-28.0,2
580.0,538.0,558.0,480.0,617.0,0.13,-1.01,0.07,-4.7,-16.6,2.62,-22.0,-25.0,-25.0,2
580.0,537.0,557.0,480.0,615.0,0.13,-1.01,0.09,-2.2,-12.82,0.49,-20.0,-27.0,-30.0,2
581.0,536.0,555.0,477.0,617.0,0.14,-1.01,0.1,-3.97,-10.44,-2.99,-21.0,-29.0,-31.0,2
580.0,534.0,557.0,475.0,615.0,0.12,-0.98,0.11,-3.23,-9.34,-1.95,-19.0,-27.0,-25.0,2
579.0,536.0,558.0,478.0,617.0,0.11,-0.98,0.11,0.55,-5.19,3.85,-21.0,-27.0,-26.0,2
579.0,536.0,558.0,477.0,616.0,0.1,-1.01,0.1,9.22,6.41,-0.79,-20.0,-30.0,-26.0,2
582.0,536.0,558.0,479.0,616.0,0.09,-1.03,0.07,8.48,16.85,-17.64,-21.0,-27.0,-29.0,2
578.0,535.0,557.0,479.0,617.0,0.05,-1.0,0.06,8.61,29.91,-14.4,-18.0,-23.0,-30.0,2
583.0,535.0,558.0,479.0,616.0,0.07,-1.0,0.06,-1.53,18.31,0.24,-21.0,-25.0,-26.0,2
585.0,534.0,556.0,478.0,617.0,0.1,-0.98,0.11,-1.28,17.03,4.09,-18.0,-22.0,-28.0,2
588.0,535.0,556.0,479.0,617.0,0.09,-1.0,0.08,8.12,15.32,-0.24,-19.0,-20.0,-26.0,2
590.0,535.0,558.0,479.0,615.0,0.08,-1.01,0.04,12.39,29.42,-0.67,-21.0,-20.0,-32.0,2
595.0,535.0,554.0,485.0,615.0,0.13,-1.05,0.03,15.5,37.48,4.88,-18.0,-19.0,-30.0,2
595.0,535.0,554.0,487.0,614.0,0.12,-1.01,0.0,1.4,12.7,0.24,-17.0,-19.0,-32.0,2
595.0,536.0,556.0,490.0,616.0,0.1,-0.97,0.01,3.17,16.78,3.6,-19.0,-17.0,-29.0,2
597.0,537.0,553.0,491.0,616.0,0.11,-1.01,0.0,8.61,12.27,0.24,-17.0,-18.0,-29.0,2
596.0,539.0,552.0,491.0,614.0,0.09,-1.01,-0.02,3.48,8.18,-5.86,-17.0,-17.0,-30.0,2
598.0,539.0,557.0,492.0,615.0,0.08,-1.02,-0.02,3.6,11.41,-15.08,-18.0,-17.0,-29.0,2
600.0,537.0,558.0,491.0,617.0,0.03,-1.0,-0.02,0.61,4.76,-8.48,-17.0,-15.0,-27.0,2
602.0,539.0,559.0,492.0,615.0,0.04,-1.01,-0.03,1.83,16.6,-5.62,-18.0,-12.0,-28.0,2
602.0,539.0,558.0,492.0,614.0,0.03,-1.01,-0.02,-1.16,38.09,-10.93,-17.0,-12.0,-33.0,2
602.0,540.0,560.0,493.0,618.0,0.01,-1.0,-0.01,1.34,35.83,-14.04,-15.0,-7.0,-27.0,2
602.0,539.0,560.0,494.0,615.0,-0.03,-1.0,-0.02,7.51,17.64,-8.36,-17.0,-4.0,-30.0,2
604.0,538.0,558.0,493.0,617.0,-0.04,-1.02,-0.05,4.7,17.15,1.71,-16.0,-6.0,-28.0,2
604.0,537.0,559.0,495.0,616.0,-0.05,-1.02,-0.04,-9.58,2.87,6.41,-15.0,-4.0,-28.0,2
604.0,537.0,559.0,495.0,613.0,-0.03,-1.02,-0.02,-8.18,50.78,24.11,-19.0,-4.0,-23.0,2
605.0,538.0,559.0,494.0,614.0,0.04,-0.99,0.04,-8.3,25.09,6.53,-20.0,-5.0,-24.0,2
603.0,537.0,560.0,495.0,616.0,-0.02,-1.0,0.02,-1.4,33.63,-9.16,-17.0,-3.0,-20.0,2
604.0,536.0,560.0,495.0,616.0,0.02,-1.0,0.02,-5.13,42.97,-8.48,-18.0,0.0,-23.0,2
604.0,511.0,558.0,496.0,617.0,0.02,-1.01,0.01,1.46,12.27,-9.7,-16.0,0.0,-20.0,2
606.0,500.0,559.0,495.0,617.0,-0.04,-1.03,0.02,2.26,12.7,-8.18,-17.0,0.0,-21.0,2
609.0,513.0,560.0,497.0,617.0,-0.05,-1.04,0.05,-10.19,55.48,-6.04,-15.0,3.0,-14.0,2
609.0,513.0,561.0,497.0,615.0,-0.06,-1.04,0.06,-11.05,43.33,-9.46,-17.0,5.0,-16.0,2
608.0,519.0,559.0,499.0,618.0,-0.07,-0.97,0.08,-14.77,52.49,-7.26,-14.0,6.0,-12.0,2
611.0,520.0,561.0,499.0,617.0,-0.08,-0.99,0.11,-8.24,43.95,-11.47,-16.0,6.0,-7.0,2
610.0,520.0,562.0,500.0,616.0,-0.1,-0.98,0.13,-8.91,58.53,-13.12,-15.0,9.0,-1.0,2
611.0,520.0,563.0,500.0,616.0,-0.03,-0.99,0.18,-8.73,55.11,-7.63,-13.0,11.0,-1.0,2
610.0,520.0,563.0,499.0,616.0,-0.1,-0.98,0.16,0.79,30.15,-5.19,-14.0,11.0,5.0,2
612.0,521.0,560.0,503.0,618.0,-0.0,-0.98,0.22,-1.65,88.62,3.11,-15.0,12.0,8.0,2
612.0,522.0,563.0,502.0,614.0,-0.1,-0.98,0.23,4.76,26.12,-4.15,-13.0,8.0,11.0,2
612.0,523.0,562.0,503.0,617.0,-0.04,-0.98,0.23,15.14,44.19,3.78,-10.0,6.0,13.0,2
615.0,522.0,563.0,503.0,616.0,-0.06,-1.0,0.17,13.79,31.01,3.17,-12.0,10.0,10.0,2
613.0,521.0,563.0,506.0,617.0,-0.05,-1.0,0.16,5.49,47.06,0.79,-15.0,8.0,9.0,2
612.0,522.0,564.0,506.0,616.0,-0.06,-0.99,0.15,2.93,-2.26,-7.63,-14.0,6.0,14.0,2
616.0,522.0,563.0,507.0,617.0,-0.03,-1.01,0.15,4.58,66.28,4.21,-13.0,5.0,17.0,2
617.0,524.0,563.0,508.0,618.0,0.01,-1.0,0.15,10.13,49.44,5.43,-12.0,6.0,19.0,2
616.0,524.0,564.0,506.0,615.0,0.0,-0.99,0.14,4.39,35.77,0.92,-13.0,3.0,20.0,2
618.0,523.0,565.0,510.0,616.0,-0.02,-1.0,0.13,0.12,31.01,-1.71,-14.0,2.0,21.0,2
617.0,524.0,566.0,510.0,615.0,0.02,-1.0,0.15,-0.67,37.17,1.46,-15.0,0.0,23.0,2
616.0,523.0,566.0,510.0,616.0,0.02,-0.99,0.15,-0.61,27.16,-1.1,-15.0,-1.0,26.0,2
617.0,523.0,565.0,510.0,618.0,0.04,-1.0,0.17,-2.93,21.97,-2.01,-13.0,0.0,27.0,2
616.0,524.0,567.0,512.0,616.0,0.02,-1.0,0.18,-1.28,16.91,0.49,-13.0,-4.0,30.0,2
618.0,527.0,568.0,512.0,617.0,0.0,-1.0,0.17,-2.14,5.62,0.92,-14.0,-2.0,22.0,2
619.0,538.0,567.0,512.0,616.0,0.05,-0.99,0.16,-8.91,26.55,4.58,-11.0,-3.0,27.0,2
618.0,546.0,568.0,514.0,617.0,0.06,-0.99,0.18,-1.16,9.83,-2.01,-12.0,-5.0,30.0,2
619.0,548.0,570.0,516.0,615.0,0.02,-0.99,0.18,2.81,3.42,-4.21,-13.0,-4.0,30.0,2
622.0,562.0,572.0,520.0,616.0,0.02,-1.01,0.17,-4.33,25.63,-0.06,-11.0,-5.0,28.0,2
629.0,569.0,570.0,523.0,615.0,0.1,-0.99,0.23,-9.16,27.65,5.74,-9.0,-7.0,28.0,2
632.0,579.0,559.0,528.0,617.0,0.06,-0.99,0.22,-2.93,2.38,2.32,-11.0,-7.0,33.0,2
630.0,579.0,556.0,530.0,616.0,0.07,-0.99,0.2,-4.76,7.45,3.91,-8.0,-8.0,31.0,2
635.0,584.0,555.0,530.0,616.0,0.09,-0.99,0.22,-7.69,9.7,2.5,-10.0,-11.0,28.0,2
636.0,586.0,554.0,531.0,617.0,0.11,-0.97,0.24,-8.06,24.96,2.01,-11.0,-11.0,36.0,2
641.0,587.0,558.0,533.0,615.0,0.1,-0.98,0.23,1.65,5.55,-2.08,-11.0,-9.0,31.0,2
639.0,591.0,566.0,535.0,615.0,0.1,-0.99,0.23,5.31,10.07,-3.17,-10.0,-9.0,36.0,2
640.0,590.0,567.0,537.0,615.0,0.09,-0.98,0.22,1.4,23.99,-5.62,-12.0,-12.0,32.0,2
640.0,588.0,568.0,538.0,615.0,0.11,-0.99,0.23,2.01,14.4,-1.46,-13.0,-11.0,37.0,2
641.0,587.0,568.0,537.0,615.0,0.1,-0.98,0.24,-7.75,12.76,-0.61,-13.0,-12.0,34.0,2
640.0,590.0,568.0,536.0,618.0,0.1,-0.99,0.26,-10.44,13.06,3.72,-11.0,-15.0,34.0,2
640.0,588.0,570.0,538.0,616.0,0.12,-0.96,0.26,-5.8,13.73,3.3,-10.0,-17.0,37.0,2
640.0,587.0,570.0,537.0,616.0,0.11,-0.98,0.24,-5.19,3.91,-5.98,-10.0,-17.0,38.0,2
640.0,588.0,571.0,538.0,616.0,0.11,-0.97,0.28,-2.69,24.84,-7.02,-8.0,-16.0,36.0,2
640.0,588.0,572.0,539.0,617.0,0.08,-0.96,0.28,-0.24,8.3,-5.07,-7.0,-18.0,39.0,2
642.0,587.0,572.0,541.0,617.0,0.08,-0.96,0.25,1.65,4.58,-5.31,-10.0,-16.0,35.0,2
642.0,586.0,572.0,540.0,616.0,0.08,-1.0,0.27,-2.99,5.68,-4.09,-8.0,-15.0,40.0,2
638.0,586.0,573.0,540.0,616.0,0.05,-0.98,0.29,0.43,-2.75,-3.72,-7.0,-15.0,39.0,2
