Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
566.0,641.0,487.0,391.0,540.0,-0.06,-0.55,0.57,111.57,-87.89,43.64,3.0,-12.0,54.0,3
562.0,640.0,487.0,390.0,532.0,0.0,-0.56,0.19,91.55,-67.02,45.47,-5.0,-8.0,45.0,3
567.0,642.0,487.0,387.0,528.0,0.04,-0.78,0.15,46.69,-28.81,-7.93,-8.0,-6.0,41.0,3
570.0,641.0,487.0,384.0,527.0,0.02,-0.9,0.31,-25.33,-9.46,-5.8,-4.0,-3.0,42.0,3
577.0,640.0,494.0,381.0,528.0,-0.05,-1.16,0.31,-20.02,18.74,-1.65,-1.0,-2.0,37.0,3
579.0,642.0,493.0,381.0,526.0,-0.05,-1.01,0.4,-9.64,-12.94,-6.04,-2.0,-1.0,42.0,3
576.0,640.0,493.0,382.0,526.0,-0.0,-0.97,0.39,10.31,20.39,9.64,0.0,-2.0,41.0,3
573.0,639.0,491.0,381.0,524.0,-0.04,-0.9,0.35,15.99,-10.56,-5.19,-3.0,-2.0,42.0,3
566.0,641.0,484.0,379.0,517.0,-0.12,-0.95,0.3,14.71,-4.21,-12.63,-4.0,-1.0,39.0,3
556.0,642.0,481.0,376.0,512.0,-0.11,-0.96,0.33,-0.55,5.98,-1.46,-4.0,-3.0,37.0,3
537.0,641.0,468.0,370.0,503.0,-0.12,-0.94,0.36,2.5,3.36,7.02,-2.0,-2.0,40.0,3
531.0,642.0,466.0,368.0,498.0,-0.1,-0.96,0.33,22.77,-56.64,7.26,-5.0,-1.0,38.0,3
528.0,641.0,463.0,365.0,494.0,-0.08,-0.96,0.25,26.67,-17.52,6.96,-7.0,1.0,34.0,3
517.0,639.0,457.0,363.0,485.0,-0.07,-0.96,0.19,18.92,-15.5,3.91,-8.0,0.0,31.0,3
511.0,641.0,456.0,361.0,481.0,-0.08,-0.98,0.18,7.75,-8.48,-0.06,-9.0,1.0,34.0,3
512.0,641.0,456.0,362.0,483.0,-0.08,-0.98,0.2,1.65,3.85,-2.87,-9.0,2.0,29.0,3
514.0,642.0,457.0,364.0,483.0,-0.11,-0.98,0.2,7.69,-9.46,-2.14,-9.0,1.0,29.0,3
500.0,641.0,450.0,358.0,479.0,-0.1,-0.98,0.16,7.45,-11.84,4.52,-10.0,1.0,28.0,3
482.0,642.0,432.0,343.0,462.0,-0.1,-1.0,0.18,1.46,-1.16,0.61,-5.0,2.0,29.0,3
476.0,642.0,425.0,337.0,454.0,-0.11,-0.96,0.18,-8.97,-15.14,4.76,-10.0,3.0,30.0,3
483.0,641.0,429.0,342.0,457.0,-0.09,-0.99,0.17,10.86,-4.46,-3.36,-11.0,4.0,29.0,3
490.0,638.0,430.0,341.0,460.0,-0.11,-0.98,0.15,16.05,-22.09,-2.14,-8.0,3.0,30.0,3
495.0,640.0,432.0,340.0,460.0,-0.08,-0.99,0.13,5.37,-0.31,-2.75,-11.0,4.0,25.0,3
494.0,642.0,435.0,342.0,460.0,-0.13,-0.99,0.1,10.01,-21.3,-2.93,-11.0,4.0,25.0,3
492.0,641.0,433.0,341.0,459.0,-0.11,-0.99,0.06,3.11,-7.69,-2.62,-11.0,6.0,25.0,3
491.0,642.0,434.0,343.0,460.0,-0.13,-1.0,0.1,-2.99,-2.32,-6.04,-11.0,8.0,26.0,3
490.0,640.0,435.0,342.0,459.0,-0.16,-1.01,0.1,-0.49,-1.4,-3.42,-10.0,8.0,27.0,3
492.0,640.0,436.0,341.0,461.0,-0.16,-1.0,0.1,-3.54,-0.24,1.59,-10.0,8.0,23.0,3
494.0,639.0,436.0,345.0,462.0,-0.15,-0.97,0.12,3.72,-5.19,3.05,-10.0,7.0,24.0,3
492.0,641.0,436.0,343.0,461.0,-0.13,-1.0,0.1,-1.59,-6.84,-0.49,-9.0,6.0,28.0,3
492.0,640.0,437.0,343.0,461.0,-0.13,-1.0,0.11,0.79,-8.67,4.64,-10.0,6.0,23.0,3
492.0,639.0,438.0,346.0,461.0,-0.12,-0.98,0.1,3.36,-31.86,5.68,-12.0,8.0,21.0,3
492.0,641.0,437.0,345.0,463.0,-0.15,-1.0,0.07,3.23,-35.28,0.18,-9.0,10.0,17.0,3
494.0,640.0,439.0,344.0,461.0,-0.11,-0.99,0.07,3.23,-20.69,3.97,-10.0,11.0,18.0,3
493.0,642.0,438.0,346.0,460.0,-0.07,-0.99,0.06,4.82,-42.54,1.71,-12.0,9.0,14.0,3
487.0,642.0,433.0,344.0,458.0,-0.14,-0.98,0.03,1.22,-35.83,1.83,-11.0,12.0,10.0,3
486.0,642.0,432.0,342.0,458.0,-0.11,-0.98,0.02,5.37,-29.36,-6.1,-11.0,11.0,13.0,3
486.0,642.0,434.0,342.0,456.0,-0.15,-1.02,0.02,-0.49,-18.13,-0.67,-14.0,14.0,9.0,3
486.0,641.0,434.0,343.0,455.0,-0.15,-0.96,0.0,2.81,-48.83,1.83,-13.0,16.0,9.0,3
485.0,640.0,435.0,344.0,456.0,-0.14,-1.01,-0.01,7.63,-54.81,-1.65,-12.0,15.0,8.0,3
482.0,641.0,434.0,343.0,455.0,-0.17,-1.01,-0.05,8.97,-40.41,-0.18,-13.0,14.0,0.0,3
484.0,641.0,430.0,342.0,453.0,-0.15,-0.99,-0.07,3.36,-20.51,6.53,-14.0,16.0,-6.0,3
483.0,640.0,433.0,341.0,453.0,-0.06,-0.98,-0.09,3.66,-26.86,-1.89,-14.0,14.0,-4.0,3
482.0,643.0,434.0,341.0,452.0,-0.12,-1.04,-0.12,-0.73,-53.28,-5.37,-13.0,14.0,-9.0,3
483.0,642.0,432.0,343.0,451.0,-0.09,-0.97,-0.09,-1.95,-61.46,11.54,-14.0,12.0,-11.0,3
485.0,642.0,433.0,342.0,454.0,-0.09,-0.99,-0.11,-0.06,-60.24,-3.85,-14.0,10.0,-14.0,3
486.0,642.0,434.0,340.0,454.0,-0.1,-0.99,-0.05,-8.24,-17.21,-3.6,-12.0,10.0,-18.0,3
487.0,641.0,434.0,343.0,454.0,-0.09,-1.02,-0.07,3.05,-28.69,2.56,-12.0,9.0,-18.0,3
487.0,641.0,435.0,343.0,454.0,-0.04,-0.95,-0.1,11.96,-28.5,4.03,-14.0,9.0,-23.0,3
489.0,641.0,434.0,343.0,454.0,-0.07,-1.04,-0.14,10.5,-27.59,-4.76,-13.0,6.0,-20.0,3
490.0,641.0,434.0,343.0,455.0,-0.06,-0.98,-0.16,9.16,-26.37,3.11,-14.0,7.0,-24.0,3
489.0,640.0,435.0,344.0,453.0,-0.01,-0.99,-0.16,10.01,-30.33,2.38,-14.0,4.0,-27.0,3
489.0,641.0,432.0,345.0,452.0,-0.03,-1.0,-0.21,13.37,-39.43,1.1,-14.0,2.0,-28.0,3
490.0,642.0,433.0,344.0,455.0,-0.02,-0.99,-0.22,4.15,-18.92,0.24,-12.0,1.0,-28.0,3
489.0,643.0,436.0,344.0,455.0,0.02,-0.97,-0.2,2.99,-36.07,0.06,-11.0,1.0,-30.0,3
490.0,640.0,434.0,344.0,455.0,0.05,-0.97,-0.2,10.07,-42.91,-2.32,-12.0,0.0,-35.0,3
492.0,642.0,435.0,345.0,457.0,0.01,-1.02,-0.24,10.5,-40.28,-4.03,-11.0,-7.0,-32.0,3
494.0,640.0,436.0,344.0,457.0,0.03,-0.96,-0.25,5.55,-27.16,2.99,-13.0,-6.0,-35.0,3
493.0,644.0,434.0,345.0,457.0,0.09,-0.98,-0.24,3.42,-14.04,1.71,-15.0,-7.0,-36.0,3
494.0,643.0,434.0,347.0,457.0,0.07,-0.97,-0.25,5.68,-17.52,1.22,-14.0,-7.0,-46.0,3
494.0,640.0,435.0,346.0,457.0,0.07,-0.96,-0.25,3.54,-16.66,-1.65,-9.0,-10.0,-39.0,3
494.0,641.0,434.0,347.0,456.0,0.1,-0.98,-0.27,6.23,-21.79,-2.56,-12.0,-11.0,-42.0,3
493.0,641.0,435.0,348.0,458.0,0.07,-0.97,-0.28,1.65,-16.24,-2.87,-10.0,-12.0,-39.0,3
496.0,639.0,434.0,349.0,458.0,0.07,-0.96,-0.27,2.69,-6.77,-4.15,-11.0,-13.0,-43.0,3
496.0,641.0,434.0,346.0,459.0,0.09,-0.98,-0.28,8.06,-16.36,-2.81,-10.0,-14.0,-40.0,3
497.0,641.0,435.0,347.0,459.0,0.1,-0.97,-0.28,1.28,-16.48,0.24,-11.0,-14.0,-47.0,3
498.0,641.0,434.0,347.0,458.0,0.13,-0.93,-0.27,4.15,-12.02,-0.98,-12.0,-14.0,-45.0,3
498.0,640.0,434.0,348.0,459.0,0.1,-0.98,-0.31,5.8,-20.02,-6.71,-9.0,-17.0,-43.0,3
498.0,641.0,436.0,349.0,459.0,0.15,-0.96,-0.31,-0.49,-15.01,-4.27,-12.0,-16.0,-43.0,3
499.0,643.0,435.0,347.0,459.0,0.14,-0.96,-0.3,-1.89,-37.9,-5.13,-9.0,-16.0,-45.0,3
499.0,641.0,437.0,347.0,458.0,0.14,-0.95,-0.25,-2.2,-48.16,-12.76,-9.0,-23.0,-43.0,3
496.0,642.0,432.0,350.0,455.0,0.1,-0.98,-0.25,4.09,-52.92,-15.26,-10.0,-24.0,-44.0,3
498.0,640.0,437.0,348.0,457.0,0.1,-0.93,-0.22,0.31,-21.12,-14.71,-6.0,-26.0,-41.0,3
