Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
504.0,392.0,642.0,612.0,617.0,-0.0,-1.0,-0.01,-1.04,-0.37,-1.83,-13.0,-2.0,24.0,5
503.0,393.0,642.0,614.0,617.0,-0.03,-1.01,0.01,-0.61,-1.22,-1.95,-17.0,-1.0,21.0,5
503.0,390.0,641.0,614.0,616.0,-0.01,-1.0,-0.0,0.31,-1.95,-0.49,-13.0,0.0,24.0,5
498.0,389.0,643.0,614.0,616.0,0.03,-1.02,0.04,-2.44,-23.44,2.99,-15.0,-1.0,28.0,5
501.0,389.0,642.0,613.0,617.0,-0.06,-1.0,-0.04,2.62,-42.6,-5.8,-14.0,-1.0,22.0,5
501.0,391.0,642.0,615.0,618.0,-0.03,-1.01,0.01,-0.55,2.14,-0.49,-13.0,1.0,19.0,5
501.0,388.0,642.0,615.0,617.0,-0.02,-1.01,0.01,1.1,-9.4,-1.89,-14.0,1.0,22.0,5
501.0,389.0,640.0,615.0,616.0,0.05,-1.01,0.06,5.92,-56.58,-9.89,-15.0,3.0,22.0,5
505.0,389.0,642.0,613.0,619.0,-0.07,-1.01,-0.08,26.49,-124.69,-21.79,-14.0,8.0,12.0,5
506.0,388.0,641.0,616.0,617.0,0.02,-0.96,-0.14,36.38,-197.08,-33.14,-12.0,11.0,1.0,5
506.0,389.0,641.0,615.0,617.0,0.0,-0.96,-0.28,33.57,-180.42,-40.04,-11.0,10.0,-11.0,5
501.0,387.0,643.0,615.0,618.0,0.02,-0.92,-0.3,17.46,-179.02,-33.33,-11.0,8.0,-27.0,5
504.0,387.0,644.0,614.0,618.0,-0.03,-0.95,-0.34,20.45,-97.11,-9.58,-9.0,2.0,-33.0,5
499.0,384.0,640.0,614.0,616.0,0.14,-0.92,-0.27,2.14,-120.18,-6.47,-9.0,-2.0,-40.0,5
490.0,386.0,642.0,614.0,615.0,0.34,-0.91,-0.37,-1.16,-189.64,3.11,-8.0,-13.0,-40.0,5
490.0,387.0,641.0,614.0,618.0,0.25,-0.92,-0.27,-27.53,-44.07,-19.41,-8.0,-20.0,-45.0,5
493.0,388.0,641.0,616.0,615.0,0.3,-0.89,-0.14,-16.54,-24.6,-22.64,-8.0,-22.0,-45.0,5
488.0,388.0,642.0,613.0,618.0,0.16,-0.95,-0.23,4.58,-32.1,-23.07,-7.0,-23.0,-46.0,5
494.0,389.0,641.0,614.0,616.0,0.09,-0.96,-0.23,2.08,-7.93,-20.51,-8.0,-25.0,-44.0,5
494.0,390.0,642.0,614.0,617.0,0.05,-0.99,-0.27,4.21,-3.17,-6.35,-5.0,-27.0,-43.0,5
496.0,390.0,642.0,613.0,617.0,0.09,-0.97,-0.27,-1.34,9.89,6.35,-5.0,-25.0,-46.0,5
496.0,390.0,642.0,614.0,618.0,0.09,-0.96,-0.26,0.49,13.55,7.81,-5.0,-26.0,-45.0,5
496.0,390.0,642.0,616.0,617.0,0.15,-0.95,-0.26,3.54,11.54,7.51,-7.0,-23.0,-49.0,5
498.0,388.0,642.0,614.0,618.0,0.16,-0.97,-0.3,0.43,-0.06,2.75,-8.0,-25.0,-48.0,5
497.0,391.0,642.0,616.0,617.0,0.14,-0.96,-0.27,-0.49,-6.9,-2.2,-8.0,-24.0,-46.0,5
497.0,391.0,643.0,613.0,618.0,0.12,-0.96,-0.27,2.32,-8.48,-2.14,-6.0,-22.0,-46.0,5
494.0,389.0,641.0,615.0,618.0,0.11,-0.97,-0.28,3.66,-3.54,-0.67,-8.0,-22.0,-43.0,5
497.0,388.0,642.0,615.0,616.0,0.12,-0.96,-0.28,-1.34,3.42,0.61,-7.0,-27.0,-48.0,5
494.0,390.0,642.0,614.0,617.0,0.14,-0.96,-0.27,-0.79,3.91,1.16,-7.0,-24.0,-46.0,5
496.0,390.0,641.0,615.0,617.0,0.13,-0.96,-0.27,-0.06,1.28,1.1,-8.0,-24.0,-44.0,5
494.0,392.0,641.0,613.0,617.0,0.12,-0.96,-0.27,2.08,1.77,0.61,-7.0,-23.0,-46.0,5
496.0,391.0,643.0,616.0,617.0,0.13,-0.97,-0.28,1.89,-0.24,1.16,-6.0,-24.0,-45.0,5
496.0,391.0,641.0,613.0,617.0,0.13,-0.96,-0.27,-0.49,0.37,0.43,-7.0,-22.0,-42.0,5
496.0,390.0,641.0,613.0,614.0,0.13,-0.96,-0.27,2.32,1.16,-0.85,-7.0,-25.0,-43.0,5
497.0,391.0,642.0,616.0,618.0,0.13,-0.96,-0.28,2.26,0.06,-1.28,-6.0,-25.0,-45.0,5
497.0,391.0,642.0,613.0,619.0,0.12,-0.96,-0.27,-0.67,0.92,-0.49,-6.0,-25.0,-49.0,5
496.0,391.0,643.0,615.0,617.0,0.12,-0.96,-0.28,0.31,2.08,0.43,-5.0,-23.0,-42.0,5
497.0,392.0,642.0,616.0,617.0,0.13,-0.96,-0.27,0.12,1.83,0.18,-5.0,-24.0,-47.0,5
497.0,392.0,643.0,615.0,615.0,0.13,-0.96,-0.27,0.49,2.08,-0.92,-8.0,-23.0,-45.0,5
498.0,390.0,642.0,615.0,617.0,0.11,-0.96,-0.29,0.37,0.37,-0.18,-6.0,-27.0,-44.0,5
500.0,392.0,643.0,615.0,618.0,0.12,-0.96,-0.27,1.89,-0.43,0.18,-7.0,-24.0,-47.0,5
498.0,392.0,642.0,613.0,617.0,0.13,-0.96,-0.28,-0.79,4.03,-0.06,-5.0,-23.0,-46.0,5
