Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
458.0,640.0,461.0,367.0,516.0,-0.65,-0.29,0.71,5.68,0.98,-0.49,49.0,22.0,35.0,6
437.0,644.0,484.0,380.0,540.0,-0.64,-0.3,0.67,6.77,-4.82,1.34,48.0,19.0,35.0,6
432.0,642.0,488.0,384.0,549.0,-0.64,-0.31,0.71,-4.52,1.28,1.89,47.0,21.0,36.0,6
432.0,641.0,490.0,384.0,549.0,-0.63,-0.3,0.7,2.2,1.28,-0.06,49.0,17.0,36.0,6
430.0,644.0,487.0,385.0,548.0,-0.65,-0.3,0.7,0.43,-0.92,-1.83,48.0,22.0,38.0,6
432.0,642.0,485.0,385.0,547.0,-0.64,-0.29,0.7,2.5,-0.43,0.98,47.0,19.0,38.0,6
456.0,643.0,471.0,379.0,536.0,-0.68,-0.31,0.68,1.28,-14.34,5.0,47.0,20.0,42.0,6
451.0,642.0,470.0,378.0,536.0,-0.62,-0.29,0.69,-8.91,6.84,1.83,46.0,21.0,38.0,6
456.0,641.0,472.0,377.0,536.0,-0.65,-0.3,0.7,-0.49,-0.24,-2.08,50.0,20.0,34.0,6
456.0,642.0,475.0,379.0,536.0,-0.67,-0.31,0.69,0.79,-0.37,1.28,48.0,20.0,36.0,6
459.0,641.0,474.0,380.0,535.0,-0.65,-0.31,0.68,-2.38,-1.89,7.02,47.0,18.0,38.0,6
456.0,642.0,475.0,379.0,536.0,-0.64,-0.3,0.69,-6.77,-2.38,7.2,47.0,23.0,37.0,6
457.0,642.0,475.0,379.0,535.0,-0.66,-0.3,0.69,-8.91,-2.87,9.22,48.0,24.0,39.0,6
459.0,641.0,473.0,380.0,536.0,-0.63,-0.3,0.7,-13.49,-3.97,13.98,47.0,23.0,37.0,6
457.0,642.0,476.0,379.0,536.0,-0.63,-0.3,0.7,-13.73,-3.66,13.55,47.0,23.0,33.0,6
459.0,643.0,476.0,379.0,534.0,-0.64,-0.29,0.7,-13.67,-2.08,13.18,46.0,22.0,35.0,6
459.0,640.0,478.0,381.0,534.0,-0.61,-0.29,0.73,-13.85,-2.69,11.54,47.0,23.0,33.0,6
460.0,643.0,478.0,380.0,531.0,-0.61,-0.29,0.72,-10.07,-1.89,9.7,45.0,24.0,32.0,6
461.0,642.0,479.0,380.0,534.0,-0.61,-0.29,0.72,-7.69,-2.69,6.84,45.0,22.0,34.0,6
460.0,640.0,480.0,381.0,534.0,-0.62,-0.29,0.72,-8.42,-2.93,5.0,46.0,25.0,25.0,6
462.0,641.0,480.0,382.0,533.0,-0.64,-0.27,0.73,-7.32,0.85,4.21,45.0,25.0,36.0,6
462.0,644.0,482.0,382.0,534.0,-0.63,-0.28,0.72,-3.05,-0.92,5.0,46.0,26.0,32.0,6
463.0,641.0,480.0,381.0,535.0,-0.62,-0.28,0.7,-8.0,-7.14,9.46,46.0,24.0,30.0,6
463.0,643.0,482.0,380.0,534.0,-0.64,-0.28,0.69,-13.73,-0.92,10.19,45.0,27.0,25.0,6
465.0,642.0,481.0,381.0,536.0,-0.63,-0.27,0.73,-12.08,-1.4,10.01,43.0,26.0,27.0,6
463.0,642.0,483.0,384.0,534.0,-0.62,-0.27,0.72,-9.28,-2.2,8.54,46.0,27.0,25.0,6
464.0,642.0,482.0,382.0,537.0,-0.62,-0.27,0.72,-9.64,-1.95,6.47,45.0,27.0,27.0,6
