Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
399.0,642.0,643.0,358.0,447.0,-0.81,-0.39,0.39,-7.08,-0.43,10.31,40.0,30.0,24.0,7
400.0,642.0,642.0,358.0,447.0,-0.8,-0.39,0.41,-3.85,-1.34,1.1,40.0,32.0,23.0,7
398.0,641.0,641.0,359.0,449.0,-0.81,-0.39,0.4,0.06,1.89,-1.1,40.0,32.0,21.0,7
398.0,641.0,641.0,359.0,449.0,-0.83,-0.39,0.38,4.82,0.79,-1.04,40.0,29.0,29.0,7
397.0,641.0,642.0,357.0,449.0,-0.81,-0.39,0.36,2.56,0.37,0.12,38.0,31.0,27.0,7
399.0,642.0,643.0,359.0,449.0,-0.83,-0.39,0.37,-1.77,-1.83,-1.83,40.0,31.0,29.0,7
400.0,642.0,643.0,362.0,451.0,-0.8,-0.38,0.39,-3.66,-0.12,-1.95,39.0,31.0,28.0,7
400.0,642.0,642.0,359.0,451.0,-0.83,-0.39,0.37,-0.24,-3.78,-3.05,40.0,32.0,27.0,7
400.0,641.0,642.0,359.0,449.0,-0.84,-0.38,0.38,-1.89,-2.38,-1.59,41.0,32.0,24.0,7
401.0,641.0,643.0,360.0,452.0,-0.84,-0.38,0.38,-3.17,-0.73,-0.18,37.0,32.0,25.0,7
401.0,640.0,641.0,359.0,452.0,-0.84,-0.37,0.37,-1.34,-0.85,0.61,40.0,32.0,25.0,7
401.0,640.0,641.0,360.0,451.0,-0.84,-0.37,0.37,-0.06,-0.43,0.06,40.0,31.0,27.0,7
400.0,641.0,643.0,360.0,454.0,-0.83,-0.37,0.37,-3.36,-0.31,0.55,40.0,31.0,24.0,7
401.0,642.0,641.0,360.0,452.0,-0.84,-0.37,0.38,-2.75,-1.71,1.34,40.0,34.0,26.0,7
402.0,643.0,643.0,361.0,454.0,-0.85,-0.39,0.38,-4.76,0.06,2.38,37.0,30.0,26.0,7
404.0,640.0,642.0,360.0,453.0,-0.82,-0.37,0.37,-3.54,-2.01,7.45,38.0,34.0,23.0,7
400.0,642.0,642.0,361.0,455.0,-0.81,-0.37,0.39,-3.97,-2.14,3.36,40.0,34.0,23.0,7
402.0,642.0,642.0,360.0,456.0,-0.83,-0.38,0.38,-4.58,0.18,0.31,41.0,32.0,23.0,7
401.0,641.0,640.0,363.0,454.0,-0.84,-0.39,0.38,-5.8,-1.59,1.1,38.0,32.0,22.0,7
401.0,641.0,642.0,360.0,454.0,-0.82,-0.38,0.38,-6.1,-1.83,4.7,41.0,33.0,23.0,7
399.0,640.0,641.0,362.0,456.0,-0.81,-0.37,0.4,-5.31,-2.87,2.14,40.0,34.0,20.0,7
399.0,640.0,640.0,362.0,454.0,-0.83,-0.38,0.4,-4.33,-0.85,0.0,40.0,32.0,22.0,7
402.0,642.0,641.0,364.0,457.0,-0.85,-0.38,0.39,-5.31,-2.75,2.87,39.0,32.0,19.0,7
400.0,642.0,641.0,364.0,456.0,-0.81,-0.38,0.39,-8.67,0.12,5.92,41.0,32.0,27.0,7
401.0,644.0,643.0,364.0,456.0,-0.81,-0.37,0.39,-10.07,-0.85,3.91,38.0,33.0,26.0,7
400.0,641.0,640.0,364.0,456.0,-0.82,-0.37,0.42,-10.99,-0.67,3.66,40.0,31.0,18.0,7
402.0,642.0,642.0,363.0,458.0,-0.82,-0.39,0.39,-17.33,-29.48,7.87,39.0,32.0,18.0,7
401.0,640.0,641.0,362.0,457.0,-0.81,-0.37,0.4,-6.47,5.49,4.46,39.0,33.0,18.0,7
402.0,642.0,642.0,364.0,457.0,-0.82,-0.38,0.39,-7.63,2.87,4.82,39.0,32.0,17.0,7
401.0,641.0,640.0,365.0,460.0,-0.89,-0.36,0.41,-7.08,-4.58,3.05,40.0,34.0,16.0,7
401.0,642.0,641.0,364.0,459.0,-0.78,-0.41,0.37,-3.72,-4.76,10.99,40.0,33.0,12.0,7
