Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
483.0,377.0,429.0,418.0,615.0,0.15,-0.98,0.17,2.5,3.85,-3.05,-12.0,-3.0,29.0,8
483.0,376.0,428.0,417.0,617.0,0.14,-0.98,0.21,-2.38,-2.69,0.43,-14.0,-2.0,26.0,8
482.0,378.0,430.0,418.0,618.0,0.18,-0.99,0.23,1.34,0.0,2.5,-14.0,-2.0,26.0,8
482.0,377.0,430.0,418.0,617.0,0.17,-0.96,0.18,1.16,-1.65,-0.24,-12.0,-4.0,25.0,8
484.0,375.0,430.0,418.0,618.0,0.16,-0.99,0.22,1.1,-2.08,-1.4,-15.0,-2.0,27.0,8
484.0,378.0,431.0,418.0,617.0,0.17,-0.97,0.21,0.18,-2.93,0.67,-13.0,-2.0,29.0,8
483.0,378.0,432.0,417.0,618.0,0.17,-0.98,0.23,-4.64,-0.73,3.72,-14.0,-2.0,27.0,8
483.0,379.0,432.0,419.0,618.0,0.17,-0.98,0.25,0.24,1.53,1.4,-14.0,-2.0,29.0,8
486.0,378.0,431.0,417.0,615.0,0.16,-0.97,0.21,-2.32,0.85,1.53,-14.0,-2.0,24.0,8
484.0,378.0,430.0,417.0,614.0,0.18,-0.98,0.25,-3.85,-1.04,4.52,-13.0,-2.0,25.0,8
483.0,379.0,430.0,420.0,617.0,0.18,-0.97,0.21,-3.66,-9.83,3.23,-14.0,-4.0,31.0,8
485.0,380.0,432.0,420.0,617.0,0.19,-0.96,0.29,-6.47,0.79,3.97,-12.0,-2.0,31.0,8
485.0,378.0,432.0,420.0,615.0,0.19,-0.95,0.23,4.39,-7.57,-2.5,-12.0,-3.0,32.0,8
485.0,379.0,433.0,420.0,617.0,0.19,-0.96,0.26,-1.77,-3.6,0.06,-14.0,-2.0,28.0,8
485.0,379.0,431.0,420.0,617.0,0.2,-0.97,0.27,5.19,2.14,-0.18,-12.0,-5.0,27.0,8
487.0,377.0,433.0,421.0,617.0,0.22,-0.96,0.26,-0.31,6.53,0.43,-11.0,-2.0,32.0,8
487.0,379.0,432.0,419.0,616.0,0.17,-0.97,0.24,0.67,1.28,-1.71,-12.0,-1.0,27.0,8
485.0,378.0,432.0,421.0,617.0,0.17,-0.96,0.24,1.4,-0.92,-0.55,-13.0,0.0,29.0,8
484.0,380.0,432.0,422.0,618.0,0.18,-0.97,0.25,0.24,0.73,-0.12,-12.0,-4.0,27.0,8
485.0,378.0,432.0,420.0,616.0,0.2,-0.99,0.27,3.3,6.84,-0.85,-14.0,-5.0,29.0,8
486.0,379.0,431.0,422.0,617.0,0.21,-1.0,0.23,8.73,12.63,11.11,-14.0,-1.0,23.0,8
486.0,379.0,434.0,421.0,616.0,0.22,-0.96,0.19,14.22,9.95,13.12,-13.0,-5.0,31.0,8
484.0,380.0,431.0,422.0,617.0,0.22,-0.95,0.18,18.8,2.32,3.23,-17.0,-5.0,26.0,8
485.0,378.0,433.0,420.0,618.0,0.22,-0.96,0.15,16.85,-0.49,3.05,-17.0,-7.0,25.0,8
484.0,377.0,434.0,422.0,616.0,0.22,-0.98,0.14,15.5,0.24,-0.24,-18.0,-6.0,29.0,8
483.0,380.0,433.0,424.0,617.0,0.25,-0.97,0.15,8.42,4.7,-1.22,-17.0,-6.0,23.0,8
487.0,379.0,433.0,424.0,617.0,0.27,-0.97,0.1,-1.83,8.97,4.39,-18.0,-8.0,20.0,8
484.0,379.0,431.0,424.0,614.0,0.25,-0.98,0.1,-1.34,11.35,3.66,-18.0,-8.0,23.0,8
484.0,379.0,433.0,424.0,615.0,0.23,-0.97,0.08,8.73,1.95,-1.77,-20.0,-7.0,21.0,8
484.0,379.0,433.0,424.0,616.0,0.23,-0.97,0.09,4.64,-2.14,-4.94,-18.0,-8.0,19.0,8
484.0,380.0,433.0,425.0,617.0,0.23,-1.0,0.08,5.37,-3.11,-5.55,-16.0,-6.0,26.0,8
485.0,379.0,433.0,425.0,616.0,0.21,-0.98,0.08,2.69,1.04,-1.22,-20.0,-5.0,24.0,8
484.0,375.0,431.0,424.0,617.0,0.22,-0.99,0.05,2.62,2.26,-1.1,-18.0,-6.0,19.0,8
482.0,372.0,429.0,424.0,617.0,0.2,-1.0,0.06,0.92,2.2,0.73,-16.0,-7.0,21.0,8
477.0,372.0,428.0,422.0,616.0,0.21,-0.99,0.05,2.14,-0.61,0.18,-20.0,-6.0,21.0,8
470.0,366.0,421.0,416.0,616.0,0.21,-0.99,0.04,-0.06,-0.61,0.24,-18.0,-6.0,20.0,8
458.0,359.0,412.0,400.0,617.0,0.22,-0.99,0.04,0.85,1.71,0.37,-19.0,-10.0,23.0,8
451.0,355.0,410.0,395.0,617.0,0.22,-0.98,0.05,3.17,-0.92,-0.92,-19.0,-8.0,23.0,8
451.0,356.0,411.0,400.0,617.0,0.21,-0.99,0.04,2.81,-7.2,-2.14,-18.0,-5.0,23.0,8
453.0,356.0,415.0,405.0,617.0,0.21,-0.99,0.06,1.71,-1.77,1.34,-17.0,-8.0,19.0,8
457.0,360.0,415.0,406.0,615.0,0.22,-0.99,0.05,2.69,0.12,1.46,-18.0,-6.0,21.0,8
459.0,359.0,418.0,407.0,617.0,0.21,-0.98,0.04,1.46,-1.4,1.16,-18.0,-5.0,22.0,8
459.0,361.0,418.0,408.0,618.0,0.21,-0.98,0.04,-1.28,-1.34,0.37,-19.0,-4.0,22.0,8
459.0,363.0,419.0,408.0,617.0,0.22,-0.98,0.05,-1.34,-0.49,-0.55,-18.0,-6.0,19.0,8
459.0,362.0,420.0,407.0,616.0,0.21,-0.99,0.05,0.67,-0.49,-0.18,-18.0,-4.0,21.0,8
460.0,364.0,419.0,409.0,618.0,0.22,-0.98,0.05,-0.06,0.67,0.37,-20.0,-5.0,17.0,8
462.0,362.0,419.0,411.0,618.0,0.23,-0.99,0.05,0.55,0.98,-0.43,-19.0,-6.0,21.0,8
461.0,364.0,420.0,408.0,616.0,0.21,-0.99,0.05,1.53,-1.89,-0.67,-18.0,-5.0,20.0,8
461.0,364.0,420.0,409.0,615.0,0.21,-0.98,0.05,0.85,-0.98,-1.46,-18.0,-6.0,18.0,8
462.0,364.0,421.0,410.0,615.0,0.21,-0.99,0.05,0.85,-0.12,-0.98,-17.0,-6.0,21.0,8
461.0,364.0,421.0,411.0,617.0,0.22,-0.99,0.04,0.37,1.83,-0.79,-20.0,-4.0,16.0,8
460.0,363.0,419.0,412.0,618.0,0.2,-0.99,0.06,-0.18,0.06,-0.37,-18.0,-7.0,25.0,8
461.0,365.0,421.0,410.0,617.0,0.22,-0.99,0.03,3.3,-1.71,-0.37,-17.0,-5.0,17.0,8
460.0,365.0,420.0,411.0,617.0,0.2,-0.98,0.04,-0.43,-0.92,-0.12,-17.0,-5.0,20.0,8
461.0,365.0,420.0,410.0,617.0,0.21,-0.99,0.04,0.79,-2.56,-0.43,-17.0,-6.0,18.0,8
461.0,364.0,420.0,411.0,616.0,0.21,-0.99,0.05,1.28,-2.87,-0.67,-19.0,-5.0,16.0,8
