Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
574.0,642.0,641.0,363.0,512.0,0.05,-0.35,0.96,7.02,5.19,-1.95,43.0,-22.0,71.0,9
575.0,642.0,642.0,363.0,515.0,0.08,-0.38,0.95,21.24,3.97,-0.49,41.0,-23.0,68.0,9
571.0,640.0,641.0,367.0,520.0,0.05,-0.4,0.94,16.54,-10.13,5.07,39.0,-20.0,65.0,9
568.0,642.0,642.0,374.0,521.0,0.0,-0.47,1.0,17.7,-33.45,8.36,36.0,-19.0,70.0,9
572.0,641.0,642.0,378.0,534.0,0.01,-0.76,1.23,134.77,43.27,3.3,27.0,-24.0,63.0,9
573.0,642.0,642.0,379.0,536.0,0.02,-0.67,0.75,155.7,-1.4,18.37,10.0,-28.0,56.0,9
566.0,641.0,642.0,380.0,529.0,0.12,-0.57,0.44,123.96,1.46,23.38,0.0,-31.0,48.0,9
559.0,643.0,642.0,380.0,529.0,0.14,-0.68,0.14,71.47,-5.0,12.15,-5.0,-28.0,36.0,9
558.0,643.0,642.0,380.0,527.0,0.07,-0.81,0.07,34.48,10.38,-32.47,-6.0,-31.0,37.0,9
558.0,642.0,642.0,380.0,527.0,0.11,-0.92,0.21,-16.11,-6.23,6.77,-5.0,-31.0,37.0,9
557.0,643.0,642.0,383.0,527.0,0.18,-0.97,0.4,-27.16,-3.97,11.47,-3.0,-31.0,44.0,9
556.0,642.0,642.0,384.0,528.0,0.24,-0.95,0.46,-7.2,-13.18,-5.68,-2.0,-29.0,44.0,9
555.0,641.0,642.0,383.0,527.0,0.2,-0.94,0.4,4.39,-14.16,1.1,-2.0,-29.0,40.0,9
558.0,641.0,643.0,383.0,528.0,0.17,-0.91,0.39,0.92,-9.09,11.47,-2.0,-27.0,47.0,9
564.0,640.0,641.0,383.0,536.0,0.13,-0.91,0.36,4.7,-12.88,6.1,-2.0,-29.0,44.0,9
563.0,642.0,641.0,382.0,534.0,0.13,-0.95,0.36,10.5,-14.65,0.49,-2.0,-27.0,45.0,9
560.0,642.0,644.0,385.0,533.0,0.15,-0.87,0.41,5.19,-18.92,-6.77,-1.0,-27.0,48.0,9
567.0,642.0,642.0,384.0,534.0,0.2,-0.68,0.43,4.21,10.01,8.85,-2.0,-27.0,42.0,9
569.0,643.0,642.0,385.0,529.0,0.2,-0.95,0.5,-3.3,-18.92,9.09,-2.0,-27.0,47.0,9
570.0,643.0,642.0,384.0,528.0,0.18,-1.03,0.37,20.94,-23.19,-18.92,-1.0,-24.0,46.0,9
570.0,642.0,641.0,384.0,528.0,0.06,-1.1,0.25,29.97,-16.54,-15.26,-2.0,-19.0,42.0,9
571.0,643.0,642.0,385.0,523.0,0.03,-0.98,0.25,14.71,-14.59,-14.1,-4.0,-16.0,41.0,9
574.0,641.0,641.0,385.0,521.0,0.09,-0.93,0.27,-15.26,-10.56,-1.1,-3.0,-17.0,39.0,9
572.0,640.0,642.0,383.0,519.0,0.06,-0.97,0.32,-19.17,-14.89,3.78,-2.0,-15.0,45.0,9
574.0,643.0,642.0,381.0,517.0,0.06,-0.96,0.38,-16.05,-13.37,22.28,-2.0,-14.0,44.0,9
577.0,642.0,642.0,381.0,512.0,0.09,-0.97,0.39,-1.46,-13.98,11.9,-1.0,-15.0,46.0,9
575.0,641.0,643.0,381.0,507.0,0.12,-0.96,0.38,9.4,-26.12,12.51,-2.0,-15.0,43.0,9
577.0,644.0,642.0,383.0,503.0,0.07,-0.94,0.36,14.1,-39.37,1.1,-2.0,-8.0,42.0,9
575.0,641.0,641.0,384.0,503.0,0.06,-0.92,0.34,9.46,-14.34,2.56,-4.0,-8.0,39.0,9
575.0,642.0,642.0,384.0,502.0,0.08,-0.97,0.32,3.6,-6.16,5.37,-3.0,-6.0,40.0,9
574.0,641.0,641.0,383.0,504.0,0.09,-0.96,0.33,7.32,-8.85,-8.0,-4.0,-7.0,43.0,9
575.0,642.0,643.0,385.0,504.0,0.03,-0.93,0.31,7.81,-39.55,-4.7,-4.0,-7.0,39.0,9
573.0,642.0,643.0,382.0,505.0,-0.01,-0.98,0.29,5.62,-42.79,-6.84,-5.0,-5.0,32.0,9
571.0,642.0,643.0,382.0,500.0,-0.0,-0.98,0.3,8.12,-67.26,-1.1,-5.0,-2.0,35.0,9
570.0,642.0,642.0,381.0,501.0,-0.05,-0.96,0.28,3.91,-52.06,-1.4,-5.0,3.0,29.0,9
570.0,641.0,641.0,380.0,499.0,-0.06,-0.97,0.25,2.32,-2.69,2.38,-7.0,5.0,32.0,9
567.0,642.0,642.0,380.0,501.0,-0.07,-0.97,0.24,-1.4,-4.46,-1.4,-5.0,5.0,24.0,9
568.0,642.0,641.0,382.0,500.0,-0.08,-0.97,0.25,2.69,-12.7,-0.24,-6.0,3.0,31.0,9
569.0,643.0,641.0,381.0,499.0,-0.09,-0.97,0.28,4.76,-17.7,0.06,-8.0,5.0,27.0,9
570.0,641.0,642.0,380.0,501.0,-0.06,-0.98,0.26,1.28,-5.92,0.18,-6.0,4.0,27.0,9
569.0,641.0,642.0,380.0,501.0,-0.08,-0.98,0.21,-0.98,8.24,-3.85,-8.0,5.0,30.0,9
568.0,643.0,643.0,380.0,500.0,-0.08,-0.97,0.26,-6.77,14.04,-4.94,-5.0,5.0,28.0,9
569.0,641.0,641.0,380.0,502.0,-0.09,-0.97,0.31,-5.31,-6.53,-0.37,-3.0,6.0,31.0,9
569.0,641.0,644.0,380.0,502.0,-0.09,-0.96,0.31,-2.2,-8.79,0.85,-4.0,10.0,29.0,9
568.0,641.0,641.0,381.0,501.0,-0.1,-0.97,0.28,2.44,-9.77,1.77,-5.0,7.0,28.0,9
568.0,643.0,642.0,382.0,502.0,-0.11,-0.95,0.27,-1.65,-13.37,0.12,-5.0,9.0,27.0,9
567.0,642.0,643.0,382.0,501.0,-0.11,-0.96,0.28,-0.06,-16.24,-3.36,-5.0,10.0,28.0,9
562.0,642.0,641.0,379.0,498.0,-0.14,-0.96,0.27,3.36,-33.75,-3.17,-8.0,11.0,24.0,9
557.0,641.0,642.0,373.0,494.0,-0.16,-0.98,0.24,1.95,-1.77,-1.89,-2.0,12.0,26.0,9
555.0,642.0,643.0,369.0,483.0,-0.15,-0.96,0.24,7.14,-12.94,-0.37,-6.0,11.0,23.0,9
551.0,641.0,642.0,367.0,465.0,-0.15,-0.95,0.26,-4.27,-3.54,-1.77,-4.0,11.0,23.0,9
556.0,643.0,641.0,368.0,460.0,-0.13,-0.98,0.25,5.0,-3.17,-0.55,-2.0,11.0,23.0,9
555.0,641.0,642.0,369.0,460.0,-0.16,-0.97,0.24,7.39,-7.45,-1.22,-5.0,10.0,23.0,9
568.0,641.0,641.0,364.0,464.0,-0.16,-0.95,0.25,13.37,-37.66,-4.15,-6.0,10.0,24.0,9
578.0,642.0,640.0,373.0,486.0,-0.19,-0.98,0.19,17.03,-23.86,-2.26,-6.0,14.0,14.0,9
586.0,642.0,643.0,379.0,510.0,-0.15,-0.98,0.16,13.43,2.44,3.11,-5.0,14.0,18.0,9
593.0,642.0,642.0,372.0,505.0,-0.16,-0.99,0.13,-4.03,9.52,2.93,-6.0,14.0,16.0,9
596.0,642.0,642.0,358.0,471.0,-0.18,-0.98,0.17,0.12,0.12,-0.67,-7.0,13.0,17.0,9
597.0,642.0,641.0,353.0,455.0,-0.15,-0.99,0.17,5.55,9.52,4.94,-8.0,12.0,15.0,9
597.0,642.0,642.0,354.0,422.0,-0.15,-0.98,0.18,6.9,8.54,4.94,-6.0,12.0,21.0,9
597.0,642.0,640.0,393.0,372.0,-0.15,-1.0,0.16,4.15,2.99,-0.49,-10.0,12.0,19.0,9
597.0,641.0,642.0,385.0,360.0,-0.14,-0.99,0.16,4.58,-2.87,-1.46,-9.0,14.0,14.0,9
588.0,641.0,641.0,365.0,353.0,-0.17,-0.98,0.13,9.22,-18.13,0.43,-8.0,12.0,16.0,9
571.0,641.0,641.0,360.0,358.0,-0.14,-0.98,0.16,0.92,-16.97,-4.03,-8.0,12.0,18.0,9
555.0,642.0,644.0,360.0,364.0,-0.18,-0.99,0.13,4.03,-14.83,-2.62,-7.0,14.0,13.0,9
552.0,642.0,643.0,359.0,367.0,-0.16,-0.98,0.12,-0.55,-2.56,-0.61,-7.0,13.0,21.0,9
559.0,642.0,642.0,361.0,369.0,-0.17,-0.98,0.14,0.06,-6.77,-0.06,-8.0,12.0,16.0,9
572.0,643.0,643.0,361.0,371.0,-0.15,-0.99,0.12,5.19,-15.62,-0.37,-5.0,14.0,11.0,9
575.0,642.0,643.0,363.0,373.0,-0.21,-0.98,0.07,3.36,-16.36,2.81,-7.0,15.0,14.0,9
580.0,642.0,642.0,364.0,373.0,-0.2,-0.99,0.08,0.85,-18.68,4.88,-9.0,14.0,6.0,9
591.0,642.0,642.0,364.0,375.0,-0.19,-1.0,0.07,3.78,-24.23,6.59,-10.0,14.0,9.0,9
592.0,641.0,642.0,365.0,373.0,-0.17,-0.99,0.06,8.36,-19.41,9.22,-10.0,17.0,4.0,9
593.0,642.0,641.0,362.0,375.0,-0.16,-1.12,0.08,10.5,-3.17,15.08,-12.0,14.0,8.0,9
592.0,641.0,642.0,365.0,375.0,-0.06,-0.97,-0.03,42.36,-37.9,30.27,-13.0,13.0,6.0,9
592.0,637.0,642.0,365.0,376.0,0.01,-0.91,-0.03,6.04,-31.19,14.04,-12.0,10.0,0.0,9
589.0,643.0,641.0,364.0,376.0,-0.04,-1.03,-0.05,4.88,-40.71,-6.35,-12.0,9.0,-4.0,9
588.0,641.0,643.0,365.0,377.0,-0.07,-1.0,-0.05,6.96,-26.43,-3.11,-12.0,8.0,-1.0,9
590.0,643.0,641.0,367.0,376.0,-0.02,-1.0,-0.08,-0.73,-2.14,-3.42,-14.0,7.0,-7.0,9
587.0,642.0,643.0,364.0,378.0,-0.05,-0.99,-0.05,3.97,-20.69,-12.15,-15.0,10.0,-6.0,9
588.0,640.0,642.0,363.0,380.0,-0.07,-0.99,-0.07,-0.61,-30.76,-13.12,-14.0,12.0,-3.0,9
585.0,642.0,643.0,364.0,380.0,-0.08,-1.0,-0.07,-2.2,-33.33,-14.28,-12.0,11.0,-9.0,9
579.0,642.0,642.0,363.0,380.0,-0.14,-1.0,-0.1,7.26,-27.71,-10.31,-12.0,13.0,-13.0,9
576.0,645.0,641.0,363.0,383.0,-0.13,-1.01,-0.12,4.33,-21.18,-6.29,-12.0,10.0,-16.0,9
562.0,641.0,641.0,365.0,388.0,-0.09,-0.97,-0.11,-0.73,3.78,-1.53,-12.0,10.0,-13.0,9
560.0,641.0,642.0,368.0,388.0,-0.15,-0.99,-0.13,4.7,-10.38,-4.88,-10.0,11.0,-18.0,9
562.0,642.0,642.0,368.0,390.0,-0.14,-0.99,-0.11,-1.1,-8.06,-2.08,-13.0,11.0,-14.0,9
563.0,642.0,642.0,369.0,390.0,-0.12,-1.0,-0.13,-1.22,-0.49,2.14,-11.0,13.0,-9.0,9
563.0,642.0,642.0,368.0,392.0,-0.15,-1.0,-0.11,-3.78,-18.92,1.46,-11.0,12.0,-12.0,9
565.0,642.0,643.0,368.0,392.0,-0.14,-1.0,-0.12,-5.31,-25.27,1.59,-13.0,10.0,-16.0,9
562.0,642.0,643.0,368.0,393.0,-0.09,-1.0,-0.08,-9.83,-27.28,4.82,-9.0,10.0,-14.0,9
567.0,641.0,642.0,367.0,392.0,-0.05,-0.98,-0.11,0.49,-40.47,6.9,-11.0,7.0,-18.0,9
568.0,643.0,642.0,367.0,391.0,-0.04,-0.98,-0.12,-3.3,-29.24,-3.85,-11.0,6.0,-17.0,9
566.0,642.0,640.0,368.0,394.0,-0.1,-1.0,-0.11,-18.98,-14.65,-13.98,-12.0,7.0,-18.0,9
563.0,642.0,642.0,370.0,395.0,-0.16,-0.99,-0.03,-14.34,-20.63,-3.72,-10.0,8.0,-21.0,9
563.0,641.0,643.0,371.0,399.0,-0.09,-1.0,0.01,-12.39,-5.49,5.55,-12.0,2.0,-22.0,9
563.0,641.0,641.0,372.0,400.0,-0.1,-0.99,-0.04,-16.05,-3.48,2.01,-12.0,8.0,-18.0,9
564.0,643.0,641.0,372.0,401.0,-0.07,-1.0,0.04,-7.75,-26.73,-6.41,-12.0,5.0,-22.0,9
563.0,641.0,643.0,371.0,403.0,-0.12,-1.01,0.03,1.95,-30.03,1.89,-12.0,5.0,-17.0,9
568.0,641.0,644.0,370.0,404.0,-0.05,-0.99,-0.0,4.33,-17.52,4.82,-12.0,5.0,-22.0,9
564.0,641.0,643.0,371.0,404.0,-0.09,-1.01,-0.01,0.43,-21.0,-0.31,-13.0,4.0,-24.0,9
565.0,643.0,642.0,372.0,405.0,-0.06,-0.99,-0.01,1.59,-24.6,6.1,-15.0,3.0,-24.0,9
564.0,643.0,643.0,372.0,403.0,-0.06,-1.0,-0.03,8.97,-49.38,2.87,-14.0,1.0,-26.0,9
566.0,642.0,642.0,370.0,403.0,-0.09,-1.0,-0.07,2.69,-30.7,0.24,-13.0,-1.0,-32.0,9
564.0,643.0,641.0,370.0,403.0,-0.07,-1.02,-0.05,-2.14,-11.6,-3.05,-15.0,-4.0,-27.0,9
565.0,642.0,642.0,371.0,404.0,-0.06,-1.0,-0.05,-1.28,-13.79,4.46,-15.0,-2.0,-28.0,9
565.0,642.0,641.0,369.0,404.0,-0.02,-1.0,-0.05,3.66,-16.85,2.99,-14.0,-5.0,-32.0,9
565.0,641.0,643.0,369.0,404.0,-0.03,-1.02,-0.05,3.72,-22.58,-0.37,-13.0,-2.0,-33.0,9
566.0,643.0,641.0,369.0,406.0,-0.01,-1.0,-0.07,0.49,-10.19,5.31,-14.0,-5.0,-32.0,9
566.0,643.0,642.0,371.0,406.0,-0.02,-1.0,-0.07,0.55,-13.92,-4.03,-12.0,-8.0,-31.0,9
567.0,641.0,642.0,370.0,404.0,-0.03,-1.01,-0.04,-1.34,-20.87,-0.24,-12.0,-7.0,-34.0,9
566.0,641.0,642.0,370.0,408.0,-0.0,-1.01,-0.09,9.46,-16.78,16.36,-12.0,-8.0,-36.0,9
566.0,642.0,642.0,371.0,407.0,0.01,-1.02,-0.1,0.24,-28.5,-5.31,-15.0,-11.0,-31.0,9
568.0,641.0,642.0,368.0,406.0,-0.07,-0.99,-0.1,10.56,-70.07,-9.46,-12.0,-16.0,-33.0,9
566.0,643.0,641.0,371.0,408.0,-0.04,-1.0,-0.11,3.72,-21.67,-10.62,-15.0,-15.0,-35.0,9
566.0,642.0,642.0,370.0,406.0,-0.02,-1.0,-0.07,-2.44,-17.33,-5.49,-12.0,-13.0,-35.0,9
567.0,643.0,642.0,370.0,410.0,-0.03,-1.0,-0.1,2.14,-19.23,0.79,-15.0,-17.0,-37.0,9
565.0,642.0,643.0,370.0,408.0,-0.03,-1.0,-0.12,-0.85,-13.92,1.28,-12.0,-18.0,-40.0,9
566.0,642.0,642.0,369.0,408.0,-0.02,-0.98,-0.09,3.66,-30.82,-5.37,-12.0,-18.0,-37.0,9
567.0,640.0,641.0,369.0,409.0,-0.06,-0.99,-0.1,2.56,-19.41,-5.68,-11.0,-19.0,-35.0,9
567.0,641.0,641.0,371.0,408.0,-0.05,-1.01,-0.12,5.07,-17.4,1.59,-12.0,-20.0,-38.0,9
567.0,644.0,643.0,369.0,409.0,-0.03,-1.0,-0.12,2.44,-12.82,6.65,-12.0,-21.0,-40.0,9
