Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
577.0,302.0,339.0,284.0,366.0,0.07,-0.98,-0.13,-1.46,0.61,-4.76,-14.0,-44.0,12.0,0
576.0,301.0,339.0,285.0,366.0,0.08,-1.0,-0.12,-2.75,-2.5,-5.74,-15.0,-44.0,11.0,0
573.0,302.0,340.0,287.0,368.0,0.06,-1.0,-0.1,-4.03,-3.72,-2.32,-14.0,-44.0,8.0,0
569.0,300.0,340.0,287.0,368.0,0.08,-1.01,-0.11,-1.22,-0.49,0.0,-14.0,-42.0,10.0,0
565.0,301.0,340.0,287.0,369.0,0.06,-1.02,-0.08,-2.38,2.69,0.98,-12.0,-46.0,12.0,0
566.0,300.0,343.0,288.0,369.0,0.07,-1.01,-0.09,2.62,1.4,4.64,-15.0,-46.0,10.0,0
561.0,296.0,343.0,289.0,369.0,0.08,-0.99,-0.1,1.1,1.65,0.73,-17.0,-44.0,9.0,0
560.0,297.0,343.0,289.0,371.0,0.07,-0.98,-0.11,-1.4,-1.59,2.01,-13.0,-43.0,13.0,0
559.0,295.0,342.0,290.0,370.0,0.11,-1.01,-0.1,-8.42,2.75,2.75,-14.0,-45.0,11.0,0
555.0,295.0,343.0,291.0,370.0,0.08,-1.03,-0.06,-7.26,-2.5,0.37,-14.0,-45.0,10.0,0
551.0,295.0,343.0,292.0,368.0,0.1,-1.02,-0.05,4.39,-4.33,5.0,-14.0,-43.0,8.0,0
551.0,295.0,344.0,292.0,370.0,0.11,-0.99,-0.06,5.43,-3.11,3.91,-15.0,-45.0,13.0,0
551.0,295.0,345.0,291.0,369.0,0.11,-0.99,-0.07,2.32,-0.55,1.1,-17.0,-43.0,10.0,0
551.0,296.0,345.0,291.0,371.0,0.11,-1.0,-0.06,-1.71,0.0,-0.79,-14.0,-44.0,7.0,0
552.0,299.0,345.0,292.0,371.0,0.11,-1.01,-0.07,-1.71,1.65,1.83,-16.0,-47.0,12.0,0
552.0,299.0,346.0,292.0,372.0,0.12,-1.0,-0.07,0.43,-2.01,1.53,-15.0,-43.0,14.0,0
553.0,300.0,346.0,292.0,370.0,0.1,-1.0,-0.07,0.18,-6.59,0.24,-12.0,-46.0,15.0,0
552.0,297.0,346.0,291.0,372.0,0.13,-0.99,-0.05,1.1,1.65,0.67,-13.0,-46.0,11.0,0
551.0,299.0,347.0,294.0,371.0,0.11,-1.0,-0.06,-1.04,1.53,0.37,-16.0,-45.0,11.0,0
551.0,298.0,346.0,292.0,372.0,0.11,-1.0,-0.06,-0.55,0.43,0.73,-12.0,-46.0,14.0,0
551.0,297.0,346.0,293.0,374.0,0.12,-1.01,-0.05,1.53,0.67,0.0,-10.0,-45.0,11.0,0
551.0,298.0,347.0,294.0,374.0,0.1,-1.0,-0.07,1.83,1.1,-0.61,-12.0,-46.0,10.0,0
554.0,299.0,347.0,293.0,374.0,0.12,-1.0,-0.07,0.85,0.12,-3.17,-12.0,-45.0,8.0,0
553.0,299.0,347.0,292.0,373.0,0.12,-1.0,-0.06,-3.91,-3.78,-4.58,-13.0,-45.0,13.0,0
554.0,299.0,346.0,294.0,373.0,0.09,-1.02,-0.03,-3.85,-1.4,4.03,-13.0,-43.0,12.0,0
555.0,298.0,344.0,295.0,374.0,0.1,-1.01,-0.05,-1.1,-2.01,-1.65,-14.0,-45.0,10.0,0
555.0,300.0,346.0,293.0,375.0,0.12,-1.0,-0.04,1.16,1.16,0.85,-11.0,-45.0,12.0,0
554.0,299.0,346.0,294.0,374.0,0.11,-1.0,-0.02,1.89,-2.08,-2.44,-15.0,-46.0,14.0,0
554.0,300.0,347.0,294.0,376.0,0.1,-1.01,-0.03,1.53,-9.52,-3.11,-15.0,-44.0,13.0,0
554.0,300.0,346.0,295.0,376.0,0.11,-1.0,-0.03,0.67,-15.01,-2.56,-12.0,-46.0,16.0,0
