Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
436.0,640.0,643.0,614.0,616.0,0.41,-0.91,0.2,3.72,0.73,-1.53,-5.0,-60.0,1.0,1
436.0,640.0,642.0,616.0,617.0,0.37,-0.93,0.18,3.6,-1.04,-5.19,-6.0,-62.0,0.0,1
436.0,643.0,642.0,615.0,617.0,0.39,-0.95,0.21,1.77,0.49,0.06,-8.0,-63.0,4.0,1
436.0,641.0,641.0,614.0,618.0,0.37,-0.93,0.19,1.65,1.89,-0.31,-5.0,-60.0,6.0,1
437.0,642.0,643.0,613.0,617.0,0.38,-0.92,0.22,-1.1,2.14,1.65,-7.0,-62.0,1.0,1
438.0,643.0,641.0,616.0,616.0,0.39,-0.94,0.2,0.37,2.2,-0.79,-6.0,-61.0,-4.0,1
435.0,642.0,641.0,615.0,618.0,0.39,-0.92,0.18,1.53,0.06,1.1,-7.0,-64.0,0.0,1
436.0,642.0,643.0,615.0,617.0,0.39,-0.9,0.19,-1.77,1.65,3.66,-5.0,-61.0,5.0,1
434.0,643.0,642.0,616.0,617.0,0.42,-0.91,0.22,1.65,4.88,1.28,-8.0,-61.0,1.0,1
436.0,642.0,644.0,615.0,617.0,0.34,-0.89,0.18,0.67,4.58,-5.62,-5.0,-60.0,0.0,1
436.0,642.0,642.0,614.0,618.0,0.42,-0.91,0.15,1.89,-1.46,4.82,-5.0,-63.0,0.0,1
437.0,640.0,643.0,615.0,616.0,0.39,-0.91,0.18,3.05,0.31,-4.15,-6.0,-64.0,-3.0,1
434.0,643.0,644.0,613.0,618.0,0.38,-0.91,0.2,2.26,1.53,-0.79,-7.0,-63.0,0.0,1
436.0,642.0,644.0,615.0,618.0,0.39,-0.91,0.17,1.95,0.12,0.55,-8.0,-63.0,0.0,1
436.0,644.0,641.0,616.0,618.0,0.39,-0.94,0.16,1.53,-5.74,0.37,-4.0,-60.0,2.0,1
435.0,644.0,641.0,615.0,616.0,0.43,-0.92,0.17,4.52,-1.77,0.0,-8.0,-63.0,0.0,1
435.0,642.0,641.0,615.0,619.0,0.34,-0.9,0.18,-4.94,0.79,1.1,-5.0,-64.0,-2.0,1
433.0,641.0,642.0,612.0,617.0,0.42,-0.91,0.19,-1.16,-2.32,3.66,-4.0,-64.0,-1.0,1
437.0,641.0,642.0,615.0,616.0,0.4,-0.92,0.13,0.49,0.06,-0.18,-5.0,-63.0,1.0,1
437.0,644.0,642.0,615.0,618.0,0.38,-0.91,0.19,5.74,3.3,-1.04,-6.0,-65.0,0.0,1
432.0,641.0,641.0,615.0,618.0,0.37,-0.91,0.16,3.85,3.6,1.71,-5.0,-63.0,1.0,1
433.0,643.0,642.0,615.0,616.0,0.39,-0.92,0.14,5.98,-0.12,4.76,-7.0,-63.0,-3.0,1
433.0,642.0,641.0,614.0,618.0,0.4,-0.89,0.12,7.63,5.68,7.93,-5.0,-63.0,-3.0,1
433.0,642.0,643.0,615.0,617.0,0.43,-0.91,0.09,9.22,4.88,10.31,-5.0,-61.0,-6.0,1
434.0,642.0,644.0,615.0,618.0,0.46,-0.91,0.1,5.98,-4.94,-0.24,-4.0,-62.0,-4.0,1
433.0,642.0,643.0,614.0,619.0,0.39,-0.92,0.08,0.55,-8.0,-4.21,-5.0,-64.0,-6.0,1
433.0,641.0,643.0,614.0,617.0,0.46,-0.93,0.16,0.55,-8.24,2.56,-4.0,-64.0,-8.0,1
434.0,643.0,642.0,615.0,618.0,0.44,-0.92,0.13,5.31,-6.71,-4.21,-5.0,-66.0,-3.0,1
436.0,642.0,643.0,614.0,618.0,0.41,-0.91,0.14,0.55,-5.49,0.85,-5.0,-62.0,1.0,1
436.0,640.0,641.0,615.0,617.0,0.44,-0.92,0.15,3.91,-4.21,-0.24,-8.0,-62.0,-2.0,1
436.0,642.0,639.0,616.0,616.0,0.4,-0.92,0.12,3.85,-4.76,0.12,-4.0,-64.0,-2.0,1
435.0,641.0,644.0,613.0,618.0,0.4,-0.92,0.12,4.46,-5.49,-2.26,-5.0,-61.0,1.0,1
438.0,643.0,643.0,615.0,618.0,0.41,-0.93,0.13,2.93,-4.76,-0.43,-5.0,-63.0,1.0,1
438.0,642.0,642.0,616.0,618.0,0.41,-0.91,0.12,1.65,-6.23,1.4,-7.0,-63.0,-1.0,1
440.0,642.0,643.0,614.0,618.0,0.43,-0.93,0.13,0.67,-2.69,-0.55,-8.0,-65.0,-5.0,1
439.0,643.0,641.0,615.0,617.0,0.45,-0.91,0.13,2.75,-5.43,-0.85,-5.0,-62.0,-1.0,1
437.0,642.0,641.0,612.0,616.0,0.41,-0.9,0.16,2.08,-5.68,1.83,-5.0,-62.0,-1.0,1
439.0,643.0,642.0,615.0,618.0,0.4,-0.93,0.14,5.07,-11.72,1.28,-4.0,-64.0,0.0,1
438.0,641.0,643.0,616.0,617.0,0.39,-0.89,0.17,9.34,-11.35,2.26,-8.0,-62.0,-1.0,1
433.0,642.0,643.0,615.0,617.0,0.39,-0.91,0.12,14.1,-11.41,-4.15,-4.0,-64.0,1.0,1
428.0,642.0,644.0,614.0,617.0,0.42,-0.92,0.14,7.2,-7.57,-2.32,-5.0,-64.0,-3.0,1
429.0,642.0,640.0,615.0,618.0,0.39,-0.93,0.12,4.09,-10.31,-4.7,-7.0,-62.0,0.0,1
429.0,641.0,642.0,615.0,618.0,0.37,-0.92,0.11,4.09,-8.91,1.59,-8.0,-62.0,-2.0,1
430.0,643.0,642.0,615.0,617.0,0.39,-0.94,0.13,10.62,-12.45,-6.71,-7.0,-64.0,1.0,1
432.0,642.0,643.0,616.0,617.0,0.37,-0.94,0.09,11.54,-11.9,-5.0,-5.0,-64.0,1.0,1
431.0,642.0,641.0,615.0,619.0,0.36,-0.95,0.11,11.72,-14.1,-8.06,-8.0,-62.0,4.0,1
429.0,641.0,642.0,616.0,618.0,0.34,-0.94,0.11,7.69,-10.31,-4.7,-6.0,-61.0,3.0,1
425.0,641.0,643.0,614.0,618.0,0.3,-0.96,0.07,4.52,-14.22,-3.11,-7.0,-61.0,6.0,1
426.0,641.0,644.0,613.0,617.0,0.3,-0.98,0.08,6.77,-13.24,-4.94,-7.0,-61.0,4.0,1
425.0,642.0,641.0,616.0,618.0,0.31,-0.95,0.08,8.18,-16.05,-0.79,-8.0,-60.0,8.0,1
427.0,640.0,641.0,615.0,616.0,0.32,-0.94,0.1,2.44,-9.16,0.06,-8.0,-57.0,8.0,1
429.0,642.0,641.0,615.0,616.0,0.31,-0.97,0.09,1.22,-4.46,-3.48,-9.0,-61.0,8.0,1
428.0,642.0,642.0,614.0,618.0,0.31,-0.98,0.11,-5.19,3.48,0.06,-10.0,-60.0,5.0,1
430.0,642.0,641.0,615.0,617.0,0.31,-0.97,0.1,-1.65,2.08,2.14,-7.0,-59.0,5.0,1
430.0,641.0,643.0,614.0,617.0,0.31,-0.98,0.06,-1.46,0.79,1.34,-8.0,-61.0,5.0,1
431.0,641.0,641.0,615.0,618.0,0.33,-0.95,0.11,-1.16,0.06,3.48,-9.0,-61.0,3.0,1
431.0,643.0,642.0,614.0,617.0,0.31,-0.94,0.11,2.99,-7.75,-2.01,-8.0,-60.0,10.0,1
432.0,640.0,642.0,617.0,617.0,0.34,-0.95,0.12,-0.12,-4.82,0.0,-8.0,-61.0,8.0,1
433.0,642.0,642.0,615.0,618.0,0.33,-0.94,0.11,2.56,-9.77,0.0,-7.0,-61.0,4.0,1
434.0,642.0,642.0,615.0,617.0,0.33,-0.96,0.14,5.43,-11.9,-3.85,-6.0,-62.0,7.0,1
432.0,643.0,641.0,615.0,618.0,0.28,-0.96,0.11,3.42,-6.65,0.37,-10.0,-58.0,7.0,1
433.0,641.0,643.0,614.0,617.0,0.34,-0.97,0.12,2.32,-4.64,-0.73,-8.0,-60.0,9.0,1
433.0,643.0,642.0,615.0,618.0,0.29,-0.97,0.09,5.31,-11.05,-1.22,-8.0,-59.0,12.0,1
433.0,642.0,643.0,614.0,617.0,0.29,-0.96,0.1,1.83,-15.87,-3.11,-7.0,-61.0,11.0,1
434.0,642.0,641.0,614.0,619.0,0.33,-0.97,0.12,2.75,-7.63,-0.24,-10.0,-58.0,10.0,1
434.0,642.0,641.0,614.0,619.0,0.32,-0.98,0.14,0.61,-4.21,2.62,-8.0,-56.0,6.0,1
432.0,642.0,643.0,614.0,616.0,0.32,-0.97,0.14,2.5,-8.85,0.24,-10.0,-59.0,14.0,1
434.0,642.0,643.0,617.0,618.0,0.31,-0.96,0.15,2.81,-6.41,-2.2,-6.0,-58.0,11.0,1
435.0,642.0,642.0,616.0,617.0,0.31,-0.97,0.13,2.14,-0.37,1.1,-8.0,-60.0,10.0,1
434.0,640.0,643.0,614.0,618.0,0.32,-0.97,0.13,4.88,-13.55,-0.06,-7.0,-59.0,14.0,1
436.0,643.0,641.0,616.0,618.0,0.35,-0.96,0.17,6.04,-12.15,6.77,-9.0,-58.0,15.0,1
435.0,642.0,643.0,614.0,616.0,0.32,-0.96,0.13,4.88,-14.71,3.48,-6.0,-57.0,10.0,1
435.0,640.0,641.0,616.0,618.0,0.3,-0.93,0.17,1.28,-25.63,11.84,-7.0,-56.0,16.0,1
432.0,643.0,643.0,615.0,617.0,0.34,-0.95,0.18,6.96,-11.84,4.52,-8.0,-55.0,15.0,1
434.0,642.0,642.0,612.0,617.0,0.32,-0.94,0.16,2.62,-6.84,-0.37,-8.0,-57.0,17.0,1
435.0,642.0,643.0,616.0,618.0,0.32,-0.96,0.15,-0.31,-11.84,-3.97,-8.0,-55.0,18.0,1
437.0,642.0,643.0,616.0,618.0,0.29,-0.96,0.15,-1.4,-9.64,-3.11,-7.0,-55.0,20.0,1
436.0,642.0,641.0,614.0,617.0,0.29,-0.95,0.16,4.39,-19.17,-4.94,-7.0,-55.0,21.0,1
435.0,643.0,641.0,617.0,618.0,0.32,-0.96,0.2,11.72,-43.52,-9.7,-8.0,-51.0,25.0,1
435.0,644.0,641.0,614.0,617.0,0.22,-0.96,0.17,8.73,-47.12,-9.16,-11.0,-50.0,20.0,1
436.0,643.0,642.0,615.0,616.0,0.21,-0.97,0.18,6.29,-33.63,-9.58,-10.0,-49.0,22.0,1
436.0,640.0,643.0,616.0,616.0,0.15,-0.97,0.15,-3.17,6.47,-2.62,-12.0,-51.0,26.0,1
438.0,643.0,643.0,615.0,616.0,0.18,-0.98,0.16,-7.14,3.48,0.43,-9.0,-47.0,20.0,1
439.0,641.0,642.0,615.0,619.0,0.16,-0.94,0.14,-4.15,3.48,-2.87,-10.0,-47.0,27.0,1
440.0,643.0,640.0,614.0,617.0,0.2,-0.96,0.18,-0.31,0.67,-6.04,-9.0,-47.0,23.0,1
440.0,641.0,642.0,615.0,617.0,0.16,-0.97,0.2,-2.44,2.01,-6.71,-10.0,-47.0,25.0,1
440.0,643.0,642.0,615.0,616.0,0.19,-0.98,0.22,5.49,-20.51,-0.24,-11.0,-45.0,25.0,1
440.0,642.0,642.0,614.0,618.0,0.11,-0.97,0.2,19.1,-58.96,-6.35,-12.0,-43.0,27.0,1
441.0,642.0,643.0,616.0,617.0,0.06,-0.98,0.15,8.18,-33.26,1.16,-12.0,-42.0,27.0,1
440.0,641.0,642.0,615.0,616.0,0.13,-0.97,0.2,-1.28,-5.68,1.22,-9.0,-41.0,29.0,1
441.0,641.0,642.0,615.0,617.0,0.16,-1.0,0.23,1.65,7.02,3.11,-10.0,-41.0,26.0,1
440.0,643.0,643.0,612.0,617.0,0.24,-0.96,0.24,2.2,15.44,5.0,-11.0,-41.0,28.0,1
441.0,641.0,641.0,616.0,617.0,0.15,-0.96,0.17,9.28,-15.01,-5.07,-12.0,-43.0,26.0,1
441.0,642.0,643.0,616.0,617.0,0.1,-1.0,0.14,17.82,-35.58,-5.8,-12.0,-37.0,26.0,1
439.0,641.0,643.0,613.0,617.0,0.06,-1.02,0.13,11.17,-34.61,1.65,-10.0,-36.0,27.0,1
440.0,642.0,642.0,614.0,618.0,0.14,-1.01,0.2,11.96,-14.47,4.21,-11.0,-37.0,24.0,1
438.0,642.0,640.0,616.0,617.0,0.18,-1.02,0.14,18.49,-25.15,3.23,-14.0,-34.0,22.0,1
439.0,641.0,642.0,616.0,617.0,0.18,-1.02,0.21,-3.23,10.8,3.6,-12.0,-34.0,28.0,1
440.0,641.0,643.0,615.0,617.0,0.11,-1.01,0.13,-7.02,30.52,1.95,-12.0,-33.0,28.0,1
440.0,642.0,644.0,614.0,618.0,0.17,-0.99,0.16,-15.08,50.29,-1.4,-13.0,-37.0,27.0,1
421.0,643.0,642.0,614.0,618.0,0.1,-0.95,0.18,-8.0,36.56,-10.86,-15.0,-39.0,28.0,1
416.0,642.0,643.0,615.0,618.0,0.13,-0.98,0.17,1.59,56.64,0.67,-12.0,-40.0,29.0,1
417.0,642.0,642.0,615.0,617.0,0.16,-1.04,0.12,-3.42,64.27,-0.73,-12.0,-41.0,21.0,1
418.0,643.0,641.0,615.0,617.0,0.11,-1.0,0.2,-23.19,78.8,0.18,-12.0,-42.0,26.0,1
422.0,641.0,642.0,616.0,620.0,0.16,-1.0,0.19,-20.75,81.97,-4.7,-12.0,-47.0,16.0,1
423.0,643.0,641.0,614.0,619.0,0.27,-0.98,0.22,-27.53,108.22,13.31,-10.0,-51.0,19.0,1
426.0,643.0,641.0,615.0,617.0,0.24,-1.02,0.24,-27.4,114.81,20.75,-10.0,-54.0,19.0,1
429.0,641.0,642.0,616.0,617.0,0.3,-0.98,0.22,-19.29,91.55,14.53,-10.0,-56.0,10.0,1
429.0,643.0,640.0,615.0,617.0,0.23,-0.94,0.23,-8.54,38.09,-1.59,-10.0,-58.0,9.0,1
430.0,642.0,641.0,615.0,619.0,0.34,-0.95,0.3,-8.48,60.0,5.98,-10.0,-56.0,14.0,1
430.0,642.0,642.0,613.0,617.0,0.39,-0.96,0.26,-18.07,79.77,12.63,-8.0,-59.0,8.0,1
433.0,643.0,641.0,614.0,617.0,0.33,-0.93,0.3,-18.49,52.25,-1.77,-9.0,-58.0,7.0,1
434.0,643.0,642.0,615.0,616.0,0.36,-0.93,0.29,7.45,33.81,-1.34,-7.0,-57.0,8.0,1
434.0,640.0,643.0,616.0,616.0,0.33,-0.99,0.18,15.99,28.26,-7.69,-8.0,-62.0,3.0,1
438.0,642.0,642.0,615.0,619.0,0.34,-0.93,0.21,-5.86,11.17,-3.23,-11.0,-61.0,1.0,1
431.0,641.0,643.0,615.0,617.0,0.36,-0.94,0.22,-12.63,3.85,-5.43,-8.0,-60.0,3.0,1
434.0,640.0,643.0,615.0,618.0,0.31,-0.92,0.21,-16.3,18.13,-0.55,-11.0,-59.0,0.0,1
436.0,642.0,641.0,613.0,618.0,0.31,-0.95,0.18,-3.05,16.91,1.34,-10.0,-60.0,3.0,1
436.0,640.0,641.0,616.0,616.0,0.29,-0.94,0.17,-9.46,14.83,6.96,-9.0,-62.0,0.0,1
435.0,643.0,642.0,615.0,616.0,0.39,-0.91,0.19,-11.11,18.68,14.4,-10.0,-60.0,-3.0,1
432.0,641.0,643.0,613.0,617.0,0.42,-0.88,0.29,-4.33,24.29,-4.46,-10.0,-61.0,-5.0,1
435.0,642.0,642.0,614.0,619.0,0.36,-0.89,0.21,-8.36,22.89,-6.1,-9.0,-61.0,-1.0,1
434.0,643.0,641.0,615.0,618.0,0.35,-0.97,0.22,-10.8,19.17,-1.83,-7.0,-59.0,1.0,1
435.0,642.0,643.0,615.0,618.0,0.33,-0.9,0.2,-2.87,8.24,1.53,-9.0,-61.0,-2.0,1
437.0,642.0,642.0,615.0,615.0,0.37,-0.97,0.18,0.24,10.31,4.94,-7.0,-59.0,-5.0,1
437.0,644.0,642.0,614.0,618.0,0.39,-0.9,0.22,1.59,10.99,7.32,-10.0,-61.0,-8.0,1
439.0,642.0,641.0,614.0,618.0,0.4,-0.93,0.21,-11.41,19.53,1.28,-9.0,-60.0,-8.0,1
437.0,642.0,642.0,614.0,617.0,0.44,-0.89,0.18,-11.41,19.04,0.12,-8.0,-60.0,-4.0,1
437.0,642.0,643.0,614.0,618.0,0.47,-0.92,0.19,-5.31,20.94,5.0,-9.0,-60.0,-8.0,1
430.0,640.0,643.0,615.0,618.0,0.4,-0.88,0.16,0.73,8.48,4.58,-6.0,-61.0,-7.0,1
424.0,642.0,642.0,616.0,618.0,0.47,-0.89,0.2,-4.39,21.3,3.6,-7.0,-61.0,-10.0,1
420.0,643.0,642.0,617.0,617.0,0.44,-0.85,0.18,-0.67,14.04,-4.52,-8.0,-60.0,-13.0,1
420.0,641.0,642.0,613.0,616.0,0.42,-0.88,0.16,-8.79,11.96,-1.53,-10.0,-59.0,-9.0,1
419.0,642.0,642.0,613.0,618.0,0.49,-0.9,0.25,-21.42,21.79,8.85,-6.0,-62.0,-11.0,1
422.0,642.0,642.0,616.0,617.0,0.52,-0.89,0.27,-17.09,19.65,5.0,-7.0,-61.0,-7.0,1
422.0,642.0,642.0,614.0,618.0,0.5,-0.85,0.25,-17.52,17.52,2.26,-5.0,-63.0,-8.0,1
424.0,643.0,643.0,614.0,617.0,0.49,-0.82,0.25,-15.14,18.92,-0.12,-8.0,-59.0,-11.0,1
424.0,641.0,643.0,615.0,616.0,0.54,-0.91,0.23,-4.7,20.02,-0.98,-8.0,-60.0,-12.0,1
423.0,642.0,644.0,614.0,617.0,0.48,-0.82,0.21,1.04,6.53,-2.01,-9.0,-60.0,-14.0,1
425.0,643.0,643.0,614.0,618.0,0.52,-0.81,0.21,-3.97,10.56,-3.36,-8.0,-58.0,-13.0,1
427.0,643.0,642.0,615.0,618.0,0.54,-0.83,0.24,-18.8,10.01,-3.11,-8.0,-60.0,-10.0,1
423.0,641.0,642.0,615.0,617.0,0.6,-0.85,0.3,-21.48,16.78,-4.82,-8.0,-57.0,-9.0,1
423.0,640.0,643.0,616.0,617.0,0.52,-0.85,0.25,-4.21,10.93,5.19,-11.0,-57.0,-15.0,1
421.0,643.0,642.0,617.0,618.0,0.54,-0.84,0.23,3.05,7.87,4.46,-10.0,-57.0,-10.0,1
417.0,643.0,642.0,615.0,616.0,0.56,-0.82,0.21,-2.93,-3.3,0.92,-8.0,-58.0,-13.0,1
413.0,642.0,642.0,615.0,618.0,0.51,-0.84,0.23,8.42,-8.3,-0.79,-8.0,-59.0,-14.0,1
408.0,642.0,642.0,615.0,619.0,0.55,-0.81,0.22,1.46,-2.2,3.54,-9.0,-59.0,-10.0,1
402.0,642.0,643.0,613.0,617.0,0.55,-0.84,0.26,4.76,-5.86,-2.32,-7.0,-59.0,-8.0,1
