Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
538.0,460.0,479.0,439.0,588.0,0.2,-0.99,0.26,-0.92,-7.57,-1.22,-2.0,-43.0,32.0,2
537.0,462.0,479.0,439.0,587.0,0.23,-0.95,0.31,3.42,0.73,4.21,-1.0,-41.0,31.0,2
536.0,458.0,480.0,441.0,589.0,0.21,-0.94,0.26,3.78,-4.09,4.46,-1.0,-42.0,30.0,2
539.0,457.0,480.0,439.0,587.0,0.24,-0.97,0.24,2.56,-5.62,4.39,0.0,-42.0,34.0,2
536.0,458.0,481.0,438.0,587.0,0.23,-0.94,0.27,3.3,-6.35,3.36,1.0,-40.0,31.0,2
538.0,460.0,480.0,439.0,589.0,0.24,-0.94,0.28,3.48,-4.64,1.53,-3.0,-41.0,29.0,2
538.0,458.0,479.0,439.0,588.0,0.26,-0.96,0.28,0.92,-5.8,0.67,-1.0,-42.0,39.0,2
538.0,458.0,480.0,439.0,588.0,0.25,-0.95,0.31,-0.12,-9.64,6.29,0.0,-42.0,34.0,2
537.0,458.0,478.0,440.0,587.0,0.21,-0.92,0.21,1.71,-11.54,8.67,0.0,-41.0,33.0,2
537.0,460.0,480.0,438.0,588.0,0.23,-0.93,0.25,6.29,-2.62,9.52,0.0,-43.0,32.0,2
538.0,458.0,479.0,440.0,587.0,0.27,-0.96,0.22,8.61,-6.16,1.1,-1.0,-40.0,30.0,2
537.0,458.0,480.0,440.0,585.0,0.2,-0.98,0.3,5.13,-3.72,-8.36,0.0,-41.0,32.0,2
538.0,458.0,480.0,438.0,588.0,0.23,-0.99,0.27,5.74,0.79,4.64,0.0,-41.0,31.0,2
538.0,461.0,483.0,440.0,587.0,0.27,-0.95,0.2,8.97,-0.55,4.39,-1.0,-41.0,34.0,2
539.0,459.0,482.0,439.0,586.0,0.24,-0.95,0.2,0.18,3.36,-5.86,-1.0,-39.0,30.0,2
537.0,457.0,481.0,439.0,587.0,0.3,-0.98,0.23,-4.58,-2.56,-1.65,-3.0,-41.0,29.0,2
536.0,459.0,480.0,439.0,588.0,0.2,-0.95,0.31,-4.21,2.44,-5.8,-3.0,-41.0,33.0,2
536.0,459.0,479.0,440.0,587.0,0.24,-0.92,0.29,-3.78,5.55,0.0,-2.0,-40.0,29.0,2
