Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
605.0,641.0,457.0,423.0,617.0,0.01,-1.0,0.09,-3.23,0.92,1.34,-10.0,-39.0,21.0,3
605.0,641.0,457.0,422.0,618.0,0.03,-1.0,0.09,-4.39,2.56,1.65,-9.0,-38.0,27.0,3
604.0,642.0,454.0,421.0,619.0,0.04,-1.0,0.12,1.89,-4.52,-0.73,-10.0,-38.0,26.0,3
604.0,642.0,457.0,421.0,618.0,0.03,-1.02,0.1,1.1,-1.89,0.67,-8.0,-39.0,28.0,3
605.0,642.0,456.0,422.0,617.0,0.04,-1.02,0.11,-2.5,-0.73,4.03,-7.0,-38.0,27.0,3
604.0,641.0,458.0,421.0,618.0,0.03,-1.01,0.11,-2.93,-1.77,4.27,-8.0,-41.0,23.0,3
607.0,640.0,460.0,421.0,617.0,0.02,-1.0,0.12,-1.1,-1.28,3.36,-6.0,-39.0,26.0,3
607.0,643.0,460.0,422.0,617.0,0.04,-0.99,0.13,1.83,-1.71,-0.98,-8.0,-40.0,25.0,3
605.0,642.0,460.0,423.0,618.0,0.03,-1.02,0.12,3.97,-1.16,0.37,-8.0,-40.0,29.0,3
606.0,642.0,459.0,423.0,617.0,0.07,-1.0,0.12,2.87,4.09,-0.12,-7.0,-39.0,27.0,3
608.0,643.0,461.0,425.0,617.0,0.05,-1.01,0.09,1.04,-1.65,0.92,-6.0,-38.0,28.0,3
607.0,642.0,460.0,424.0,616.0,0.05,-1.01,0.12,1.34,-6.47,0.85,-7.0,-37.0,30.0,3
607.0,641.0,459.0,424.0,618.0,0.05,-1.01,0.11,4.58,-10.74,-1.04,-8.0,-37.0,27.0,3
608.0,642.0,459.0,424.0,619.0,0.05,-1.0,0.12,1.34,-2.26,-0.85,-7.0,-37.0,25.0,3
606.0,642.0,459.0,424.0,619.0,0.04,-1.0,0.11,2.2,-2.2,-0.31,-8.0,-37.0,30.0,3
607.0,644.0,459.0,422.0,618.0,0.05,-1.01,0.1,1.4,-3.54,0.73,-9.0,-38.0,29.0,3
606.0,642.0,459.0,424.0,618.0,0.06,-1.01,0.11,1.4,-1.22,1.77,-11.0,-38.0,29.0,3
608.0,641.0,459.0,423.0,618.0,0.06,-1.0,0.11,1.89,-4.39,1.65,-7.0,-37.0,28.0,3
607.0,643.0,459.0,425.0,619.0,0.07,-1.0,0.11,1.22,-3.97,0.92,-11.0,-41.0,29.0,3
607.0,642.0,460.0,423.0,616.0,0.08,-1.0,0.13,0.61,-23.01,-0.55,-8.0,-36.0,30.0,3
608.0,641.0,458.0,423.0,617.0,0.1,-1.0,0.14,4.27,-34.97,-1.22,-8.0,-37.0,27.0,3
608.0,641.0,460.0,424.0,618.0,0.04,-1.02,0.09,7.51,-26.61,0.55,-9.0,-34.0,29.0,3
608.0,641.0,458.0,425.0,617.0,0.1,-1.0,0.1,1.1,-4.7,4.7,-8.0,-30.0,29.0,3
607.0,643.0,460.0,424.0,619.0,0.06,-1.0,0.07,1.83,-11.78,1.83,-9.0,-33.0,27.0,3
608.0,643.0,460.0,422.0,618.0,0.06,-1.01,0.07,1.89,-35.58,2.14,-8.0,-30.0,26.0,3
610.0,643.0,460.0,425.0,615.0,0.13,-1.0,0.15,2.5,-34.97,4.58,-8.0,-29.0,31.0,3
609.0,643.0,460.0,425.0,618.0,0.08,-1.01,0.1,7.2,-26.12,3.05,-11.0,-26.0,29.0,3
609.0,642.0,459.0,424.0,617.0,0.06,-1.01,0.05,2.38,-13.12,3.91,-10.0,-27.0,34.0,3
610.0,642.0,462.0,424.0,617.0,0.07,-0.99,0.03,-2.14,-3.72,-0.73,-10.0,-25.0,26.0,3
610.0,641.0,459.0,424.0,618.0,0.01,-1.02,0.05,3.66,-10.86,-4.82,-11.0,-23.0,28.0,3
608.0,641.0,460.0,424.0,617.0,0.03,-1.03,0.07,5.37,-15.69,0.73,-9.0,-24.0,30.0,3
610.0,642.0,461.0,424.0,617.0,0.06,-1.02,0.07,1.53,-22.83,5.07,-11.0,-23.0,26.0,3
611.0,642.0,459.0,424.0,617.0,0.09,-0.98,0.07,5.86,-20.51,4.33,-9.0,-21.0,29.0,3
612.0,641.0,459.0,426.0,618.0,-0.0,-1.0,-0.04,9.34,-25.88,1.46,-11.0,-19.0,29.0,3
610.0,642.0,461.0,425.0,617.0,0.07,-1.02,-0.02,6.53,-20.32,4.64,-9.0,-20.0,30.0,3
614.0,643.0,461.0,425.0,616.0,0.02,-1.03,-0.0,-0.61,-25.76,1.53,-11.0,-21.0,27.0,3
613.0,642.0,462.0,425.0,617.0,0.07,-1.01,0.06,-2.75,-30.7,-3.78,-10.0,-19.0,29.0,3
610.0,642.0,461.0,426.0,618.0,0.1,-1.02,0.05,1.53,-34.24,1.46,-11.0,-18.0,26.0,3
609.0,641.0,463.0,425.0,619.0,0.04,-1.0,0.02,5.0,-47.42,-0.55,-12.0,-15.0,25.0,3
609.0,643.0,462.0,425.0,618.0,-0.03,-1.0,0.0,4.15,-48.95,5.8,-12.0,-12.0,25.0,3
608.0,644.0,462.0,425.0,616.0,0.04,-1.0,0.02,-0.18,-22.95,-1.1,-12.0,-12.0,27.0,3
606.0,642.0,462.0,425.0,618.0,0.01,-1.0,0.02,-2.32,-21.18,-0.61,-11.0,-10.0,26.0,3
