Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
354.0,309.0,379.0,291.0,379.0,0.21,-1.0,0.07,1.95,1.95,-0.67,-8.0,-47.0,23.0,4
354.0,308.0,379.0,290.0,378.0,0.21,-0.99,0.06,2.99,2.14,0.67,-7.0,-46.0,31.0,4
355.0,310.0,378.0,291.0,379.0,0.21,-0.99,0.05,0.55,0.55,1.46,-6.0,-44.0,28.0,4
354.0,309.0,379.0,290.0,379.0,0.21,-0.99,0.06,1.59,2.5,1.71,-8.0,-45.0,23.0,4
353.0,309.0,380.0,289.0,379.0,0.23,-0.98,0.06,-0.12,-0.73,-0.43,-5.0,-47.0,24.0,4
353.0,309.0,377.0,291.0,380.0,0.2,-0.99,0.07,1.34,-2.69,-1.4,-7.0,-44.0,26.0,4
353.0,309.0,378.0,291.0,381.0,0.22,-0.99,0.06,0.98,0.37,0.79,-4.0,-46.0,25.0,4
355.0,310.0,380.0,291.0,379.0,0.2,-0.99,0.04,2.01,-1.16,-0.73,-4.0,-46.0,22.0,4
355.0,309.0,379.0,291.0,379.0,0.23,-0.99,0.06,1.34,1.22,1.34,-7.0,-44.0,27.0,4
354.0,309.0,379.0,292.0,380.0,0.22,-0.98,0.07,1.59,1.34,-0.06,-7.0,-46.0,26.0,4
354.0,309.0,379.0,291.0,379.0,0.22,-0.99,0.06,1.04,-1.34,1.22,-6.0,-45.0,23.0,4
354.0,309.0,378.0,291.0,379.0,0.2,-0.98,0.06,1.53,0.92,-0.73,-5.0,-47.0,23.0,4
355.0,310.0,379.0,291.0,381.0,0.21,-0.99,0.05,-0.06,0.24,1.95,-7.0,-46.0,24.0,4
355.0,310.0,377.0,293.0,379.0,0.22,-0.97,0.05,2.14,-1.16,0.24,-7.0,-45.0,26.0,4
355.0,309.0,378.0,292.0,379.0,0.22,-0.99,0.05,0.37,-0.18,0.79,-6.0,-47.0,22.0,4
355.0,309.0,379.0,292.0,380.0,0.2,-0.99,0.04,0.55,-4.03,-0.12,-6.0,-47.0,24.0,4
355.0,309.0,380.0,291.0,380.0,0.2,-0.99,0.05,0.18,-1.71,1.04,-5.0,-47.0,23.0,4
355.0,309.0,380.0,291.0,380.0,0.23,-1.0,0.06,0.31,-0.67,0.73,-4.0,-46.0,25.0,4
354.0,308.0,379.0,291.0,380.0,0.21,-0.99,0.05,0.24,-2.69,-0.37,-7.0,-45.0,23.0,4
355.0,310.0,379.0,293.0,378.0,0.2,-0.98,0.04,-0.24,-3.48,-1.04,-5.0,-46.0,27.0,4
354.0,308.0,379.0,291.0,380.0,0.21,-0.99,0.05,-0.67,-2.32,-2.01,-8.0,-45.0,26.0,4
355.0,310.0,379.0,292.0,380.0,0.21,-1.0,0.08,0.79,1.1,1.53,-7.0,-44.0,24.0,4
356.0,311.0,380.0,289.0,381.0,0.21,-0.98,0.06,0.06,-0.79,1.16,-5.0,-45.0,28.0,4
356.0,311.0,379.0,291.0,380.0,0.22,-0.99,0.06,0.37,0.85,1.28,-7.0,-44.0,24.0,4
358.0,309.0,379.0,292.0,380.0,0.21,-0.99,0.06,0.73,0.85,0.43,-4.0,-46.0,27.0,4
355.0,310.0,379.0,293.0,380.0,0.24,-0.99,0.08,0.24,4.09,0.79,-6.0,-46.0,25.0,4
356.0,310.0,379.0,292.0,382.0,0.22,-0.99,0.06,0.79,-1.22,0.31,-6.0,-46.0,27.0,4
355.0,311.0,379.0,291.0,381.0,0.23,-0.99,0.06,-0.24,-3.05,0.49,-6.0,-44.0,28.0,4
356.0,312.0,379.0,293.0,381.0,0.21,-0.99,0.07,-0.18,-8.0,-0.92,-4.0,-45.0,24.0,4
355.0,310.0,379.0,293.0,381.0,0.24,-1.0,0.07,2.38,-1.65,0.85,-5.0,-47.0,26.0,4
355.0,311.0,380.0,291.0,382.0,0.2,-0.98,0.05,0.37,-3.23,0.24,-4.0,-45.0,22.0,4
357.0,312.0,380.0,292.0,381.0,0.21,-0.98,0.07,0.24,0.67,0.67,-4.0,-47.0,26.0,4
355.0,312.0,381.0,292.0,381.0,0.21,-0.99,0.07,-0.79,-0.37,0.98,-4.0,-48.0,29.0,4
356.0,311.0,379.0,293.0,382.0,0.22,-0.98,0.08,1.28,-1.16,-0.31,-5.0,-46.0,25.0,4
