Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
560.0,476.0,642.0,615.0,618.0,0.22,-0.96,0.16,7.81,1.22,-0.98,-7.0,-45.0,27.0,5
559.0,475.0,643.0,615.0,618.0,0.2,-0.96,0.14,1.34,-1.22,-4.7,-7.0,-45.0,24.0,5
561.0,473.0,641.0,616.0,617.0,0.19,-0.98,0.06,7.93,-0.18,-9.22,-7.0,-44.0,29.0,5
563.0,469.0,642.0,616.0,617.0,0.13,-1.0,0.07,16.3,-5.86,-25.94,-7.0,-42.0,29.0,5
562.0,472.0,643.0,615.0,617.0,0.07,-1.03,0.05,8.24,-4.52,-13.61,-11.0,-41.0,26.0,5
564.0,471.0,644.0,615.0,618.0,0.05,-1.0,0.05,-3.05,-7.87,0.85,-8.0,-41.0,26.0,5
565.0,474.0,643.0,616.0,617.0,0.11,-1.01,0.06,-6.1,-5.98,3.42,-10.0,-40.0,27.0,5
566.0,474.0,642.0,615.0,618.0,0.13,-1.03,0.06,0.0,-7.87,1.95,-8.0,-41.0,27.0,5
566.0,474.0,641.0,615.0,616.0,0.15,-1.0,0.12,-4.64,2.14,0.06,-10.0,-40.0,23.0,5
567.0,475.0,640.0,614.0,618.0,0.15,-0.98,0.13,0.06,2.75,-1.16,-11.0,-40.0,26.0,5
567.0,475.0,642.0,615.0,618.0,0.16,-1.01,0.08,4.09,0.98,-1.71,-8.0,-40.0,25.0,5
566.0,474.0,643.0,615.0,617.0,0.12,-0.99,0.08,2.32,-4.03,-1.77,-9.0,-42.0,25.0,5
566.0,474.0,643.0,615.0,618.0,0.12,-1.0,0.07,-0.12,-5.37,0.92,-10.0,-39.0,27.0,5
564.0,475.0,643.0,615.0,618.0,0.14,-1.02,0.09,0.24,-2.87,-1.16,-9.0,-40.0,29.0,5
568.0,474.0,643.0,614.0,617.0,0.09,-1.01,0.06,1.83,-4.15,-0.37,-10.0,-37.0,29.0,5
