Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
588.0,641.0,348.0,280.0,388.0,-0.07,-0.71,0.78,0.67,4.33,2.44,16.0,-30.0,47.0,6
591.0,641.0,349.0,280.0,389.0,-0.07,-0.71,0.71,2.56,0.55,1.95,16.0,-31.0,46.0,6
590.0,642.0,350.0,279.0,390.0,-0.1,-0.72,0.69,0.73,-3.11,2.62,17.0,-30.0,51.0,6
591.0,643.0,351.0,279.0,390.0,-0.04,-0.74,0.72,-2.62,1.89,7.81,16.0,-30.0,47.0,6
588.0,643.0,348.0,281.0,389.0,-0.07,-0.73,0.67,3.97,-9.4,7.57,16.0,-31.0,48.0,6
590.0,643.0,350.0,281.0,389.0,-0.1,-0.68,0.71,3.3,-10.25,9.22,15.0,-29.0,49.0,6
589.0,642.0,349.0,281.0,390.0,-0.05,-0.72,0.72,-2.75,-7.63,4.82,17.0,-28.0,49.0,6
590.0,642.0,351.0,281.0,390.0,-0.18,-0.7,0.78,-2.87,-4.21,-2.26,17.0,-29.0,50.0,6
590.0,642.0,350.0,279.0,389.0,-0.08,-0.69,0.73,-3.78,8.61,4.03,16.0,-30.0,45.0,6
590.0,642.0,350.0,279.0,387.0,-0.1,-0.65,0.69,7.08,5.62,-1.83,15.0,-33.0,48.0,6
591.0,642.0,350.0,280.0,389.0,-0.07,-0.67,0.67,4.58,-1.59,-7.81,17.0,-30.0,44.0,6
591.0,642.0,350.0,280.0,390.0,-0.15,-0.7,0.71,-7.87,-2.44,-13.92,17.0,-30.0,45.0,6
591.0,640.0,351.0,280.0,389.0,-0.14,-0.76,0.71,-4.82,-9.4,1.89,13.0,-29.0,48.0,6
591.0,641.0,350.0,279.0,390.0,-0.04,-0.71,0.76,-1.22,6.9,5.37,17.0,-30.0,48.0,6
591.0,644.0,351.0,282.0,389.0,-0.05,-0.73,0.73,9.58,-0.49,7.26,18.0,-30.0,47.0,6
591.0,641.0,352.0,281.0,390.0,-0.08,-0.66,0.72,7.39,-2.87,2.44,17.0,-30.0,46.0,6
590.0,643.0,351.0,281.0,390.0,-0.12,-0.72,0.73,-5.8,-2.14,-2.26,18.0,-30.0,49.0,6
592.0,641.0,351.0,280.0,392.0,-0.12,-0.71,0.77,-7.26,0.49,-1.89,18.0,-30.0,48.0,6
591.0,642.0,349.0,280.0,390.0,-0.09,-0.69,0.73,-2.14,2.56,5.55,19.0,-30.0,52.0,6
592.0,642.0,351.0,280.0,391.0,-0.08,-0.68,0.72,5.07,-7.69,3.17,18.0,-31.0,41.0,6
591.0,643.0,350.0,281.0,390.0,-0.06,-0.63,0.76,-3.42,-6.16,2.14,17.0,-30.0,44.0,6
590.0,642.0,350.0,282.0,392.0,-0.1,-0.7,0.71,-2.08,-15.69,-10.31,20.0,-29.0,48.0,6
592.0,641.0,350.0,280.0,390.0,-0.25,-0.7,0.75,1.59,-19.84,-16.78,17.0,-27.0,47.0,6
590.0,641.0,350.0,281.0,392.0,-0.14,-0.64,0.83,-3.36,5.98,-2.5,15.0,-26.0,44.0,6
589.0,643.0,350.0,280.0,391.0,-0.2,-0.74,0.73,12.02,-8.48,-17.64,15.0,-25.0,46.0,6
588.0,641.0,351.0,280.0,390.0,-0.23,-0.71,0.62,-2.2,-13.18,-14.59,17.0,-27.0,50.0,6
589.0,643.0,351.0,281.0,392.0,-0.29,-0.68,0.67,-8.79,-10.44,-0.37,14.0,-22.0,52.0,6
589.0,642.0,350.0,281.0,393.0,-0.26,-0.65,0.72,-9.83,3.85,7.93,17.0,-21.0,48.0,6
589.0,642.0,351.0,283.0,391.0,-0.22,-0.64,0.75,-11.05,22.28,1.83,18.0,-23.0,45.0,6
591.0,641.0,352.0,283.0,392.0,-0.17,-0.67,0.8,-8.67,28.08,-5.13,19.0,-23.0,49.0,6
590.0,640.0,352.0,281.0,393.0,-0.19,-0.62,0.74,8.36,24.29,-3.66,17.0,-25.0,43.0,6
590.0,643.0,352.0,281.0,391.0,-0.13,-0.57,0.68,11.41,18.49,3.72,17.0,-29.0,48.0,6
590.0,642.0,351.0,282.0,392.0,-0.09,-0.69,0.72,16.48,4.88,-6.41,15.0,-29.0,43.0,6
589.0,643.0,351.0,281.0,391.0,-0.18,-0.72,0.73,10.31,-6.23,-14.04,17.0,-28.0,45.0,6
592.0,642.0,353.0,281.0,391.0,-0.14,-0.6,0.71,-5.49,7.75,9.46,15.0,-27.0,46.0,6
592.0,642.0,352.0,282.0,391.0,-0.11,-0.67,0.74,-1.53,-8.0,4.52,14.0,-28.0,46.0,6
588.0,644.0,351.0,282.0,391.0,-0.13,-0.69,0.8,2.81,3.6,8.85,17.0,-31.0,50.0,6
590.0,643.0,353.0,281.0,394.0,-0.17,-0.67,0.8,5.31,3.78,0.73,12.0,-30.0,48.0,6
591.0,642.0,352.0,282.0,391.0,-0.21,-0.61,0.78,6.9,20.2,20.45,17.0,-29.0,49.0,6
591.0,643.0,351.0,282.0,392.0,0.0,-0.72,0.76,2.26,20.08,12.08,15.0,-31.0,44.0,6
586.0,644.0,350.0,281.0,393.0,-0.05,-0.74,0.73,3.42,33.75,11.05,16.0,-32.0,45.0,6
589.0,643.0,351.0,281.0,394.0,0.36,-0.76,0.52,-1.4,24.96,-7.57,15.0,-36.0,39.0,6
588.0,642.0,351.0,283.0,393.0,-0.25,-0.6,0.74,-9.83,3.3,-51.45,17.0,-34.0,41.0,6
583.0,642.0,350.0,283.0,392.0,-0.25,-0.7,0.67,27.59,-22.52,-25.39,14.0,-33.0,42.0,6
581.0,641.0,350.0,282.0,393.0,-0.25,-0.8,0.68,23.74,1.77,-1.1,10.0,-34.0,42.0,6
583.0,640.0,350.0,281.0,393.0,-0.2,-0.74,0.68,4.58,4.58,11.29,10.0,-33.0,43.0,6
584.0,645.0,349.0,282.0,394.0,0.03,-0.77,0.64,-6.96,5.31,19.84,10.0,-36.0,37.0,6
584.0,643.0,352.0,281.0,394.0,0.05,-0.78,0.65,-14.83,14.47,-5.62,13.0,-33.0,41.0,6
585.0,643.0,351.0,281.0,394.0,-0.23,-0.72,0.71,8.48,-0.43,-0.49,11.0,-33.0,41.0,6
584.0,641.0,350.0,283.0,393.0,0.13,-0.76,0.58,6.29,-1.59,-3.48,14.0,-35.0,44.0,6
585.0,641.0,352.0,281.0,394.0,-0.31,-0.74,0.76,-8.36,5.25,-22.71,11.0,-34.0,43.0,6
585.0,644.0,350.0,282.0,392.0,-0.05,-0.81,0.65,24.96,7.93,27.77,12.0,-37.0,42.0,6
586.0,640.0,352.0,283.0,395.0,0.26,-0.76,0.55,-9.7,2.87,-15.2,11.0,-38.0,41.0,6
587.0,641.0,351.0,283.0,394.0,-0.26,-0.73,0.76,-4.88,10.86,-5.49,12.0,-35.0,40.0,6
586.0,641.0,352.0,282.0,395.0,-0.01,-0.76,0.67,1.1,5.98,-0.79,11.0,-34.0,37.0,6
587.0,642.0,350.0,281.0,394.0,-0.07,-0.75,0.64,-4.46,3.66,-2.93,10.0,-38.0,43.0,6
587.0,642.0,351.0,282.0,394.0,-0.03,-0.73,0.69,-2.14,-2.14,4.7,13.0,-36.0,38.0,6
586.0,642.0,352.0,282.0,396.0,-0.04,-0.75,0.71,1.59,-1.83,6.47,12.0,-37.0,44.0,6
586.0,643.0,352.0,281.0,394.0,-0.03,-0.73,0.68,6.04,-5.98,8.06,10.0,-36.0,42.0,6
585.0,642.0,351.0,282.0,395.0,-0.04,-0.73,0.64,-0.37,-7.57,9.64,11.0,-36.0,41.0,6
585.0,641.0,352.0,280.0,394.0,-0.05,-0.75,0.67,-3.42,-8.91,5.62,11.0,-33.0,42.0,6
586.0,641.0,352.0,283.0,395.0,-0.0,-0.75,0.68,-1.59,-14.1,7.02,12.0,-33.0,41.0,6
587.0,643.0,353.0,282.0,396.0,-0.04,-0.78,0.7,2.32,-11.9,6.77,15.0,-33.0,41.0,6
586.0,645.0,352.0,282.0,394.0,-0.0,-0.75,0.65,9.34,-5.86,8.42,13.0,-33.0,44.0,6
583.0,643.0,351.0,282.0,394.0,-0.02,-0.78,0.66,8.24,-12.39,6.1,11.0,-34.0,42.0,6
586.0,643.0,353.0,282.0,395.0,-0.08,-0.76,0.64,0.37,-15.99,12.15,11.0,-33.0,42.0,6
587.0,642.0,351.0,283.0,395.0,-0.05,-0.77,0.66,-5.13,-15.69,13.43,17.0,-33.0,41.0,6
585.0,643.0,352.0,282.0,395.0,-0.02,-0.76,0.68,0.18,-13.31,13.43,14.0,-31.0,45.0,6
588.0,642.0,351.0,281.0,394.0,0.0,-0.76,0.66,-0.12,-13.24,13.79,15.0,-30.0,44.0,6
587.0,642.0,353.0,281.0,395.0,-0.03,-0.76,0.64,-1.53,-18.19,13.61,14.0,-29.0,44.0,6
587.0,641.0,352.0,281.0,395.0,-0.02,-0.76,0.64,-3.48,-19.59,10.13,14.0,-27.0,46.0,6
587.0,642.0,353.0,283.0,396.0,-0.06,-0.78,0.66,-2.38,-13.79,10.99,11.0,-27.0,44.0,6
588.0,642.0,352.0,283.0,395.0,-0.07,-0.79,0.63,3.3,-16.17,5.19,14.0,-25.0,45.0,6
588.0,643.0,354.0,282.0,395.0,-0.06,-0.78,0.63,-5.37,-13.24,10.62,14.0,-24.0,42.0,6
587.0,643.0,353.0,282.0,395.0,-0.02,-0.74,0.68,0.67,-3.97,9.83,16.0,-24.0,47.0,6
587.0,643.0,353.0,283.0,397.0,-0.1,-0.78,0.69,1.83,-3.23,-2.32,15.0,-23.0,43.0,6
589.0,640.0,353.0,282.0,396.0,-0.05,-0.72,0.66,-7.14,4.94,2.93,15.0,-24.0,42.0,6
587.0,641.0,352.0,281.0,397.0,-0.07,-0.76,0.67,-10.99,5.37,-5.68,16.0,-27.0,46.0,6
588.0,641.0,351.0,282.0,398.0,-0.07,-0.76,0.71,-4.64,2.32,0.43,16.0,-24.0,45.0,6
586.0,643.0,352.0,281.0,397.0,-0.04,-0.7,0.69,2.75,1.83,4.21,15.0,-25.0,44.0,6
585.0,641.0,353.0,283.0,395.0,-0.04,-0.71,0.69,3.97,-0.79,0.98,14.0,-23.0,48.0,6
587.0,641.0,353.0,282.0,396.0,-0.03,-0.73,0.71,-2.5,3.54,-0.61,14.0,-26.0,45.0,6
586.0,642.0,351.0,281.0,394.0,-0.07,-0.74,0.7,-1.16,2.81,-0.67,17.0,-25.0,47.0,6
586.0,642.0,353.0,284.0,396.0,-0.06,-0.74,0.69,2.08,4.03,4.21,16.0,-25.0,44.0,6
587.0,642.0,353.0,283.0,398.0,-0.02,-0.72,0.66,3.85,3.72,3.91,16.0,-24.0,47.0,6
588.0,642.0,352.0,283.0,397.0,-0.0,-0.76,0.68,1.1,-1.89,0.49,14.0,-27.0,47.0,6
587.0,642.0,352.0,283.0,398.0,-0.05,-0.76,0.68,2.75,-5.86,5.43,15.0,-24.0,45.0,6
587.0,642.0,354.0,282.0,397.0,-0.03,-0.75,0.68,2.69,-9.16,7.51,14.0,-22.0,50.0,6
587.0,640.0,354.0,283.0,397.0,-0.08,-0.76,0.66,4.58,-15.99,6.53,14.0,-23.0,50.0,6
587.0,642.0,353.0,283.0,398.0,-0.07,-0.75,0.68,-1.83,-10.19,8.97,17.0,-20.0,46.0,6
586.0,642.0,354.0,283.0,396.0,-0.07,-0.73,0.69,6.53,-17.82,14.04,12.0,-23.0,49.0,6
586.0,642.0,353.0,284.0,398.0,-0.07,-0.75,0.67,1.53,-25.57,13.98,12.0,-19.0,44.0,6
586.0,642.0,353.0,283.0,398.0,-0.03,-0.77,0.71,-6.59,-16.05,18.43,17.0,-18.0,49.0,6
587.0,642.0,353.0,283.0,398.0,-0.06,-0.77,0.68,6.47,-23.74,17.21,13.0,-17.0,46.0,6
584.0,642.0,352.0,284.0,398.0,-0.11,-0.75,0.66,-0.98,-26.12,22.46,14.0,-15.0,42.0,6
586.0,641.0,352.0,284.0,398.0,-0.04,-0.73,0.63,-5.92,-23.19,20.81,15.0,-16.0,40.0,6
586.0,642.0,354.0,284.0,397.0,-0.07,-0.8,0.66,-3.48,-23.07,16.05,14.0,-12.0,44.0,6
586.0,642.0,353.0,282.0,398.0,-0.07,-0.8,0.61,5.92,-27.71,19.59,14.0,-10.0,44.0,6
587.0,642.0,352.0,282.0,398.0,-0.07,-0.78,0.59,3.36,-31.19,18.07,12.0,-8.0,40.0,6
587.0,642.0,353.0,283.0,399.0,-0.09,-0.79,0.63,-0.61,-28.69,17.94,11.0,-7.0,42.0,6
587.0,643.0,354.0,283.0,398.0,-0.06,-0.8,0.61,5.13,-22.64,15.01,12.0,-7.0,44.0,6
585.0,643.0,354.0,283.0,397.0,-0.19,-0.81,0.62,-2.2,-25.51,3.36,12.0,-3.0,41.0,6
587.0,640.0,354.0,282.0,400.0,-0.11,-0.78,0.69,-14.95,-14.28,14.83,14.0,-2.0,41.0,6
586.0,642.0,353.0,284.0,399.0,-0.08,-0.74,0.63,-7.45,-14.4,16.36,12.0,-2.0,38.0,6
587.0,643.0,354.0,284.0,398.0,-0.09,-0.77,0.66,-2.2,-14.53,6.1,12.0,-2.0,40.0,6
587.0,642.0,356.0,283.0,398.0,-0.17,-0.75,0.69,3.23,-4.46,5.8,15.0,-1.0,38.0,6
587.0,641.0,354.0,283.0,399.0,-0.14,-0.76,0.67,1.22,-5.43,9.77,15.0,-2.0,39.0,6
585.0,642.0,353.0,283.0,398.0,-0.06,-0.77,0.68,-5.0,-0.98,15.2,12.0,-2.0,35.0,6
587.0,643.0,353.0,283.0,400.0,-0.1,-0.76,0.63,8.18,-2.75,11.29,9.0,-3.0,39.0,6
586.0,643.0,353.0,283.0,398.0,-0.11,-0.75,0.61,7.81,-3.36,12.39,11.0,-1.0,37.0,6
587.0,642.0,354.0,284.0,399.0,-0.05,-0.83,0.61,5.92,-11.66,4.21,10.0,-2.0,42.0,6
587.0,641.0,353.0,285.0,397.0,-0.06,-0.77,0.64,0.79,-5.8,12.27,10.0,-1.0,39.0,6
586.0,643.0,354.0,284.0,399.0,-0.05,-0.8,0.59,4.88,-9.4,8.18,11.0,0.0,39.0,6
586.0,642.0,356.0,284.0,399.0,-0.09,-0.8,0.61,-0.06,-10.68,5.19,10.0,-1.0,43.0,6
585.0,643.0,354.0,283.0,398.0,-0.04,-0.8,0.6,2.32,-7.57,5.31,8.0,-1.0,44.0,6
586.0,643.0,354.0,283.0,399.0,-0.04,-0.8,0.6,4.58,-7.39,1.59,8.0,-2.0,38.0,6
587.0,643.0,354.0,284.0,399.0,-0.11,-0.81,0.62,6.9,-5.19,3.05,7.0,1.0,42.0,6
586.0,641.0,354.0,284.0,399.0,-0.05,-0.77,0.62,5.0,-1.59,6.65,7.0,0.0,40.0,6
583.0,642.0,354.0,284.0,400.0,-0.09,-0.85,0.63,-8.73,-7.51,-1.46,4.0,0.0,39.0,6
582.0,644.0,354.0,286.0,399.0,-0.04,-0.79,0.69,-5.13,2.08,8.42,9.0,1.0,37.0,6
583.0,643.0,354.0,283.0,400.0,-0.02,-0.79,0.58,9.4,-2.62,7.08,4.0,0.0,34.0,6
580.0,643.0,353.0,282.0,398.0,-0.06,-0.82,0.55,-0.06,-11.35,6.65,5.0,1.0,39.0,6
577.0,642.0,352.0,281.0,396.0,-0.03,-0.81,0.61,-9.09,-17.03,9.09,7.0,0.0,39.0,6
577.0,642.0,350.0,279.0,396.0,-0.1,-0.81,0.64,-2.93,-16.42,13.61,6.0,1.0,35.0,6
576.0,641.0,351.0,279.0,396.0,-0.03,-0.75,0.6,5.43,-18.8,10.99,5.0,3.0,37.0,6
581.0,640.0,352.0,281.0,397.0,-0.11,-0.82,0.63,-0.61,-10.25,7.08,5.0,2.0,37.0,6
580.0,641.0,349.0,280.0,396.0,-0.02,-0.75,0.59,1.77,-18.55,8.12,6.0,4.0,36.0,6
582.0,642.0,352.0,280.0,397.0,-0.17,-0.86,0.64,-13.0,-11.78,2.2,7.0,5.0,31.0,6
583.0,643.0,351.0,281.0,398.0,-0.14,-0.8,0.63,5.0,-12.63,10.86,7.0,3.0,32.0,6
584.0,642.0,351.0,282.0,398.0,-0.1,-0.8,0.6,-8.61,-6.65,12.33,5.0,4.0,32.0,6
583.0,643.0,351.0,283.0,398.0,0.01,-0.84,0.64,-12.21,-3.85,12.02,4.0,6.0,32.0,6
582.0,643.0,351.0,283.0,398.0,-0.2,-0.85,0.67,0.79,-2.08,10.31,2.0,4.0,32.0,6
578.0,643.0,353.0,281.0,399.0,-0.06,-0.74,0.51,2.69,-16.11,24.66,4.0,5.0,32.0,6
580.0,643.0,353.0,282.0,400.0,0.04,-0.77,0.53,-0.73,-22.64,28.56,3.0,3.0,31.0,6
577.0,643.0,352.0,282.0,396.0,-0.09,-0.89,0.67,-2.56,-40.22,16.85,1.0,4.0,33.0,6
578.0,642.0,352.0,281.0,398.0,-0.07,-0.75,0.66,-1.04,-27.65,41.93,1.0,7.0,29.0,6
578.0,642.0,353.0,282.0,398.0,-0.0,-0.86,0.6,-2.14,-38.02,28.5,0.0,4.0,29.0,6
577.0,643.0,352.0,282.0,399.0,-0.13,-0.75,0.62,2.44,-36.25,37.23,0.0,6.0,21.0,6
577.0,644.0,352.0,284.0,398.0,0.02,-0.77,0.54,6.53,-46.08,31.49,-4.0,4.0,19.0,6
577.0,642.0,353.0,282.0,399.0,-0.05,-0.78,0.66,-8.18,-36.68,20.63,-5.0,4.0,19.0,6
577.0,643.0,354.0,283.0,400.0,-0.09,-0.83,0.62,2.81,-36.19,18.19,-4.0,5.0,20.0,6
578.0,643.0,354.0,282.0,400.0,-0.06,-0.76,0.66,0.37,-29.66,17.58,-4.0,5.0,19.0,6
578.0,643.0,353.0,281.0,398.0,-0.03,-0.78,0.65,3.17,-16.05,7.63,-8.0,7.0,17.0,6
