Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
592.0,641.0,643.0,332.0,461.0,-1.0,-0.11,0.21,-101.01,-61.77,14.89,34.0,14.0,32.0,7
591.0,642.0,643.0,332.0,458.0,-0.76,-0.05,0.4,-48.95,14.4,-8.79,35.0,11.0,30.0,7
593.0,643.0,642.0,332.0,460.0,-0.93,-0.08,0.32,-21.06,-4.39,0.79,40.0,12.0,29.0,7
592.0,642.0,642.0,333.0,460.0,-1.02,-0.09,0.2,-20.87,-9.22,7.93,40.0,17.0,31.0,7
590.0,643.0,642.0,334.0,462.0,-0.94,-0.08,0.28,-16.66,19.47,-1.34,41.0,14.0,30.0,7
592.0,642.0,642.0,335.0,462.0,-0.96,-0.1,0.28,-25.21,-2.44,14.04,43.0,14.0,28.0,7
593.0,641.0,642.0,336.0,463.0,-0.89,-0.13,0.34,-11.17,6.35,4.15,44.0,14.0,31.0,7
591.0,642.0,642.0,335.0,462.0,-0.95,-0.12,0.22,-9.28,-21.79,6.1,44.0,15.0,21.0,7
591.0,642.0,640.0,336.0,462.0,-0.84,-0.09,0.37,2.14,-17.64,4.03,42.0,13.0,26.0,7
590.0,644.0,643.0,337.0,462.0,-1.01,-0.24,0.2,14.28,-30.52,15.14,44.0,12.0,28.0,7
590.0,642.0,642.0,335.0,462.0,-0.9,-0.25,0.25,-0.61,0.67,4.64,44.0,16.0,29.0,7
592.0,640.0,642.0,334.0,462.0,-0.91,-0.25,0.23,-14.53,-8.24,2.32,41.0,15.0,26.0,7
594.0,643.0,643.0,335.0,461.0,-0.82,-0.14,0.31,-2.44,-13.0,5.86,41.0,15.0,24.0,7
593.0,641.0,642.0,335.0,461.0,-1.06,-0.09,0.21,21.85,-18.43,-16.42,41.0,16.0,32.0,7
594.0,642.0,640.0,334.0,460.0,-0.97,-0.23,0.31,-3.54,0.85,-11.41,44.0,15.0,25.0,7
593.0,642.0,642.0,334.0,460.0,-0.93,-0.19,0.29,-32.65,2.32,4.76,44.0,14.0,27.0,7
594.0,641.0,642.0,335.0,462.0,-0.91,-0.08,0.3,-14.34,6.77,-5.19,45.0,18.0,28.0,7
594.0,642.0,643.0,335.0,461.0,-0.92,-0.11,0.25,1.95,-15.99,-0.55,46.0,15.0,22.0,7
593.0,643.0,641.0,335.0,461.0,-0.91,-0.06,0.31,26.49,3.72,-19.96,46.0,15.0,24.0,7
593.0,644.0,643.0,334.0,461.0,-0.7,0.02,0.51,42.85,56.21,-52.86,47.0,12.0,30.0,7
592.0,642.0,643.0,335.0,460.0,-0.94,-0.09,0.31,46.2,18.62,-15.75,47.0,13.0,26.0,7
591.0,640.0,642.0,334.0,459.0,-0.91,-0.18,0.21,-13.31,8.61,8.91,44.0,12.0,28.0,7
594.0,642.0,642.0,334.0,460.0,-0.9,-0.11,0.3,-31.68,15.38,3.23,48.0,14.0,29.0,7
590.0,642.0,643.0,336.0,463.0,-1.06,0.01,0.28,-46.63,-14.89,16.17,48.0,15.0,24.0,7
591.0,643.0,642.0,336.0,462.0,-0.87,-0.03,0.32,16.54,3.91,8.24,47.0,14.0,27.0,7
590.0,642.0,642.0,335.0,464.0,-0.96,-0.15,0.24,1.95,4.09,8.79,44.0,15.0,23.0,7
588.0,643.0,643.0,336.0,465.0,-0.94,-0.07,0.35,-9.52,24.9,-1.89,46.0,17.0,27.0,7
587.0,641.0,644.0,335.0,464.0,-1.05,-0.15,0.16,0.55,-23.44,7.75,46.0,15.0,23.0,7
588.0,643.0,641.0,336.0,464.0,-0.93,-0.09,0.24,40.89,4.58,-8.36,46.0,14.0,26.0,7
588.0,640.0,643.0,335.0,462.0,-0.88,-0.12,0.25,26.79,0.24,-14.28,44.0,15.0,29.0,7
589.0,641.0,642.0,336.0,463.0,-0.97,-0.11,0.28,29.11,0.49,-17.4,43.0,12.0,25.0,7
590.0,643.0,641.0,336.0,463.0,-0.94,-0.13,0.32,18.8,3.78,-8.18,44.0,11.0,24.0,7
590.0,640.0,644.0,336.0,464.0,-0.82,-0.1,0.34,29.54,35.16,-17.58,43.0,11.0,29.0,7
589.0,644.0,643.0,337.0,463.0,-0.88,-0.14,0.29,30.21,13.12,-10.25,41.0,9.0,31.0,7
588.0,641.0,641.0,335.0,462.0,-0.87,-0.19,0.36,15.62,5.86,-3.6,42.0,9.0,34.0,7
589.0,643.0,641.0,337.0,463.0,-0.95,-0.12,0.43,-2.93,9.34,-0.79,43.0,8.0,31.0,7
