Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
636.0,641.0,643.0,398.0,558.0,0.14,-1.0,0.03,8.3,1.53,-0.55,-7.0,-38.0,24.0,9
638.0,641.0,643.0,397.0,559.0,0.15,-0.98,0.03,2.38,1.46,8.42,-7.0,-40.0,23.0,9
637.0,642.0,641.0,398.0,558.0,0.12,-1.0,0.02,0.24,3.05,-0.92,-6.0,-39.0,27.0,9
637.0,642.0,642.0,398.0,559.0,0.17,-1.01,-0.01,-0.12,-1.04,2.08,-9.0,-39.0,21.0,9
639.0,642.0,642.0,398.0,556.0,0.17,-1.01,0.06,-11.35,-0.06,5.68,-8.0,-37.0,29.0,9
636.0,643.0,641.0,397.0,555.0,0.15,-0.98,0.01,-15.01,-11.41,-0.92,-7.0,-41.0,19.0,9
636.0,642.0,642.0,400.0,553.0,0.13,-0.98,0.08,-11.78,-14.4,-1.34,-5.0,-38.0,30.0,9
633.0,640.0,642.0,400.0,558.0,0.18,-0.99,0.13,3.97,-15.32,1.4,-5.0,-41.0,21.0,9
631.0,642.0,643.0,403.0,556.0,0.16,-1.0,0.08,1.77,-18.68,-5.07,-6.0,-39.0,24.0,9
632.0,641.0,643.0,400.0,557.0,0.15,-0.99,0.14,-5.49,-17.52,2.32,-6.0,-37.0,25.0,9
633.0,641.0,643.0,402.0,560.0,0.18,-1.01,0.1,-1.65,-11.29,3.6,-7.0,-35.0,27.0,9
632.0,643.0,642.0,403.0,557.0,0.13,-0.99,0.12,4.88,-11.6,2.08,-7.0,-34.0,27.0,9
632.0,641.0,641.0,403.0,557.0,0.16,-0.97,0.12,-0.49,-11.66,3.05,-5.0,-36.0,24.0,9
630.0,641.0,643.0,401.0,560.0,0.2,-0.98,0.15,5.68,-14.34,-0.06,-6.0,-38.0,30.0,9
632.0,641.0,643.0,402.0,558.0,0.23,-1.04,0.07,6.29,-23.38,5.25,-5.0,-35.0,29.0,9
632.0,641.0,642.0,403.0,559.0,0.18,-0.93,0.1,9.64,-32.78,-0.98,-10.0,-33.0,27.0,9
634.0,640.0,641.0,401.0,560.0,0.16,-0.99,0.12,7.69,-34.24,-4.82,-7.0,-34.0,28.0,9
635.0,643.0,640.0,403.0,557.0,0.11,-1.02,0.12,6.41,-49.32,-0.49,-8.0,-30.0,31.0,9
635.0,642.0,642.0,402.0,557.0,0.18,-1.02,0.12,12.27,-22.77,2.69,-11.0,-26.0,27.0,9
635.0,642.0,644.0,402.0,558.0,0.17,-1.05,0.07,3.6,-17.21,0.31,-6.0,-26.0,31.0,9
633.0,642.0,644.0,401.0,557.0,0.12,-0.97,0.06,6.23,-23.07,8.42,-9.0,-28.0,32.0,9
632.0,641.0,641.0,401.0,557.0,0.13,-1.01,0.06,1.83,-21.36,-4.64,-8.0,-26.0,29.0,9
633.0,642.0,641.0,402.0,557.0,0.1,-0.98,0.1,6.29,-22.22,-6.1,-11.0,-22.0,29.0,9
632.0,641.0,641.0,401.0,555.0,0.15,-1.01,0.11,0.06,-18.13,-5.49,-7.0,-22.0,24.0,9
631.0,643.0,641.0,400.0,558.0,0.11,-1.02,0.12,-0.18,-14.1,-2.87,-9.0,-22.0,27.0,9
631.0,644.0,643.0,402.0,558.0,0.11,-1.0,0.06,4.76,-21.0,0.67,-8.0,-21.0,25.0,9
632.0,642.0,641.0,401.0,554.0,0.1,-1.01,0.07,1.77,-19.35,-2.38,-8.0,-19.0,24.0,9
630.0,643.0,641.0,402.0,555.0,0.13,-0.98,0.09,-1.16,-22.03,-2.99,-8.0,-18.0,28.0,9
630.0,641.0,641.0,401.0,558.0,0.11,-1.01,0.08,-0.55,-31.31,4.21,-8.0,-17.0,34.0,9
630.0,641.0,641.0,401.0,557.0,0.07,-1.02,0.14,7.57,-32.17,0.92,-12.0,-15.0,25.0,9
630.0,641.0,642.0,401.0,556.0,0.11,-0.98,0.11,8.0,-36.56,0.24,-10.0,-15.0,29.0,9
628.0,640.0,641.0,400.0,558.0,0.03,-0.96,0.14,-6.47,-25.39,5.74,-8.0,-15.0,28.0,9
630.0,640.0,642.0,400.0,558.0,0.11,-1.03,0.1,-6.47,-16.91,3.42,-10.0,-13.0,27.0,9
629.0,643.0,641.0,402.0,558.0,0.04,-1.01,0.19,4.39,-6.35,-5.98,-7.0,-10.0,29.0,9
629.0,642.0,642.0,399.0,557.0,0.03,-1.01,0.13,12.08,2.01,-0.98,-10.0,-10.0,23.0,9
629.0,643.0,641.0,401.0,556.0,0.09,-0.99,0.09,-0.24,11.41,1.34,-10.0,-12.0,26.0,9
628.0,643.0,642.0,402.0,558.0,0.14,-1.04,0.07,-13.06,33.39,-4.27,-11.0,-13.0,30.0,9
628.0,642.0,642.0,401.0,557.0,0.03,-0.98,0.19,-6.41,60.36,-19.41,-10.0,-15.0,31.0,9
625.0,644.0,642.0,396.0,555.0,-0.13,-1.02,0.13,-5.74,119.69,-11.9,-11.0,-18.0,28.0,9
623.0,642.0,640.0,397.0,553.0,0.04,-1.1,0.06,-16.05,89.84,-19.47,-8.0,-23.0,31.0,9
627.0,642.0,643.0,399.0,556.0,0.07,-1.01,0.13,-16.11,72.81,-5.62,-7.0,-27.0,32.0,9
630.0,643.0,643.0,398.0,557.0,0.09,-0.98,0.14,-9.4,46.45,-11.54,-7.0,-31.0,32.0,9
619.0,642.0,641.0,401.0,559.0,0.01,-0.97,0.2,-1.4,63.72,-12.76,-6.0,-33.0,29.0,9
607.0,641.0,642.0,412.0,569.0,0.1,-1.05,0.18,26.86,48.83,-20.87,-6.0,-36.0,28.0,9
639.0,642.0,641.0,416.0,572.0,0.04,-1.06,0.15,27.71,37.29,-17.09,-6.0,-35.0,31.0,9
641.0,642.0,643.0,415.0,591.0,-0.02,-1.05,0.11,5.49,26.06,-1.16,-6.0,-39.0,28.0,9
642.0,641.0,642.0,418.0,620.0,0.08,-1.0,0.11,5.19,13.85,5.49,-8.0,-38.0,25.0,9
642.0,640.0,642.0,419.0,617.0,0.07,-1.0,0.08,2.32,1.95,4.03,-7.0,-37.0,26.0,9
642.0,642.0,641.0,407.0,616.0,0.11,-0.99,0.07,0.0,2.56,10.19,-9.0,-40.0,25.0,9
641.0,643.0,642.0,386.0,604.0,0.1,-1.05,0.1,-10.01,14.77,2.56,-10.0,-40.0,24.0,9
643.0,644.0,641.0,372.0,448.0,0.05,-1.02,0.26,1.59,9.46,-0.49,-6.0,-41.0,29.0,9
641.0,643.0,642.0,338.0,399.0,0.12,-0.98,0.14,20.94,7.57,-4.94,-7.0,-41.0,26.0,9
