Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
638.0,637.0,638.0,613.0,615.0,0.03,-0.94,0.36,7.87,-4.58,6.1,-8.0,-5.0,-2.0,10
636.0,637.0,638.0,611.0,615.0,-0.02,-0.95,0.26,14.71,-9.77,10.5,-7.0,-4.0,-4.0,10
638.0,637.0,639.0,612.0,615.0,-0.01,-0.92,0.3,-7.08,-14.83,-1.16,-7.0,-6.0,-8.0,10
637.0,638.0,640.0,612.0,615.0,-0.05,-0.93,0.4,-6.1,-26.12,-8.91,-8.0,-6.0,-6.0,10
640.0,636.0,638.0,612.0,615.0,0.04,-0.97,0.4,-2.56,-12.21,5.43,-8.0,-7.0,-8.0,10
638.0,639.0,637.0,612.0,615.0,0.04,-0.98,0.4,5.86,5.19,1.95,-7.0,-5.0,-12.0,10
638.0,638.0,638.0,614.0,615.0,-0.02,-0.98,0.32,22.83,13.79,4.64,-6.0,-5.0,-10.0,10
640.0,639.0,637.0,613.0,615.0,-0.02,-0.96,0.27,21.0,9.34,3.66,-8.0,-8.0,-14.0,10
636.0,638.0,640.0,614.0,614.0,0.01,-0.94,0.2,18.13,5.86,-1.77,-7.0,-7.0,-15.0,10
635.0,638.0,638.0,613.0,615.0,0.0,-0.94,0.19,2.62,-9.46,-3.91,-5.0,-5.0,-12.0,10
637.0,640.0,637.0,613.0,614.0,0.02,-0.99,0.24,-7.69,-6.04,-3.48,-6.0,-5.0,-8.0,10
639.0,638.0,640.0,612.0,614.0,0.02,-0.99,0.28,-1.04,-0.49,-0.55,-7.0,-6.0,-11.0,10
638.0,639.0,639.0,612.0,613.0,0.0,-0.96,0.24,-0.37,0.98,-1.59,-11.0,-4.0,-9.0,10
638.0,638.0,639.0,609.0,614.0,-0.01,-0.97,0.27,3.05,-0.67,-0.12,-8.0,-6.0,-12.0,10
638.0,638.0,639.0,612.0,615.0,0.0,-0.98,0.25,2.26,-0.18,0.37,-8.0,-5.0,-13.0,10
638.0,638.0,639.0,612.0,614.0,0.0,-0.97,0.25,-0.49,-0.37,0.24,-7.0,-6.0,-16.0,10
637.0,637.0,640.0,613.0,616.0,-0.0,-0.98,0.25,-1.59,-1.83,0.43,-7.0,-7.0,-9.0,10
637.0,638.0,640.0,612.0,615.0,0.01,-0.98,0.26,0.49,1.59,-0.18,-8.0,-4.0,-14.0,10
639.0,637.0,638.0,612.0,616.0,0.01,-0.99,0.26,2.87,3.36,1.65,-6.0,-5.0,-13.0,10
638.0,638.0,639.0,613.0,615.0,0.02,-0.97,0.27,2.2,4.7,2.56,-7.0,-4.0,-10.0,10
640.0,640.0,638.0,612.0,615.0,-0.0,-0.97,0.22,-1.65,4.52,2.26,-8.0,-5.0,-8.0,10
636.0,638.0,637.0,614.0,615.0,0.03,-0.97,0.25,-40.47,17.82,5.0,-9.0,-5.0,-10.0,10
635.0,639.0,637.0,612.0,615.0,-0.01,-0.94,0.3,-16.85,24.41,-0.37,-8.0,-4.0,-7.0,10
639.0,638.0,636.0,612.0,615.0,0.05,-0.98,0.32,10.25,22.46,1.1,-5.0,-7.0,-6.0,10
637.0,638.0,640.0,613.0,616.0,0.04,-0.93,0.27,7.39,13.0,-1.46,-8.0,-7.0,-7.0,10
637.0,639.0,640.0,613.0,615.0,0.04,-0.92,0.31,-0.49,2.87,-1.89,-8.0,-5.0,-7.0,10
638.0,639.0,639.0,614.0,614.0,0.07,-0.95,0.31,-4.33,-0.98,-5.13,-7.0,-5.0,-7.0,10
637.0,638.0,638.0,612.0,615.0,0.05,-0.96,0.35,-3.97,-5.86,-1.46,-9.0,-4.0,-7.0,10
637.0,638.0,638.0,613.0,616.0,0.07,-0.96,0.36,-0.49,1.34,1.83,-10.0,-4.0,-4.0,10
638.0,637.0,638.0,613.0,615.0,0.01,-0.95,0.33,-0.24,1.89,-0.73,-4.0,-4.0,-6.0,10
636.0,638.0,638.0,613.0,617.0,0.01,-0.96,0.34,4.27,-2.14,2.32,-8.0,-4.0,-13.0,10
636.0,637.0,639.0,611.0,615.0,0.02,-0.95,0.32,4.03,-5.37,2.14,-9.0,-7.0,-8.0,10
636.0,637.0,638.0,613.0,616.0,0.04,-0.96,0.31,-0.06,-7.32,2.14,-8.0,-7.0,-3.0,10
635.0,638.0,637.0,613.0,615.0,0.02,-0.95,0.33,1.65,-11.96,-2.38,-9.0,-7.0,-9.0,10
638.0,639.0,640.0,612.0,615.0,0.07,-0.96,0.34,-1.16,-1.53,4.15,-7.0,-4.0,-8.0,10
638.0,640.0,637.0,612.0,616.0,0.04,-0.96,0.33,2.81,2.44,0.79,-7.0,-5.0,-7.0,10
638.0,638.0,640.0,611.0,614.0,0.03,-0.93,0.3,5.31,-2.26,0.79,-9.0,-6.0,-9.0,10
637.0,637.0,638.0,614.0,615.0,0.04,-0.96,0.31,-1.34,-6.59,-1.83,-8.0,-5.0,-9.0,10
638.0,640.0,640.0,614.0,615.0,0.03,-0.97,0.35,2.87,-3.17,-3.05,-7.0,-8.0,-9.0,10
637.0,640.0,640.0,613.0,614.0,0.01,-0.97,0.31,3.91,-0.61,2.81,-8.0,-5.0,-8.0,10
638.0,638.0,639.0,613.0,614.0,0.01,-0.96,0.3,3.91,-2.01,-1.77,-7.0,-5.0,-10.0,10
638.0,637.0,637.0,611.0,615.0,0.02,-0.97,0.31,4.7,-1.71,-1.28,-7.0,-6.0,-10.0,10
638.0,638.0,640.0,613.0,612.0,0.03,-0.97,0.29,-0.06,1.65,3.6,-10.0,-7.0,-14.0,10
638.0,638.0,639.0,611.0,614.0,0.01,-0.98,0.28,2.44,2.5,1.95,-7.0,-6.0,-11.0,10
638.0,640.0,639.0,614.0,616.0,0.02,-0.96,0.28,1.77,-0.98,-1.71,-7.0,-5.0,-9.0,10
640.0,640.0,638.0,612.0,616.0,0.01,-0.96,0.3,-1.71,-2.5,-1.4,-10.0,-7.0,-10.0,10
636.0,638.0,639.0,612.0,615.0,0.02,-0.97,0.32,-2.14,3.54,1.22,-9.0,-7.0,-6.0,10
637.0,637.0,640.0,611.0,615.0,0.03,-0.96,0.3,-4.39,-5.49,0.31,-8.0,-6.0,-7.0,10
639.0,637.0,638.0,614.0,615.0,0.02,-0.97,0.33,-2.08,0.43,6.53,-7.0,-5.0,-7.0,10
637.0,638.0,636.0,611.0,615.0,0.04,-0.97,0.32,4.58,1.71,3.78,-8.0,-9.0,-8.0,10
638.0,637.0,639.0,614.0,614.0,0.03,-0.97,0.3,4.58,-9.77,1.95,-9.0,-7.0,-9.0,10
638.0,639.0,636.0,612.0,615.0,-0.04,-0.94,0.28,3.91,-42.48,1.04,-9.0,-9.0,-12.0,10
638.0,637.0,637.0,612.0,615.0,-0.0,-0.94,0.29,2.93,-29.54,-0.43,-10.0,-9.0,-10.0,10
637.0,638.0,636.0,612.0,615.0,-0.01,-0.97,0.33,1.16,-18.01,-1.89,-8.0,-10.0,-7.0,10
638.0,637.0,638.0,613.0,614.0,0.01,-0.97,0.34,0.37,-27.47,7.45,-8.0,-10.0,-14.0,10
639.0,636.0,638.0,613.0,615.0,-0.04,-0.95,0.27,1.65,-33.51,6.41,-10.0,-11.0,-13.0,10
637.0,639.0,638.0,615.0,615.0,-0.01,-0.97,0.3,-2.44,-8.0,3.23,-9.0,-11.0,-13.0,10
637.0,638.0,640.0,612.0,612.0,-0.03,-0.96,0.31,-4.27,-16.42,5.98,-8.0,-15.0,-12.0,10
638.0,639.0,638.0,614.0,614.0,-0.03,-0.95,0.31,-3.54,-30.46,5.19,-8.0,-13.0,-14.0,10
637.0,639.0,639.0,613.0,616.0,-0.06,-0.96,0.32,1.4,-18.13,4.52,-9.0,-11.0,-11.0,10
637.0,638.0,640.0,613.0,613.0,-0.07,-0.95,0.31,2.93,-22.16,2.99,-7.0,-12.0,-15.0,10
636.0,637.0,638.0,613.0,616.0,-0.05,-0.96,0.32,0.37,-14.95,3.11,-7.0,-14.0,-13.0,10
637.0,639.0,638.0,611.0,614.0,-0.05,-0.95,0.33,-0.31,-24.48,6.53,-10.0,-17.0,-12.0,10
639.0,640.0,641.0,610.0,616.0,-0.06,-0.94,0.3,2.08,0.12,2.69,-9.0,-15.0,-10.0,10
638.0,638.0,638.0,613.0,614.0,-0.07,-0.94,0.3,-1.28,-3.91,-0.31,-9.0,-16.0,-19.0,10
638.0,639.0,639.0,613.0,615.0,-0.06,-0.95,0.32,-1.89,-0.43,-2.14,-10.0,-17.0,-13.0,10
637.0,639.0,637.0,614.0,614.0,-0.07,-0.96,0.31,1.89,0.73,-1.53,-10.0,-16.0,-16.0,10
638.0,639.0,636.0,611.0,614.0,-0.06,-0.94,0.31,0.31,3.3,1.34,-9.0,-15.0,-12.0,10
636.0,637.0,640.0,612.0,612.0,-0.06,-0.95,0.31,0.55,1.77,-0.37,-9.0,-16.0,-16.0,10
639.0,637.0,639.0,612.0,615.0,-0.06,-0.96,0.32,0.49,-0.18,0.31,-10.0,-17.0,-17.0,10
638.0,640.0,639.0,613.0,615.0,-0.06,-0.95,0.32,0.37,1.83,-1.22,-11.0,-18.0,-13.0,10
638.0,640.0,638.0,613.0,615.0,-0.05,-0.95,0.32,2.32,0.55,-0.24,-8.0,-16.0,-15.0,10
638.0,638.0,637.0,611.0,614.0,-0.06,-0.96,0.3,1.95,2.26,-2.2,-9.0,-15.0,-17.0,10
638.0,638.0,640.0,613.0,616.0,-0.06,-0.96,0.36,-1.1,4.33,1.83,-9.0,-17.0,-13.0,10
638.0,640.0,638.0,612.0,613.0,-0.05,-0.94,0.3,2.01,1.28,1.4,-11.0,-14.0,-9.0,10
637.0,638.0,640.0,611.0,616.0,-0.06,-0.94,0.31,3.54,1.04,-1.04,-11.0,-17.0,-17.0,10
637.0,640.0,637.0,612.0,617.0,-0.05,-0.97,0.3,0.37,0.73,0.43,-8.0,-16.0,-13.0,10
639.0,640.0,638.0,613.0,613.0,-0.06,-0.97,0.33,1.83,0.79,1.16,-8.0,-14.0,-13.0,10
640.0,639.0,638.0,612.0,615.0,-0.04,-0.96,0.31,5.13,1.46,2.14,-10.0,-16.0,-15.0,10
