Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
478.0,642.0,641.0,614.0,618.0,0.18,-0.99,0.11,2.38,0.43,-0.79,-8.0,-56.0,21.0,1
481.0,640.0,641.0,614.0,618.0,0.17,-0.99,0.07,5.0,-1.71,-1.46,-11.0,-54.0,14.0,1
480.0,641.0,642.0,613.0,616.0,0.2,-1.0,0.12,-4.88,4.58,1.83,-10.0,-55.0,16.0,1
480.0,641.0,642.0,614.0,617.0,0.19,-0.99,0.11,1.65,0.18,-0.98,-8.0,-56.0,18.0,1
480.0,642.0,640.0,615.0,617.0,0.19,-0.99,0.08,-0.85,2.08,1.89,-10.0,-55.0,14.0,1
478.0,641.0,642.0,614.0,617.0,0.18,-0.97,0.12,-0.49,1.22,-2.62,-10.0,-54.0,14.0,1
479.0,643.0,641.0,615.0,614.0,0.17,-0.99,0.09,-0.24,-0.31,0.12,-9.0,-58.0,16.0,1
481.0,642.0,641.0,615.0,616.0,0.21,-1.01,0.15,0.73,2.62,2.2,-8.0,-55.0,13.0,1
481.0,643.0,640.0,616.0,618.0,0.18,-1.0,0.11,6.47,-2.75,-3.66,-7.0,-54.0,19.0,1
479.0,641.0,641.0,614.0,617.0,0.19,-0.98,0.06,3.42,-4.09,0.12,-10.0,-57.0,14.0,1
481.0,640.0,642.0,614.0,617.0,0.18,-0.99,0.1,-4.7,-1.77,-1.77,-9.0,-53.0,19.0,1
479.0,640.0,641.0,613.0,616.0,0.19,-0.99,0.12,-0.31,-1.04,0.98,-10.0,-55.0,13.0,1
482.0,640.0,642.0,616.0,617.0,0.17,-0.98,0.11,0.24,-0.61,1.16,-8.0,-56.0,17.0,1
480.0,641.0,640.0,615.0,618.0,0.17,-1.01,0.11,2.69,1.28,1.95,-8.0,-54.0,17.0,1
481.0,642.0,641.0,614.0,614.0,0.16,-1.0,0.09,4.39,-7.69,-3.85,-8.0,-55.0,14.0,1
480.0,641.0,642.0,614.0,617.0,0.17,-0.98,0.11,1.1,-7.08,-2.5,-11.0,-54.0,13.0,1
