Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
641.0,640.0,613.0,569.0,617.0,0.29,-0.92,0.36,1.95,-2.93,3.54,-2.0,-25.0,44.0,2
641.0,640.0,614.0,568.0,618.0,0.29,-0.91,0.38,3.54,-0.85,0.18,-1.0,-28.0,42.0,2
642.0,640.0,613.0,569.0,617.0,0.29,-0.91,0.37,3.78,0.06,1.71,-2.0,-27.0,37.0,2
640.0,640.0,613.0,567.0,616.0,0.28,-0.89,0.34,3.17,0.12,-0.43,-1.0,-26.0,37.0,2
642.0,640.0,612.0,566.0,618.0,0.3,-0.91,0.36,-0.06,-2.01,3.54,-2.0,-27.0,37.0,2
642.0,636.0,608.0,558.0,618.0,0.27,-0.9,0.34,1.04,-6.23,2.14,-5.0,-27.0,43.0,2
642.0,630.0,596.0,548.0,619.0,0.31,-0.91,0.36,-1.89,-4.39,4.09,-3.0,-25.0,38.0,2
644.0,629.0,601.0,550.0,615.0,0.26,-0.89,0.37,5.68,-9.83,4.21,-2.0,-23.0,37.0,2
642.0,632.0,606.0,550.0,617.0,0.29,-0.89,0.35,2.32,-4.09,4.09,-2.0,-26.0,38.0,2
643.0,629.0,605.0,554.0,616.0,0.3,-0.9,0.36,-6.16,-2.32,3.23,-5.0,-25.0,40.0,2
642.0,630.0,608.0,559.0,617.0,0.31,-0.89,0.37,-1.53,-4.21,0.43,-2.0,-24.0,38.0,2
640.0,628.0,610.0,559.0,616.0,0.29,-0.9,0.39,-2.2,-4.94,5.0,-4.0,-23.0,40.0,2
642.0,626.0,607.0,556.0,617.0,0.31,-0.9,0.38,-0.85,-1.95,6.23,-2.0,-24.0,38.0,2
642.0,628.0,608.0,555.0,617.0,0.3,-0.89,0.36,5.07,-4.76,6.23,-4.0,-22.0,40.0,2
641.0,629.0,607.0,557.0,616.0,0.32,-0.9,0.39,1.89,-9.77,10.38,-1.0,-25.0,41.0,2
642.0,628.0,607.0,554.0,616.0,0.33,-0.88,0.38,3.54,-11.84,10.8,-2.0,-20.0,42.0,2
641.0,632.0,606.0,555.0,617.0,0.34,-0.87,0.38,2.14,-11.72,9.77,-2.0,-25.0,43.0,2
641.0,632.0,600.0,558.0,617.0,0.36,-0.88,0.41,7.14,-11.6,8.67,-2.0,-22.0,38.0,2
641.0,632.0,596.0,557.0,617.0,0.35,-0.86,0.36,6.29,-14.04,11.11,-2.0,-21.0,45.0,2
642.0,632.0,603.0,562.0,618.0,0.37,-0.85,0.38,6.47,-14.71,5.92,-4.0,-24.0,40.0,2
640.0,635.0,603.0,567.0,617.0,0.36,-0.86,0.4,10.56,-11.96,0.31,-5.0,-21.0,42.0,2
642.0,634.0,603.0,566.0,616.0,0.34,-0.88,0.38,5.62,-9.4,4.39,-5.0,-20.0,41.0,2
642.0,635.0,605.0,565.0,618.0,0.35,-0.89,0.39,7.2,-12.76,5.49,-5.0,-22.0,39.0,2
642.0,634.0,605.0,565.0,618.0,0.36,-0.88,0.36,6.71,-13.18,6.71,-5.0,-19.0,36.0,2
642.0,635.0,606.0,565.0,617.0,0.36,-0.86,0.38,7.32,-15.08,7.87,-8.0,-20.0,39.0,2
640.0,635.0,606.0,564.0,617.0,0.37,-0.86,0.39,5.13,-11.41,6.23,-5.0,-18.0,35.0,2
641.0,635.0,606.0,567.0,615.0,0.36,-0.86,0.38,5.55,-12.88,5.43,-4.0,-18.0,42.0,2
640.0,636.0,606.0,567.0,617.0,0.35,-0.88,0.37,9.77,-16.17,6.04,-7.0,-18.0,37.0,2
641.0,635.0,605.0,566.0,616.0,0.34,-0.87,0.36,9.34,-14.59,5.13,-8.0,-15.0,39.0,2
643.0,637.0,608.0,568.0,616.0,0.36,-0.9,0.36,10.25,-21.79,9.58,-5.0,-13.0,38.0,2
641.0,638.0,607.0,567.0,617.0,0.33,-0.89,0.38,9.83,-18.92,9.22,-10.0,-15.0,35.0,2
641.0,637.0,608.0,570.0,617.0,0.36,-0.88,0.36,9.34,-18.74,10.68,-8.0,-15.0,31.0,2
641.0,638.0,608.0,567.0,617.0,0.36,-0.89,0.38,2.69,-19.47,9.09,-13.0,-16.0,32.0,2
640.0,637.0,606.0,568.0,619.0,0.37,-0.86,0.41,1.65,-15.2,9.28,-9.0,-12.0,31.0,2
642.0,637.0,607.0,569.0,616.0,0.35,-0.86,0.39,8.18,-16.36,8.36,-10.0,-13.0,32.0,2
642.0,637.0,608.0,566.0,618.0,0.38,-0.86,0.39,4.88,-13.85,9.46,-9.0,-12.0,30.0,2
642.0,636.0,608.0,568.0,616.0,0.36,-0.87,0.38,8.85,-19.59,9.83,-12.0,-11.0,29.0,2
642.0,636.0,608.0,568.0,617.0,0.36,-0.87,0.37,7.57,-22.34,11.11,-11.0,-13.0,31.0,2
643.0,638.0,608.0,568.0,617.0,0.39,-0.85,0.4,6.35,-16.36,11.66,-12.0,-11.0,30.0,2
643.0,636.0,608.0,568.0,618.0,0.38,-0.85,0.37,13.0,-18.43,8.24,-14.0,-11.0,26.0,2
641.0,636.0,608.0,569.0,614.0,0.37,-0.86,0.36,10.74,-22.28,7.51,-15.0,-10.0,28.0,2
641.0,636.0,610.0,569.0,618.0,0.39,-0.86,0.4,8.36,-22.16,8.97,-14.0,-11.0,26.0,2
640.0,636.0,609.0,570.0,619.0,0.36,-0.87,0.4,9.52,-17.94,6.1,-16.0,-9.0,31.0,2
641.0,638.0,608.0,571.0,616.0,0.36,-0.83,0.37,-5.0,-16.6,4.15,-14.0,-9.0,23.0,2
641.0,638.0,610.0,569.0,617.0,0.35,-0.86,0.42,9.34,-13.61,6.41,-19.0,-10.0,20.0,2
642.0,635.0,609.0,568.0,617.0,0.37,-0.86,0.38,12.21,-15.75,5.25,-16.0,-10.0,23.0,2
