Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
562.0,642.0,342.0,352.0,500.0,0.12,-1.01,0.02,-0.24,-4.58,-1.16,-10.0,-36.0,28.0,3
560.0,641.0,342.0,352.0,502.0,0.1,-1.01,-0.0,3.72,-1.16,-3.97,-13.0,-34.0,31.0,3
562.0,642.0,341.0,352.0,500.0,0.08,-1.0,-0.01,-0.98,5.19,3.66,-11.0,-34.0,24.0,3
560.0,642.0,342.0,352.0,500.0,0.11,-1.0,0.02,-0.12,2.87,3.54,-12.0,-38.0,26.0,3
560.0,641.0,343.0,353.0,501.0,0.11,-0.99,-0.02,1.1,-1.04,0.73,-11.0,-35.0,26.0,3
560.0,640.0,341.0,352.0,502.0,0.13,-1.0,-0.01,-3.78,2.2,2.14,-10.0,-34.0,27.0,3
560.0,640.0,341.0,351.0,500.0,0.11,-1.0,0.01,-7.75,3.05,1.46,-10.0,-36.0,29.0,3
559.0,642.0,343.0,353.0,501.0,0.12,-0.99,0.06,-7.63,-4.09,3.66,-11.0,-37.0,24.0,3
561.0,641.0,343.0,353.0,500.0,0.14,-1.0,0.07,1.65,-5.19,-0.98,-8.0,-36.0,29.0,3
561.0,642.0,343.0,352.0,501.0,0.13,-1.01,0.04,4.39,-4.39,-2.01,-10.0,-34.0,29.0,3
560.0,641.0,343.0,354.0,501.0,0.12,-0.99,0.03,4.39,-2.93,-2.32,-8.0,-36.0,28.0,3
558.0,641.0,344.0,351.0,502.0,0.15,-1.01,0.03,-1.77,-0.24,4.03,-12.0,-35.0,28.0,3
560.0,643.0,342.0,350.0,499.0,0.13,-1.01,0.04,1.89,1.16,-1.71,-10.0,-35.0,32.0,3
559.0,640.0,342.0,352.0,502.0,0.12,-1.0,0.03,0.92,-0.92,0.12,-8.0,-35.0,29.0,3
562.0,642.0,342.0,353.0,501.0,0.13,-1.01,0.06,-2.81,0.61,2.08,-11.0,-34.0,29.0,3
561.0,641.0,343.0,353.0,502.0,0.13,-1.0,0.06,5.74,-0.06,-4.15,-11.0,-33.0,26.0,3
561.0,641.0,343.0,351.0,501.0,0.1,-1.0,0.01,8.24,-2.38,-4.88,-10.0,-33.0,25.0,3
561.0,643.0,343.0,353.0,501.0,0.08,-1.0,0.01,1.89,-1.1,-1.71,-12.0,-38.0,30.0,3
561.0,643.0,341.0,352.0,500.0,0.1,-1.0,-0.0,0.73,-3.48,-1.71,-10.0,-33.0,27.0,3
