Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
440.0,291.0,380.0,371.0,613.0,-0.03,-1.0,0.09,2.14,-11.47,8.67,-8.0,-48.0,8.0,4
439.0,289.0,381.0,372.0,614.0,0.04,-0.98,0.11,6.53,-26.61,10.01,-7.0,-47.0,7.0,4
439.0,292.0,380.0,372.0,612.0,0.07,-1.03,0.14,5.07,-31.49,8.36,-7.0,-49.0,11.0,4
439.0,291.0,381.0,371.0,612.0,0.11,-1.03,0.13,10.68,-30.46,-2.56,-6.0,-46.0,10.0,4
438.0,292.0,380.0,373.0,615.0,0.12,-1.0,0.08,11.11,-17.4,1.46,-7.0,-49.0,12.0,4
440.0,292.0,384.0,372.0,613.0,0.09,-1.01,0.11,-1.34,-7.75,9.77,-7.0,-49.0,15.0,4
440.0,291.0,380.0,372.0,614.0,0.07,-0.99,0.09,1.28,-13.18,4.58,-7.0,-50.0,11.0,4
439.0,291.0,380.0,372.0,613.0,0.12,-1.01,0.06,-1.53,-11.78,5.98,-9.0,-50.0,14.0,4
438.0,291.0,379.0,372.0,614.0,0.11,-0.99,0.11,-0.31,-8.36,6.77,-6.0,-50.0,10.0,4
438.0,291.0,378.0,372.0,614.0,0.14,-1.03,0.13,1.04,-4.7,1.4,-7.0,-49.0,13.0,4
440.0,290.0,377.0,372.0,615.0,0.13,-1.0,0.11,2.99,-7.08,-2.81,-8.0,-49.0,14.0,4
440.0,291.0,379.0,373.0,615.0,0.13,-1.01,0.1,3.17,-6.96,3.05,-7.0,-50.0,14.0,4
440.0,290.0,380.0,374.0,615.0,0.12,-1.02,0.11,5.62,-5.92,1.95,-5.0,-47.0,20.0,4
440.0,291.0,379.0,374.0,615.0,0.14,-0.99,0.1,8.24,-2.62,2.87,-5.0,-48.0,14.0,4
441.0,292.0,379.0,372.0,617.0,0.12,-1.0,0.08,4.46,0.24,0.43,-7.0,-47.0,15.0,4
441.0,291.0,379.0,373.0,615.0,0.14,-1.0,0.07,5.19,-2.75,0.67,-5.0,-49.0,14.0,4
440.0,292.0,379.0,372.0,615.0,0.14,-1.0,0.06,6.1,-2.62,-1.04,-7.0,-49.0,13.0,4
442.0,293.0,380.0,372.0,616.0,0.14,-1.0,0.05,6.41,-1.28,0.31,-7.0,-50.0,15.0,4
443.0,292.0,379.0,372.0,617.0,0.12,-0.99,0.05,5.07,-1.83,-0.12,-5.0,-49.0,16.0,4
443.0,292.0,380.0,372.0,616.0,0.14,-1.0,0.04,1.77,-0.92,0.43,-7.0,-49.0,14.0,4
441.0,292.0,378.0,373.0,615.0,0.14,-1.01,0.04,4.03,-2.62,-1.71,-7.0,-50.0,15.0,4
442.0,293.0,380.0,373.0,616.0,0.13,-1.0,0.03,3.36,-1.83,-1.83,-6.0,-49.0,14.0,4
442.0,292.0,380.0,374.0,615.0,0.13,-0.99,0.03,2.08,1.04,-0.49,-6.0,-47.0,14.0,4
442.0,293.0,380.0,374.0,614.0,0.13,-1.0,0.03,0.24,2.08,1.65,-8.0,-47.0,11.0,4
442.0,292.0,378.0,374.0,616.0,0.13,-1.0,0.04,1.22,0.61,-0.12,-7.0,-50.0,13.0,4
444.0,293.0,379.0,374.0,614.0,0.13,-1.0,0.02,1.53,-0.92,0.61,-5.0,-48.0,14.0,4
442.0,293.0,379.0,375.0,614.0,0.14,-1.0,0.03,0.31,1.53,1.77,-6.0,-49.0,12.0,4
443.0,292.0,379.0,373.0,616.0,0.15,-0.99,0.03,0.79,5.49,3.48,-7.0,-47.0,13.0,4
441.0,291.0,380.0,373.0,615.0,0.16,-1.01,0.04,-2.69,5.86,1.83,-7.0,-48.0,12.0,4
442.0,292.0,380.0,372.0,615.0,0.13,-1.0,0.04,2.44,1.65,1.16,-5.0,-49.0,13.0,4
442.0,293.0,379.0,373.0,616.0,0.15,-1.0,0.03,2.44,0.61,-0.24,-7.0,-48.0,13.0,4
440.0,293.0,377.0,374.0,613.0,0.14,-1.0,0.02,2.69,-1.28,0.55,-7.0,-51.0,13.0,4
443.0,291.0,379.0,372.0,616.0,0.14,-1.01,0.03,4.15,-0.49,0.18,-7.0,-48.0,9.0,4
442.0,291.0,380.0,374.0,616.0,0.14,-0.99,0.0,3.23,-0.24,0.0,-5.0,-49.0,11.0,4
443.0,292.0,379.0,374.0,613.0,0.14,-1.0,0.01,4.7,-2.62,0.37,-7.0,-51.0,13.0,4
443.0,291.0,379.0,373.0,614.0,0.16,-0.99,0.01,1.65,2.2,2.44,-5.0,-51.0,13.0,4
441.0,292.0,379.0,373.0,615.0,0.14,-0.98,-0.01,2.75,1.22,0.0,-9.0,-49.0,14.0,4
441.0,292.0,379.0,374.0,615.0,0.14,-1.0,-0.01,-0.43,1.1,1.59,-7.0,-52.0,9.0,4
441.0,292.0,379.0,370.0,614.0,0.15,-1.0,0.0,-0.06,-1.34,0.12,-7.0,-50.0,13.0,4
439.0,290.0,373.0,369.0,613.0,0.15,-1.0,0.0,-0.49,-3.91,4.46,-5.0,-49.0,9.0,4
438.0,290.0,373.0,369.0,612.0,0.17,-1.0,0.01,0.85,-0.24,0.31,-6.0,-50.0,17.0,4
438.0,289.0,372.0,369.0,613.0,0.17,-1.0,-0.0,2.44,-0.92,-0.92,-8.0,-50.0,9.0,4
436.0,290.0,372.0,371.0,613.0,0.16,-1.0,-0.01,1.28,0.37,-0.61,-9.0,-50.0,10.0,4
438.0,290.0,372.0,369.0,612.0,0.16,-0.99,-0.0,0.73,-4.33,2.32,-6.0,-52.0,9.0,4
438.0,292.0,373.0,369.0,612.0,0.14,-0.99,-0.02,7.14,-8.12,0.24,-6.0,-50.0,11.0,4
438.0,288.0,372.0,370.0,614.0,0.17,-0.99,-0.0,7.14,-4.09,-1.77,-8.0,-50.0,12.0,4
438.0,291.0,374.0,368.0,614.0,0.16,-1.0,-0.03,5.13,-9.52,-0.92,-7.0,-53.0,11.0,4
437.0,292.0,373.0,371.0,613.0,0.16,-0.99,-0.03,5.86,-20.14,-2.44,-6.0,-48.0,13.0,4
437.0,291.0,372.0,370.0,614.0,0.14,-0.99,-0.03,8.12,-15.93,-3.11,-6.0,-50.0,8.0,4
