Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
540.0,427.0,642.0,612.0,617.0,0.26,-0.99,-0.04,4.21,-0.61,2.81,-13.0,-43.0,20.0,5
541.0,428.0,643.0,615.0,618.0,0.23,-0.98,-0.09,9.46,2.44,-5.37,-9.0,-42.0,17.0,5
539.0,429.0,643.0,613.0,618.0,0.22,-0.98,-0.1,2.69,2.2,-2.08,-9.0,-42.0,16.0,5
541.0,427.0,642.0,616.0,616.0,0.2,-0.98,-0.09,-1.71,3.72,1.16,-11.0,-42.0,17.0,5
541.0,428.0,640.0,612.0,616.0,0.2,-0.99,-0.08,-1.59,2.26,2.56,-10.0,-42.0,20.0,5
541.0,428.0,642.0,615.0,617.0,0.22,-0.99,-0.1,0.61,-0.37,-1.46,-10.0,-42.0,19.0,5
540.0,427.0,641.0,615.0,617.0,0.2,-0.99,-0.06,-0.43,2.01,-2.62,-9.0,-45.0,19.0,5
541.0,428.0,641.0,615.0,616.0,0.21,-1.0,-0.07,5.55,0.98,-1.46,-10.0,-43.0,18.0,5
541.0,427.0,642.0,613.0,617.0,0.22,-0.99,-0.12,0.98,0.55,-1.16,-12.0,-43.0,19.0,5
542.0,429.0,644.0,613.0,617.0,0.21,-0.98,-0.1,-8.06,6.53,-2.5,-10.0,-41.0,22.0,5
542.0,427.0,642.0,616.0,617.0,0.18,-0.98,-0.08,-10.74,16.91,7.57,-10.0,-41.0,23.0,5
541.0,427.0,641.0,616.0,618.0,0.28,-1.0,-0.03,-30.46,55.97,27.95,-8.0,-45.0,20.0,5
541.0,426.0,642.0,616.0,615.0,0.28,-1.0,0.07,-24.78,26.86,21.91,-7.0,-47.0,22.0,5
542.0,426.0,643.0,615.0,617.0,0.3,-1.01,0.03,-0.55,-8.79,4.58,-8.0,-48.0,20.0,5
541.0,426.0,642.0,615.0,618.0,0.27,-0.96,-0.02,10.44,-23.99,-14.28,-7.0,-47.0,23.0,5
541.0,426.0,642.0,615.0,618.0,0.25,-0.98,-0.04,8.36,-2.08,-5.19,-7.0,-49.0,22.0,5
541.0,426.0,641.0,615.0,618.0,0.23,-0.97,-0.02,3.78,-10.25,-8.06,-7.0,-49.0,21.0,5
