Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
572.0,642.0,476.0,335.0,466.0,-0.65,-0.73,0.15,-1.46,-3.66,0.49,10.0,18.0,29.0,6
572.0,641.0,477.0,337.0,466.0,-0.65,-0.72,0.15,-0.73,-5.31,-0.55,9.0,18.0,27.0,6
572.0,641.0,477.0,336.0,468.0,-0.67,-0.73,0.14,0.61,-9.95,-1.22,10.0,20.0,31.0,6
572.0,643.0,477.0,338.0,469.0,-0.64,-0.74,0.14,-2.2,-8.36,1.4,10.0,20.0,25.0,6
572.0,641.0,477.0,336.0,467.0,-0.64,-0.72,0.13,-4.46,-5.86,1.83,5.0,20.0,25.0,6
572.0,641.0,479.0,338.0,467.0,-0.68,-0.73,0.14,-5.68,-6.41,-0.49,9.0,21.0,32.0,6
572.0,643.0,477.0,338.0,468.0,-0.68,-0.73,0.14,-0.61,-7.93,1.89,10.0,21.0,30.0,6
572.0,641.0,477.0,337.0,469.0,-0.65,-0.74,0.12,-1.28,-6.9,4.88,9.0,23.0,29.0,6
570.0,642.0,477.0,337.0,468.0,-0.66,-0.73,0.13,-3.23,-6.1,3.3,10.0,19.0,26.0,6
571.0,642.0,477.0,339.0,467.0,-0.65,-0.75,0.13,0.98,-5.62,3.23,10.0,22.0,28.0,6
570.0,643.0,479.0,338.0,469.0,-0.64,-0.75,0.12,2.26,-2.62,3.85,11.0,21.0,27.0,6
571.0,643.0,477.0,337.0,469.0,-0.62,-0.76,0.1,3.66,-0.24,2.5,8.0,23.0,24.0,6
572.0,642.0,478.0,338.0,468.0,-0.63,-0.75,0.11,1.22,-0.18,0.18,8.0,22.0,28.0,6
572.0,642.0,478.0,335.0,468.0,-0.63,-0.76,0.1,-3.17,-0.49,-1.46,10.0,21.0,26.0,6
571.0,642.0,478.0,337.0,467.0,-0.64,-0.74,0.12,0.49,-2.14,-0.73,8.0,21.0,26.0,6
573.0,642.0,479.0,337.0,470.0,-0.65,-0.74,0.11,1.83,-2.87,-2.38,7.0,21.0,27.0,6
571.0,642.0,477.0,338.0,468.0,-0.65,-0.74,0.12,-1.46,2.08,-2.01,8.0,24.0,30.0,6
572.0,642.0,479.0,337.0,469.0,-0.66,-0.72,0.14,-1.89,9.4,-2.62,10.0,23.0,27.0,6
571.0,642.0,478.0,337.0,469.0,-0.64,-0.71,0.09,-1.28,20.14,-8.24,10.0,21.0,30.0,6
573.0,643.0,478.0,339.0,468.0,-0.66,-0.94,0.19,-25.51,9.52,-4.09,11.0,21.0,32.0,6
572.0,642.0,480.0,338.0,470.0,-0.59,-0.71,0.21,-12.76,-6.23,5.31,11.0,23.0,30.0,6
572.0,642.0,479.0,338.0,468.0,-0.67,-0.73,0.14,-7.81,-1.53,-4.09,10.0,24.0,29.0,6
573.0,643.0,479.0,338.0,469.0,-0.67,-0.7,0.12,-11.35,1.46,-1.04,12.0,23.0,26.0,6
571.0,642.0,478.0,338.0,468.0,-0.66,-0.72,0.19,10.99,-13.85,0.92,12.0,23.0,27.0,6
571.0,641.0,480.0,338.0,470.0,-0.67,-0.72,0.18,3.66,-8.18,-8.73,12.0,25.0,28.0,6
571.0,642.0,479.0,338.0,468.0,-0.76,-0.69,0.18,-2.5,-1.46,-1.28,15.0,21.0,24.0,6
570.0,640.0,479.0,339.0,470.0,-0.7,-0.69,0.14,23.44,-2.56,7.63,13.0,23.0,26.0,6
570.0,642.0,478.0,337.0,468.0,-0.61,-0.74,0.08,25.21,-2.14,11.23,11.0,24.0,24.0,6
571.0,641.0,478.0,337.0,468.0,-0.63,-0.73,0.04,6.04,-0.24,-0.31,8.0,23.0,24.0,6
572.0,641.0,478.0,338.0,467.0,-0.69,-0.73,0.06,0.43,-2.81,-7.63,9.0,22.0,28.0,6
570.0,642.0,480.0,339.0,469.0,-0.68,-0.71,0.1,-2.32,-0.43,-4.03,14.0,24.0,27.0,6
572.0,643.0,478.0,339.0,471.0,-0.68,-0.73,0.13,-6.71,0.61,-2.93,13.0,27.0,27.0,6
569.0,642.0,477.0,338.0,471.0,-0.68,-0.71,0.19,10.25,3.72,2.32,11.0,23.0,27.0,6
570.0,642.0,480.0,338.0,470.0,-0.71,-0.72,0.04,23.62,4.82,0.43,9.0,24.0,26.0,6
568.0,642.0,477.0,339.0,468.0,-0.68,-0.71,-0.0,8.54,2.5,4.88,11.0,22.0,26.0,6
570.0,642.0,480.0,339.0,471.0,-0.66,-0.72,0.06,-3.17,-3.36,4.64,10.0,21.0,26.0,6
570.0,641.0,481.0,340.0,470.0,-0.66,-0.73,0.06,1.53,-0.37,1.59,5.0,23.0,27.0,6
571.0,642.0,480.0,339.0,470.0,-0.64,-0.74,0.03,5.49,4.33,0.24,10.0,23.0,21.0,6
568.0,640.0,480.0,340.0,471.0,-0.69,-0.73,0.07,-9.83,1.1,-2.56,9.0,23.0,22.0,6
568.0,641.0,480.0,340.0,470.0,-0.68,-0.73,0.11,-4.15,1.83,1.46,10.0,23.0,27.0,6
569.0,640.0,481.0,341.0,472.0,-0.7,-0.74,0.07,15.87,1.95,5.55,8.0,21.0,26.0,6
571.0,641.0,479.0,339.0,472.0,-0.66,-0.75,0.04,13.85,-1.34,2.01,10.0,21.0,25.0,6
570.0,641.0,482.0,339.0,472.0,-0.65,-0.75,0.03,-0.73,4.09,4.33,8.0,23.0,27.0,6
569.0,642.0,479.0,339.0,472.0,-0.64,-0.75,0.05,-9.89,-8.97,-2.01,9.0,23.0,26.0,6
568.0,643.0,480.0,338.0,471.0,-0.67,-0.73,0.11,-16.78,-6.1,-5.0,11.0,20.0,26.0,6
569.0,640.0,480.0,340.0,471.0,-0.66,-0.74,0.12,-8.18,-7.51,3.3,11.0,22.0,32.0,6
570.0,640.0,482.0,341.0,471.0,-0.61,-0.74,0.08,-9.58,-8.67,-1.77,11.0,23.0,25.0,6
569.0,642.0,481.0,340.0,468.0,-0.68,-0.76,0.09,-12.15,-12.63,-5.43,10.0,24.0,25.0,6
569.0,642.0,479.0,339.0,472.0,-0.7,-0.75,0.09,-9.28,-9.28,3.91,12.0,25.0,27.0,6
567.0,642.0,476.0,340.0,472.0,-0.7,-0.73,0.07,-6.59,-17.82,3.85,11.0,23.0,26.0,6
566.0,640.0,478.0,340.0,471.0,-0.69,-0.73,0.04,-9.16,-22.58,10.68,11.0,28.0,23.0,6
568.0,641.0,478.0,340.0,470.0,-0.62,-0.76,0.1,-17.88,-21.3,13.12,9.0,29.0,23.0,6
566.0,643.0,480.0,339.0,471.0,-0.63,-0.76,0.09,-22.58,-19.04,8.85,8.0,27.0,21.0,6
565.0,642.0,479.0,339.0,469.0,-0.68,-0.76,0.07,-16.48,-29.3,5.31,10.0,29.0,24.0,6
566.0,641.0,480.0,340.0,468.0,-0.59,-0.76,0.08,-17.15,-23.01,12.63,9.0,32.0,17.0,6
567.0,643.0,481.0,339.0,468.0,-0.56,-0.76,0.08,-9.34,-22.16,9.03,8.0,30.0,14.0,6
567.0,641.0,479.0,341.0,469.0,-0.59,-0.77,0.03,-8.73,-26.31,0.24,8.0,33.0,4.0,6
565.0,640.0,480.0,340.0,470.0,-0.62,-0.76,0.06,-18.98,-17.33,-3.85,8.0,32.0,4.0,6
564.0,643.0,479.0,340.0,469.0,-0.62,-0.78,0.11,-22.89,-18.92,-2.5,7.0,31.0,9.0,6
566.0,642.0,482.0,341.0,469.0,-0.64,-0.78,0.05,-9.16,-21.97,-3.42,7.0,34.0,8.0,6
566.0,643.0,481.0,340.0,471.0,-0.64,-0.75,0.02,-13.12,-23.5,-1.4,7.0,35.0,7.0,6
567.0,641.0,482.0,340.0,470.0,-0.61,-0.79,0.07,-17.46,-20.2,-1.28,9.0,34.0,-1.0,6
567.0,642.0,482.0,341.0,469.0,-0.66,-0.78,0.08,-12.63,-20.87,-1.46,10.0,35.0,1.0,6
567.0,641.0,483.0,339.0,470.0,-0.61,-0.77,0.01,-9.28,-16.97,5.92,8.0,34.0,-2.0,6
568.0,643.0,482.0,341.0,471.0,-0.65,-0.73,0.07,-14.28,-19.35,-1.16,8.0,33.0,-4.0,6
566.0,640.0,482.0,342.0,469.0,-0.59,-0.78,0.05,-4.15,-5.07,-0.98,10.0,32.0,0.0,6
566.0,642.0,484.0,342.0,471.0,-0.63,-0.77,0.03,-13.85,-23.8,0.92,8.0,30.0,-7.0,6
566.0,642.0,481.0,340.0,472.0,-0.63,-0.77,0.02,-7.32,-27.22,1.1,10.0,33.0,-5.0,6
568.0,642.0,484.0,340.0,473.0,-0.63,-0.76,0.03,-7.69,-18.8,0.85,7.0,28.0,-5.0,6
568.0,644.0,483.0,341.0,473.0,-0.61,-0.77,0.01,-8.12,-12.7,-2.2,9.0,32.0,-7.0,6
567.0,643.0,485.0,341.0,474.0,-0.63,-0.76,-0.02,-12.57,-15.62,-5.07,10.0,30.0,-3.0,6
568.0,645.0,483.0,341.0,472.0,-0.66,-0.78,-0.0,-16.66,-20.45,-4.33,11.0,30.0,-11.0,6
567.0,643.0,484.0,341.0,473.0,-0.66,-0.76,-0.01,-20.14,-17.4,-1.46,11.0,29.0,-10.0,6
567.0,641.0,482.0,343.0,474.0,-0.66,-0.77,0.04,-24.11,-20.26,3.36,10.0,27.0,-11.0,6
569.0,642.0,481.0,342.0,472.0,-0.64,-0.76,0.05,-22.16,-16.72,6.41,9.0,29.0,-11.0,6
569.0,642.0,483.0,341.0,472.0,-0.61,-0.78,0.04,-19.53,-14.53,7.08,8.0,29.0,-10.0,6
568.0,643.0,484.0,341.0,473.0,-0.62,-0.8,0.06,-23.68,-12.21,12.45,6.0,28.0,-13.0,6
568.0,642.0,483.0,343.0,472.0,-0.58,-0.82,0.05,-19.35,-16.17,17.15,6.0,25.0,-11.0,6
568.0,641.0,483.0,343.0,472.0,-0.57,-0.8,0.06,-17.4,-19.47,19.9,5.0,26.0,-15.0,6
567.0,641.0,483.0,340.0,471.0,-0.5,-0.81,0.08,-13.67,-25.51,15.93,0.0,23.0,-20.0,6
568.0,641.0,483.0,342.0,469.0,-0.5,-0.82,0.07,-19.29,-24.11,7.51,4.0,23.0,-19.0,6
568.0,641.0,483.0,342.0,469.0,-0.48,-0.84,0.08,-9.16,-27.83,10.56,1.0,20.0,-21.0,6
568.0,642.0,481.0,342.0,468.0,-0.5,-0.8,0.06,-8.06,-30.88,1.46,1.0,18.0,-22.0,6
567.0,642.0,480.0,342.0,467.0,-0.55,-0.8,-0.01,-1.59,-44.49,-18.74,0.0,18.0,-24.0,6
567.0,642.0,481.0,343.0,467.0,-0.6,-0.84,-0.0,-22.58,-38.45,-22.03,3.0,16.0,-25.0,6
568.0,641.0,482.0,342.0,469.0,-0.66,-0.78,0.04,-24.29,-33.02,-15.44,3.0,16.0,-25.0,6
568.0,642.0,481.0,341.0,469.0,-0.65,-0.77,0.03,-9.58,-21.85,-8.42,4.0,14.0,-34.0,6
568.0,643.0,481.0,343.0,470.0,-0.65,-0.79,0.01,-4.58,-12.57,-3.72,5.0,13.0,-30.0,6
568.0,641.0,482.0,342.0,468.0,-0.63,-0.8,0.02,-2.01,-8.3,5.74,1.0,14.0,-40.0,6
568.0,641.0,482.0,343.0,467.0,-0.56,-0.8,0.01,-9.4,-9.64,0.85,1.0,12.0,-32.0,6
568.0,641.0,483.0,344.0,468.0,-0.61,-0.8,-0.0,-14.65,-10.99,0.92,4.0,9.0,-32.0,6
568.0,642.0,482.0,342.0,471.0,-0.57,-0.77,0.03,-17.15,-21.42,5.07,3.0,8.0,-29.0,6
569.0,643.0,483.0,342.0,471.0,-0.59,-0.78,-0.01,-16.05,-31.31,-4.33,0.0,7.0,-32.0,6
567.0,643.0,483.0,344.0,470.0,-0.62,-0.81,0.01,-24.72,-10.01,-5.8,0.0,4.0,-33.0,6
568.0,643.0,483.0,342.0,472.0,-0.56,-0.79,0.0,-22.83,-4.88,-1.34,-1.0,4.0,-30.0,6
568.0,643.0,483.0,345.0,471.0,-0.58,-0.79,0.04,-18.25,-13.37,-3.85,-1.0,3.0,-33.0,6
569.0,640.0,483.0,344.0,472.0,-0.61,-0.79,0.04,-10.86,-20.26,-3.85,-3.0,5.0,-29.0,6
568.0,641.0,482.0,343.0,472.0,-0.65,-0.77,-0.0,-9.34,-37.6,-4.58,-3.0,0.0,-31.0,6
568.0,642.0,482.0,342.0,473.0,-0.64,-0.75,0.0,-25.63,-26.37,-2.14,-3.0,0.0,-34.0,6
568.0,643.0,480.0,345.0,472.0,-0.63,-0.76,0.03,-22.77,-21.55,4.7,-4.0,1.0,-39.0,6
568.0,643.0,482.0,344.0,474.0,-0.61,-0.77,-0.0,-13.61,-25.39,5.19,-7.0,-5.0,-26.0,6
569.0,643.0,481.0,345.0,475.0,-0.6,-0.8,-0.03,-22.64,-22.77,1.71,-5.0,-6.0,-31.0,6
570.0,642.0,483.0,344.0,474.0,-0.6,-0.8,-0.0,-27.53,-19.41,-0.37,-5.0,-7.0,-32.0,6
569.0,641.0,483.0,344.0,473.0,-0.62,-0.77,0.05,-19.65,-13.55,-0.18,-10.0,-11.0,-30.0,6
569.0,641.0,484.0,343.0,473.0,-0.65,-0.79,-0.02,-4.76,-28.93,1.1,-9.0,-11.0,-31.0,6
570.0,643.0,482.0,344.0,473.0,-0.6,-0.78,-0.02,-7.81,-13.0,6.59,-9.0,-12.0,-26.0,6
570.0,642.0,483.0,343.0,471.0,-0.59,-0.77,-0.0,-8.3,-8.06,3.6,-8.0,-12.0,-27.0,6
569.0,642.0,483.0,344.0,473.0,-0.56,-0.82,-0.03,-8.79,-19.1,-8.79,-8.0,-12.0,-28.0,6
572.0,642.0,483.0,344.0,474.0,-0.6,-0.79,-0.03,-16.48,-7.75,-5.8,-10.0,-14.0,-29.0,6
571.0,641.0,482.0,345.0,474.0,-0.63,-0.77,0.01,-14.89,-11.84,-3.36,-13.0,-12.0,-30.0,6
571.0,642.0,484.0,344.0,474.0,-0.6,-0.79,0.01,-5.07,-9.64,3.11,-11.0,-11.0,-27.0,6
572.0,641.0,482.0,345.0,472.0,-0.58,-0.79,-0.07,-1.1,-11.96,1.16,-12.0,-16.0,-23.0,6
573.0,642.0,482.0,344.0,473.0,-0.59,-0.79,-0.06,-12.7,-17.15,-0.12,-13.0,-14.0,-26.0,6
572.0,641.0,484.0,346.0,475.0,-0.64,-0.82,0.01,-21.42,-10.38,-6.29,-13.0,-13.0,-30.0,6
571.0,642.0,484.0,344.0,474.0,-0.64,-0.76,0.03,-13.73,-4.39,-1.04,-11.0,-15.0,-25.0,6
572.0,641.0,483.0,344.0,475.0,-0.58,-0.77,-0.02,-8.36,-14.95,1.53,-15.0,-19.0,-23.0,6
571.0,643.0,484.0,344.0,473.0,-0.61,-0.78,-0.01,-7.69,-10.44,0.31,-13.0,-15.0,-24.0,6
571.0,642.0,483.0,344.0,475.0,-0.61,-0.78,-0.01,-7.02,-13.18,-1.16,-14.0,-18.0,-17.0,6
572.0,642.0,483.0,345.0,473.0,-0.62,-0.78,-0.01,-8.54,-10.13,-3.91,-12.0,-20.0,-22.0,6
569.0,642.0,483.0,345.0,475.0,-0.62,-0.79,-0.03,-10.5,-11.35,-2.14,-14.0,-16.0,-22.0,6
570.0,643.0,482.0,344.0,473.0,-0.63,-0.77,-0.04,-18.13,-8.48,-0.92,-13.0,-18.0,-22.0,6
571.0,640.0,483.0,345.0,475.0,-0.69,-0.74,0.02,-23.93,-23.32,-4.52,-13.0,-18.0,-21.0,6
569.0,644.0,482.0,346.0,476.0,-0.63,-0.75,-0.01,-27.53,-27.4,-5.8,-14.0,-17.0,-14.0,6
570.0,642.0,484.0,345.0,476.0,-0.61,-0.76,0.03,-25.09,-17.82,-2.2,-16.0,-18.0,-13.0,6
572.0,643.0,483.0,345.0,473.0,-0.61,-0.76,0.04,-16.91,-19.04,2.44,-15.0,-20.0,-11.0,6
568.0,643.0,483.0,344.0,473.0,-0.62,-0.77,0.05,-11.29,-13.98,3.42,-17.0,-18.0,-13.0,6
570.0,641.0,484.0,344.0,472.0,-0.64,-0.77,0.03,-8.18,-6.77,8.0,-17.0,-21.0,-8.0,6
568.0,641.0,482.0,344.0,470.0,-0.62,-0.77,0.03,-9.4,-8.61,6.77,-16.0,-21.0,-11.0,6
571.0,642.0,484.0,345.0,465.0,-0.63,-0.79,0.06,-2.75,2.2,6.65,-17.0,-21.0,-5.0,6
569.0,641.0,484.0,344.0,465.0,-0.61,-0.78,0.1,-0.79,7.2,1.04,-15.0,-23.0,-11.0,6
570.0,643.0,484.0,342.0,467.0,-0.63,-0.75,0.11,7.14,13.49,-2.44,-17.0,-21.0,-6.0,6
569.0,642.0,484.0,344.0,464.0,-0.6,-0.8,0.07,13.31,12.02,-5.19,-18.0,-23.0,-8.0,6
571.0,640.0,485.0,343.0,465.0,-0.61,-0.78,0.05,16.66,13.79,-1.71,-16.0,-24.0,-9.0,6
571.0,642.0,482.0,346.0,468.0,-0.62,-0.78,0.02,16.17,12.27,-4.15,-15.0,-20.0,-13.0,6
571.0,643.0,485.0,344.0,469.0,-0.63,-0.76,0.03,15.26,20.63,-3.97,-16.0,-20.0,-14.0,6
570.0,642.0,485.0,345.0,470.0,-0.61,-0.76,0.08,13.79,20.81,-7.87,-16.0,-18.0,-15.0,6
570.0,640.0,485.0,346.0,472.0,-0.69,-0.76,0.04,20.75,33.51,-2.81,-12.0,-15.0,-17.0,6
571.0,642.0,486.0,346.0,473.0,-0.64,-0.78,0.1,23.86,42.42,9.16,-16.0,-17.0,-17.0,6
571.0,643.0,485.0,345.0,474.0,-0.64,-0.76,0.07,21.0,37.41,6.71,-17.0,-17.0,-16.0,6
569.0,640.0,484.0,346.0,473.0,-0.6,-0.77,0.11,14.28,33.45,4.09,-15.0,-15.0,-17.0,6
569.0,641.0,484.0,346.0,472.0,-0.58,-0.8,0.16,17.64,24.72,6.47,-16.0,-16.0,-19.0,6
570.0,642.0,486.0,348.0,474.0,-0.59,-0.8,0.18,19.35,26.06,-4.03,-15.0,-13.0,-22.0,6
571.0,642.0,485.0,346.0,473.0,-0.58,-0.8,0.14,30.33,30.15,-1.59,-12.0,-13.0,-24.0,6
572.0,643.0,484.0,344.0,473.0,-0.56,-0.8,0.12,35.71,31.86,-1.28,-9.0,-10.0,-24.0,6
571.0,640.0,487.0,346.0,474.0,-0.57,-0.8,0.1,28.63,29.36,-0.55,-9.0,-8.0,-25.0,6
569.0,642.0,484.0,347.0,471.0,-0.54,-0.84,0.07,26.98,24.41,-2.87,-9.0,-7.0,-29.0,6
568.0,643.0,486.0,347.0,473.0,-0.55,-0.82,0.06,26.67,19.59,-1.16,-8.0,-5.0,-28.0,6
570.0,641.0,485.0,347.0,473.0,-0.55,-0.83,0.06,19.78,15.32,-1.83,-9.0,-2.0,-33.0,6
571.0,642.0,485.0,347.0,474.0,-0.57,-0.83,0.04,17.7,12.7,-1.16,-7.0,-4.0,-28.0,6
571.0,642.0,487.0,345.0,474.0,-0.57,-0.82,0.07,11.72,16.6,-1.16,-8.0,0.0,-32.0,6
570.0,643.0,488.0,346.0,473.0,-0.56,-0.81,0.09,10.38,18.19,-1.22,-7.0,0.0,-30.0,6
571.0,644.0,486.0,347.0,473.0,-0.56,-0.81,0.07,15.75,18.68,-5.37,-5.0,0.0,-31.0,6
569.0,641.0,486.0,347.0,472.0,-0.59,-0.8,0.07,14.34,19.65,-6.84,-4.0,2.0,-29.0,6
570.0,641.0,485.0,347.0,472.0,-0.58,-0.8,0.09,10.86,24.29,-6.1,-6.0,6.0,-33.0,6
571.0,641.0,486.0,346.0,472.0,-0.59,-0.79,0.09,7.63,25.27,-3.91,-3.0,5.0,-29.0,6
572.0,642.0,487.0,346.0,473.0,-0.59,-0.8,0.13,11.78,23.25,-4.09,-3.0,8.0,-32.0,6
570.0,641.0,486.0,348.0,471.0,-0.58,-0.8,0.15,15.14,23.62,-3.3,-4.0,4.0,-29.0,6
570.0,640.0,486.0,346.0,473.0,-0.56,-0.78,0.13,17.21,24.41,-11.11,-4.0,10.0,-26.0,6
569.0,642.0,487.0,347.0,474.0,-0.6,-0.78,0.17,19.96,17.52,-15.62,0.0,12.0,-24.0,6
570.0,642.0,485.0,346.0,474.0,-0.64,-0.79,0.12,29.42,20.63,-8.97,3.0,15.0,-22.0,6
569.0,641.0,487.0,348.0,473.0,-0.63,-0.77,0.12,26.18,25.94,-0.79,2.0,16.0,-23.0,6
568.0,643.0,488.0,346.0,475.0,-0.59,-0.77,0.1,27.04,26.86,-3.91,4.0,14.0,-25.0,6
569.0,642.0,488.0,348.0,473.0,-0.61,-0.76,0.1,21.0,28.08,-7.2,2.0,20.0,-23.0,6
568.0,642.0,486.0,349.0,474.0,-0.6,-0.76,0.08,24.78,22.4,-10.38,5.0,20.0,-24.0,6
568.0,642.0,485.0,348.0,472.0,-0.63,-0.77,0.1,18.19,19.71,-12.88,4.0,21.0,-16.0,6
568.0,641.0,488.0,348.0,473.0,-0.64,-0.76,0.11,15.75,14.89,-11.9,7.0,23.0,-22.0,6
569.0,642.0,489.0,345.0,475.0,-0.64,-0.76,0.1,17.21,17.82,-15.2,8.0,24.0,-17.0,6
569.0,643.0,487.0,348.0,474.0,-0.67,-0.73,0.07,14.95,15.2,-11.6,8.0,24.0,-17.0,6
568.0,642.0,488.0,347.0,474.0,-0.67,-0.73,0.1,10.19,11.11,-9.16,10.0,27.0,-19.0,6
568.0,643.0,487.0,349.0,474.0,-0.68,-0.7,0.13,8.12,10.38,-8.24,11.0,28.0,-17.0,6
570.0,643.0,488.0,348.0,475.0,-0.68,-0.7,0.11,14.53,8.36,-7.75,11.0,28.0,-13.0,6
566.0,640.0,488.0,348.0,476.0,-0.71,-0.68,0.09,14.47,7.26,-8.73,12.0,30.0,-16.0,6
571.0,643.0,489.0,348.0,475.0,-0.72,-0.68,0.11,8.24,6.41,-8.42,13.0,30.0,-18.0,6
570.0,641.0,487.0,348.0,474.0,-0.73,-0.68,0.15,5.19,13.0,-8.67,14.0,30.0,-12.0,6
569.0,641.0,490.0,350.0,475.0,-0.75,-0.65,0.15,14.65,14.04,-4.03,13.0,31.0,-14.0,6
569.0,641.0,488.0,348.0,476.0,-0.74,-0.65,0.17,16.85,21.91,0.37,16.0,33.0,-12.0,6
570.0,640.0,488.0,350.0,474.0,-0.74,-0.66,0.15,25.33,18.49,2.99,15.0,30.0,-7.0,6
569.0,643.0,488.0,348.0,477.0,-0.7,-0.65,0.15,18.19,24.54,-3.42,12.0,32.0,-8.0,6
570.0,641.0,488.0,349.0,476.0,-0.7,-0.67,0.15,23.86,14.4,-1.95,16.0,34.0,-4.0,6
569.0,641.0,489.0,349.0,477.0,-0.72,-0.67,0.15,24.96,12.94,-6.53,12.0,32.0,-8.0,6
568.0,643.0,487.0,348.0,475.0,-0.74,-0.66,0.14,25.15,14.47,-3.85,14.0,36.0,-6.0,6
571.0,642.0,488.0,350.0,474.0,-0.74,-0.66,0.12,24.6,25.45,-0.37,14.0,36.0,1.0,6
570.0,642.0,489.0,350.0,476.0,-0.71,-0.66,0.14,22.95,25.09,0.49,13.0,36.0,-2.0,6
570.0,642.0,488.0,347.0,475.0,-0.7,-0.68,0.13,27.22,17.94,-3.3,13.0,36.0,0.0,6
570.0,641.0,488.0,348.0,477.0,-0.72,-0.66,0.11,29.97,16.11,-5.62,14.0,38.0,0.0,6
