Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
552.0,640.0,642.0,418.0,566.0,-0.79,-0.56,0.18,1.83,0.06,1.16,24.0,30.0,30.0,7
552.0,641.0,642.0,416.0,566.0,-0.8,-0.56,0.18,0.55,-0.43,0.18,24.0,26.0,29.0,7
553.0,640.0,641.0,415.0,565.0,-0.78,-0.56,0.18,1.53,1.4,-1.16,25.0,30.0,29.0,7
552.0,642.0,644.0,416.0,564.0,-0.81,-0.54,0.18,2.32,2.32,-2.87,23.0,30.0,28.0,7
554.0,642.0,643.0,416.0,564.0,-0.8,-0.54,0.21,4.21,3.05,1.22,24.0,29.0,29.0,7
553.0,642.0,643.0,416.0,564.0,-0.83,-0.56,0.18,7.63,0.49,2.99,24.0,28.0,29.0,7
552.0,642.0,642.0,416.0,564.0,-0.76,-0.59,0.18,1.59,11.05,11.54,23.0,29.0,25.0,7
554.0,641.0,643.0,413.0,561.0,-0.77,-0.59,0.12,10.62,3.3,4.09,22.0,27.0,28.0,7
555.0,643.0,642.0,415.0,561.0,-0.78,-0.59,0.15,-2.81,-6.1,1.65,21.0,28.0,33.0,7
555.0,642.0,642.0,416.0,562.0,-0.77,-0.57,0.17,-1.46,-12.94,4.15,20.0,28.0,30.0,7
554.0,641.0,642.0,415.0,563.0,-0.77,-0.6,0.15,0.37,-12.27,2.93,20.0,30.0,27.0,7
556.0,640.0,640.0,416.0,565.0,-0.78,-0.6,0.12,-0.31,-9.09,3.48,25.0,32.0,27.0,7
554.0,641.0,641.0,417.0,565.0,-0.77,-0.62,0.1,-4.88,-10.13,3.66,19.0,30.0,24.0,7
553.0,642.0,641.0,415.0,566.0,-0.77,-0.6,0.12,-22.52,-13.06,4.58,19.0,33.0,22.0,7
553.0,641.0,641.0,416.0,567.0,-0.78,-0.61,0.11,-23.38,-15.87,6.29,24.0,36.0,23.0,7
553.0,640.0,640.0,417.0,564.0,-0.78,-0.61,0.1,-29.66,-22.89,8.24,21.0,37.0,22.0,7
552.0,643.0,641.0,415.0,566.0,-0.78,-0.62,0.16,-37.17,-26.73,10.74,23.0,37.0,16.0,7
551.0,640.0,642.0,415.0,568.0,-0.75,-0.6,0.13,-29.3,-26.12,10.07,17.0,36.0,13.0,7
553.0,642.0,641.0,415.0,566.0,-0.75,-0.6,0.13,-26.12,-25.94,6.71,20.0,34.0,12.0,7
553.0,644.0,641.0,413.0,566.0,-0.74,-0.64,0.08,-27.83,-31.19,3.85,19.0,34.0,9.0,7
551.0,642.0,642.0,413.0,565.0,-0.76,-0.61,0.07,-36.93,-37.54,0.24,20.0,34.0,3.0,7
552.0,641.0,642.0,413.0,566.0,-0.81,-0.57,0.09,-38.94,-33.26,-0.67,20.0,31.0,5.0,7
553.0,640.0,643.0,412.0,567.0,-0.81,-0.54,0.13,-40.83,-29.17,0.85,22.0,33.0,3.0,7
554.0,641.0,642.0,412.0,566.0,-0.79,-0.56,0.17,-40.71,-25.45,4.33,21.0,31.0,-3.0,7
553.0,641.0,643.0,410.0,565.0,-0.8,-0.59,0.17,-23.68,-21.24,4.76,21.0,35.0,-2.0,7
553.0,641.0,643.0,414.0,567.0,-0.81,-0.62,0.15,-21.42,-18.01,7.69,24.0,33.0,-3.0,7
552.0,642.0,642.0,413.0,567.0,-0.79,-0.6,0.15,-26.98,-11.84,14.28,21.0,31.0,-6.0,7
553.0,644.0,641.0,410.0,568.0,-0.74,-0.6,0.1,-24.41,-13.92,11.11,21.0,34.0,-7.0,7
555.0,640.0,641.0,412.0,566.0,-0.75,-0.62,0.08,-16.05,-16.97,6.96,19.0,32.0,-5.0,7
554.0,642.0,641.0,409.0,565.0,-0.73,-0.64,0.12,-16.97,-18.86,10.19,18.0,30.0,-11.0,7
553.0,644.0,642.0,410.0,565.0,-0.72,-0.66,0.12,-22.4,-16.85,0.61,16.0,29.0,-13.0,7
554.0,641.0,641.0,412.0,567.0,-0.75,-0.64,0.12,-19.71,-19.1,2.2,18.0,28.0,-14.0,7
552.0,642.0,641.0,410.0,568.0,-0.75,-0.67,0.13,-24.41,-15.56,3.42,18.0,27.0,-20.0,7
554.0,643.0,640.0,411.0,566.0,-0.73,-0.65,0.15,-31.8,-15.2,6.59,18.0,26.0,-16.0,7
553.0,641.0,642.0,409.0,567.0,-0.72,-0.63,0.13,-22.09,-20.69,7.32,15.0,27.0,-17.0,7
553.0,642.0,643.0,411.0,568.0,-0.73,-0.67,0.11,-24.66,-23.93,4.7,14.0,26.0,-25.0,7
554.0,641.0,642.0,409.0,567.0,-0.75,-0.67,0.1,-23.32,-33.02,10.99,13.0,24.0,-26.0,7
555.0,642.0,640.0,409.0,565.0,-0.73,-0.67,0.07,-25.09,-26.0,8.06,11.0,18.0,-25.0,7
555.0,642.0,640.0,410.0,566.0,-0.71,-0.66,0.12,-37.23,-25.7,6.71,7.0,19.0,-27.0,7
556.0,644.0,641.0,412.0,565.0,-0.72,-0.65,0.1,-35.4,-22.77,5.62,8.0,15.0,-27.0,7
555.0,642.0,642.0,412.0,565.0,-0.7,-0.66,0.12,-32.9,-24.29,2.26,7.0,15.0,-25.0,7
555.0,644.0,640.0,411.0,564.0,-0.74,-0.67,0.12,-27.47,-22.52,0.79,6.0,11.0,-29.0,7
553.0,642.0,643.0,411.0,565.0,-0.75,-0.67,0.19,-21.79,-17.64,1.71,2.0,10.0,-29.0,7
555.0,640.0,644.0,412.0,567.0,-0.75,-0.65,0.15,-5.37,-5.13,8.48,4.0,10.0,-26.0,7
554.0,642.0,643.0,412.0,566.0,-0.68,-0.69,0.14,-3.42,1.04,3.17,3.0,11.0,-23.0,7
555.0,642.0,641.0,410.0,566.0,-0.69,-0.68,0.11,-2.87,-1.83,0.79,3.0,10.0,-30.0,7
552.0,641.0,644.0,410.0,567.0,-0.72,-0.66,0.13,-9.89,-0.31,-2.69,1.0,11.0,-29.0,7
551.0,641.0,642.0,410.0,567.0,-0.73,-0.66,0.15,-12.02,-4.64,-1.71,1.0,8.0,-28.0,7
554.0,642.0,641.0,409.0,567.0,-0.73,-0.69,0.17,-12.51,-2.99,3.23,1.0,9.0,-27.0,7
549.0,641.0,642.0,409.0,567.0,-0.72,-0.68,0.17,-14.4,-3.11,7.69,0.0,8.0,-28.0,7
551.0,643.0,641.0,409.0,567.0,-0.68,-0.66,0.18,-7.87,-7.69,6.47,-1.0,9.0,-29.0,7
550.0,640.0,640.0,409.0,568.0,-0.67,-0.69,0.15,-5.37,-3.17,2.69,-1.0,8.0,-28.0,7
552.0,642.0,641.0,407.0,568.0,-0.71,-0.69,0.12,-3.72,-14.28,1.34,1.0,7.0,-30.0,7
547.0,642.0,642.0,410.0,566.0,-0.69,-0.68,0.15,-11.05,-12.76,-0.98,-1.0,6.0,-26.0,7
550.0,642.0,641.0,410.0,568.0,-0.73,-0.65,0.16,-14.71,-10.01,-2.44,-1.0,6.0,-25.0,7
550.0,642.0,641.0,408.0,567.0,-0.72,-0.69,0.16,-13.0,-11.05,0.0,0.0,3.0,-28.0,7
551.0,642.0,641.0,409.0,567.0,-0.71,-0.67,0.16,-12.57,-9.16,4.46,-3.0,7.0,-26.0,7
552.0,643.0,641.0,409.0,567.0,-0.68,-0.67,0.18,-15.62,-9.64,3.11,-4.0,2.0,-26.0,7
548.0,642.0,641.0,409.0,567.0,-0.72,-0.66,0.19,-18.31,-10.13,-8.12,-3.0,1.0,-24.0,7
550.0,642.0,641.0,407.0,567.0,-0.73,-0.66,0.16,-10.99,-7.26,-4.7,-5.0,1.0,-26.0,7
550.0,642.0,642.0,408.0,567.0,-0.75,-0.61,0.2,-14.28,-7.57,-3.54,-5.0,0.0,-27.0,7
550.0,642.0,640.0,409.0,567.0,-0.71,-0.63,0.21,-3.48,-7.51,1.65,-7.0,1.0,-28.0,7
550.0,641.0,642.0,408.0,568.0,-0.76,-0.64,0.18,3.54,-3.78,-6.65,-4.0,1.0,-21.0,7
550.0,642.0,643.0,408.0,568.0,-0.75,-0.64,0.18,2.93,-0.73,-2.44,-5.0,0.0,-25.0,7
550.0,642.0,642.0,407.0,568.0,-0.77,-0.61,0.22,-10.99,-3.23,-3.72,-4.0,1.0,-27.0,7
551.0,641.0,641.0,410.0,569.0,-0.7,-0.67,0.09,12.02,-13.06,-3.05,-5.0,1.0,-27.0,7
552.0,642.0,641.0,409.0,568.0,-0.75,-0.63,0.16,-9.28,0.73,4.7,-4.0,2.0,-24.0,7
551.0,641.0,641.0,408.0,568.0,-0.76,-0.65,0.16,-12.39,-18.19,8.12,-2.0,2.0,-27.0,7
552.0,641.0,641.0,408.0,562.0,-0.73,-0.67,0.14,-5.86,0.06,26.49,-10.0,0.0,-27.0,7
552.0,643.0,642.0,408.0,563.0,-0.7,-0.67,0.13,-12.15,-15.44,-2.56,-6.0,-2.0,-21.0,7
550.0,642.0,643.0,408.0,566.0,-0.75,-0.63,0.13,-17.58,-29.48,-7.2,-11.0,-4.0,-22.0,7
