Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
476.0,365.0,414.0,388.0,618.0,0.33,-0.96,-0.03,1.65,-0.49,-1.53,-7.0,-55.0,20.0,8
476.0,365.0,415.0,388.0,617.0,0.32,-0.96,-0.05,1.1,-0.92,-0.67,-7.0,-53.0,21.0,8
477.0,365.0,415.0,388.0,616.0,0.32,-0.96,-0.05,1.71,-0.18,-1.1,-6.0,-53.0,22.0,8
476.0,363.0,416.0,388.0,616.0,0.27,-0.97,-0.04,-1.53,-8.12,-6.23,-6.0,-50.0,22.0,8
476.0,364.0,417.0,388.0,616.0,0.33,-0.97,-0.03,1.28,-7.39,2.56,-5.0,-56.0,22.0,8
476.0,367.0,414.0,388.0,616.0,0.32,-0.96,-0.02,1.04,-2.44,-1.65,-7.0,-51.0,24.0,8
476.0,365.0,415.0,387.0,617.0,0.3,-0.96,-0.03,1.28,-3.36,-0.31,-5.0,-51.0,25.0,8
478.0,366.0,415.0,388.0,617.0,0.32,-0.93,-0.02,2.01,0.43,-0.55,-7.0,-55.0,23.0,8
478.0,365.0,414.0,388.0,617.0,0.31,-0.95,-0.05,-0.61,-5.55,3.78,-8.0,-54.0,22.0,8
479.0,366.0,415.0,388.0,617.0,0.29,-0.98,-0.03,1.1,-10.44,-0.37,-5.0,-54.0,25.0,8
479.0,365.0,415.0,386.0,617.0,0.3,-0.96,-0.03,10.31,-16.66,-3.6,-9.0,-54.0,25.0,8
480.0,366.0,413.0,385.0,617.0,0.36,-0.98,-0.02,12.57,-14.04,7.45,-7.0,-50.0,25.0,8
479.0,366.0,413.0,386.0,617.0,0.34,-0.95,-0.04,10.74,-15.62,2.44,-8.0,-52.0,26.0,8
478.0,365.0,414.0,386.0,616.0,0.33,-0.96,-0.04,12.82,-12.51,0.79,-6.0,-50.0,28.0,8
480.0,365.0,414.0,386.0,616.0,0.34,-0.95,-0.04,10.99,-15.01,-3.54,-10.0,-50.0,26.0,8
479.0,365.0,414.0,385.0,618.0,0.33,-0.97,-0.06,11.29,-20.45,-0.85,-10.0,-47.0,25.0,8
481.0,366.0,414.0,386.0,617.0,0.34,-0.94,-0.07,12.57,-16.91,-2.08,-12.0,-48.0,30.0,8
480.0,366.0,414.0,389.0,619.0,0.36,-0.93,-0.06,8.36,-10.86,-5.37,-10.0,-46.0,27.0,8
478.0,366.0,412.0,388.0,617.0,0.34,-0.94,-0.09,0.61,-7.2,-2.87,-11.0,-47.0,29.0,8
481.0,366.0,414.0,388.0,617.0,0.31,-0.97,-0.1,-0.67,-7.75,2.44,-11.0,-45.0,29.0,8
481.0,368.0,416.0,387.0,618.0,0.33,-0.96,-0.07,2.38,-6.77,1.16,-12.0,-44.0,26.0,8
481.0,367.0,414.0,387.0,616.0,0.32,-0.95,-0.04,4.88,-5.13,-0.24,-10.0,-46.0,26.0,8
480.0,368.0,415.0,388.0,616.0,0.31,-0.94,-0.08,5.07,-7.26,-5.98,-12.0,-46.0,30.0,8
480.0,367.0,415.0,389.0,617.0,0.31,-0.95,-0.11,1.04,-10.56,-2.87,-11.0,-46.0,28.0,8
479.0,367.0,415.0,389.0,618.0,0.33,-0.98,-0.05,1.77,-10.38,2.93,-11.0,-46.0,26.0,8
480.0,368.0,415.0,387.0,615.0,0.34,-0.95,-0.1,9.28,-9.7,-3.48,-11.0,-43.0,24.0,8
478.0,368.0,415.0,390.0,618.0,0.35,-0.97,-0.1,9.03,-4.64,6.96,-13.0,-44.0,29.0,8
476.0,367.0,415.0,387.0,616.0,0.33,-0.93,-0.12,7.26,-7.63,8.67,-9.0,-43.0,28.0,8
473.0,368.0,414.0,387.0,617.0,0.34,-0.93,-0.11,12.02,-10.44,-7.02,-13.0,-42.0,27.0,8
468.0,366.0,412.0,387.0,618.0,0.3,-0.92,-0.11,5.62,-20.69,-9.77,-11.0,-42.0,30.0,8
465.0,367.0,414.0,387.0,617.0,0.33,-0.96,-0.08,8.12,-22.46,-5.68,-15.0,-41.0,27.0,8
460.0,367.0,414.0,386.0,615.0,0.34,-0.95,-0.1,11.9,-22.03,-7.45,-14.0,-38.0,26.0,8
453.0,366.0,413.0,387.0,616.0,0.32,-0.95,-0.11,6.1,-22.4,-4.46,-13.0,-37.0,29.0,8
443.0,365.0,411.0,385.0,615.0,0.35,-0.97,-0.11,8.91,-20.87,4.27,-15.0,-36.0,26.0,8
440.0,363.0,410.0,386.0,616.0,0.37,-0.97,-0.09,10.07,-22.46,3.85,-14.0,-35.0,25.0,8
441.0,362.0,411.0,383.0,616.0,0.34,-0.94,-0.12,13.55,-22.89,1.83,-15.0,-34.0,27.0,8
440.0,359.0,413.0,384.0,615.0,0.34,-0.95,-0.11,12.7,-28.99,-3.3,-18.0,-31.0,25.0,8
443.0,360.0,413.0,384.0,618.0,0.35,-0.95,-0.11,14.83,-33.39,-7.14,-17.0,-30.0,27.0,8
444.0,359.0,413.0,384.0,616.0,0.36,-0.96,-0.13,17.88,-32.23,-6.53,-17.0,-28.0,25.0,8
450.0,361.0,415.0,387.0,616.0,0.35,-0.94,-0.11,16.97,-32.84,-5.0,-17.0,-27.0,25.0,8
451.0,363.0,414.0,387.0,616.0,0.33,-0.95,-0.14,14.71,-35.64,-0.31,-19.0,-27.0,23.0,8
451.0,365.0,415.0,386.0,617.0,0.35,-0.95,-0.11,20.08,-40.89,-0.31,-18.0,-23.0,22.0,8
452.0,367.0,418.0,386.0,617.0,0.37,-0.92,-0.15,25.57,-44.56,1.89,-20.0,-22.0,16.0,8
453.0,367.0,419.0,387.0,615.0,0.38,-0.91,-0.12,24.17,-50.17,-1.16,-18.0,-19.0,14.0,8
455.0,366.0,418.0,385.0,618.0,0.42,-0.9,-0.12,25.21,-46.33,-11.29,-20.0,-17.0,14.0,8
455.0,366.0,417.0,386.0,616.0,0.42,-0.93,-0.14,21.61,-36.93,-12.7,-19.0,-16.0,16.0,8
454.0,368.0,419.0,387.0,616.0,0.42,-0.95,-0.17,21.67,-32.84,-12.21,-21.0,-18.0,8.0,8
455.0,366.0,419.0,387.0,617.0,0.37,-0.9,-0.21,28.63,-41.5,3.6,-18.0,-15.0,9.0,8
459.0,369.0,419.0,388.0,616.0,0.38,-0.9,-0.19,22.4,-46.75,-3.3,-19.0,-15.0,3.0,8
459.0,370.0,419.0,387.0,617.0,0.42,-0.87,-0.15,16.72,-40.71,-3.72,-21.0,-14.0,0.0,8
459.0,372.0,418.0,390.0,619.0,0.41,-0.93,-0.18,17.94,-37.78,-6.04,-20.0,-12.0,0.0,8
463.0,371.0,420.0,389.0,617.0,0.45,-0.9,-0.15,18.55,-40.71,-18.07,-18.0,-10.0,0.0,8
463.0,372.0,419.0,388.0,616.0,0.42,-0.88,-0.2,17.52,-56.27,-27.77,-19.0,-10.0,-4.0,8
464.0,371.0,419.0,387.0,617.0,0.38,-0.93,-0.17,12.82,-55.11,-8.97,-19.0,-8.0,-6.0,8
462.0,373.0,420.0,387.0,618.0,0.39,-0.96,-0.13,17.46,-49.99,-9.16,-19.0,-8.0,-5.0,8
464.0,372.0,419.0,388.0,615.0,0.39,-0.94,-0.14,21.67,-44.25,-10.62,-18.0,-7.0,-12.0,8
465.0,374.0,419.0,387.0,618.0,0.38,-0.9,-0.15,24.66,-44.13,-9.46,-17.0,-7.0,-15.0,8
465.0,374.0,420.0,385.0,617.0,0.39,-0.93,-0.16,17.46,-45.72,-11.54,-17.0,-10.0,-20.0,8
466.0,372.0,420.0,385.0,618.0,0.38,-0.94,-0.14,20.45,-48.16,-11.6,-16.0,-10.0,-21.0,8
464.0,374.0,422.0,388.0,618.0,0.39,-0.92,-0.15,19.29,-45.29,-9.58,-11.0,-11.0,-23.0,8
466.0,374.0,423.0,386.0,618.0,0.36,-0.93,-0.16,17.33,-54.81,-7.57,-11.0,-13.0,-24.0,8
466.0,375.0,422.0,386.0,616.0,0.37,-0.92,-0.13,14.77,-43.09,-7.14,-10.0,-12.0,-26.0,8
468.0,375.0,422.0,388.0,616.0,0.37,-0.92,-0.12,13.49,-39.18,-6.77,-11.0,-18.0,-29.0,8
467.0,374.0,423.0,388.0,617.0,0.38,-0.94,-0.12,12.63,-38.15,-7.2,-7.0,-17.0,-29.0,8
468.0,374.0,422.0,389.0,617.0,0.35,-0.96,-0.1,13.85,-39.37,-13.12,-8.0,-18.0,-30.0,8
468.0,374.0,422.0,388.0,616.0,0.37,-0.95,-0.06,17.21,-46.63,-10.56,-8.0,-20.0,-34.0,8
466.0,375.0,424.0,389.0,616.0,0.39,-0.92,-0.07,15.87,-31.56,2.93,-7.0,-24.0,-30.0,8
467.0,373.0,423.0,388.0,615.0,0.42,-0.93,-0.11,9.16,-16.66,0.85,-5.0,-25.0,-28.0,8
466.0,374.0,423.0,389.0,618.0,0.39,-0.92,-0.1,2.01,-16.42,-3.54,-4.0,-27.0,-35.0,8
468.0,376.0,422.0,389.0,618.0,0.34,-0.93,-0.13,-1.95,-13.55,-2.14,-4.0,-27.0,-32.0,8
470.0,375.0,424.0,389.0,616.0,0.39,-0.94,-0.05,-2.26,-12.76,0.18,-4.0,-27.0,-30.0,8
469.0,372.0,423.0,391.0,618.0,0.4,-0.92,-0.09,7.08,-10.8,4.64,-5.0,-29.0,-34.0,8
469.0,373.0,423.0,384.0,616.0,0.37,-0.95,-0.11,14.89,-18.19,-9.77,-6.0,-32.0,-33.0,8
470.0,376.0,422.0,385.0,614.0,0.35,-0.94,-0.11,19.29,-23.32,-9.58,-4.0,-30.0,-33.0,8
470.0,375.0,422.0,385.0,617.0,0.36,-0.93,-0.1,12.51,-24.29,-6.71,-1.0,-32.0,-32.0,8
469.0,375.0,421.0,384.0,617.0,0.36,-0.94,-0.11,10.13,-27.71,-5.68,-1.0,-34.0,-34.0,8
471.0,375.0,424.0,384.0,617.0,0.39,-0.95,-0.1,10.01,-25.63,-4.27,-3.0,-36.0,-35.0,8
470.0,374.0,423.0,386.0,617.0,0.37,-0.92,-0.1,11.23,-25.15,-3.66,-1.0,-38.0,-36.0,8
468.0,376.0,423.0,385.0,617.0,0.35,-0.97,-0.1,4.76,-19.9,-5.19,-2.0,-38.0,-32.0,8
470.0,374.0,424.0,385.0,615.0,0.38,-0.92,-0.1,10.99,-23.13,2.38,-2.0,-38.0,-35.0,8
471.0,375.0,422.0,386.0,617.0,0.39,-0.92,-0.12,9.64,-25.02,-5.25,-2.0,-41.0,-31.0,8
468.0,376.0,423.0,387.0,617.0,0.35,-0.93,-0.08,6.71,-23.8,-8.54,0.0,-38.0,-35.0,8
472.0,376.0,423.0,385.0,616.0,0.37,-0.93,-0.07,8.3,-22.09,-5.19,0.0,-44.0,-28.0,8
471.0,375.0,423.0,388.0,618.0,0.37,-0.96,-0.1,11.72,-19.04,-5.49,0.0,-43.0,-30.0,8
471.0,376.0,423.0,388.0,617.0,0.35,-0.94,-0.11,10.99,-21.24,-4.15,0.0,-43.0,-26.0,8
472.0,375.0,423.0,385.0,615.0,0.33,-0.95,-0.1,9.4,-16.72,-0.24,-1.0,-43.0,-28.0,8
472.0,377.0,424.0,388.0,616.0,0.36,-0.94,-0.08,6.84,-10.99,2.26,0.0,-46.0,-27.0,8
