Thumb1,Index1,Middle1,Ring1,Pinky1,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Letter
518.0,642.0,641.0,385.0,508.0,0.06,-0.98,0.17,-0.73,-1.65,1.1,-9.0,-41.0,32.0,9
517.0,641.0,642.0,386.0,510.0,0.04,-0.97,0.16,1.04,-4.46,2.08,-6.0,-43.0,29.0,9
519.0,643.0,641.0,385.0,509.0,0.07,-1.03,0.21,-0.55,-2.38,3.23,-7.0,-41.0,29.0,9
518.0,640.0,641.0,385.0,510.0,0.06,-0.98,0.2,10.07,-9.52,-2.32,-7.0,-43.0,29.0,9
518.0,640.0,642.0,382.0,511.0,0.07,-1.0,0.17,5.0,-15.99,6.77,-7.0,-41.0,31.0,9
522.0,644.0,643.0,382.0,512.0,0.06,-1.0,0.17,3.91,-18.07,8.85,-5.0,-41.0,33.0,9
525.0,642.0,641.0,384.0,513.0,0.04,-1.0,0.17,4.88,-22.46,4.03,-5.0,-40.0,31.0,9
525.0,642.0,642.0,385.0,512.0,0.04,-1.0,0.16,6.41,-24.05,4.52,-5.0,-37.0,33.0,9
524.0,643.0,642.0,385.0,512.0,0.05,-0.99,0.16,1.59,-29.11,9.52,-7.0,-39.0,35.0,9
523.0,640.0,642.0,384.0,510.0,0.09,-1.0,0.16,6.77,-33.2,9.16,-8.0,-38.0,33.0,9
525.0,641.0,640.0,386.0,511.0,0.08,-0.99,0.15,6.1,-38.64,5.25,-8.0,-34.0,36.0,9
525.0,640.0,643.0,385.0,512.0,0.08,-1.01,0.19,4.39,-32.59,3.85,-10.0,-30.0,34.0,9
526.0,641.0,642.0,385.0,512.0,0.06,-0.99,0.17,7.69,-40.89,1.89,-8.0,-30.0,36.0,9
527.0,642.0,641.0,385.0,511.0,0.05,-0.99,0.17,6.96,-53.53,5.8,-10.0,-27.0,35.0,9
528.0,643.0,642.0,385.0,512.0,0.09,-1.01,0.17,4.88,-52.61,9.03,-9.0,-22.0,37.0,9
529.0,641.0,641.0,380.0,508.0,0.12,-0.98,0.17,12.15,-54.02,-6.04,-8.0,-22.0,39.0,9
529.0,643.0,641.0,378.0,506.0,0.08,-0.94,0.13,6.35,-48.77,2.81,-9.0,-17.0,35.0,9
531.0,643.0,642.0,380.0,506.0,0.11,-1.01,0.15,-5.07,-34.48,24.9,-8.0,-17.0,34.0,9
531.0,641.0,643.0,380.0,504.0,0.14,-1.01,0.19,7.14,-32.9,12.02,-8.0,-18.0,35.0,9
535.0,643.0,641.0,378.0,505.0,0.08,-1.01,0.12,15.38,-29.91,-6.04,-9.0,-13.0,34.0,9
533.0,642.0,642.0,380.0,507.0,0.01,-0.98,0.06,7.57,-38.51,-2.56,-9.0,-13.0,29.0,9
534.0,641.0,641.0,384.0,508.0,0.02,-1.01,0.1,7.2,-42.11,7.32,-11.0,-7.0,30.0,9
535.0,642.0,640.0,383.0,510.0,0.06,-0.95,0.08,7.26,-37.48,18.62,-8.0,-7.0,28.0,9
540.0,640.0,641.0,382.0,511.0,0.18,-1.05,0.14,-16.78,-41.08,26.12,-11.0,-7.0,25.0,9
540.0,642.0,644.0,385.0,509.0,0.17,-0.99,0.19,1.4,-38.33,9.64,-9.0,-7.0,31.0,9
541.0,640.0,641.0,384.0,511.0,0.15,-0.99,0.16,5.43,-46.45,0.49,-12.0,-2.0,26.0,9
541.0,642.0,641.0,382.0,509.0,0.1,-0.98,0.13,4.46,-23.5,7.75,-13.0,-1.0,22.0,9
541.0,641.0,642.0,384.0,510.0,0.14,-0.98,0.18,2.87,-36.93,7.39,-10.0,-2.0,22.0,9
543.0,640.0,642.0,381.0,510.0,0.16,-0.98,0.16,7.69,-30.46,11.35,-13.0,0.0,21.0,9
544.0,642.0,640.0,385.0,509.0,0.16,-0.98,0.15,7.02,-29.05,14.47,-12.0,0.0,21.0,9
543.0,642.0,642.0,383.0,510.0,0.23,-0.99,0.18,0.92,-28.14,13.61,-11.0,0.0,16.0,9
543.0,643.0,641.0,383.0,510.0,0.23,-0.99,0.16,6.77,-23.5,9.16,-11.0,0.0,14.0,9
543.0,640.0,642.0,384.0,511.0,0.24,-0.98,0.15,6.04,-12.76,3.85,-13.0,0.0,15.0,9
542.0,639.0,643.0,383.0,510.0,0.21,-0.97,0.14,5.19,-8.85,4.15,-13.0,-1.0,13.0,9
544.0,640.0,642.0,383.0,509.0,0.23,-0.98,0.14,-0.24,-9.16,8.06,-12.0,0.0,16.0,9
543.0,643.0,643.0,384.0,511.0,0.26,-0.98,0.16,0.73,-3.72,5.86,-11.0,2.0,10.0,9
545.0,642.0,641.0,383.0,509.0,0.26,-0.98,0.16,3.54,1.1,-0.06,-11.0,1.0,14.0,9
543.0,640.0,642.0,382.0,509.0,0.22,-0.97,0.13,2.38,3.97,-2.93,-14.0,-1.0,11.0,9
545.0,641.0,641.0,383.0,510.0,0.22,-0.98,0.12,0.79,2.56,-0.12,-11.0,-2.0,15.0,9
545.0,638.0,642.0,382.0,508.0,0.23,-0.98,0.14,0.85,-0.55,-1.59,-12.0,0.0,12.0,9
546.0,642.0,642.0,384.0,510.0,0.24,-0.99,0.13,2.99,0.0,-2.62,-14.0,2.0,10.0,9
545.0,641.0,641.0,383.0,511.0,0.21,-0.98,0.11,1.53,4.21,-6.23,-11.0,0.0,11.0,9
545.0,640.0,641.0,381.0,512.0,0.19,-0.98,0.13,0.37,3.42,-3.91,-13.0,0.0,13.0,9
545.0,642.0,643.0,385.0,512.0,0.21,-0.99,0.13,-0.79,5.74,-0.24,-10.0,1.0,12.0,9
545.0,641.0,643.0,385.0,512.0,0.21,-0.99,0.14,-2.56,6.35,-0.31,-13.0,1.0,15.0,9
548.0,640.0,642.0,383.0,512.0,0.21,-0.98,0.14,-0.24,2.62,-1.77,-12.0,0.0,15.0,9
542.0,642.0,643.0,386.0,512.0,0.2,-0.97,0.13,-1.16,-0.61,-2.01,-11.0,0.0,18.0,9
543.0,640.0,643.0,381.0,511.0,0.21,-0.98,0.15,-0.49,0.73,-2.32,-11.0,0.0,13.0,9
544.0,640.0,643.0,380.0,510.0,0.21,-0.99,0.15,2.5,2.32,-3.97,-12.0,0.0,15.0,9
545.0,642.0,642.0,382.0,510.0,0.22,-0.99,0.11,2.38,4.09,-6.77,-12.0,-1.0,16.0,9
544.0,642.0,643.0,384.0,511.0,0.18,-0.99,0.12,-6.84,12.21,-10.8,-11.0,0.0,13.0,9
545.0,642.0,640.0,383.0,511.0,0.15,-0.97,0.17,-4.7,13.92,-9.52,-10.0,0.0,16.0,9
543.0,642.0,642.0,381.0,512.0,0.13,-0.98,0.17,-4.94,11.05,-0.06,-9.0,2.0,16.0,9
544.0,641.0,641.0,383.0,511.0,0.17,-0.99,0.18,-3.05,6.59,1.77,-11.0,1.0,19.0,9
544.0,642.0,642.0,382.0,512.0,0.19,-0.98,0.18,-1.4,8.06,1.16,-11.0,-1.0,17.0,9
543.0,640.0,642.0,384.0,511.0,0.19,-0.98,0.18,0.24,12.7,1.22,-12.0,0.0,17.0,9
546.0,642.0,642.0,382.0,511.0,0.19,-0.99,0.15,0.31,13.43,-2.01,-10.0,-1.0,19.0,9
544.0,642.0,642.0,384.0,511.0,0.18,-0.98,0.15,-1.65,14.71,-4.52,-13.0,1.0,23.0,9
545.0,641.0,641.0,382.0,512.0,0.17,-0.99,0.18,-3.17,17.76,-4.27,-7.0,-3.0,20.0,9
544.0,643.0,643.0,384.0,512.0,0.17,-0.99,0.17,-2.44,7.93,-4.39,-11.0,-1.0,19.0,9
543.0,641.0,644.0,384.0,512.0,0.2,-0.99,0.16,3.78,31.92,-5.49,-12.0,0.0,23.0,9
544.0,642.0,642.0,381.0,512.0,0.15,-0.98,0.13,-1.22,33.2,-9.34,-10.0,-2.0,25.0,9
543.0,642.0,639.0,382.0,513.0,0.13,-0.99,0.15,-5.13,26.31,-5.31,-8.0,-4.0,27.0,9
543.0,640.0,641.0,382.0,513.0,0.14,-1.01,0.15,1.04,26.67,0.31,-10.0,-2.0,27.0,9
542.0,642.0,641.0,381.0,513.0,0.14,-1.0,0.16,-6.47,26.49,-3.11,-11.0,-6.0,29.0,9
543.0,640.0,642.0,383.0,512.0,0.16,-1.05,0.17,5.37,31.8,-3.23,-12.0,-10.0,29.0,9
541.0,642.0,640.0,384.0,512.0,0.15,-0.96,0.11,10.5,37.6,-2.08,-10.0,-8.0,30.0,9
541.0,639.0,641.0,383.0,514.0,0.16,-0.98,0.13,-2.5,39.0,0.18,-14.0,-11.0,27.0,9
541.0,643.0,641.0,384.0,512.0,0.16,-0.98,0.12,1.16,34.42,-0.98,-9.0,-13.0,30.0,9
541.0,642.0,641.0,383.0,514.0,0.15,-1.0,0.03,2.99,29.36,-3.54,-11.0,-16.0,28.0,9
542.0,642.0,641.0,383.0,511.0,0.15,-0.99,0.04,0.18,25.63,-7.63,-11.0,-15.0,31.0,9
541.0,641.0,642.0,384.0,513.0,0.12,-0.99,0.07,-4.76,18.01,-12.63,-12.0,-16.0,31.0,9
542.0,641.0,643.0,382.0,514.0,0.12,-0.99,0.1,-4.46,20.87,-2.44,-10.0,-18.0,35.0,9
542.0,642.0,641.0,382.0,512.0,0.13,-1.0,0.08,-3.23,23.07,-1.46,-11.0,-19.0,34.0,9
538.0,642.0,642.0,383.0,514.0,0.12,-0.99,0.09,-4.64,24.35,-5.68,-10.0,-20.0,32.0,9
542.0,641.0,641.0,384.0,515.0,0.14,-0.99,0.1,-3.42,24.84,0.06,-11.0,-23.0,33.0,9
542.0,641.0,643.0,382.0,514.0,0.13,-0.98,0.09,-9.28,28.99,1.65,-8.0,-21.0,36.0,9
541.0,640.0,642.0,384.0,515.0,0.15,-1.0,0.11,-10.31,30.33,2.01,-13.0,-25.0,37.0,9
542.0,641.0,641.0,381.0,515.0,0.17,-1.03,0.12,-0.67,31.49,-2.14,-10.0,-28.0,34.0,9
543.0,642.0,642.0,385.0,512.0,0.18,-1.0,0.1,2.75,34.85,-0.31,-8.0,-29.0,35.0,9
540.0,641.0,644.0,384.0,514.0,0.17,-0.96,0.12,-0.18,32.59,-2.2,-10.0,-30.0,32.0,9
542.0,642.0,642.0,381.0,516.0,0.16,-0.98,0.11,-5.25,31.68,-1.53,-12.0,-33.0,32.0,9
542.0,641.0,642.0,385.0,514.0,0.17,-1.0,0.1,-10.5,27.83,-1.28,-8.0,-35.0,31.0,9
543.0,642.0,641.0,384.0,516.0,0.14,-1.01,0.11,-13.79,27.95,-9.34,-11.0,-34.0,33.0,9
542.0,641.0,641.0,385.0,517.0,0.14,-0.96,0.2,-4.21,24.96,-12.15,-10.0,-35.0,33.0,9
